utility,substation_name,node,dist_km
pge,SHAFTER,267,0.0005096159758139845
pge,OCEANO,1182,0.0007516281934329189
sce,Rush,513,0.001564012996655793
sce,Archibald,994,0.0018644227849256047
sce,Gale,8036,0.0018774956486804612
sce,Wakefield,1482,0.0021276575402072893
sce,Ivar,2052,0.002843732384528331
sce,Michillinda,2050,0.0029750037339404123
sce,Forest Home,2270,0.0031621029656363963
sce,Floraday,2059,0.0033146570188196706
pge,WILLIAMS,68,0.0034542899534485668
sce,Linden,547,0.0035553257040208622
sce,Sullivan,722,0.0037287497637210503
sce,Passons,486,0.0037636918009779055
sce,Sunny Dunes,2026,0.003849570636357436
sce,Palm Canyon,2027,0.00429672410774923
sce,Gale,8037,0.004307618317306428
pge,HURON,131,0.004466866046034633
pge,NORD,48,0.0048408493439549135
sce,Barstow,2012,0.005125919143982329
pge,SUNOL,21,0.005158892219186769
pge,JARVIS,13,0.005310960143482429
sce,State Street,532,0.005393673525363029
sce,Desert Outpost,2025,0.0054470496199056405
sce,Venida,1442,0.0055631318381321355
sce,Culver,405,0.005584993994007238
sce,Sierra Madre,2049,0.005783939349618364
pge,CHARCA,234,0.005935726962461354
pge,HAMMER,1147,0.006261876283082051
pge,ALTO,7685,0.006306905977756834
pge,CLAY,26,0.006451273038520648
pge,WYANDOTTE,54,0.0065016449652621645
sce,Upland,1040,0.006671370572959465
pge,COALINGA NO 1,1654,0.00667277131126693
sce,Gonzales,1463,0.0067979122669655345
pge,ARLINGTON,2133,0.007052579891774636
pge,SNEATH LANE,1208,0.0071207560614662485
pge,ORLAND B,155,0.007130153007992671
sce,Belvedere,2064,0.007360605255162462
sce,Pioneer,489,0.007393598336914691
pge,HAMILTON BRANCH,339,0.007440560397014644
sce,Monrovia,2047,0.0075481583550632905
pge,RIO DELL,177,0.007577348905681127
sce,Rivera,464,0.008036849066256733
pge,SOBRANTE,8085,0.008070897632600185
sce,Havasu,1011,0.008091071782418904
sce,Center,8570,0.008141486399293013
pge,OREGON TRAIL,7647,0.008282999561371065
sce,Sixteenth Street,2006,0.008321187061475834
pge,DIXON,1329,0.008334512707289393
pge,CABRILLO,39,0.008448571039134274
pge,BUENA VISTA,633,0.00845963804763418
sce,Team,725,0.008502115706091207
pge,ATWATER,605,0.008590584819892987
pge,SALMON CREEK,1346,0.008666202385034495
pge,RIO BRAVO,261,0.008732635697843242
sce,Neptune,472,0.008756241464575917
sce,Tamarisk,813,0.008798879169306186
sce,Haveda,2214,0.008812668866162863
pge,MOUNTAIN VIEW,1256,0.008855598394689156
pge,VASONA,1907,0.008892182545790368
pge,LERDO,250,0.008908000999065106
sce,Stewart,533,0.009264639047084513
pge,ESQUON,46,0.009278795218833708
pge,CATLETT,1388,0.009338448127990891
pge,OLEMA,583,0.009359442631048816
pge,WALNUT CREEK,2145,0.00942035458646864
pge,MIWUK,1450,0.009566565428429867
pge,VIRGINIA,2127,0.009704438164853182
sce,Pomona,424,0.009852256103161
pge,DEL MAR,747,0.010044003809545846
sce,Somerset,527,0.01022994769767566
pge,DAIRYVILLE,1396,0.010237403909904493
pge,HOPLAND,595,0.010494701218067884
pge,PURISIMA,1217,0.010667672886335635
sce,Center,8569,0.0106833968470872
pge,BARRY,1387,0.010781974331559948
sce,Carson,386,0.010784948411328408
pge,GABILAN,637,0.01084184485563779
sce,Beverly,371,0.010849963551506326
sce,Carmenita,385,0.01104172700216218
pge,RICHMOND R,1604,0.011098569611794899
pge,JAMESON,1782,0.011129540514371544
sce,Calden,383,0.011141563541868557
pge,LUCERNE,330,0.011149519868108903
sce,Channel Island,1456,0.011429351543389444
pge,OREGON TRAIL,7646,0.011433700030920577
sce,Temple,2051,0.011451875192371326
sce,Rolling Hills,511,0.01145968478703185
pge,RED BLUFF,1401,0.011493298118230454
sce,Eaton,414,0.011523546368867625
pge,SOLANO,2131,0.01158527689796045
pge,SAN JOSE A,1257,0.011605395242850942
sce,Longdon,2078,0.01170070074360893
pge,BERKELEY F,2135,0.011724811611192158
sce,Signal Hill,524,0.01189490503727595
pge,SOBRANTE,8084,0.012107404864774667
sce,Ontario,1999,0.012188426509521268
pge,FAIRHAVEN,165,0.012222944087160707
pge,SANTA ROSA A,8012,0.012238003272421446
pge,MARYSVILLE,1494,0.012282922607143103
pge,DESCHUTES,1281,0.012376025661626218
sce,Valley,816,0.012594700810893806
sce,Hemet,2023,0.012709582406996463
sce,Bridge,378,0.013018534114222016
pge,GOLDTREE,1180,0.01307758941793577
sce,Mt. Vernon,2007,0.013097353863612882
pge,OLETA,31,0.013187573754234643
pge,BIG RIVER,590,0.013281934642408382
pge,EAST MARYSVILLE,1491,0.013283448374132279
pge,SOLEDAD,8712,0.01329455220946659
pge,MC FARLAND,252,0.013500819816346517
pge,DOLAN ROAD,1648,0.013613330577016783
pge,MIRABEL,1339,0.01362203712589991
pge,WESTPARK,280,0.013773882285610125
pge,BROOKSIDE,2123,0.013810955638857604
pge,ALTO,7684,0.013852710429949391
pge,RINCON,1345,0.014033244970530722
sce,Banning,8456,0.0140823209160525
pge,HICKS,8253,0.014110467767954129
pge,WILLITS,1581,0.014125178001032402
pge,BRIDGEVILLE,164,0.014168526490433436
pge,ROCKLIN,754,0.014170879331032234
pge,TEMPLETON,8405,0.01421123464979413
pge,OLD RIVER,258,0.014232931862799546
pge,NOTRE DAME,1911,0.014279959361216598
