source,YEAR,MONTH,HOUR,SUBSTATION,MIN_LOAD_A,MAX_LOAD_A,MIN_LOAD,MAX_LOAD,MONTHLABEL,OBJECTID,longitude,latitude
scrape,2022,5,12,Copy P.T.,-1.3,5.5,,,"JUN, 12",2284.0,,
scrape,2022,9,9,Idyllwild P.T.,243.1,279.0,,,"OCT, 09",2491.0,,
scrape,2024,9,6,Dolores P.T.,25.1,34.8,,,"OCT, 06",2846.0,,
scrape,2024,0,2,Fair Oaks,242.4,336.0,1.595427,2.211482,"JAN, 02",4637.0,,
scrape,2017,6,3,Lee Vining,67.9,81.21,1.340711,1.603522,"JUL, 03",5864.0,,
scrape,2024,6,0,Palm Springs 'A',161.0,258.7,1.059669,1.70271,"JUL, 00",6527.0,,
scrape,2024,7,9,Mountain Pass,3.33,5.9,,,"AUG, 09",6601.0,,
scrape,2018,10,23,Paularino,176.0,213.33,,,"NOV, 23",8542.0,,
scrape,2018,0,5,Line Creek,19.42,29.92,,,"JAN, 05",8636.0,,
scrape,2017,8,22,Pimiento P.T.,5.74,11.7,,,"SEP, 22",9059.0,,
scrape,2018,11,12,Siphon P.T.,6.28,12.15,,,"DEC, 12",10465.0,,
scrape,2023,6,22,Baker,51.01,87.8,1.007212,1.733644,"JUL, 22",10628.0,,
scrape,2022,11,21,West Riverside,0.31,0.42,0.006121,0.008293,"DEC, 21",10726.0,,
scrape,2023,9,3,Calcadia P.T.,0.23,0.32,,,"OCT, 03",10778.0,,
scrape,2017,3,21,Dryden P.T.,0.27,0.33,,,"APR, 21",11631.0,,
scrape,2023,7,0,Big Creek 2,0.3,0.5,0.005924,0.009873,"AUG, 00",12240.0,,
scrape,2018,4,12,Topanga,60.22,73.47,,,"MAY, 12",12801.0,,
scrape,2024,1,20,Palm Springs 'B',94.26,97.13,0.6204,0.63929,"FEB, 20",13430.0,,
scrape,2023,10,23,Poole,0.25,0.36,0.004936,0.007108,"NOV, 23",13632.0,,
scrape,2023,5,5,Papaya P.T.,24.1,30.9,,,"JUN, 05",13788.0,,
scrape,2018,0,20,Camp Baldy P.T.,47.33,66.64,,,"JAN, 20",14107.0,,
scrape,2022,9,20,Deigaard P.T.,0.01,0.01,,,"OCT, 20",14558.0,,
scrape,2022,6,20,Costa Mesa,853.58,1260.35,5.618087,8.295363,"JUL, 20",14601.0,,
scrape,2022,4,4,Tollhouse P.T.,0.02,0.03,,,"MAY, 04",15830.0,,
scrape,2023,5,7,Visalia,356.22,532.32,7.033699,10.51086,"JUN, 07",16285.0,,
scrape,2023,1,22,Capanero P.T.,0.67,0.9,,,"FEB, 22",16546.0,,
scrape,2022,5,17,Autobody,54.0,110.7,,,"JUN, 17",17326.0,,
scrape,2018,9,22,Camino,7.39,9.23,0.194558,0.243,"OCT, 22",17478.0,,
scrape,2023,0,8,Safari,230.8,415.1,4.557234,8.196307,"JAN, 08",17783.0,,
scrape,2018,0,0,Elaine P.T.,21.34,31.93,,,"JAN, 00",18031.0,,
scrape,2022,0,2,Rincon P.T.,0.88,1.2,,,"JAN, 02",22031.0,,
scrape,2023,9,15,Camp Nelson P.T.,18.8,31.4,,,"OCT, 15",22045.0,,
scrape,2017,7,14,Oaktree P.T.,27.95,70.32,,,"AUG, 14",22953.0,,
scrape,2018,10,0,Poso Park P.T.,13.46,19.99,,,"NOV, 00",23016.0,,
scrape,2022,10,18,Ranger P.T.,98.7,136.0,,,"NOV, 18",23854.0,,
scrape,2017,1,0,Santa Ana River 1,0.0,0.0,0.0,0.0,"FEB, 00",23905.0,,
scrape,2018,1,7,Kimberly P.T.,18.23,25.47,,,"FEB, 07",24125.0,,
scrape,2018,0,12,Richuson P.T.,13.93,18.22,,,"JAN, 12",24660.0,,
scrape,2018,0,2,Kempster,92.22,105.15,,,"JAN, 02",24762.0,,
scrape,2017,2,13,Bishop Creek Plant 2,27.88,63.28,,,"MAR, 13",25028.0,,
scrape,2017,11,4,San Ysidro P.T.,12.19,20.15,,,"DEC, 04",25077.0,,
scrape,2018,0,1,Sherwood P.T.,23.43,36.47,,,"JAN, 01",25332.0,,
scrape,2018,6,15,Lunar,0.0,0.0,0.0,0.0,"JUL, 15",28394.0,,
scrape,2018,4,13,Cain Ranch P.T.,0.03,0.12,,,"MAY, 13",28418.0,,
