substation_name,circuit_count,existing_der,net_min_daytime_load_mw
Agness ave,3,0.8669,4.8
Albina,1,0.0072,1.33
Applegate,2,1.22228,3.6
Arlington,1,0.19122,0.4
Ashland,2,1.23398,0.6
Athena,2,0.41325,1.4
Bandon,1,0.06475,0.8
Beacon,2,0.6676,0.7
Beall Lane,2,1.36007,3.4
Beatty,1,0.89964,0.3
Belknap,4,2.24335,7.0
Bend,4,1.96825,5.2
Blalock,1,0.0,0.0
Bly,1,5.05326,-5.2
Boise Cascade,1,0.0,0.0
Bonanza,1,0.65857,0.6
Bond Street,2,1.21031,3.2
Brookhurst,5,4.59881,8.7
Brownsville,1,0.64088,2.3
Bryant,4,2.0763,6.5
Buchanan,3,5.96289,7.6
Buckaroo,3,7.22798,0.2
Calapooya,2,0.27429,0.9
Campbell,4,1.26029,6.3
Cannon Beach,2,0.13899,2.8
Canyonville,2,0.13173,3.4
Carnes,1,0.07197,0.5
Casebeer,1,5.49633,-3.5
Cave Junction,2,1.06837,5.8
Caveman,4,1.48868,5.1
Cherry Lane,1,10.0,-8.0
Chiloquin,1,10.27202,-8.0
Chiloquin Market,1,0.31275,0.4
China Hat,3,1.90091,6.7
Circle Blvd,1,0.0,0.0
Clearwater #1,1,0.0,0.0
Clearwater #2,1,0.04589,0.0
Cleveland Ave,6,2.76613,9.8
Cloake,3,0.83464,4.0
Coburg,1,0.1159,0.3
Columbia,6,0.84624,10.7
Coos River,1,0.0869,0.8
Coquille,3,0.11356,4.4
Crooked River,2,2.04911,2.1
Crowfoot,2,0.55286,2.6
Cully,3,0.86877,3.26
Culver,1,6.84021,1.9
Dairy,2,18.95006,-16.5
Dallas,4,6.70995,10.3
Dalreed,3,14.8,-11.1
Deschutes,2,11.39027,-7.0
Devils Lake,4,0.57699,12.6
Dixon,2,0.12503,0.8
Dodge Bridge,2,11.47298,-7.6
Dowell,2,1.03586,4.5
Easy Valley,3,2.07174,4.3
Empire,3,0.47172,3.2
