name_norm,lat_basin,lon_basin,name_raw_basin,lat_util,lon_util,name_raw_util,dist_km
ager,41.86751520188198,-122.46412255364156,Ager,41.86749226104336,-122.46414882202951,AGER,0.003352386942536672
alturas,41.49986440367209,-120.53346705469008,Alturas,41.49976411587373,-120.53370406371604,ALTURAS,0.022670505721821416
belmont,41.77306065471404,-124.20789214137528,Belmont,41.77311951100543,-124.20798173499618,BELMONT,0.009901156995673899
big springs,41.61676201569528,-122.3993063217494,Big Springs,41.61683340040895,-122.39937960462994,BIG SPRINGS,0.010005900900828714
castella,41.14611102392029,-122.31964008345702,Castella,41.146145438632175,-122.31983797147208,CASTELLA,0.017006010868634864
crag view,41.18484430731303,-122.28594370899296,Crag View,41.18492143166833,-122.28573011423217,CRAG VIEW,0.01982528098672477
del norte,41.86766181147264,-124.1390725627974,Del Norte,41.86762419987306,-124.13912913923438,DEL NORTE,0.006280026438401399
dog creek,40.94013301225021,-122.4310079579032,Dog Creek,40.940236200238594,-122.43128122737986,DOG CREEK,0.025661590628445828
dorris,41.96684121703738,-121.9135761877594,Dorris,41.966797001765606,-121.9137586885193,DORRIS,0.01586941936167828
fort jones,41.60541942822712,-122.850150307247,Fort Jones,41.60558304281725,-122.85023349771146,FORT JONES,0.01946359673648844
gasquet,41.84825594549302,-123.96675129035826,Gasquet,41.84815903258317,-123.96666628333028,GASQUET,0.012872663053610922
greenhorn,41.71130374480522,-122.64900469344047,Greenhorn,41.7112928078176,-122.64905040353446,GREENHORN,0.0039844267544151225
hamburg,41.780216177406125,-123.07122196297904,Hamburg,41.78014630796797,-123.07113484503856,HAMBURG,0.010608551760664792
happy camp,41.80354174914639,-123.37255096895952,Happy Camp,41.80361654763516,-123.37265515528084,HAPPY CAMP,0.0119897425570105
hornbrook,41.89799074323568,-122.539962450731,Hornbrook,41.8979575269753,-122.54003349002257,HORNBROOK,0.006943499119307171
iron gate,41.932981039006506,-122.43674846188034,Iron Gate,41.93289783569114,-122.43682275650116,IRON GATE,0.011107000476999342
lake earl,41.85179685123777,-124.14798615905238,Lake Earl,41.85184231161562,-124.14804034690276,LAKE EARL,0.0067599039768473515
little shasta,41.70174113098766,-122.369659890592,Little Shasta,41.70185518405899,-122.36972770830452,LITTLE SHASTA,0.01387572465588978
lucerne,41.60383181796002,-122.5226590674409,Lucerne,41.60381279327445,-122.52262508574228,LUCERNE,0.0035296358177658196
macdoel,41.83177663643341,-122.00473729258866,Macdoel,41.83181909894045,-122.00478206661592,MACDOEL,0.006004574629228524
mccloud,41.26632870474356,-122.12599702046847,Mccloud,41.266271739608136,-122.1260121854732,MCCLOUD,0.006459802730279233
miller redwood,41.73290031262769,-124.09742486842389,Miller Redwood,41.73282160979456,-124.09743393234002,MILLER REDWOOD,0.008783616390782947
montague,41.727041109853474,-122.53642161106198,Montague,41.72693043904344,-122.53651317747703,MONTAGUE,0.014463100367503678
morrison creek,41.92760145182565,-124.14144853284678,Morrison Creek,41.92494152009263,-124.13939073134004,MORRISON CREEK,0.34126598222344656
newell,41.88812877811837,-121.37828695554882,Newell,41.88813575616575,-121.37834651159258,NEWELL,0.00499067971342226
north dunsmuir,41.22066963800598,-122.27634987054262,North Dunsmuir,41.22065394602859,-122.27659465832272,NORTH DUNSMUIR,0.0205478532109225
northcrest,41.76606162812093,-124.19918052279426,Northcrest,41.76618723999192,-124.19921645145917,NORTHCREST,0.014281723711292781
nutglade,41.17823801328788,-122.2907352113697,Nutglade,41.17829269303779,-122.29086550692864,NUTGLADE,0.01248525358847327
perez,41.63312676646782,-121.22648976917402,Perez,41.63314760479084,-121.22656662579185,PEREZ,0.006794743037792162
scott bar,41.74229468453111,-122.9995371386213,Scott Bar,41.742164267985856,-122.99960233852728,SCOTT BAR,0.015477749430115992
seiad,41.84053309602203,-123.19196159609751,Seiad,41.84071808532734,-123.19230986932116,SEIAD,0.035433159281407625
shastina,41.54864895533091,-122.36419305071072,Shastina,41.54860974984375,-122.36414169550866,SHASTINA,0.006104827403075565
shotgun creek,41.053950824817576,-122.38185660103676,Shotgun Creek,41.054073873196586,-122.3818840970048,SHOTGUN CREEK,0.013875247294592915
smith river,41.88541567250344,-124.14057536491111,Smith River,41.88557164115453,-124.14059357820042,SMITH RIVER,0.01740833855655764
snow brush,41.26799278585443,-122.2389363938396,Snow Brush,41.26797570767044,-122.23897463985014,SNOW BRUSH,0.003718056195752689
south dunsmuir,41.20124390279776,-122.2764098191782,South Dunsmuir,41.20132421143539,-122.27653738533348,SOUTH DUNSMUIR,0.01391571969434311
tulelake,41.953363861811184,-121.47142246508336,Tulelake,41.95348948621859,-121.47144163380476,TULELAKE,0.014058448344502995
tunnel,41.92527998073323,-121.56637498348368,Tunnel,41.92530865739899,-121.56643493663653,TUNNEL,0.0058965393823534286
walker bryan,41.49312367004124,-122.90564898410004,Walker Bryan,41.49307029796832,-122.90574737363708,WALKER-BRYAN,0.01011804450397883
weed,41.431411765311154,-122.38974031914184,Weed,41.43136666211103,-122.38970739006692,WEED,0.005717433109728588
weed junction,41.45174559378809,-122.36218072963584,Weed Junction,41.4517596725006,-122.36220854527174,WEED JUNCTION,0.0027972923942918226
yreka,41.72857814518734,-122.63077234473836,Yreka,41.72883503905846,-122.63147594387732,YREKA,0.06500138617141225
yuba,41.37290595843101,-122.83293838500124,Yuba,41.37304012395981,-122.8329898552341,YUBA,0.015524435281393422
yurok,41.543367783620994,-124.05043490475052,Yurok,41.54337135969808,-124.05059549943986,YUROK,0.013371291504907835
