substation_name,substation_id,division,voltage_kv,num_banks,ungrounded_banks,existing_dg_kw,queued_dg_kw,total_dg_kw,redacted,longitude,latitude
CONCORD NO 1,1296,Diablo,4.16,2.0,,2541,2756,5297,No,-122.02429744721525,37.97581268089191
SAN JOSE B,8226,San Jose,12.0,4.0,,7221,9305,16526,No,-121.901895980367,37.34102949703376
POTTER VALLEY PH,4228,Humboldt,12.0,3.0,,540,90,630,No,-123.12811806063024,39.36111012453688
TAFT,25208,Kern,12.0,2.0,,2363,7876,10239,No,-119.48227773692136,35.13623071502375
TRES PINOS,18322,Central Coast,12.0,1.0,,1079,1275,2354,No,-121.3195803556968,36.78439384314798
SAN JOSE A,8225,San Jose,4.16,4.0,,1335,1397,2732,No,-121.90253619243413,37.328168501922605
PETALUMA C,4263,Sonoma,12.0,4.0,"2,3,4",3946,4749,8695,No,-122.63676111116996,38.23949974182017
ECHO SUMMIT,15803,Sierra,12.0,1.0,,6,6,12,Yes,-120.0284989889445,38.82437656201053
IONE,16388,Stockton,12.0,1.0,1,6740,6903,13643,No,-120.9571666049228,38.37370944252769
OILFIELDS,18239,Central Coast,12.0,2.0,,10410,18053,28463,No,-120.85149439691293,35.956083731993004
EUREKA E,19233,Humboldt,12.0,1.0,,2017,2269,4286,No,-124.17955004886942,40.793699357832445
WESTPARK,25370,Kern,12.0,3.0,,3828,4004,7832,No,-119.04033986202364,35.37405023329696
NEWARK 12KV,1222,Mission,12.0,4.0,,1125,1936,3061,No,-121.98896346778255,37.50151207995332
SF A (POTRERO),2203,San Francisco,12.0,3.0,,692,1352,2044,No,-122.38631343999468,37.75597723579284
BUCKS CREEK,10221,North Valley,12.0,1.0,,3,3,6,No,-121.32682793665592,39.91160243296182
NEWARK 21KV,1223,Mission,21.0,,,13403,32959,46362,No,-121.98163324660962,37.50289932556285
DAVIS,6204,Sacramento,12.0,3.0,,50656,55428,106084,No,-121.7337412213476,38.54537389882344
RESEARCH,1469,Diablo,21.0,1.0,,8800,9393,18193,No,-121.96730288036213,37.7823591848183
POSO MOUNTAIN,25364,Kern,21.0,2.0,,5,5,10,Yes,-118.95782903329666,35.559202917522015
VOLTA,10254,North Valley,12.0,1.0,2,2196,5520,7716,No,-121.8677559059613,40.45943689773459
FIGARDEN,25455,Fresno,21.0,3.0,,5108,6124,11232,No,-119.85912186746845,36.82143004382485
MAPLE,1352,East Bay,4.16,1.0,,424,492,916,No,-122.2057538023828,37.79719717055544
COALINGA NO 2,25238,Fresno,12.0,1.0,,141,10861,11002,No,-120.31459024852086,36.237727890424445
EL CERRITO G,1250,East Bay,12.0,3.0,,10493,11037,21530,No,-122.30263855024612,37.91642199870226
SF H (MARTIN),2210,Peninsula,12.0,8.0,,3023,4966,7989,No,-122.40919513249818,37.70424294017619
MOUNTAIN VIEW,8203,De Anza,12.0,3.0,,1022,1022,2044,No,-122.06962750222034,37.38264012657535
STOCKTON A,16237,Stockton,12.0,5.0,,9780,10474,20254,No,-121.28897066909988,37.94731136404815
LAS GALLINAS A,4299,Sonoma,12.0,3.0,,14532,16055,30587,No,-122.53813147487423,38.02256741456931
VACA DIXON,6359,North Bay,12.0,3.0,,42195,54037,96232,No,-121.920052746684,38.39965913851507
MOUNTAIN QUARRIES,15228,Sierra,21.0,1.0,1,11362,12095,23457,No,-121.01899061136776,38.91439251858
DRUM,15232,Sierra,12.0,1.0,,85,85,170,No,-120.76688167651604,39.25637292962176
COALINGA NO 1,25216,Fresno,12.0,2.0,,8028,8956,16984,No,-120.34415486251105,36.13620074047216
MADERA,25276,Yosemite,12.0,3.0,,13231,15383,28614,No,-120.05507066657292,36.92328166223725
NORTH DUBLIN,1405,Mission,21.0,1.0,,10976,12004,22980,No,-121.85769752164674,37.74483921993783
HOLLYWOOD,1317,East Bay,4.16,1.0,,1716,1915,3631,No,-122.2188198016409,37.81262335848576
FORT BRAGG A,4276,Humboldt,12.0,2.0,,2175,2753,4928,No,-123.79944585942631,39.4353215496146
WILLITS,4266,Humboldt,12.0,2.0,,4332,6014,10346,Yes,-123.32695422926648,39.40550748378168
LOCKHEED NO 2,8300,De Anza,12.0,2.0,,548,1269,1817,Yes,-122.03185703639838,37.41633412032817
JARVIS,1350,Mission,12.0,3.0,,20124,21391,41515,No,-122.01754403270029,37.59533398503197
LOCKHEED NO 1,8299,De Anza,12.0,2.0,,261,261,522,No,-122.03110865958986,37.4097706587578
LODI,16211,Stockton,12.0,2.0,,9038,9922,18960,No,-121.26217434307496,38.137240812553664
HALF MOON BAY,2410,Peninsula,12.0,3.0,"1,2",7084,8013,15097,No,-122.4294538339823,37.46904870806549
HUMBOLDT BAY PP,19234,Humboldt,12.0,1.0,,446,3550,3996,No,-124.20905652543362,40.74070324565622
KEARNEY,25270,Fresno,12.0,2.0,,2751,2884,5635,No,-119.88009059611775,36.706696128628494
PETALUMA A,4212,Sonoma,4.16,1.0,,272,288,560,No,-122.63657806577606,38.23437308284748
ROUGH AND READY ISLA,16308,Stockton,12.0,1.0,1,3200,2190,5390,No,-121.3463583310698,37.94947516937854
DINUBA,25409,Fresno,12.0,2.0,,4648,5474,10122,No,-119.3938871560341,36.520228463825966
POTTER VALLEY P H,4228,Humboldt,12.0,3.0,,540,90,630,No,-123.12811806063024,39.36111012453688
MERIDIAN,6254,Sacramento,12.0,1.0,1,2520,6340,8860,Yes,-121.91109944135476,39.14481683871717
ANITA,10284,North Valley,12.0,2.0,"1,2",11367,17505,28872,No,-121.91991335854588,39.81086776157862
SF X (MISSION),2201,San Francisco,12.0,2.0,,4231,4387,8618,No,-122.41435930467767,37.77752693688508
SMARTVILLE,15379,Sacramento,12.0,1.0,,550,220,770,No,-121.30260526619712,39.20859431679137
SANTA TERESA,8296,San Jose,21.0,,,4411,5189,9600,No,-121.79054338190755,37.238496970450434
OCEAN,2258,San Francisco,4.16,2.0,,1150,130,1280,No,-122.45488992150584,37.72329584444796
SF J,2222,San Francisco,4.16,2.0,,18440,30,18470,Yes,-122.40203090580668,37.794094641981566
TARAVAL,2250,San Francisco,4.16,3.0,,670,50,720,Yes,-122.49319808254324,37.74199971120542
BEN LOMOND,8304,Central Coast,12.0,2.0,,2216,2376,4592,No,-122.09644564945188,37.09229030534265
CASTRO,2248,San Francisco,4.16,2.0,,1050,80,1130,No,-122.43417816629568,37.74941830614643
NORIEGA,2251,San Francisco,4.16,2.0,,280,10,290,No,-122.50475444624009,37.752473274537806
ALPINE,16356,Stockton,12.0,1.0,,55,55,110,Yes,-120.0381940068952,38.46682532572175
ESTUDILLO,1348,Mission,4.16,1.0,,690,774,1464,No,-122.1388744667424,37.72712154609791
SF L,2226,San Francisco,4.16,2.0,,8140,240,8380,Yes,-122.4711019490942,37.73037503356227
SF N,2228,San Francisco,12.0,5.0,,2430,210,2640,Yes,-122.4664254717227,37.76138387988553
21ST AVENUE,2255,San Francisco,4.16,3.0,,970,70,1040,No,-122.47806162171672,37.75449989411368
WOOD,1338,East Bay,4.16,1.0,,2339,2423,4762,No,-122.21614490767148,37.8264060148404
