name_norm,lat_basin,lon_basin,name_raw_basin,lat_util,lon_util,name_raw_util,dist_km
airways,36.77800449376864,-119.6737997732644,Airways,36.77817677583952,-119.67395617756009,AIRWAYS,0.02368598041897948
alhambra,37.9939232223922,-122.13011557123694,Alhambra,37.99408242188111,-122.13034397164172,ALHAMBRA,0.02671995499478628
alleghany,39.46548155585289,-120.84480093929696,Alleghany,39.465472208842606,-120.84426368187933,ALLEGHANY,0.04613168094628707
almaden,37.25996121985501,-121.8898983887587,Almaden,37.26010442296057,-121.8898329799593,ALMADEN,0.016942993757434265
alpaugh,35.96336388597445,-119.45683611564412,Alpaugh,35.963432505647624,-119.45629715975916,ALPAUGH,0.04910265732148654
alto,37.898627509040566,-122.5246062288268,Alto,37.898563217546894,-122.5246426549278,ALTO,0.007830841026476944
ames,37.41763026688033,-122.06641663089506,Ames,37.41803546385238,-122.06722574863358,AMES,0.08447504170563251
anderson,40.44973411757957,-122.3050458968686,Anderson,40.4500398913538,-122.3047386818897,ANDERSON,0.042799484554760014
annapolis,38.6803029150572,-123.31188627934075,Annapolis,38.679837362204594,-123.3107420981408,ANNAPOLIS,0.11200096624780861
antelope,35.657901199099186,-119.9964344714247,Antelope,35.657909182784095,-119.99680487400924,ANTELOPE,0.033476615058820804
antler,40.89453712707826,-122.38072195182964,Antler,40.894973011426686,-122.38051411817683,ANTLER,0.05152021170711313
apple hill,38.73968296741021,-120.67716509488646,Apple Hill,38.73938813175536,-120.67736539967991,APPLE HILL,0.03710283600877169
arana,36.9842876083443,-121.99037773136556,Arana,36.98438410414178,-121.99012545589314,ARANA,0.02484424198585044
arbuckle,39.01747967888832,-122.06139482465692,Arbuckle,39.01767623855932,-122.0610830521299,ARBUCKLE,0.03468717043643197
arcata,40.86708117110176,-124.08842427813433,Arcata,40.86730949748007,-124.08825985825644,ARCATA,0.028909207510238094
arlington,37.88892427650707,-122.2729390429972,Arlington,37.88897961680794,-122.27297827230667,ARLINGTON,0.007051075765808964
