subname,OBJECTID,subid,monthhour,high,low,last_update_on_map,publish,longitude,latitude
KEARNEY,3,25270,06_07,7685.0,-407.0,1774529924000,1,-119.88009059611775,36.706696128628494
STOCKTON A,19,16237,11_11,36136.0,19541.0,1777391401000,1,-121.28897066909988,37.94731136404815
PIT NO 5,31,10132,06_17,-212.0,-391.0,1772742567000,1,-121.97630522163178,40.98670271889426
HOLLYWOOD,37,1317,10_07,1001.0,676.0,1769600103000,1,-122.2188198016409,37.81262335848576
VACA DIXON,38,6359,06_15,26935.0,5921.0,1769600089000,1,-121.920052746684,38.39965913851507
NEW HOPE,39,16208,12_01,1838.0,1480.0,1772742570000,1,-121.47310289510555,38.226101912543534
WILLITS,43,4266,07_16,11606.0,5838.0,1769600089000,1,-123.32695422926648,39.40550748378168
MC CALL,54,25412,12_00,31652.0,24067.0,1777391401000,1,-119.63836125979108,36.6103052673948
MOUNTAIN QUARRIES,60,15228,03_10,5008.0,533.0,1769600088000,1,-121.01899061136776,38.91439251858
CALFLAX,65,25344,02_23,2790.0,366.0,1775130629000,1,-120.12208024379596,36.28387686148028
NORTH DUBLIN,82,1405,01_09,17042.0,12233.0,1769600084000,1,-121.85769752164674,37.74483921993783
DRUM,87,15232,03_12,364.0,223.0,1769600095000,1,-120.76688167651604,39.25637292962176
MAPLE,101,1352,12_11,708.0,439.0,1769600084000,1,-122.2057538023828,37.79719717055544
SF A (POTRERO),118,2203,12_12,68580.0,49360.0,1769600105000,1,-122.38631343999468,37.75597723579284
ALPINE,133,16356,02_00,774.0,373.0,1775130625000,1,-120.0381940068952,38.46682532572175
TAR FLAT,180,16324,04_23,643.0,413.0,1774529929000,1,-120.37980694800358,37.98475497824085
COALINGA NO 2,201,25238,08_23,8007.0,4350.0,1774529926000,1,-120.31459024852086,36.237727890424445
SANTA TERESA,203,8296,03_01,4225.0,5573.0,1772742569000,1,-121.79054338190755,37.238496970450434
BUCKS CREEK,394,10221,04_11,144.0,71.0,1769600103000,1,-121.32682793665592,39.91160243296182
