SUB_NAME,SUBST_ID,SYS_NAME,SUB_TYPE,SUB_TYPE_LEGEND,SUBSTATION_VOLTAGE,EXISTING_GEN,QUEUED_GEN,TOTAL_GEN,PROJECTED_LOAD,PENETRATION_LEVEL,MAX_REMAIN_CAP,NOTE,OBJECTID,longitude,latitude
Yacht P.T.,2224,Santiago 220/66 System,A -- District Pole Top,Distribution,12/4.16 kV,0.23,0.015,0.246,2.0,12.26,3.5,Interconnection studies in this area have identified adequate deliverability.,5,-117.88379972383537,33.60777944311863
Yankee P.T.,1605,Vestal 220/66 System,A -- District Pole Top,Distribution,12/2.4 kV,0.0,0.0,0.0,0.0,0.0,0.05,Interconnection studies in this area have identified inadequate deliverability.,6,-118.4183870538017,35.62331865392004
Ziggy P.T.,2054,Kramer 220/115 System,A -- District Pole Top,Distribution,2.4/12 kV,0.0,0.0,0.0,0.0,0.0,0.17,Interconnection studies in this area have identified inadequate deliverability.,14,-117.53998139159704,34.98711204178539
Pheasant P.T.,1506,El Casco 220/115 System,A -- District Pole Top,Distribution,33/12 kV,0.444,0.04,0.484,1.0,48.4,0.52,Deliverability in this area has not been determined by previous interconnection studies.,18,-116.89759266587669,33.96779900311329
Primm,2167,Eldorado 220/115 System,T -- Transmission,Subtransmission / Transmission,220/115 kV,0.0,0.0,0.0,0.0,0.0,0.0,Interconnection studies in this area have identified inadequate deliverability.,32,-115.3492069963033,35.6409529977446
Pruitt P.T.,2195,La Fresa 220/66 System,A -- District Pole Top,Distribution,16/4.16 kV,0.271,0.006,0.277,0.7,39.55,0.72,Interconnection studies in this area have identified adequate deliverability.,34,-118.3639673395868,33.85874370930089
Queen Mary U.G.S.,1522,Hinson 220/66 System,A -- District Pole Top,Distribution,12/4.16 kV,0.0,0.0,0.0,0.7,0.0,0.75,Interconnection studies in this area have identified adequate deliverability.,37,-118.19134574924804,33.75011514963357
Recycle P.T.,2356,Valley 'Ab' 500/115 System,A -- District Pole Top,Distribution,33/12 kV,0.0,0.0,0.0,0.0,0.0,5.0,Deliverability in this area has not been determined by previous interconnection studies.,47,-117.22667934052474,33.769311283559816
Red Box P.T.,1906,Gould 220/66 System,A -- District Pole Top,Distribution,33/16 kV,0.0,0.0,0.0,0.3,0.0,1.5,Interconnection studies in this area have identified adequate deliverability.,48,-118.1003640930633,34.260373738057446
Regatta P.T.,2287,Big Creek 220/220 System,D -- Distribution,Distribution,33/12 kV,0.0,0.0,0.0,0.6,0.0,1.0,Interconnection studies in this area have identified inadequate deliverability.,52,-119.2324602993806,37.23671983458462
Retreat P.T.,1868,Mira Loma 220/66 System,A -- District Pole Top,Distribution,33/12 kV,1.841,0.134,1.975,4.2,47.44,8.03,Interconnection studies in this area have identified adequate deliverability.,54,-117.5087296597496,33.80542627194658
Ridgeview P.T.,1695,Valley 'Ab' 500/115 System,A -- District Pole Top,Distribution,33/12 kV,0.046,0.0,0.046,3.3,1.38,5.2,Deliverability in this area has not been determined by previous interconnection studies.,57,-116.99926100485908,33.84523899603052
Ronnie P.T.,1535,Center 220/66 System,A -- District Pole Top,Distribution,12/4.16 kV,0.057,0.011,0.068,0.5,13.52,0.93,Interconnection studies in this area have identified adequate deliverability.,65,-118.15910571958877,33.89370286149141
San Vicente,498,La Cienega 220/66 System,D -- Distribution,Distribution,16/4.16 kV,0.521,0.06,0.581,1.4,40.28,5.37,Interconnection studies in this area have identified adequate deliverability.,80,-118.49863429460974,34.02866397869504
Scout P.T.,1569,Victor 220/115 System,A -- District Pole Top,Distribution,33/12 kV,0.0,0.0,0.0,0.0,0.0,0.3,Interconnection studies in this area have identified adequate deliverability.,92,-116.91893140838816,34.31103076158852
Second Avenue,1738,Blythe (Walc) 161/33 System,D -- Distribution,Distribution,33/12 kV,0.629,0.047,0.676,2.5,27.57,4.32,Interconnection studies in this area have identified inadequate deliverability.,95,-114.57157619474964,33.69166725838854
Sespe P.T.,1539,Saugus 220/66 System,A -- District Pole Top,Distribution,16/4.16 kV,0.033,0.0,0.033,0.1,24.47,0.27,Interconnection studies in this area have identified adequate deliverability.,97,-118.93540972338351,34.409905999642085
Sinker P.T.,2243,Inyo Sce 220/115 System,A -- District Pole Top,Distribution,2.4/12 kV,0.0,0.0,0.0,0.2,0.0,0.52,Interconnection studies in this area have identified inadequate deliverability.,105,-118.499682206711,37.32371886917248
Skyborne P.T.,1895,Devers 220/115 System,A -- District Pole Top,Distribution,33/12 kV,0.689,0.065,0.754,1.9,40.61,14.25,Deliverability in this area has not been determined by previous interconnection studies.,108,-116.56609080208187,33.9634093828063
Snowcreek P.T.,1560,Devers 220/115 System,A -- District Pole Top,Distribution,33/12 kV,0.321,0.35,0.671,0.4,184.05,0.33,Deliverability in this area has not been determined by previous interconnection studies.,112,-116.67595756755536,33.904916760230016
Soper P.T.,1992,Del Amo 220/66 System,A -- District Pole Top,Distribution,12/4.16 kV,0.632,0.046,0.677,2.5,27.1,1.82,Interconnection studies in this area have identified adequate deliverability.,116,-118.1191094431758,33.86582283709328
Sophie P.T.,2228,Valley 'D' 500/115 System,A -- District Pole Top,Distribution,33/12 kV,2.173,0.25,2.423,7.9,30.78,7.58,Deliverability in this area has not been determined by previous interconnection studies.,117,-117.2959148993144,33.72370748245825
Southridge P.T.,1549,Devers 220/115 System,A -- District Pole Top,Distribution,33/4.16 kV,0.347,0.056,0.403,1.1,36.44,1.1,Deliverability in this area has not been determined by previous interconnection studies.,120,-116.50266784848702,33.79445005439098
Stewval P.T.,1557,Valley Electric System,A -- District Pole Top,Distribution,25/25 kV,0.0,0.0,0.0,0.0,0.0,0.6,Deliverability in this area has not been determined by previous interconnection studies.,128,-116.12705299749538,36.18544769220795
Stroh P.T.,1568,Mira Loma 220/66 System,A -- District Pole Top,Distribution,33/4.16 kV,0.185,0.005,0.19,0.8,25.39,0.56,Interconnection studies in this area have identified adequate deliverability.,131,-117.52165051890846,33.83854905420777
Styx P.T.,1538,Victor 220/115 System,A -- District Pole Top,Distribution,33/12 kV,1.356,0.117,1.473,3.3,44.39,6.03,Interconnection studies in this area have identified adequate deliverability.,132,-117.20522467565172,34.59965106449961
Sugarloaf P.T.,1561,Vestal 220/66 System,A -- District Pole Top,Distribution,12/2.4 kV,0.0,0.0,0.0,0.1,0.0,0.17,Interconnection studies in this area have identified inadequate deliverability.,133,-118.61610103815796,35.84119712706771
Sunlight P.T.,1567,Lighthipe 220/66 System,A -- District Pole Top,Distribution,12/4.16 kV,0.017,0.0,0.017,0.0,0.0,0.0,Interconnection studies in this area have identified adequate deliverability.,136,-118.1768934648279,33.87973365665105
Surrey U.G.S.,1564,La Fresa 220/66 System,A -- District Pole Top,Distribution,16/4.16 kV,0.257,0.127,0.384,0.4,105.25,1.12,Interconnection studies in this area have identified adequate deliverability.,139,-118.3499964209899,33.75575006143004
Tahquitz P.T.,1573,Valley 'Ab' 500/115 System,A -- District Pole Top,Distribution,33/12 kV,0.349,0.002,0.35,0.5,71.69,0.65,Deliverability in this area has not been determined by previous interconnection studies.,141,-116.73267963167255,33.706694509279565
Tapia,550,Moorpark 220/66 System,D -- Distribution,Distribution,66/16 kV,0.904,0.265,1.169,26.1,4.48,49.23,Interconnection studies in this area have identified adequate deliverability.,144,-118.68464815377833,34.03632128875002
