substation_name,subst_id,sys_name,existing_gen,queued_gen,total_gen,projected_load,der_penetration,max_remain_cap,voltage_kv,circuit_count,res_pct,com_pct,agr_pct,ind_pct,other_pct,res_total,com_total,agr_total,ind_total,other_total,note_sub
Acequia P.t.,2229.0,Rector 220/66 System,0.0,0.0,0.0,0.14,0.0,0.33,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
Aha P.t.,1272.0,Eagle Mountain 220/220 System,0.009,0.0,0.009,2.52,0.0,4.19,12.0,1.0,62.9139,7.2848,0.0,0.0,29.8013,95.0,11.0,0.0,0.0,45.0,Interconnection studies in this area have identified inadequate deliverability.
Albury P.t.,2049.0,Del Amo 220/66 System,0.147,0.008,0.155,0.71,0.22,1.84,4.0,1.0,94.3925,0.9346,0.0,0.0,4.6729,101.0,1.0,0.0,0.0,5.0,Interconnection studies in this area have identified adequate deliverability.
Aliso Energy,1106.0,Santiago 220/66 System,0.0,0.0,0.0,1.2,0.0,10.5,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Allview P.t.,1277.0,Vista 220/115 System,0.031,0.0,0.031,0.48,0.07,0.47,2.4,1.0,85.5072,5.7971,0.0,0.0,8.6957,59.0,4.0,0.0,0.0,6.0,Interconnection studies in this area have identified adequate deliverability.
Alola,2203.0,El Casco 220/115 System,0.012,0.0,0.012,0.0,0.0,0.99,2.4,1.0,55.5556,0.0,0.0,0.0,44.4444,5.0,0.0,0.0,0.0,4.0,Deliverability in this area has not been determined by previous interconnection studies.
Alpha Beta,1113.0,Olinda 220/66 System,0.0,0.0,0.0,1.97,0.0,2.5,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Alpine P.t.,1276.0,Vista 220/115 System,0.09,0.02,0.109,0.89,0.12,1.39,2.4,1.0,71.9008,3.3058,0.0,0.0,24.7934,87.0,4.0,0.0,0.0,30.0,Interconnection studies in this area have identified adequate deliverability.
Alton,973.0,Johanna 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Alumax,272.0,Vista C 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Amargosa,,,,,,,,,25.0,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,
Apl,1263.0,Hinson 220/66 System,0.0,0.0,0.0,6.05,0.0,14.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Aqua Mansa,280.0,Vista A 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Arbors,1271.0,Etiwanda 220/66 System,0.0,0.0,0.0,26.0,0.0,50.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Armijo P.t.,2093.0,Kramer 220/115 System,1.281,5.133,6.414,3.49,1.84,3.59,12.0,1.0,50.8475,9.322,0.0,0.0,39.8305,120.0,22.0,0.0,0.0,94.0,Interconnection studies in this area have identified inadequate deliverability.
Arrington P.t.,1998.0,Del Amo 220/66 System,0.212,0.005,0.217,0.75,0.29,2.28,4.0,1.0,97.479,0.0,0.0,0.0,2.521,116.0,0.0,0.0,0.0,3.0,Interconnection studies in this area have identified adequate deliverability.
Ashley P.t.,2080.0,Goleta 220/66 System,0.261,0.008,0.27,0.73,0.37,1.23,4.0,1.0,64.0,4.0,0.0,0.0,32.0,16.0,1.0,0.0,0.0,8.0,Interconnection studies in this area have identified adequate deliverability.
Autobody,2183.0,Rio Hondo 220/66 System,0.006,0.0,0.006,1.0,0.01,0.99,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Avocado P.t.,1279.0,Santa Clara 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Ayersman P.t.,1280.0,Goleta 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Badwater P.t.,1284.0,Valley Electric 220/25,0.151,1.903,2.054,3.2,0.64,5.45,12.0,1.0,21.4286,11.9048,0.0,0.0,66.6667,9.0,5.0,0.0,0.0,28.0,Interconnection studies in this area have identified adequate deliverability.
Ballarat P.t.,,,,,,,,,12.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,
Bandage P.t.,2286.0,Devers 220/115 System,4.555,0.258,4.813,5.0,0.96,0.19,12.0,1.0,67.9121,3.5165,0.0,0.0,28.5714,309.0,16.0,0.0,0.0,130.0,Deliverability in this area has not been determined by previous interconnection studies.
Banducci,621.0,Windhub 220/66 System,11.382,0.422,11.804,12.2,0.97,44.2,12.0,3.0,76.0811,6.0135,0.0,0.0,17.9054,1126.0,89.0,0.0,0.0,265.0,Interconnection studies in this area have identified adequate deliverability.
Bard P.t.,1285.0,Santa Clara 220/66 System,0.426,0.076,0.502,1.76,0.29,1.94,4.0,1.0,89.8374,2.439,0.0,0.0,7.7236,221.0,6.0,0.0,0.0,19.0,Interconnection studies in this area have identified adequate deliverability.
Barre 'Ab',366.0,Barre 220/66 System,95.203,25.501,120.704,477.86,0.25,439.3,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Barre 'C',365.0,Barre 220/66 System,56.042,31.6,87.642,250.38,0.35,192.36,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Barwick P.t.,2070.0,Goleta 220/66 System,0.047,0.0,0.047,0.06,0.78,0.12,2.4,1.0,80.0,0.0,0.0,0.0,20.0,4.0,0.0,0.0,0.0,1.0,Interconnection studies in this area have identified adequate deliverability.
Bedford,518.0,La Cienega 220/66 System,0.009,0.007,0.016,0.0,0.0,24.76,4.0,3.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Interconnection studies in this area have identified adequate deliverability.
Bessemer P.t.,1297.0,Victor 220/115 System,0.004,0.0,0.004,0.07,0.06,0.75,12.0,1.0,22.2222,3.7037,0.0,0.0,74.0741,6.0,1.0,0.0,0.0,20.0,Interconnection studies in this area have identified adequate deliverability.
Beverly A,,,,,,,,,16.0,16.0,38.9855,31.1933,0.1715,0.049,29.6006,1591.0,1273.0,7.0,2.0,1208.0,
Beverly B,,,,,,,,,4.0,19.0,36.5225,28.5189,0.0,0.0,34.9586,397.0,310.0,0.0,0.0,380.0,
Big Creek 3 0,151.0,Big Creek 220/220 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
Big Creek 4 0,153.0,Big Creek 220/220 System,0.0,0.0,0.0,0.0,0.0,0.1,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
Big Creek 8 0,149.0,Big Creek 220/220 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
Big River,,,,,,,,,12.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,
Bigfoot P.t.,1289.0,Rector 220/66 System,0.0,0.0,0.0,0.12,0.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,23.0,Interconnection studies in this area have identified inadequate deliverability.
Bird Springs P.t.,1306.0,Vestal 220/66 System,0.0,0.0,0.0,0.01,0.0,0.1,2.4,1.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Interconnection studies in this area have identified inadequate deliverability.
Bishop Creek Plant 2,2198.0,Inyo Sce 220/115 System,0.087,0.0,0.087,0.55,0.16,0.91,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
Bishop Creek Plant 3,182.0,Inyo Sce 220/115 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
Bishop Creek Plant 4,183.0,Inyo Sce 220/115 System,0.087,0.0,0.087,0.63,0.14,0.54,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
