source,YEAR,MONTH,HOUR,SUBSTATION,MIN_LOAD_A,MAX_LOAD_A,MIN_LOAD,MAX_LOAD,MONTHLABEL,OBJECTID,longitude,latitude
bulk,2025,0,0,Aha P.T.,,,0.23,0.41,"JAN, 00",,,
bulk,2026,0,0,Albury P.T.,,,0.21,0.28,"JAN, 00",,,
bulk,2023,0,0,Allview P.T.,,,0.26,0.35,"JAN, 00",,,
bulk,2017,0,0,Alola,,,0.0,0.0,"JAN, 00",,,
bulk,2018,0,0,Alpine P.T.,,,0.49,0.6,"JAN, 00",,,
bulk,2023,0,0,Armijo P.T.,,,0.0,0.0,"JAN, 00",,,
bulk,2026,0,0,Arrington P.T.,,,0.24,0.36,"JAN, 00",,,
bulk,2025,0,0,Ashley P.T.,,,0.26,0.36,"JAN, 00",,,
bulk,2023,0,0,Badwater P.T.,,,0.0,0.0,"JAN, 00",,,
bulk,2023,0,0,Bandage P.T.,,,0.96,1.15,"JAN, 00",,,
bulk,2025,0,0,Banducci,,,4.16,5.95,"JAN, 00",,,
bulk,2026,0,0,Bard P.T.,,,0.9,1.16,"JAN, 00",,,
bulk,2018,0,0,Barwick P.T.,,,0.0,0.0,"JAN, 00",,,
bulk,2023,0,0,Bessemer P.T.,,,0.0,0.0,"JAN, 00",,,
bulk,2026,0,0,Bigfoot P.T.,,,0.0,0.0,"JAN, 00",,,
bulk,2017,0,0,Bishop Creek Plant 2,,,0.94,1.44,"JAN, 00",,,
bulk,2026,0,0,Bixby,,,2.23,2.75,"JAN, 00",,,
bulk,2023,0,0,Black Meadows,,,0.0,0.0,"JAN, 00",,,
bulk,2026,0,0,Blue Cut P.T.,,,0.81,1.06,"JAN, 00",,,
bulk,2025,0,0,Blue Ridge P.T.,,,0.0,0.0,"JAN, 00",,,
bulk,2023,0,0,Blythe (Walc),,,0.0,0.0,"JAN, 00",,,
bulk,2026,0,0,Blythe City,,,21.56,28.51,"JAN, 00",,,
bulk,2025,0,0,Brown P.T.,,,0.0,0.0,"JAN, 00",,,
bulk,2026,0,0,Cal City 'A',,,0.05,0.79,"JAN, 00",,,
