source,YEAR,MONTH,HOUR,SUBSTATION,MIN_LOAD_A,MAX_LOAD_A,MIN_LOAD,MAX_LOAD,MONTHLABEL,OBJECTID,longitude,latitude
scrape,2024,0,9,Modoc,570.78,786.47,,,"JAN, 09",142.0,-119.71411429816072,34.43004540243831
scrape,2024,3,22,Las Lomas,826.43,1038.6,16.318174,20.507551,"APR, 22",201.0,-117.7391784103374,33.71867641955388
scrape,2024,0,18,Madrid,276.8,385.5,1.82184,2.537281,"JAN, 18",465.0,-118.32409750883438,33.83533381342406
scrape,2023,0,2,Lacresta P.T.,39.0,56.1,,,"JAN, 02",530.0,-117.29600716876844,33.512996202449685
scrape,2023,0,2,Albury P.T.,28.2,44.4,,,"JAN, 02",683.0,-118.11677451985788,33.83891625263318
scrape,2024,6,10,Naples,502.2,718.7,3.305376,4.730335,"JUL, 10",1208.0,-118.13205146268136,33.768759982218015
scrape,2024,2,13,Moab P.T.,-6.3,12.6,,,"MAR, 13",1538.0,-117.70376703395036,34.15216273942732
scrape,2018,5,5,Gunsite P.T.,0.0,0.0,,,"JUN, 05",1831.0,-116.85622670508616,34.032046956248955
scrape,2022,5,12,Copy P.T.,-1.3,5.5,,,"JUN, 12",2284.0,,
scrape,2024,4,2,Moneta,480.3,580.0,3.161235,3.81744,"MAY, 02",2434.0,-118.30992656395875,33.88389261680484
scrape,2023,10,8,Parker Strip,24.2,55.9,0.477838,1.103767,"NOV, 08",2448.0,-114.19485474762315,34.228937448042785
scrape,2024,9,6,Dolores P.T.,25.1,34.8,,,"OCT, 06",2846.0,,
scrape,2017,9,18,Pahrump P.T.,0.0,0.0,,,"OCT, 18",2960.0,-115.86373004552873,35.978368346524945
scrape,2024,9,0,Car Wash P.T.,31.6,45.7,,,"OCT, 00",3010.0,-118.1260117439953,33.84791938792783
scrape,2017,0,18,Alola,0.0,0.0,0.0,0.0,"JAN, 18",3024.0,-116.88125278288295,33.96941961867055
scrape,2018,0,1,Alpine P.T.,109.43,132.57,,,"JAN, 01",3199.0,-117.23632790733168,34.238664178957094
scrape,2024,7,12,O'Neill,841.74,1994.96,,,"AUG, 12",3635.0,-117.60498583146834,33.64322429575617
