substation_name,substation_type,voltage_kv,existing_gen,queued_gen,total_gen,projected_load,der_penetration,longitude,latitude
BOULEVARD EAST,138/69/12.47 kV,12kV,3.817,7.24,11.057,7.06819,13,-116.26859395520212,32.658400194287246
GRANITE,69/12 kV,12kV,60.427,1.772,62.199000000000005,98.50777,50,-116.89606021269968,32.80452120677965
OCEAN RANCH,69/12 kV,12kV,34.744,1.5590000000000002,36.302,27.50963,0,-117.29898782435632,33.22561706650769
SAN JUAN CAPISTRANO,230/138/12kV,12kV,27.79,1.348,29.14,48.01869,31,-117.65620343526052,33.51109710702923
MIRA SORRENTO,69/12 kV,12kV,16.314,1.08,17.394000000000002,,28,-117.21384710946812,32.90614317976712
CHOLLAS WEST,69/12 kV,12kV,55.208000000000006,4.405,59.614,77.33265999999999,62,-117.04860433615758,32.7333877734591
WABASH CANYON,69/12 kV,12kV,10.756,0.6960000000000001,11.452,14.30938,36,-117.09755129532914,32.72991109316187
BASILONE,69/12 kV,12kV,3.853,0.0,3.853,,14,-117.58229473671128,33.38768143064357
SALT CREEK,69/12 kV,12kV,20.656,0.894,21.55,27.68782,35,-116.95544089896852,32.61813102263342
VINE,69/12 kV,12kV,15.519,2.776,18.294,56.82523,17,-117.18090754192951,32.739010077220925
ARTESIAN RANCH,230/69/12/4 kV,12kV,52.121,0.7050000000000001,52.826,41.51362,88,-117.15110528451538,33.0090573314948
KEARNY WEST,69/12 kV,12kV,35.576,6.011,41.588,82.4604,30,-117.12974040131913,32.82920357991212
WARNERS,69/12 kV,12kV,2.105,0.144,2.25,3.52262,26,-116.6741364752788,33.28849837496445
OLIVENHAIN,69/12 kV,12kV,8.472,0.232,8.704,7.829239999999999,28,-117.12129876052612,33.08058418373013
