AssetName,AssetType,DERForecasted,Month,LoadDay,Units,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23,hour 24,longitude,latitude
Artesian Ranch,Substation,,1,High Load,KW,14635.71,20376.69,19629.28,17285.03,15624.92,14253.82,13904.79,14577.83,14690.53,14041.83,13922.57,13714.13,14491.65,13930.98,15067.56,14636.52,15828.11,16837.19,18523.43,18584.45,18082.36,17727.08,17331.17,15865.18,-117.15110528451538,33.0090573314948
Boulevard East,Substation,,1,High Load,KW,6417.5,6306.03,6730.96,6713.84,6727.13,6283.44,6422.31,6547.52,6485.41,6288.66,6592.64,6405.2,6540.92,6441.28,6505.94,6704.63,6399.17,6621.31,6786.43,6860.45,6854.28,6789.81,6662.93,6526.34,-116.26859395520212,32.658400194287246
Chollas West,Substation,,1,High Load,KW,32417.24,31996.58,28403.94,28882.49,29587.06,29749.14,32823.99,36525.55,36596.87,32929.6,32458.4,32291.03,31912.56,33117.84,31722.91,33062.53,33927.13,37670.63,40740.05,41163.47,40606.48,39620.81,37390.81,35529.31,-117.04860433615758,32.7333877734591
Granite,Substation,,1,High Load,KW,33018.01,32193.4,30259.12,28635.56,27859.9,29000.66,31572.75,36300.67,36676.38,33159.85,32818.49,31726.55,31122.19,30859.93,30910.98,32189.76,33088.41,36104.42,40728.04,41807.96,41440.48,40371.34,38841.73,35850.66,-116.89606021269968,32.80452120677965
Kearny West,Substation,,1,High Load,KW,55265.69,54390.63,54141.05,55730.38,57546.49,57561.29,57405.88,62283.2,65016.52,66156.71,65124.96,64575.09,64340.71,64081.4,64259.49,64667.33,63696.86,62684.88,58807.81,57227.63,56586.13,56132.03,55532.88,56479.06,-117.12974040131913,32.82920357991212
Ocean Ranch,Substation,,1,High Load,KW,14954.25,14819.17,14280.88,13368.82,13408.55,14936.16,16975.91,18670.0,19302.79,19375.73,19179.48,18704.29,18575.54,19768.85,19024.61,18798.74,18729.08,19438.33,20275.96,20114.67,19552.14,19245.52,18296.13,17252.65,-117.29898782435632,33.22561706650769
Olivenhain,Substation,,1,High Load,KW,2673.36,2787.26,2674.25,2506.32,2410.03,2445.86,2669.04,3079.8,3101.51,2826.72,2614.42,2613.4,2501.96,2210.72,2434.95,2445.57,2483.65,2725.54,3168.7,3343.48,3273.44,3139.24,3032.44,2858.96,-117.12129876052612,33.08058418373013
Salt Creek,Substation,,1,High Load,KW,9947.78,10362.16,10135.5,9465.91,8787.89,8517.82,8856.12,9573.7,9644.16,8755.06,8575.95,8664.11,8501.91,8438.94,8013.18,8473.86,9087.08,10513.22,11767.11,11926.22,11952.67,11866.05,11129.6,10493.15,-116.95544089896852,32.61813102263342
San Juan Capistrano,Substation,,1,High Load,KW,17149.08,17806.58,17248.37,16491.87,16048.21,16315.36,18307.43,20771.51,21583.18,20452.01,18906.24,17726.71,18286.61,17535.71,16463.92,17194.95,17321.43,19940.93,23127.61,23873.35,23277.9,22133.71,20875.99,19267.95,-117.65620343526052,33.51109710702923
Vine,Substation,,1,High Load,KW,35393.99,34364.71,33347.77,32100.54,31915.5,33943.88,35915.8,39309.54,40658.27,40989.14,40124.16,39745.0,39890.94,39718.06,38658.63,38533.28,39069.63,41527.15,43107.17,42696.76,41618.61,40958.11,39914.49,37471.39,-117.18090754192951,32.739010077220925
Wabash Canyon,Substation,,1,High Load,KW,7023.71,6639.56,6292.99,5909.99,5797.83,5923.48,6459.99,7231.12,7363.0,6602.74,6165.15,6182.11,6195.3,6284.59,6010.75,6163.6,6551.13,7384.77,8341.9,8664.13,8591.97,8493.16,8290.77,7697.19,-117.09755129532914,32.72991109316187
Warners,Substation,,1,High Load,KW,2091.71,2012.04,1973.42,1983.68,1993.78,2017.88,2062.87,2126.9,2222.26,2212.2,2084.43,1923.36,1931.88,1894.73,2030.48,2105.19,2283.99,2437.36,2499.99,2448.83,2417.1,2370.79,2335.19,2228.71,-116.6741364752788,33.28849837496445
