util_name,util_norm,util_lat,util_lon,basin_name,basin_norm,basin_lat,basin_lon,dist_km,name_match
SHAFTER,shafter,35.513906883314405,-119.31779636005952,Shafter,shafter,35.513904843903426,-119.31780144050684,0.0005127081813872944,True
OCEANO,oceano,35.10171002130732,-120.58099919103158,Oceano,oceano,35.10171139194951,-120.58099108951156,0.000752606480326521,True
HERDLYN,herdlyn,37.81698475446724,-121.58716994811228,Byron Bethany,byron bethany,37.81698935517064,-121.587145694383,0.0021910319615522653,False
WILLIAMS,williams,39.15751081265503,-122.14773879689832,Williams,williams,39.15748765308179,-122.14771205348706,0.003456708411185756,True
SONOMA,sonoma,38.27657572900672,-122.46207109995244,Sonoma,sonoma,38.2765392653175,-122.4620912899526,0.004421051160327305,True
HURON,huron,36.18607144784237,-120.10386221168731,Huron,huron,36.18606391411192,-120.10391112178026,0.004468700293272018,True
NORD,nord,39.76022573614664,-121.90699546602146,Nord,nord,39.760240802984654,-121.90704864173188,0.004844311097317209,True
SUNOL,sunol,37.58689135859106,-121.86962721571362,Sunol,sunol,37.58690265828723,-121.8696840010358,0.0051589343499602435,True
JARVIS,jarvis,37.59533398503197,-122.01754403270029,Air Liquide,air liquide,37.59531055787571,-122.01749144961028,0.005314945290633489,False
CHARCA,charca,35.608124985119254,-119.32533697812512,Charca,charca,35.60807500748761,-119.32531387859125,0.005936669031275757,True
HAMMER,hammer,38.02161846146168,-121.3204489914979,Hammer,hammer,38.02160701470673,-121.3203790103872,0.006260878990364264,True
CLAY,clay,38.34223678954548,-120.93502517926262,Clay,clay,38.34219061191322,-120.93498037585024,0.006452378930648119,True
WYANDOTTE,wyandotte,39.49164315311975,-121.54096296885037,Wyandotte,wyandotte,39.49170025621256,-121.54094668549344,0.006501501066708476,True
COALINGA NO 1,coalinga no 1,36.13620074047216,-120.34415486251105,Coalinga 1,coalinga 1,36.136203290897456,-120.34422914244838,0.006676584100216986,False
ARLINGTON,arlington,37.88897961680794,-122.27297827230667,Arlington,arlington,37.88892427650707,-122.2729390429972,0.007051075766126436,True
SNEATH LANE,sneath lane,37.62198851913939,-122.44686234566812,Sneath Lane,sneath lane,37.62203201200436,-122.44680297920873,0.0071222515843479784,True
ORLAND B,orland b,39.72519125045083,-122.17865785695024,Orland B,orland b,39.72519600027397,-122.17874101256352,0.007131226770058013,True
MONROE,monroe,38.45325388171991,-122.74428924814126,Monroe,monroe,38.453223885544176,-122.74421648741736,0.007160211206159077,True
HAMILTON BRANCH,hamilton branch,40.26931804937077,-121.08804585596388,Hamilton Branch,hamilton branch,40.26934856638285,-121.08812389778008,0.007440209338069227,True
RIO DELL,rio dell,40.495345252516735,-124.09933588858924,Rio Dell,rio dell,40.49538981817036,-124.09926805925724,0.007579822449315155,True
ALTO,alto,37.898563217546894,-122.5246426549278,Alto,alto,37.898627509040566,-122.5246062288268,0.007830841026371221,True
HOLLISTER,hollister,36.86291061228925,-121.4059655595244,Hollister,hollister,36.86284609293578,-121.40601088934692,0.008229969151431591,True
DIXON,dixon,38.44526066389723,-121.82592500657064,Dixon,dixon,38.44525036336403,-121.82601980252832,0.008334679392052844,True
CABRILLO,cabrillo,34.643231832675774,-120.4373602032375,Cabrillo,cabrillo,34.6432697885287,-120.43728019313264,0.008449033541939783,True
BUENA VISTA,buena vista,36.65393162469321,-121.62925836204246,Buena Vista,buena vista,36.65389082139208,-121.62933839543028,0.008459210970351997,True
ATWATER,atwater,37.3600903184248,-120.61458852452108,Atwater,atwater,37.36010093561656,-120.61468476352314,0.008587324528561051,True
SALMON CREEK,salmon creek,38.343512395969725,-123.04470594130596,Salmon Creek,salmon creek,38.34344600928007,-123.04475798077164,0.008665392185802128,True
RIO BRAVO,rio bravo,35.44206083008288,-119.26062694774596,Rio Bravo,rio bravo,35.44202960741,-119.2607153968728,0.00873249024706099,True
MOUNTAIN VIEW,mountain view,37.38264012657535,-122.06962750222034,Mt. View,mt view,37.38260833645474,-122.06971944286131,0.008859228121171132,False
VASONA,vasona,37.25372623401983,-121.96618795298204,Vasona,vasona,37.25376295961767,-121.96627723605908,0.008894998162577493,True
LERDO,lerdo,35.500438317703164,-119.15186971490876,Lerdo,lerdo,35.500366029903,-119.15182728465126,0.00890860971172469,True
ESQUON,esquon,39.60772314757492,-121.76822648360046,Esquon,esquon,39.60773551464629,-121.76833358384148,0.009277502799492602,True
OREGON TRAIL,oregon trail,40.61899130155303,-122.3221442755599,Oregon Trail,oregon trail,40.61904558800701,-122.32206024241452,0.009313627184958463,True
CATLETT,catlett,38.80879690086217,-121.5164995196137,Catlett,catlett,38.80884800692517,-121.51641401759566,0.009337030286832318,True
OLEMA,olema,38.042251130418286,-122.7863974329975,Olema,olema,38.04217884496899,-122.786452187854,0.009359378051485975,True
WALNUT CREEK,walnut creek,37.904820730988014,-122.06085617174196,Walnut Creek,walnut creek,37.904802047538944,-122.06096087634268,0.009418390438655241,True
MIWUK,miwuk,38.05297067526115,-120.2170845064534,Mi-Wuk,mi wuk,38.052894384768784,-120.2171349558828,0.009564310486326968,False
VIRGINIA,virginia,37.924728371508415,-122.35950190637028,Virginia,virginia,37.92472410400429,-122.35939138417984,0.009705802351958647,True
JESSUP,jessup,40.46170457696071,-122.32775472405966,Jessup,jessup,40.46179282157093,-122.32775872178756,0.009818180030569041,True
SANTA MARIA,santa maria,34.95030148149897,-120.44405177080088,Santa Maria,santa maria,34.950262762178305,-120.44414964714996,0.00990516731818487,True
DEL MAR,del mar,38.798905518358,-121.22132249121611,Del Mar,del mar,38.79881551672975,-121.2213126039165,0.010044337159947255,True
DAIRYVILLE,dairyville,40.1280600543476,-122.09824574117305,Dairyville,dairyville,40.12802358226514,-122.09835630796664,0.01023792604224878,True
SMARTVILLE,smartville,39.20859431679137,-121.30260526619712,Smartsville Ss,smartsville ss,39.20853388787,-121.30269852011072,0.01047409203871174,False
HOPLAND,hopland,38.97287952085421,-123.08117071435976,Hopland,hopland,38.97279313501813,-123.0811217825633,0.010495815634538308,True
PURISIMA,purisima,34.7008255827051,-120.43565969291836,Purisima,purisima,34.70085389912369,-120.43554815305627,0.010671744478335347,True
BARRY,barry,39.069242120060025,-121.68996821514853,Barry,barry,39.06921638560733,-121.6898478161391,0.01078076063463036,True
GABILAN,gabilan,36.73135977881113,-121.61341084063255,Gabilan,gabilan,36.73130337624566,-121.61331164213672,0.01083902346885148,True
CALPELLA,calpella,39.19727795800626,-123.1925392202005,Calpella,calpella,39.19724965871583,-123.19241807516715,0.010903408289048205,True
STOREY,storey,36.98320145592562,-120.03348454940144,Storey,storey,36.983142164277794,-120.0335837764216,0.011006749191364294,True
RICHMOND R,richmond r,37.92625133438892,-122.36966637516512,Richmond R,richmond r,37.92618059542927,-122.36957712050716,0.011097660868487569,True
JAMESON,jameson,38.20543608324877,-122.14796860832556,Jameson,jameson,38.20550643382101,-122.1478779805956,0.011131045265307853,True
LUCERNE,lucerne,39.11048704064002,-122.81284365571706,Lucerne,lucerne,39.11038685603239,-122.81283817023412,0.011150069369527685,True
RED BLUFF,red bluff,40.1824640348198,-122.244707344526,Red Bluff,red bluff,40.18238661661079,-122.24461774556656,0.011491015881702944,True
SOLANO,solano,37.89093964397114,-122.29229298057712,Solano,solano,37.89085880175824,-122.29220973770788,0.011583038113165906,True
SAN JOSE A,san jose a,37.328168501922605,-121.90253619243413,San Jose Station A,san jose station a,37.328165308040944,-121.90240499218696,0.01160609240727835,False
TEMPLETON,templeton,35.55507511442895,-120.68041422031772,Templeton,templeton,35.55501644554795,-120.68030663520751,0.011716669788738747,True
BERKELEY F,berkeley f,37.87234225189556,-122.27809421905329,Berkeley F,berkeley f,37.87242956835905,-122.27816911147052,0.011725224952401312,True
GOOSE LAKE,goose lake,35.60174548016343,-119.57986582808483,Goose Lake,goose lake,35.60163890356536,-119.57988056253367,0.011925416000650103,True
MANCHESTER,manchester,36.78815334896068,-119.78793761047945,Manchester,manchester,36.78805531433461,-119.78787886781062,0.012091119591273833,True
FAIRHAVEN,fairhaven,40.80053988251958,-124.1961850487832,Fairhaven,fairhaven,40.80046703945119,-124.19629383745486,0.012225345805483479,True
MARYSVILLE,marysville,39.14000454607997,-121.5836129617673,Marysville,marysville,39.14002976308495,-121.5834742691922,0.012285587738747364,True
DESCHUTES,deschutes,40.55543101923755,-122.23990905392132,Deschutes,deschutes,40.55535283082838,-122.23980477568264,0.012377423122530382,True
KEARNEY,kearney,36.706696128628494,-119.88009059611775,Kearney (Old),kearney old,36.70679399597088,-119.880022999056,0.012439372743635302,False
SOBRANTE,sobrante,37.90535027631521,-122.20813319872327,Sobrante,sobrante,37.905458048175525,-122.20809506910524,0.012441861194275736,True
EL CAPITAN,el capitan,37.33595281998132,-120.50540396991832,El Capitan,el capitan,37.3358510420461,-120.5054697961686,0.0127258780460005,True
VACAVILLE,vacaville,38.35652261234486,-121.98035345499687,Vacaville,vacaville,38.3565241316156,-121.98050101939384,0.012868004454244342,True
NEWARK 21KV,newark 21kv,37.50289932556285,-121.98163324660962,Newark Distribution,newark distribution,37.50280390429028,-121.9817169420632,0.01292630930274647,False
GOLDTREE,goldtree,35.32026204712884,-120.69304755782936,Goldtree,goldtree,35.32017501326539,-120.69314451285074,0.013078104894456202,True
CARQUINEZ,carquinez,38.09076019525074,-122.24869737229972,Carquinez,carquinez,38.09087251077395,-122.24865135326652,0.013122207177897487,True
OLETA,oleta,38.4807522569046,-120.84479287419188,Oleta,oleta,38.48076425490602,-120.84494363383558,0.013190559053450776,True
BIG RIVER,big river,39.31134527209194,-123.78666920979292,Big River,big river,39.31141158284998,-123.78654080553652,0.013281714380361713,True
EAST MARYSVILLE,east marysville,39.16342235495069,-121.56120836057298,East Marysville,east marysville,39.163437922321634,-121.56105561499616,0.01328220014857227,True
MC FARLAND,mc farland,35.68826942087962,-119.276810556332,Mc Farland,mc farland,35.6883840601955,-119.2768598083155,0.01350108774822572,True
DOLAN ROAD,dolan road,36.80013119439448,-121.76897719428231,Dolan Road,dolan road,36.80022812267143,-121.76907061405304,0.013614330174668794,True
MIRABEL,mirabel,38.48962828607511,-122.89415788279445,Mirabel,mirabel,38.48950733334947,-122.89418272045346,0.013621951782591282,True
WESTPARK,westpark,35.37405023329696,-119.04033986202364,West Park,west park,35.37392780753941,-119.04031665945443,0.0137747136468206,False
BROOKSIDE,brookside,37.96197173061187,-122.34740011271514,Brookside,brookside,37.96209565707229,-122.3474106211808,0.013810754555220319,True
COLUMBUS,columbus,35.39851810200948,-118.93981268255826,Columbus,columbus,35.398405555376186,-118.93988055546694,0.013944982099853244,True
RINCON,rincon,38.49018866904616,-122.66602642884762,Rincon,rincon,38.49006768021555,-122.66607232599657,0.014033865848841778,True
WILLITS,willits,39.40550748378168,-123.32695422926648,Willits Station A,willits station a,39.40558965953939,-123.32707957151013,0.014123278344267737,False
BRIDGEVILLE,bridgeville,40.47973690196123,-123.78042714948089,Bridgeville,bridgeville,40.47964597017619,-123.78030981845563,0.014167419076460307,True
ROCKLIN,rocklin,38.7878362079499,-121.2316984669296,Rocklin,rocklin,38.78796354713167,-121.2316919770298,0.014170639524531172,True
OLD RIVER,old river,35.20832874558806,-119.10078114322462,Old River,old river,35.20843056321126,-119.10068620407476,0.014232991538162224,True
NOTRE DAME,notre dame,39.73006455906166,-121.79624495707743,Notre Dame,notre dame,39.73015382806001,-121.79636502454132,0.0142813181983055,True
SEMITROPIC,semitropic,35.600617453739545,-119.4375052688722,Semitropic,semitropic,35.600745710428626,-119.43752405277478,0.014362255054913781,True
MIRA VISTA,mira vista,37.938513118125606,-122.3247799791383,Mira Vista,mira vista,37.93855075112244,-122.32462290119236,0.014396710666287768,True
LINCOLN,lincoln,38.900472292516405,-121.29424750207652,Lincoln,lincoln,38.90052330344682,-121.29409397354496,0.014445924021016614,True
STAFFORD,stafford,38.12001877968342,-122.61391256045738,Stafford,stafford,38.11991638969132,-122.61401508372496,0.01449347196158312,True
PARLIER,parlier,36.60756183371276,-119.52147471307352,Parlier,parlier,36.60755351445216,-119.52131008495267,0.014723874001472126,True
DIAMOND SPRINGS,diamond springs,38.69335810297077,-120.82605011972905,Diamond Springs,diamond springs,38.69341228610576,-120.82589480729813,0.014764461259724328,True
KERMAN,kerman,36.69166461699721,-120.06003825090616,Kerman,kerman,36.691535007009925,-120.06008299787214,0.014954039784097676,True
PANAMA,panama,35.29554130507497,-119.02181642397912,Panama,panama,35.295556072797815,-119.0216521139904,0.01500215126514396,True
SMYRNA,smyrna,35.717948469880604,-119.45528357473574,Smyrna,smyrna,35.71782150992626,-119.4553416393832,0.015059122911245204,True
CHICO A,chico a,39.71896295197578,-121.82083893681968,Chico A,chico a,39.71884015875547,-121.82092062359636,0.015337688492975574,True
JANES CREEK,janes creek,40.90518967567011,-124.07217770855576,Janes Creek,janes creek,40.90513782437269,-124.07234698514996,0.015350043256226048,True
HICKS,hicks,37.233642133115225,-121.9012169860993,Hicks,hicks,37.233713452707946,-121.90106831081536,0.015366754988696055,True
LOS GATOS,los gatos,37.22645888521239,-121.97717996165842,Los Gatos,los gatos,37.22643981154891,-121.97735216024137,0.015393108287218122,True
BARTON,barton,36.764127437715366,-119.73480480396712,Barton,barton,36.76424275634893,-119.73491080578825,0.015924404692887077,True
OAKLAND L,oakland l,37.810340376987845,-122.27159254723468,Oakland L,oakland l,37.81031399495175,-122.27141300504756,0.01604307784764403,True
CRESSEY,cressey,37.42859913669553,-120.6384473846346,Cressey,cressey,37.4284695169969,-120.63852774445644,0.016065101305780802,True
SANTA ROSA A,santa rosa a,38.43690591996298,-122.71335000873452,Santa Rosa A,santa rosa a,38.43677550701216,-122.7134328571638,0.01619742411972682,True
SOLEDAD,soledad,36.42977626821583,-121.3324241495369,Soledad,soledad,36.4296388113508,-121.33249626729054,0.01659052260598894,True
BASALT,basalt,38.26311376964152,-122.26904909242027,Basalt,basalt,38.26316201235704,-122.2692320112342,0.016847041861654102,True
WOODSIDE,woodside,37.437220837862704,-122.24226770027914,Woodside,woodside,37.43708060614827,-122.24219443836604,0.016881445783420997,True
ALMADEN,almaden,37.26010442296057,-121.8898329799593,Almaden,almaden,37.25996121985501,-121.8898983887587,0.016942993757722586,True
WILLOW CREEK,willow creek,40.94802778714024,-123.64012366855172,Willow Creek,willow creek,40.94787589943116,-123.64010616074664,0.01695303078768335,True
WEEDPATCH,weedpatch,35.223900483374415,-118.88000875571748,Weedpatch,weedpatch,35.22374722376815,-118.8800083424542,0.017041732020127143,True
SERRAMONTE,serramonte,37.65081882661072,-122.45407076888073,Serramonte,serramonte,37.65079991874742,-122.4542630438474,0.01705764474260164,True
POSO MOUNTAIN,poso mountain,35.559202917522015,-118.95782903329666,Poso Mt.,poso mt,35.55923489011593,-118.95764321438143,0.017180801362342422,False
WOODWARD,woodward,36.896288880187065,-119.75080744529772,Woodward,woodward,36.8962770171285,-119.7510009798942,0.017260583556137427,True
HONCUT,honcut,39.3207327968909,-121.59528383517107,Honcut,honcut,39.32058027310813,-121.59532768391398,0.017374256204921713,True
CURTIS,curtis,37.97431175393948,-120.31978089327473,Curtis,curtis,37.9744325633102,-120.31990681792604,0.017386411884049668,True
CANTUA,cantua,36.429254389544624,-120.3414752851558,Cantua,cantua,36.42931356064096,-120.34165575802164,0.01743535540469804,True
HIGHLANDS,highlands,38.93697153956946,-122.60907443594864,Highlands,highlands,38.93706128927308,-122.60890848746357,0.01748162948326798,True
SAN BRUNO,san bruno,37.62096289057508,-122.42531311330475,San Bruno,san bruno,37.62095692901936,-122.42511447118066,0.017507713622999667,True
POINT PINOLE,point pinole,37.995974173346816,-122.34791448274218,Point Pinole,point pinole,37.9959215829392,-122.34810313924945,0.017535333048693907,True
JACINTO,jacinto,39.58288667011789,-122.01062919339816,Jacinto,jacinto,39.58278563658707,-122.01047191610203,0.017546500470280398,True
PEASE,pease,39.17017321175534,-121.66111558856706,Pease,pease,39.170232484388265,-121.66130954428624,0.017972339032098654,True
STELLING,stelling,37.33589708085293,-122.04301499076,Stelling,stelling,37.335995015082055,-122.04317701163414,0.01799370992726765,True
PIKE CITY,pike city,39.43821522456168,-120.9959439071993,Pike City,pike city,39.43810610512932,-120.99609874674582,0.018001026181700432,True
CASSIDY,cassidy,36.923692299083626,-119.81261089872176,Cassidy,cassidy,36.9235350157937,-119.8126589810418,0.01800381984683642,True
SAN MIGUEL,san miguel,35.75222542522153,-120.68382054645429,San Miguel,san miguel,35.75233608078926,-120.683966845535,0.018046926239557226,True
COARSEGOLD,coarsegold,37.22741691128599,-119.690552055026,Coarsegold,coarsegold,37.22747610662805,-119.69074521540252,0.01832496488707127,True
CRESTA PH,cresta ph,39.82649357391756,-121.4096899580418,Cresta,cresta,39.82643415142927,-121.4094876870716,0.018493844326415942,False
PINEDALE,pinedale,36.85007067841538,-119.8034557830923,Pinedale,pinedale,36.84992908278196,-119.80334504901184,0.018573585439421458,True
STILLWATER,stillwater,40.67760281495655,-122.34983936540058,Stillwater,stillwater,40.67776349188238,-122.34977518071872,0.018668338721620936,True
STROUD,stroud,36.53114916455339,-120.10431099777811,Stroud,stroud,36.53108764192172,-120.10450647672408,0.018757779879194834,True
GRASS VALLEY,grass valley,39.20922183386184,-121.06131819310708,Grass Valley,grass valley,39.20905548676379,-121.06136091053834,0.018859565211571925,True
SANTA NELLA,santa nella,37.08567509415812,-121.01318384348406,Santa Nella,santa nella,37.085841857403146,-121.01322547094186,0.018907299259874638,True
MERCED FALLS,merced falls,37.52304085412926,-120.33024521668725,Merced Falls,merced falls,37.5231917383836,-120.33034452620844,0.01892591577569433,True
HAMILTON A,hamilton a,39.74626480299121,-122.01146489920175,Hamilton A,hamilton a,39.74641854176892,-122.01136933547082,0.018947081942378395,True
FORT ORD,fort ord,36.64329014858041,-121.7923827803921,Fort Ord,fort ord,36.64341665332674,-121.79252517166388,0.018954249953099002,True
OROSI,orosi,36.54494016402164,-119.2512498016316,Orosi,orosi,36.54483612446745,-119.25141944291128,0.019065538347269883,True
OAKLAND X,oakland x,37.80525464784044,-122.23148010243337,Oakland X,oakland x,37.805289865997466,-122.23126768762208,0.01906815441708316,True
FROGTOWN,frogtown,38.05723780621027,-120.5341629491827,Frogtown,frogtown,38.05715279971415,-120.53397105129636,0.01927787479043299,True
MOSHER,mosher,38.02182537980966,-121.28076435779292,Mosher,mosher,38.021869998315466,-121.28097901653813,0.019446919349271032,True
GIRVAN,girvan,40.51345782429336,-122.37892882123532,Girvan,girvan,40.51332737038144,-122.37877447664933,0.0195105621328562,True
SWIFT,swift,37.322704670725145,-121.79709909967092,Swift,swift,37.322568019299865,-121.79695998817743,0.01955000537487057,True
ELK HILLS,elk hills,35.226241139395945,-119.37663775129045,Elk Hills,elk hills,35.22606664016438,-119.37660312489945,0.019656690739619762,True
FAIRVIEW,fairview,38.01590927413491,-122.11629244561098,Fairview,fairview,38.01608705182072,-122.11628728147318,0.019773152697253552,True
WILSON,wilson,37.2934446066299,-120.40695900507797,Wilson,wilson,37.29339508805083,-120.40717388158028,0.019789502677858898,True
CHANNEL,channel,37.95540129864133,-121.33245614324008,Channel,channel,37.95525900058912,-121.33259399642591,0.019910891717846387,True
MC ARTHUR,mc arthur,41.0514109866347,-121.40819070502693,Mc Arthur,mc arthur,41.05123900244495,-121.40826095781478,0.020010561639653077,True
GUSTINE,gustine,37.253059038898215,-121.01309879419414,Gustine,gustine,37.25323614332989,-121.01304169556924,0.020331214979939838,True
PASO ROBLES,paso robles,35.615659121898986,-120.67926595289852,Paso Robles,paso robles,35.615638873572074,-120.67949166031464,0.020526675683421525,True
UKIAH,ukiah,39.14297181783122,-123.19174687279155,Ukiah,ukiah,39.143149566432285,-123.19181491813512,0.020617491032238262,True
MARIPOSA,mariposa,37.504521775185246,-120.00756996777992,Mariposa,mariposa,37.50444462762693,-120.00778324285658,0.02067681305020566,True
LAWRENCE,lawrence,37.39719513054225,-122.0100946003828,Lawrence,lawrence,37.39720613760379,-122.01032950183628,0.020786829517664297,True
AUBURN,auburn,38.90362002905324,-121.07000550995504,Auburn,auburn,38.90349314437346,-121.06982652969592,0.020950589949291644,True
EMERALD LAKE,emerald lake,37.46149299207372,-122.2772794279851,Emerald Lake,emerald lake,37.46167499319351,-122.27734441979476,0.02103487327026418,True
KINGSBURG,kingsburg,36.4886216034969,-119.5824905378176,Kingsburg,kingsburg,36.48843212335158,-119.58249021621556,0.021069250475849993,True
HIGGINS,higgins,39.04402916015481,-121.0909371400403,Higgins,higgins,39.04404057010053,-121.09069254692402,0.021161344636525137,True
WASCO,wasco,35.6019019395657,-119.32598797488932,Wasco,wasco,35.6018111032607,-119.3261944083058,0.02122161562162529,True
BULLARD,bullard,36.82406405231952,-119.76842651281234,Bullard,bullard,36.82387712081925,-119.76847588716016,0.021245352698682128,True
OLIVEHURST,olivehurst,39.09191021084869,-121.54283685629107,Olivehurst,olivehurst,39.09206971077931,-121.54297320499404,0.02128421537602577,True
COPUS,copus,35.09340403050877,-119.27870217911948,Copus,copus,35.09339007164383,-119.27893651119976,0.021376302345125848,True
WEST FRESNO,west fresno,36.71798260214739,-119.81904246829367,West Fresno,west fresno,36.71817366980103,-119.81900447551196,0.02151394146148236,True
GREEN VALLEY,green valley,36.952075206180815,-121.7601230620376,Green Valley,green valley,36.95194003570028,-121.76029691983965,0.021554166230584138,True
FRENCH CAMP,french camp,37.881897863897066,-121.29042050604268,French Camp,french camp,37.88208898737167,-121.29036398565094,0.02182319262731444,True
GREENBRAE,greenbrae,37.93806581399283,-122.51415076392202,Greenbrae,greenbrae,37.93787270382002,-122.51419760633036,0.021862280707840142,True
LIVINGSTON,livingston,37.36355711461608,-120.76057836344424,Livingston,livingston,37.36342701655074,-120.76039099415776,0.02198824083728083,True
ROUGH AND READY ISLA,rough and ready isla,37.94947516937854,-121.3463583310698,Rough & Ready,rough ready,37.94966800711843,-121.34642298218624,0.022179258677159256,False
CORONA,corona,38.26512802531959,-122.6571608149265,Corona,corona,38.26501270479249,-122.65736853423064,0.022210532426703237,True
LAS GALLINAS A,las gallinas a,38.02256741456931,-122.53813147487423,Las Gallinas,las gallinas,38.02243332549303,-122.53794071204062,0.022394963678471734,False
WILLOWS A,willows a,39.53184406918284,-122.18627003440444,Willows A,willows a,39.5316759967068,-122.1861239374362,0.02250021809333026,True
TUDOR,tudor,38.9816906487069,-121.63537871499491,Tudor,tudor,38.98167904921362,-121.63511741419704,0.02262286877936417,True
STUART,stuart,37.857984085569285,-122.26844071173984,Stuart,stuart,37.85804465342326,-122.26868745271749,0.022684733796561968,True
PLEASANT GROVE,pleasant grove,38.82203193935343,-121.30628841171048,Pleasant Grove,pleasant grove,38.822090412493125,-121.30654082172713,0.022812862595571363,True
SILVERADO,silverado,38.49997654207099,-122.45894388782744,Silverado,silverado,38.49981793855024,-122.45911067581191,0.022840507515775484,True
SAN JOAQUIN #2,san joaquin 2,37.20342953647724,-119.49674358337344,San Joaquin 2,san joaquin 2,37.20359878008065,-119.49689024306964,0.022866383569858352,True
BUTTE,butte,39.712000513701405,-121.81334760711448,Butte,butte,39.7122064481817,-121.81335707689334,0.022913192011708147,True
BELL,bell,38.946685494069264,-121.0914507213159,Bell,bell,38.94679967505984,-121.0916715839996,0.022934962061884646,True
EL DORADO PH,el dorado ph,38.79358310217803,-120.61933508570162,Camino,camino,38.79337762420475,-120.61931096873364,0.02294351082599439,False
EEL RIVER,eel river,40.60254042515516,-124.20988251695042,Eel River,eel river,40.60262281321588,-124.21013282987988,0.0230326722238889,True
ORO FINO,oro fino,39.87163789301229,-121.611036786173,Oro Fino,oro fino,39.87156253113776,-121.61078506142388,0.02305881292719359,True
ZACA,zaca,34.69665857732155,-120.15172324390338,Zaca,zaca,34.6967037474649,-120.15147681827511,0.023081807785853465,True
RIPON,ripon,37.75576421896199,-121.14626329694828,Ripon,ripon,37.75580975020523,-121.14652034365436,0.023158146872614443,True
KIRKER,kirker,38.02096833726849,-121.90608941215515,Kirker,kirker,38.02078899146564,-121.90595499339868,0.02315907644834059,True
BRUNSWICK,brunswick,39.231239532701935,-121.03491018822432,Brunswick,brunswick,39.23105001931794,-121.03502608178792,0.023317605243928296,True
WHEATLAND,wheatland,39.013259823908015,-121.41884454220936,Wheatland,wheatland,39.01314723169966,-121.418616320747,0.023356844713503015,True
