name,owner_raw,owner_std,type,hifld_id,max_voltage_kv,latitude,longitude,county,city,zip_code,source,path
Agua Mansa,SCE,sce,SUBSTATION,305739.0,,34.04179760028816,-117.36086002346742,San Bernardino County,Colton,92324,CEC,
Air Products,SCE,sce,SUBSTATION,307559.0,66.0,33.81251185943073,-118.23206433733432,Los Angeles County,Carson,90810,CEC,
Alberhill,SCE,sce,,,,33.734529054067345,-117.41252187323964,Riverside County,Unincorporated,92530,CEC,
Allen,SCE,sce,,,,34.17143937543989,-118.11180821328028,Los Angeles County,Unincorporated,91104,CEC,
Ammonia,SCE,sce,SUBSTATION,307200.0,66.0,33.922502861317284,-117.84725989132512,Orange County,Unincorporated,92823,CEC,
Arcogen,SCE,sce,SUBSTATION,306365.0,230.0,33.81749482288862,-118.24347724225488,Los Angeles County,Carson,90745,CEC,
Artesia,SCE,sce,SUBSTATION,308249.0,,33.86007924635705,-118.08430857536987,Los Angeles County,Artesia,90701,CEC,
Bartolo,SCE,sce,SUBSTATION,304601.0,66.0,34.001903592765444,-118.0782252719168,Los Angeles County,Pico Rivera,90660,CEC,
Beejay,SCE,sce,SUBSTATION,301340.0,66.0,34.008105743428494,-118.2275294553202,Los Angeles County,Vernon,90058,CEC,
Big Creek 2A,SCE,sce,SUBSTATION,304164.0,,37.200106942589606,-119.3068683809501,Fresno County,Unincorporated,93664,CEC,H6
Big Pine,SCE,sce,SUBSTATION,300560.0,,37.14207156125533,-118.324160611502,Inyo County,Unincorporated,93526,CEC,
Bishop Creek 3,SCE,sce,SUBSTATION,306363.0,,37.302252296682376,-118.5317567459243,Inyo County,Unincorporated,93514,CEC,
Bishop Creek 5,SCE,sce,,,,37.33466081466088,-118.47958004383035,Inyo County,Unincorporated,93514,CEC,
Bishop Creek 6,SCE,sce,SUBSTATION,302271.0,,37.35009541098678,-118.46302188551554,Inyo County,Unincorporated,93514,CEC,52
Black Mt.,SCE,sce,SUBSTATION,307337.0,115.0,34.62284166545648,-117.10163611385764,San Bernardino County,Unincorporated,92307,CEC,
Brockway Glass,SCE,sce,,,,34.03558007310587,-117.73121997620572,Los Angeles County,Pomona,91766,CEC,
Burris Pit,SCE,sce,SUBSTATION,309594.0,66.0,33.819674799529146,-117.87142791292158,Orange County,Anaheim,92806,CEC,
Burro Flats,SCE,sce,,,,34.22981349707831,-118.71002292440173,Ventura County,Unincorporated,93063,CEC,
Capacitor,SCE,sce,SUBSTATION,303223.0,500.0,33.67121576210494,-115.55898243532164,Riverside County,Unincorporated,92239,CEC,"46, 42"
Cement,SCE,sce,,,,34.59010709887707,-117.37121620977068,San Bernardino County,Victorville,92394,CEC,
Chevcentral,SCE,sce,SUBSTATION,302923.0,66.0,33.90937336459072,-118.41152219724955,Los Angeles County,El Segundo,90245,CEC,
Chevgen,SCE,sce,SUBSTATION,303344.0,66.0,33.9126029667343,-118.41415532229011,Los Angeles County,El Segundo,90245,CEC,
Chevmain,SCE,sce,SUBSTATION,301108.0,,33.90248924260048,-118.4028868488978,Los Angeles County,El Segundo,90245,CEC,
Coidgen,SCE,sce,,,66.0,34.01867414747934,-118.20246236245504,Los Angeles County,Los Angeles,90023,CEC,
Colorado River,SCE,sce,SUBSTATION,303761.0,500.0,33.578980113208246,-114.81592767827811,Riverside County,Unincorporated,92239,CEC,46
Commodore,SCE,sce,SUBSTATION,307247.0,66.0,33.75681989873164,-118.22033332617822,Los Angeles County,Long Beach,90802,CEC,
Coso 1-3,SCE,sce,SUBSTATION,304783.0,,36.03673169209842,-117.79796170609256,Inyo County,Unincorporated,93555,CEC,
Coso 4-6,SCE,sce,SUBSTATION,305045.0,115.0,36.01858913869485,-117.79153279816578,Inyo County,Unincorporated,93555,CEC,
Coso 7,SCE,sce,SUBSTATION,305876.0,,36.0061752320737,-117.81018537111213,Inyo County,Unincorporated,93555,CEC,
Coso 8-9,SCE,sce,SUBSTATION,303694.0,115.0,36.00145000689258,-117.79018610536248,Inyo County,Unincorporated,93555,CEC,
Coso Little Lake,SCE,sce,SUBSTATION,303468.0,,36.09344229883643,-117.95761415076218,Inyo County,Unincorporated,93555,CEC,
Cryco,SCE,sce,SUBSTATION,308436.0,66.0,34.05755341769126,-117.98917222000904,Los Angeles County,Industry,91746,CEC,
Davidson City,SCE,sce,SUBSTATION,310437.0,66.0,33.831519734665434,-118.21409531734068,Los Angeles County,Long Beach,90810,CEC,
Delgen,SCE,sce,SUBSTATION,308240.0,66.0,33.89242953731006,-117.58011805101614,Riverside County,Corona,92880,CEC,
Division Creek,SCE,sce,SUBSTATION,302030.0,,36.94007046613018,-118.25695130884856,Inyo County,Unincorporated,93526,CEC,
Downey Med,SCE,sce,SUBSTATION,300353.0,,33.92079574364111,-118.1274327222154,Los Angeles County,Downey,90242,CEC,
Ductile,SCE,sce,SUBSTATION,304240.0,66.0,34.08150219257723,-118.04182465901916,Los Angeles County,El Monte,91731,CEC,
Dwp,SCE,sce,SUBSTATION,302909.0,,37.36019169114109,-118.39852273942998,Inyo County,Bishop,93514,CEC,
Eastwind,SCE,sce,SUBSTATION,306892.0,220.0,35.04467589649689,-118.276312092782,Kern County,Unincorporated,93501,CEC,
Eastwood,SCE,sce,SUBSTATION,301470.0,230.0,37.1480000005802,-119.25661666578311,Fresno County,Unincorporated,93664,CEC,
Edgemont,SCE,sce,SUBSTATION,300949.0,,33.92346139031671,-117.28469819687054,Riverside County,Moreno Valley,92553,CEC,
El Porto,SCE,sce,SUBSTATION,309813.0,66.0,33.89530076285921,-118.40989416204414,Los Angeles County,Manhattan Beach,90266,CEC,
Etec-Gen,SCE,sce,SUBSTATION,301440.0,66.0,34.23179723527319,-118.71035566128084,Ventura County,Unincorporated,93063,CEC,
Foil,SCE,sce,SUBSTATION,305958.0,33.0,33.92672298578089,-116.92874855600728,Riverside County,Banning,92220,CEC,
Friendly Hills,SCE,sce,SUBSTATION,307042.0,66.0,33.94801917285763,-118.00667366837294,Los Angeles County,Whittier,90603,CEC,
Goodrich,SCE,sce,SUBSTATION,303371.0,,34.15135632587066,-118.08792158777318,Los Angeles County,Pasadena,91107,CEC,
Grangeville,SCE,sce,,,,36.3206123117163,-119.691212576351,Kings County,Unincorporated,93230,CEC,
Grapeland,SCE,sce,SUBSTATION,302348.0,66.0,34.09050177753859,-117.53331601599864,San Bernardino County,Rancho Cucamonga,91730,CEC,
Greenspot,SCE,sce,SUBSTATION,301653.0,,34.098529968020955,-117.1057423242535,San Bernardino County,Highland,92346,CEC,
Harborgen,SCE,sce,SUBSTATION,304450.0,,33.77892912577885,-118.22731748446571,Los Angeles County,Los Angeles,90813,CEC,
Harding,SCE,sce,SUBSTATION,307116.0,66.0,34.0205938575565,-118.10532351345152,Los Angeles County,Montebello,90640,CEC,
Highwind,SCE,sce,SUBSTATION,308246.0,220.0,35.09945518170935,-118.37812372802148,Kern County,Unincorporated,93561,CEC,
Hugo,SCE,sce,SUBSTATION,307731.0,115.0,33.90196491171866,-116.55579606267844,Riverside County,Palm Springs,92240,CEC,
Inland Empire,SCE,sce,SUBSTATION,307783.0,,33.73850837658723,-117.16991391654452,Riverside County,Menifee,92585,CEC,
Ivyglen Meter,SCE,sce,SUBSTATION,300882.0,,33.76021850823622,-117.48137438217044,Riverside County,Unincorporated,92883,CEC,
Jet,SCE,sce,SUBSTATION,307594.0,,34.213509457446406,-118.16796785970595,Los Angeles County,Pasadena,91001,CEC,
Johnair,SCE,sce,SUBSTATION,303088.0,66.0,33.67561117825772,-117.86378011131184,Orange County,Unincorporated,92707,CEC,
Kawgen,SCE,sce,SUBSTATION,308883.0,,36.41545451840407,-119.007718393473,Tulare County,Unincorporated,93244,CEC,
Kem,SCE,sce,SUBSTATION,306318.0,66.0,33.86116104902012,-115.48869705391066,Riverside County,Unincorporated,92239,CEC,
Kern River 3,SCE,sce,SUBSTATION,300068.0,66.0,35.776202785355125,-118.43624680445512,Kern County,Unincorporated,93238,CEC,
