loads_name,loads_norm,attrs_name,attrs_norm,sub_id,loads_lat,loads_lon,attrs_lat,attrs_lon,loads_attrs_dist_km
18TH STREET,18th street,18TH STREET,18th street,2239,37.76111429249559,-122.4388699445812,37.76111429249559,-122.4388699445812,0.0
21ST AVENUE,21st avenue,21ST AVENUE,21st avenue,2255,37.75449989411368,-122.47806162171672,37.75449989411368,-122.47806162171672,0.0
6TH AVENUE,6th avenue,6TH AVENUE,6th avenue,2253,37.78165946851242,-122.4647973814628,37.78165946851242,-122.4647973814628,0.0
7TH STANDARD,7th standard,7TH STANDARD,7th standard,25458,35.43969344317223,-119.13116637687604,35.43969344317223,-119.13116637687604,0.0
8TH AVENUE,8th avenue,8TH AVENUE,8th avenue,1267,37.80064538752543,-122.24202081133105,37.80064538752543,-122.24202081133105,0.0
ACTON,acton,ACTON,acton,2247,37.70866425535986,-122.45185131815214,37.70866425535986,-122.45185131815214,0.0
ALPINE,alpine,ALPINE,alpine,16356,38.46682532572175,-120.0381940068952,38.46682532572175,-120.0381940068952,0.0
ANITA,anita,ANITA,anita,10284,39.81086776157862,-121.91991335854588,39.81086776157862,-121.91991335854588,0.0
AVENAL,avenal,AVENAL,avenal,25500,35.978183285259895,-120.1169296096175,35.978183285259895,-120.1169296096175,0.0
BABEL,babel,BABEL,babel,1385,37.96340949870682,-122.00737229942786,37.96340949870682,-122.00737229942786,0.0
BEACH (Q),beach q,BEACH (Q),beach q,2234,37.80767668920345,-122.41439367858108,37.80767668920345,-122.41439367858108,0.0
BECK STREET,beck street,BECK STREET,beck street,1264,37.76624214689912,-122.17570399534448,37.76624214689912,-122.17570399534448,0.0
BEN LOMOND,ben lomond,BEN LOMOND,ben lomond,8304,37.09229030534265,-122.09644564945188,37.09229030534265,-122.09644564945188,0.0
BERKELEY T,berkeley t,BERKELEY T,berkeley t,1266,37.86457393824122,-122.25905444052576,37.86457393824122,-122.25905444052576,0.0
CAL WATER,cal water,CAL WATER,cal water,25545,35.42222837471225,-118.90059842079376,35.42222837471225,-118.90059842079376,0.0
CALAVERAS CEMENT,calaveras cement,CALAVERAS CEMENT,calaveras cement,16221,38.17053149409406,-120.66845206163632,38.17053149409406,-120.66845206163632,0.0
CALFLAX,calflax,CALFLAX,calflax,25344,36.28387686148028,-120.12208024379596,36.28387686148028,-120.12208024379596,0.0
CASSERLY,casserly,CASSERLY,casserly,8311,36.96982661403625,-121.7670741950634,36.96982661403625,-121.7670741950634,0.0
CASTRO,castro,CASTRO,castro,2248,37.74941830614643,-122.43417816629568,37.74941830614643,-122.43417816629568,0.0
CHICO C,chico c,CHICO C,chico c,10265,39.74305713932799,-121.83856008023211,39.74305713932799,-121.83856008023211,0.0
CHOLAME,cholame,CHOLAME,cholame,18256,35.68629650117082,-120.33615099258384,35.68629650117082,-120.33615099258384,0.0
CONCORD NO 1,concord no 1,CONCORD NO 1,concord no 1,1296,37.97581268089191,-122.02429744721525,37.97581268089191,-122.02429744721525,0.0
CRESCENT MILLS,crescent mills,CRESCENT MILLS,crescent mills,10313,40.093925518711536,-120.91070330230104,40.093925518711536,-120.91070330230104,0.0
DINUBA,dinuba,DINUBA,dinuba,25409,36.520228463825966,-119.3938871560341,36.520228463825966,-119.3938871560341,0.0
ECHO SUMMIT,echo summit,ECHO SUMMIT,echo summit,15803,38.82437656201053,-120.0284989889445,38.82437656201053,-120.0284989889445,0.0
ESTUDILLO,estudillo,ESTUDILLO,estudillo,1348,37.72712154609791,-122.1388744667424,37.72712154609791,-122.1388744667424,0.0
HOLLYWOOD,hollywood,HOLLYWOOD,hollywood,1317,37.81262335848576,-122.2188198016409,37.81262335848576,-122.2188198016409,0.0
JUDAH,judah,JUDAH,judah,2240,37.76070385654141,-122.493499260624,37.76070385654141,-122.493499260624,0.0
KANAKA,kanaka,KANAKA,kanaka,10322,39.57508683288682,-121.30575066528326,39.57508683288682,-121.30575066528326,0.0
LOCKHEED NO 1,lockheed no 1,LOCKHEED NO 1,lockheed no 1,8299,37.4097706587578,-122.03110865958986,37.4097706587578,-122.03110865958986,0.0
LOCKHEED NO 2,lockheed no 2,LOCKHEED NO 2,lockheed no 2,8300,37.41633412032817,-122.03185703639838,37.41633412032817,-122.03185703639838,0.0
LODI,lodi,LODI,lodi,16211,38.137240812553664,-121.26217434307496,38.137240812553664,-121.26217434307496,0.0
MADERA,madera,MADERA,madera,25276,36.92328166223725,-120.05507066657292,36.92328166223725,-120.05507066657292,0.0
MAPLE,maple,MAPLE,maple,1352,37.79719717055544,-122.2057538023828,37.79719717055544,-122.2057538023828,0.0
NEW HOPE,new hope,NEW HOPE,new hope,16208,38.226101912543534,-121.47310289510555,38.226101912543534,-121.47310289510555,0.0
