SUBSTATION,n_rows,n_diff,mean_abs_min_diff,mean_abs_max_diff,max_abs_min_diff,max_abs_max_diff,bulk_zeros,scrape_zeros,pct_diff,max_any_diff
Burnt Mill,576,576,6.928529444444445,9.51991773263889,18.632602,26.941487000000002,0,0,100.0,26.941487000000002
Arrowhead,96,96,11.715177250000002,17.846208291666667,15.640725,26.898849,0,0,100.0,26.898849
Goldhill,288,288,10.154415690972222,16.267218642361108,15.562864,26.605812,288,0,100.0,26.605812
Palm Village,576,576,4.364027777777778,7.06454861111111,16.050182,23.639053,0,0,100.0,23.639053
Camp 10,288,288,4.231694961805555,6.820682180555555,6.084454999999991,16.674706000000015,0,0,100.0,16.674706000000015
Hemet,288,288,0.7028711250000002,1.3229873993055559,8.201326,13.655286000000002,0,0,100.0,13.655286000000002
Casa Diablo,144,144,7.916744722222223,10.95911463888889,9.456083,13.153356,57,0,100.0,13.153356
Barstow,576,576,1.4590352326388887,2.6782710034722226,5.76534,8.274645,0,0,100.0,8.274645
Universal,288,288,2.884899965277778,4.593176277777778,5.104773,7.625468,288,0,100.0,7.625468
Marine,48,48,4.694446145833333,5.422080458333333,5.542753999999999,7.588360999999999,0,0,100.0,7.588360999999999
Southwind,288,288,2.5086401284722224,3.9941323263888884,4.438959,6.631091,288,0,100.0,6.631091
Calden,288,288,0.5039567604166666,0.7354101666666666,3.4194379999999995,6.499272999999999,0,0,100.0,6.499272999999999
Whipple,288,288,1.2433332430555555,2.7414607743055552,3.241698,5.804648,288,0,100.0,5.804648
Navy Mole,288,260,0.0012190034722222222,1.9081872673611113,0.351073,4.077816,288,287,90.27777777777779,4.077816
Ritter Ranch,96,96,0.8870963854166667,1.9864176249999996,3.0771610000000003,3.826595,0,0,100.0,3.826595
Edwards,288,288,2.132948611111111,2.869123777777778,2.67698,3.777637,288,0,100.0,3.777637
Coffee,288,288,0.9081218263888888,1.6776657708333333,1.9498449999999998,3.7173879999999997,0,0,100.0,3.7173879999999997
Rancho,288,288,0.9973326874999999,1.6867254479166665,2.180222999999998,3.6441090000000003,0,0,100.0,3.6441090000000003
Ivyglen,48,48,2.337612645833333,1.1003496875000003,3.475061,2.5010140000000014,0,0,100.0,3.475061
Ordway,72,72,1.707275125,2.4785522777777778,2.7178050000000002,3.399153,0,0,100.0,3.399153
Lee Vining,288,288,1.1077589375,1.6425801666666666,1.6183280000000002,2.849933,0,0,100.0,2.849933
Silver Spur,288,288,0.7676647708333334,1.3452706631944444,1.8161629999999995,2.8146190000000004,0,0,100.0,2.8146190000000004
Banducci,72,72,0.8185804305555555,0.8059907638888889,2.6506279999999993,1.7335760000000002,0,0,100.0,2.6506279999999993
Topaz,48,48,0.19455689583333333,0.7693246041666666,0.48160999999999987,2.310021,0,0,100.0,2.310021
Safari,288,288,0.51060709375,0.78628828125,0.7842700000000002,1.6088539999999973,0,0,100.0,1.6088539999999973
Gavilan,288,288,0.5673754236111112,0.8004800069444444,0.7764549999999995,1.4800609999999992,0,0,100.0,1.4800609999999992
Del Sur,288,288,0.21780626041666667,0.28622252777777774,0.6449939999999996,0.6923650000000006,1,0,100.0,0.6923650000000006
Frazier Park,288,288,0.40197793750000005,0.5181561736111111,0.5240610000000006,0.6448279999999995,0,0,100.0,0.6448279999999995
Gaviota,48,48,0.258911,0.3919528958333333,0.3025390000000001,0.616644,0,0,100.0,0.616644
Doheny,288,288,0.18198852430555557,0.26329423958333337,0.29423699999999986,0.513658,0,0,100.0,0.513658
Lucerne,288,288,0.1802724548611111,0.29328578819444445,0.3091729999999999,0.4565619999999999,0,0,100.0,0.4565619999999999
Sierra Madre,48,48,0.2138343958333333,0.13035339583333336,0.3945789999999998,0.3704419999999997,0,0,100.0,0.3945789999999998
Ripley,288,288,0.07013682986111111,0.22497296875,0.18374999999999986,0.3728619999999996,0,0,100.0,0.3728619999999996
Parker Strip,288,288,0.07381392708333334,0.16128291319444446,0.19087600000000005,0.332649,0,0,100.0,0.332649
Glennville,288,288,0.10021688541666668,0.14554309375,0.16285300000000014,0.2457769999999999,0,0,100.0,0.2457769999999999
Big Bend Bia,288,288,0.038999958333333334,0.08012709722222221,0.11699700000000002,0.20724399999999976,0,0,100.0,0.20724399999999976
Verdant,288,288,0.05339222222222222,0.0842205,0.11725200000000013,0.17934899999999998,0,0,100.0,0.17934899999999998
Defrain,288,288,0.04436621527777777,0.08871884722222223,0.11030999999999991,0.17510099999999995,0,0,100.0,0.17510099999999995
Walker Basin,96,96,0.06981015624999999,0.12021647916666668,0.098727,0.162504,96,0,100.0,0.162504
Landing,288,216,0.012760430555555556,0.02119606597222222,0.060026,0.095041,288,0,75.0,0.095041
North Intake,144,128,0.008749472222222224,0.02956421527777778,0.029870000000000008,0.05738399999999999,0,0,88.88888888888889,0.05738399999999999
Cottage Grove,288,288,0.017882711805555562,0.03138980555555556,0.03156399999999998,0.05265799999999998,0,0,100.0,0.05265799999999998
Havasu,288,160,0.004317524305555555,0.016349430555555558,0.025688000000000016,0.051907000000000036,0,0,55.55555555555556,0.051907000000000036
West Riverside,288,92,0.005451010416666667,0.008136260416666668,0.012637,0.014483999999999999,175,0,31.944444444444443,0.014483999999999999
Harper Lake,288,23,0.002855434027777778,0.005150315972222222,0.005924,0.011452,288,0,7.986111111111111,0.011452
Black Meadows,288,12,0.002432427083333333,0.004368729166666667,0.005726,0.011452,288,24,4.166666666666666,0.011452
Cottonwood,288,0,0.0,0.00034722222222222224,0.0,0.01,288,288,0.0,0.01
Alola,288,0,0.0,0.0,0.0,0.0,288,288,0.0,0.0
Dike,288,0,0.0,0.0,0.0,0.0,288,288,0.0,0.0
Deep Springs,288,0,0.0,0.0,0.0,0.0,288,288,0.0,0.0
Cima,288,0,0.0,0.0,0.0,0.0,288,288,0.0,0.0
Junction,288,0,0.0,0.0,0.0,0.0,288,288,0.0,0.0
Ortega,288,0,0.0,0.0,0.0,0.0,288,288,0.0,0.0
Northwind,288,0,0.0,0.0,0.0,0.0,288,288,0.0,0.0
Searles,288,0,0.0,0.0,0.0,0.0,288,288,0.0,0.0
White Mt.,288,0,0.0,0.0,0.0,0.0,288,288,0.0,0.0
Allview P.T.,288,0,,,,,0,0,0.0,
Alpine P.T.,288,0,,,,,0,0,0.0,
Armijo P.T.,288,0,,,,,288,0,0.0,
Aventura P.T.,288,0,,,,,0,0,0.0,
Badwater P.T.,288,0,,,,,288,0,0.0,
Bandage P.T.,288,0,,,,,2,0,0.0,
Barwick P.T.,288,0,,,,,288,0,0.0,
Bessemer P.T.,288,0,,,,,288,0,0.0,
Bishop Creek Plant 2,288,0,,,,,0,0,0.0,
Blythe (Walc),288,0,,,,,288,0,0.0,
Camp Angelus P.T.,288,0,,,,,0,0,0.0,
Canadian P.T.,288,0,,,,,0,0,0.0,
Canalino P.T.,288,0,,,,,288,0,0.0,
Car Wash P.T.,48,0,,,,,0,0,0.0,
Cardinal P.T.,288,0,,,,,0,0,0.0,
Cascade P.T.,288,0,,,,,0,0,0.0,
Cedar Pines P.T.,288,0,,,,,0,0,0.0,
Chillon P.T.,288,0,,,,,0,0,0.0,
Cove P.T.,288,0,,,,,288,0,0.0,
Crawford P.T.,288,0,,,,,0,0,0.0,
Dalba P.T.,288,0,,,,,0,0,0.0,
Emigrant P.T.,288,0,,,,,288,0,0.0,
Escondido P.T.,288,0,,,,,288,0,0.0,
Ettalee P.T.,288,0,,,,,288,0,0.0,
