sub_key,SUBSTATION,YEAR,MONTH,HOUR,MIN_LOAD_bulk,MAX_LOAD_bulk,MIN_LOAD_scrape,MAX_LOAD_scrape,min_diff,max_diff,any_diff
allview,Allview P.T.,2022,3,0,0.15,0.24,,,,,FALSE
allview,Allview P.T.,2022,3,1,0.14,0.21,,,,,FALSE
allview,Allview P.T.,2022,3,2,0.14,0.22,,,,,FALSE
allview,Allview P.T.,2022,3,3,0.14,0.21,,,,,FALSE
allview,Allview P.T.,2022,3,4,0.15,0.23,,,,,FALSE
allview,Allview P.T.,2022,3,5,0.16,0.24,,,,,FALSE
allview,Allview P.T.,2022,3,6,0.16,0.26,,,,,FALSE
allview,Allview P.T.,2022,3,7,0.18,0.27,,,,,FALSE
allview,Allview P.T.,2022,3,8,0.18,0.28,,,,,FALSE
allview,Allview P.T.,2022,3,9,0.16,0.28,,,,,FALSE
allview,Allview P.T.,2022,3,10,0.15,0.26,,,,,FALSE
allview,Allview P.T.,2022,3,11,0.14,0.26,,,,,FALSE
allview,Allview P.T.,2022,3,12,0.14,0.25,,,,,FALSE
allview,Allview P.T.,2022,3,13,0.15,0.26,,,,,FALSE
allview,Allview P.T.,2022,3,14,0.15,0.27,,,,,FALSE
allview,Allview P.T.,2022,3,15,0.16,0.28,,,,,FALSE
allview,Allview P.T.,2022,3,16,0.18,0.32,,,,,FALSE
allview,Allview P.T.,2022,3,17,0.18,0.31,,,,,FALSE
allview,Allview P.T.,2022,3,18,0.2,0.32,,,,,FALSE
allview,Allview P.T.,2022,3,19,0.22,0.31,,,,,FALSE
allview,Allview P.T.,2022,3,20,0.22,0.31,,,,,FALSE
allview,Allview P.T.,2022,3,21,0.2,0.3,,,,,FALSE
allview,Allview P.T.,2022,3,22,0.19,0.26,,,,,FALSE
allview,Allview P.T.,2022,3,23,0.17,0.25,,,,,FALSE
allview,Allview P.T.,2022,4,0,0.15,0.22,,,,,FALSE
allview,Allview P.T.,2022,4,1,0.14,0.21,,,,,FALSE
allview,Allview P.T.,2022,4,2,0.13,0.19,,,,,FALSE
allview,Allview P.T.,2022,4,3,0.13,0.2,,,,,FALSE
allview,Allview P.T.,2022,4,4,0.13,0.2,,,,,FALSE
allview,Allview P.T.,2022,4,5,0.14,0.23,,,,,FALSE
allview,Allview P.T.,2022,4,6,0.15,0.26,,,,,FALSE
allview,Allview P.T.,2022,4,7,0.15,0.24,,,,,FALSE
allview,Allview P.T.,2022,4,8,0.15,0.26,,,,,FALSE
allview,Allview P.T.,2022,4,9,0.15,0.26,,,,,FALSE
allview,Allview P.T.,2022,4,10,0.14,0.33,,,,,FALSE
allview,Allview P.T.,2022,4,11,0.14,0.3,,,,,FALSE
allview,Allview P.T.,2022,4,12,0.14,0.27,,,,,FALSE
allview,Allview P.T.,2022,4,13,0.15,0.25,,,,,FALSE
allview,Allview P.T.,2022,4,14,0.15,0.25,,,,,FALSE
allview,Allview P.T.,2022,4,15,0.16,0.27,,,,,FALSE
allview,Allview P.T.,2022,4,16,0.17,0.27,,,,,FALSE
allview,Allview P.T.,2022,4,17,0.19,0.29,,,,,FALSE
allview,Allview P.T.,2022,4,18,0.2,0.29,,,,,FALSE
allview,Allview P.T.,2022,4,19,0.21,0.29,,,,,FALSE
allview,Allview P.T.,2022,4,20,0.21,0.29,,,,,FALSE
allview,Allview P.T.,2022,4,21,0.22,0.27,,,,,FALSE
allview,Allview P.T.,2022,4,22,0.2,0.26,,,,,FALSE
allview,Allview P.T.,2022,4,23,0.17,0.23,,,,,FALSE
allview,Allview P.T.,2022,5,0,0.14,0.21,,,,,FALSE
allview,Allview P.T.,2022,5,1,0.14,0.19,,,,,FALSE
allview,Allview P.T.,2022,5,2,0.13,0.18,,,,,FALSE
