name,owner_raw,owner_std,type,hifld_id,max_voltage_kv,latitude,longitude,county,city,zip_code,source,path,nearest_cats_id,nearest_cats_kv,nearest_cats_lat,nearest_cats_lon,cats_dist_km,cats_matched
Jenney,Other,other,SUBSTATION,310025.0,115.0,37.772435715467616,-122.24291619007606,Alameda County,Alameda,94501,CEC,,1,115,37.77243572,-122.2429162,1.00738380100139e-06,True
Corona,PG&E,pge,SUBSTATION,306474.0,115.0,38.26501270479249,-122.65736853423064,Sonoma County,Petaluma,94954,CEC,,8384,66,38.26499209,-122.6573229,0.0045964732341320005,True
South Bay 1,PG&E,pge,SUBSTATION,310124.0,,37.77848161015776,-121.62595134314,Alameda County,Unincorporated,94514,CEC,,2,66,37.77848161,-121.6259513,3.7914779583050233e-06,True
Altamont,PG&E,pge,SUBSTATION,306256.0,60.0,37.74837650236422,-121.6772083406546,Alameda County,Unincorporated,94551,CEC,,3,66,37.7483765,-121.6772083,3.5841113156536585e-06,True
Castro Valley,PG&E,pge,SUBSTATION,303892.0,230.0,37.69128098435761,-122.06127739017332,Alameda County,Unincorporated,94546,CEC,,4,230,37.69128098,-122.0612774,9.911641363693647e-07,True
Claremont,PG&E,pge,SUBSTATION,303608.0,115.0,37.84737345521274,-122.22858507586392,Alameda County,Oakland,94618,CEC,,8007,66,37.84734821,-122.2285846,0.0028074505246808213,True
Cryogenics,Other,other,SUBSTATION,303469.0,115.0,37.59578193416325,-122.0174352907741,Alameda County,Union City,94587,CEC,,5,115,37.59578193,-122.0174353,9.354175509004141e-07,True
Kekawaka,PG&E,pge,SUBSTATION,307419.0,60.0,40.0940307349166,-123.50918679640904,Trinity County,Unincorporated,95595,CEC,,6,66,40.09403073,-123.5091868,6.262474436114383e-07,True
Dumbarton,PG&E,pge,SUBSTATION,307780.0,115.0,37.556992018214,-122.05794001685494,Alameda County,Fremont,94555,CEC,,7,115,37.55699202,-122.05794,1.498967343393881e-06,True
Eastshore,PG&E,pge,SUBSTATION,301389.0,230.0,37.62507858781576,-122.11661121383084,Alameda County,Hayward,94545,CEC,East Bay,7823,230,37.62506173,-122.1165823,0.003161955575520409,True
Edes,PG&E,pge,SUBSTATION,303133.0,115.0,37.7386895431528,-122.19379906549648,Alameda County,Oakland,94603,CEC,,8,115,37.73868954,-122.1937991,3.0542232151075227e-06,True
Fremont,PG&E,pge,SUBSTATION,302108.0,115.0,37.54136311404011,-121.96195742157144,Alameda County,Fremont,94538,CEC,,2164,115,37.51244728,-121.9444502,3.566744649483325,False
Nummi,Other,other,SUBSTATION,305808.0,115.0,37.49369131828538,-121.93942854441876,Alameda County,Fremont,94538,CEC,,9,115,37.49369132,-121.9394285,3.923447936070141e-06,True
Grant,PG&E,pge,SUBSTATION,303596.0,115.0,37.67126803925739,-122.15953867436106,Alameda County,San Leandro,94579,CEC,,10,115,37.67126804,-122.1595387,2.2580988509019053e-06,True
Grizzly,Other,other,SUBSTATION,305871.0,115.0,37.8761740015629,-122.24576402139796,Alameda County,Oakland,94720,CEC,,11,115,37.876174,-122.245764,1.8861336962849153e-06,True
Luka,PG&E,pge,SUBSTATION,308301.0,60.0,37.66794608367032,-121.83187681050428,Alameda County,Unincorporated,94566,CEC,,12,66,37.66794608,-121.8318768,1.0106362881509195e-06,True
Air Liquide,PG&E,pge,,306175.0,115.0,37.59531055787571,-122.01749144961028,Alameda County,Union City,94587,CEC,,13,115,37.59531056,-122.0174915,4.445823449948502e-06,True
Kaiser,Other,other,SUBSTATION,303791.0,,37.70853375836349,-121.90700446892848,Alameda County,Dublin,94568,CEC,,14,66,37.70853376,-121.9070045,2.739410060136377e-06,True
Las Positas,PG&E,pge,SUBSTATION,301848.0,230.0,37.70082423282943,-121.73324446912255,Alameda County,Livermore,94551,CEC,,7961,66,37.70082538,-121.7332444,0.00012770442641365525,True
Livermore,PG&E,pge,SUBSTATION,307237.0,60.0,37.68002780796131,-121.78050482975056,Alameda County,Livermore,94551,CEC,,15,66,37.68002781,-121.7805048,2.6279555656291627e-06,True
Mt. Eden,PG&E,pge,SUBSTATION,305785.0,,37.63206011003971,-122.10184811059204,Alameda County,Hayward,94545,CEC,East Bay,7639,66,37.63209122,-122.1018886,0.004967845543650809,True
Newark,PG&E,pge,SUBSTATION,306611.0,230.0,37.50087311537809,-121.98626242223652,Alameda County,Fremont,94538,CEC,,8335,230,37.50084138,-121.9862901,0.004291155747680798,True
Parks,PG&E,pge,SUBSTATION,305695.0,,37.71164362479632,-121.8938503914868,Alameda County,Dublin,94568,CEC,,16,66,37.71164362,-121.8938504,9.193745356852122e-07,True
Radum,PG&E,pge,SUBSTATION,300539.0,60.0,37.672555014651145,-121.85952801975954,Alameda County,Pleasanton,94566,CEC,,17,66,37.67255501,-121.859528,1.8143614586938126e-06,True
Ralph,PG&E,pge,SUBSTATION,302831.0,,37.79905698986354,-121.61994380061796,Alameda County,Unincorporated,94514,CEC,,18,230,37.79905699,-121.6199438,5.6376725687445783e-08,True
Ravenswood,PG&E,pge,SUBSTATION,308197.0,230.0,37.49296812408314,-122.13794615040464,San Mateo County,Menlo Park,94025,CEC,,8779,115,37.49299496,-122.1379112,0.004290963190033174,True
San Leandro U,PG&E,pge,SUBSTATION,304946.0,115.0,37.71062477494543,-122.14818833093142,Alameda County,San Leandro,94578,CEC,,19,115,37.71062477,-122.1481883,2.775968104467339e-06,True
