bus_i,kV,Type,Import,Lat,Lon,nearest_basin_name,nearest_basin_owner,nearest_basin_type,nearest_basin_lat,nearest_basin_lon,dist_km,matched
1,115,Substation,' ',37.77243572,-122.2429162,Jenney,other,SUBSTATION,37.772435715467616,-122.24291619007606,1.00738380100139e-06,True
2,66,Substation,' ',37.77848161,-121.6259513,South Bay 1,pge,SUBSTATION,37.77848161015776,-121.62595134314,3.7914779583050233e-06,True
3,66,Substation,' ',37.7483765,-121.6772083,Altamont,pge,SUBSTATION,37.74837650236422,-121.6772083406546,3.5841113156536585e-06,True
4,230,Substation,' ',37.69128098,-122.0612774,Castro Valley,pge,SUBSTATION,37.69128098435761,-122.06127739017332,9.911641363693647e-07,True
5,115,Substation,' ',37.59578193,-122.0174353,Cryogenics,other,SUBSTATION,37.59578193416325,-122.0174352907741,9.354175509004141e-07,True
6,66,Substation,' ',40.09403073,-123.5091868,Kekawaka,pge,SUBSTATION,40.0940307349166,-123.50918679640904,6.262474436114383e-07,True
7,115,Substation,' ',37.55699202,-122.05794,Dumbarton,pge,SUBSTATION,37.556992018214,-122.05794001685494,1.498967343393881e-06,True
8,115,Substation,' ',37.73868954,-122.1937991,Edes,pge,SUBSTATION,37.7386895431528,-122.19379906549648,3.0542232151075227e-06,True
9,115,Substation,' ',37.49369132,-121.9394285,Nummi,other,SUBSTATION,37.49369131828538,-121.93942854441876,3.923447936070141e-06,True
10,115,Substation,' ',37.67126804,-122.1595387,Grant,pge,SUBSTATION,37.67126803925739,-122.15953867436106,2.2580988509019053e-06,True
11,115,Substation,' ',37.876174,-122.245764,Grizzly,other,SUBSTATION,37.8761740015629,-122.24576402139796,1.8861336962849153e-06,True
12,66,Substation,' ',37.66794608,-121.8318768,Luka,pge,SUBSTATION,37.66794608367032,-121.83187681050428,1.0106362881509195e-06,True
13,115,Substation,' ',37.59531056,-122.0174915,Air Liquide,pge,,37.59531055787571,-122.01749144961028,4.445823449948502e-06,True
14,66,Substation,' ',37.70853376,-121.9070045,Kaiser,other,SUBSTATION,37.70853375836349,-121.90700446892848,2.739410060136377e-06,True
15,66,Substation,' ',37.68002781,-121.7805048,Livermore,pge,SUBSTATION,37.68002780796131,-121.78050482975056,2.6279555656291627e-06,True
