bus_i,kV,Type,Import,Lat,Lon,nearest_cec_name,nearest_cec_owner,nearest_cec_type,nearest_cec_lat,nearest_cec_lon,dist_km,matched
1,115,Substation,' ',37.77243572,-122.2429162,Jenney,pge_assumed,SUBSTATION,37.77243076,-122.242903,0.0012846197913886593,True
2,66,Substation,' ',37.77848161,-121.6259513,South Bay 1,pge,SUBSTATION,37.77847661,-121.62593825,0.0012745745159196342,True
3,66,Substation,' ',37.7483765,-121.6772083,Altamont,pge,SUBSTATION,37.74837151,-121.67719524,0.0012753018004505738,True
4,230,Substation,' ',37.69128098,-122.0612774,Castro Valley,pge,SUBSTATION,37.69127602,-122.06126424,0.0012825904667195058,True
5,115,Substation,' ',37.59578193,-122.0174353,Cryogenics,pge_assumed,SUBSTATION,37.59577698,-122.01742216,0.001281866658103536,True
6,66,Substation,' ',40.09403073,-123.5091868,Kekawaka,pge,SUBSTATION,40.0940257,-123.50917312,0.0012910972522798278,True
7,115,Substation,' ',37.55699202,-122.05794,Dumbarton - (PG&E),pge,SUBSTATION,37.55698707,-122.05792688,0.0012808193445703886,True
8,115,Substation,' ',37.73868954,-122.1937991,Edes - (PG&E),pge,SUBSTATION,37.73868459,-122.19378589,0.001285415637805811,True
9,115,Substation,' ',37.49369132,-121.9394285,Nummi,pge_assumed,SUBSTATION,37.49368636,-121.93941543,0.0012782029429219421,True
10,115,Substation,' ',37.67126804,-122.1595387,Grant,pge,SUBSTATION,37.67126309,-122.15952551,0.0012847802432106145,True
11,115,Substation,' ',37.876174,-122.245764,Grizzly - (Other),pge_assumed,SUBSTATION,37.87616904,-122.24575082,0.001281563364157691,True
12,66,Substation,' ',37.66794608,-121.8318768,Luka,pge,SUBSTATION,37.66794111,-121.8318637,0.0012786334124941525,True
13,115,Substation,' ',37.59531056,-122.0174915,Air Liquide,pge,SUBSTATION ASSUMED,37.5953056,-122.01747832,0.0012855335873943013,True
14,66,Substation,' ',37.70853376,-121.9070045,Kaiser - 94568,pge_assumed,SUBSTATION,37.70852878,-121.90699134,0.0012833052488986064,True
15,66,Substation,' ',37.68002781,-121.7805048,Livermore,pge,SUBSTATION,37.68002283,-121.78049172,0.0012773588661897438,True
16,66,Substation,' ',37.71164362,-121.8938504,Parks,pge,SUBSTATION,37.71163865,-121.89383726,0.0012811945263774412,True
17,66,Substation,' ',37.67255501,-121.859528,Radum,pge,SUBSTATION,37.67255004,-121.8595149,0.0012785688399427346,True
18,230,Substation,' ',37.79905699,-121.6199438,Ralph,pge,SUBSTATION,37.79905199,-121.6199307,0.0012782415617171674,True
19,115,Substation,' ',37.71062477,-122.1481883,San Leandro U,pge,SUBSTATION,37.71061982,-122.14817516,0.0012802511788369871,True
20,115,Substation,' ',37.76299826,-122.2144948,Oakland J,pge,SUBSTATION,37.76299331,-122.21448164,0.0012811005486288995,True
21,115,Substation,' ',37.58690266,-121.869684,Sunol,pge,SUBSTATION,37.58689769,-121.86967089,0.0012805626960539745,True
22,115,Substation,' ',37.60924399,-121.842671,Vallecitos,pge,SUBSTATION,37.60923901,-121.84265791,0.001279141900060466,True
23,66,Substation,' ',37.71111924,-121.7158749,Vasco,pge,SUBSTATION,37.71111425,-121.71586184,0.001275822128211322,True
24,66,Substation,' ',37.66968929,-121.8544376,Vineyard,pge,SUBSTATION,37.66968432,-121.85442448,0.001280196617042216,True
25,66,Substation,' ',38.408767,-120.822098,Amfor,pge,SUBSTATION,38.40876188,-120.82208495,0.0012716375884404903,True
26,66,Substation,' ',38.34219061,-120.9349804,Clay,pge,SUBSTATION,38.34218551,-120.93496732,0.0012739226272499371,True
27,66,Substation,' ',38.37390104,-120.9575497,Ione,pge_assumed,SUBSTATION,38.37389594,-120.95753668,0.0012687942558463749,True
28,66,Substation,' ',38.27717343,-120.9138995,Ione Energy,pge,SUBSTATION,38.27716834,-120.9138865,0.0012680917058997525,True
29,66,Substation,' ',38.36910799,-120.796754,Martell,pge,SUBSTATION,38.36910288,-120.79674099,0.0012685793462588117,True
30,66,Substation,' ',38.36863575,-120.8054803,Nepco,pge_assumed,SUBSTATION,38.36863063,-120.80546731,0.001267526326069027,True
31,66,Substation,' ',38.48076425,-120.8449436,Oleta,pge,SUBSTATION,38.48075913,-120.84493058,0.0012682899063309583,True
32,115,Substation,' ',38.4984199,-120.2184202,Salt Springs,pge,SUBSTATION,38.49841473,-120.21840721,0.0012682200538470445,True
33,66,Substation,' ',38.4127977,-120.6602339,Pine Grove,pge,SUBSTATION,38.41279257,-120.66022093,0.0012658528724209858,True
34,115,Substation,' ',37.71296547,-121.4775277,Lammers,pge,SUBSTATION,37.71302438,-121.47790414,0.03375509256519723,True
35,66,Substation,' ',39.48122633,-121.5654854,A.P.T. Oro,pge,SUBSTATION,39.48122118,-121.56547211,0.0012762838079344368,True
36,66,Substation,' ',39.36471317,-121.6856152,Gridley,pge_assumed,SUBSTATION,39.36470804,-121.68560192,0.0012762255478196627,True
37,66,Substation,' ',39.47437782,-121.5747818,Louisiana Pacific (Oroville),pge_assumed,SUBSTATION,39.47437267,-121.57476847,0.0012794534556361974,True
38,66,Substation,' ',39.4087526,-121.6886266,City Of Biggs,pge_assumed,SUBSTATION ASSUMED,39.40874747,-121.68861334,0.0012740446595889507,True
39,115,Substation,' ',34.64326979,-120.4372802,Cabrillo - (PG&E),pge,SUBSTATION,34.643265,-120.4372676,0.0012697680842952625,True
40,66,Substation,' ',39.81095374,-121.9196266,Anita - (Other),pge_assumed,SUBSTATION,39.81094859,-121.91961318,0.001281360593042261,True
41,66,Substation,' ',39.38767374,-121.4031757,Bangor,pge,SUBSTATION,39.38766858,-121.40316244,0.0012758492117702967,True
42,115,Substation,' ',39.71220645,-121.8133571,Butte,pge,SUBSTATION,39.7122013,-121.81334371,0.0012805365489921069,True
43,115,Substation,' ',39.71884016,-121.8209206,Chico A,pge,SUBSTATION,39.71883501,-121.82090726,0.0012766144856347743,True
44,115,Substation,' ',39.72551493,-121.8470758,Chico B,pge,SUBSTATION,39.72550979,-121.84706244,0.0012775468365367254,True
45,115,Substation,' ',33.81774602,-116.3674057,Ramon,iid,SUBSTATION,33.81774108,-116.36739386,0.0012239856858815741,True
46,115,Substation,' ',39.60773551,-121.7683336,Esquon,pge,SUBSTATION,39.60773037,-121.76832024,0.001279290475642485,True
47,66,Substation,' ',39.74641854,-122.0113693,Hamilton A,pge,SUBSTATION,39.74641341,-122.01135593,0.0012775047315756564,True
48,115,Substation,' ',39.7602408,-121.9070486,Nord,pge,SUBSTATION,39.76023566,-121.90703525,0.0012762676941505608,True
49,66,Substation,' ',39.50399795,-121.560155,Oroville,pge,SUBSTATION,39.5039928,-121.56014172,0.0012751833610243843,True
50,66,Substation,' ',39.76066295,-121.6187304,Paradise - (PG&E),pge,SUBSTATION,39.76065779,-121.61871709,0.0012742051072184245,True
