name,owner_raw,owner_std,type,hifld_id,max_voltage_kv,latitude,longitude,county,city,zip_code,source,path,cec_id,status,proposed,urban_rural,imagery_verified,cpuc_substation_name,cpuc_caiso_study_area,cpuc_caiso_local_area,cpuc_owner,cpuc_voltages,cec_resolve_area,nearest_cats_id,nearest_cats_kv,nearest_cats_lat,nearest_cats_lon,cats_dist_km,cats_matched
Santa Barbara,SCE,sce,SUBSTATION,310316.0,66.0,34.42330996,-119.68558628,Santa Barbara County,Santa Barbara,93103.0,CEC,SB,{5D38FE63-CDA8-4651-83EB-28F182368080},Operational,NO,URBAN,UNK,,,,,,SCE Northern,1226,66,34.42331477,-119.6855987,0.001258504686582635,True
Vegas,SCE,sce,SUBSTATION,310186.0,66.0,34.44918128,-119.81585696,Santa Barbara County,Eastern Goleta Valley,93111.0,CEC,,{B19114FA-B511-4B04-BA73-30993259319C},Operational,NO,URBAN,UNK,,,,,,SCE Northern,1227,66,34.44918609,-119.8158694,0.001259845672846648,True
Advanced Micro Devices,Other (PGE - Assumed),pge_assumed,SUBSTATION ASSUMED,,,37.38563605,-122.00950288,Santa Clara County,Sunnyvale,94085.0,CEC,,{369D1776-87A4-4478-AF38-5A76251E0DC2},Operational,NO,URBAN,UNK,,,,,,PGE GBA,1228,115,37.38564099,-122.009516,0.0012827399832450626,True
Britton,PG&E,pge,SUBSTATION,306909.0,115.0,37.37455725,-122.01635278,Santa Clara County,Sunnyvale,94086.0,CEC,,{92F4A83C-4355-4C3E-B0DA-8EAAC50F78CD},Operational,NO,URBAN,UNK,,,,,,PGE GBA,1229,115,37.37456219,-122.0163659,0.0012828947439438405,True
Coyote Pumping,PG&E,pge,SUBSTATION,302234.0,230.0,37.15817063,-121.63747981,Santa Clara County,Morgan Hill,95037.0,CEC,,{761B3BC2-76F7-42FC-96ED-573E6537C7FD},Operational,NO,URBAN,UNK,Coyote,PGE GBA,PGE_GBA,PG&E,230,PGE GBA,1230,115,37.15817557,-121.6374928,0.0012755034757870082,True
Brokaw,SVP,svp,SUBSTATION,308740.0,,37.35618719,-121.9398061,Santa Clara County,Santa Clara,95050.0,CEC,,{282DCEF0-B131-4DA9-BE5A-1DF48B9398D5},Operational,NO,URBAN,UNK,,,,,,PGE GBA,7897,115,37.35615633,-121.9398365,0.004358293676903976,True
Permanente - (Other),Other (PGE - Assumed),pge_assumed,SUBSTATION ASSUMED,,,37.31791153,-122.09330837,Santa Clara County,,95014.0,CEC,,{AF29EAF1-13B4-4902-B235-90FB838249E8},Operational,NO,RURAL,UNK,,,,,,PGE GBA,1233,66,37.31791646,-122.0933215,0.0012840096893030094,True
Signetics,PG&E,pge,SUBSTATION,303084.0,115.0,37.38492928,-122.01296515,Santa Clara County,Sunnyvale,94085.0,CEC,,{DAF69833-237A-4901-95B4-22A5600BF760},Operational,NO,URBAN,UNK,,,,,,PGE GBA,1234,115,37.38493422,-122.0129783,0.0012851456145945314,True
Westinghouse,Other (PGE - Assumed),pge_assumed,SUBSTATION,303229.0,,37.37999507,-122.02213971,Santa Clara County,Sunnyvale,94086.0,CEC,,{35A3EDE5-E3E6-45BC-99E0-9B20F1CB752A},Operational,NO,URBAN,UNK,,,,,,PGE GBA,1235,66,37.38000001,-122.0221528,0.0012804238469432318,True
Wpcp,Other (PGE - Assumed),pge_assumed,SUBSTATION,301085.0,,37.43273106,-121.94194287,Santa Clara County,San Jose,95134.0,CEC,,{4E72C272-E6D7-4782-8474-F55D14D807AF},Operational,NO,URBAN,UNK,,,,,,PGE GBA,1236,115,37.43273601,-121.941956,0.0012833560885931966,True
Lockheed,SCE,sce,SUBSTATION,301491.0,,34.45775905,-118.58046829,Los Angeles County,Santa Clarita,91355.0,CEC,,{F8EE0179-DA3B-4705-B9EC-84F1E7730BFB},Operational,NO,URBAN,UNK,,,,,,SCE Northern,1237,66,34.45776393,-118.5804806,0.0012523113763191643,True
Moffet Field,WAPA,wapa,SUBSTATION,309113.0,115.0,37.4186756,-122.03931467,Santa Clara County,"San Jose, CA",94043.0,CEC,,{4DAEAE0E-4F2E-40C6-AF7F-E504F5875EDA},Operational,NO,URBAN,UNK,,,,,,PGE GBA,1238,115,37.41868054,-122.0393278,0.0012830762851017488,True
Kifer,SVP,svp,SUBSTATION,301982.0,115.0,37.37650869,-121.9508887,Santa Clara County,Santa Clara,95054.0,CEC,,{96656F8D-D739-4F6C-BD06-198455284A8D},Operational,NO,URBAN,UNK,,,,,,PGE GBA,1239,66,37.37651363,-121.9509018,0.0012812706601489175,True
Uranium,SVP,svp,SUBSTATION,308438.0,60.0,37.37099255,-121.97626965,Santa Clara County,Santa Clara,95051.0,CEC,,{0096A5FA-FDE8-4EC6-81C7-D2174333EE45},Operational,NO,URBAN,UNK,,,,,,PGE GBA,1240,66,37.37099749,-121.9762828,0.0012853408186746704,True
Almaden,PG&E,pge,SUBSTATION,304708.0,60.0,37.25995628,-121.88988531,Santa Clara County,San Jose,95118.0,CEC,,{E8408567-7AE3-4C6D-A4CA-A9D36A93B261},Operational,NO,URBAN,UNK,,,,,,PGE GBA,1241,66,37.25996122,-121.8898984,0.0012820941098297795,True
Ames,PG&E,pge,SUBSTATION,301906.0,115.0,37.41762533,-122.06640351,Santa Clara County,Mountain View,94043.0,CEC,,{0C88477C-92FB-4BC3-ACC3-85395C3B3648},Operational,NO,URBAN,UNK,,,,,,PGE GBA,1242,115,37.41763027,-122.0664166,0.0012798994029794245,True
Calero,Other (PGE - Assumed),pge_assumed,SUBSTATION,310095.0,,37.20242633,-121.83294198,Santa Clara County,San Jose,95120.0,CEC,,{4E298C44-BB62-4E75-9AC5-00C675210018},Operational,NO,URBAN,UNK,,,,,,PGE GBA,1243,115,37.20243127,-121.832955,0.0012772932548710102,True
Gish,PG&E,pge,SUBSTATION,300614.0,115.0,37.35410059,-121.91263016,Santa Clara County,San Jose,95110.0,CEC,,{562CA1DB-B27E-41A9-82AF-39AAF67017A1},Operational,NO,URBAN,UNK,,,,,,PGE GBA,1231,115,37.34735123,-121.9219112,1.111873476476268,True
Lsi Jennings,Other (PGE - Assumed),pge_assumed,SUBSTATION,303560.0,,37.33426279,-121.85473845,Santa Clara County,San Jose,95122.0,CEC,,{B790CF67-A095-470E-88C6-935D907AC4BD},Operational,NO,URBAN,UNK,,,,,,PGE GBA,1246,115,37.33426773,-121.8547515,0.0012778666788564666,True
Lawrence,PG&E,pge,SUBSTATION,304425.0,115.0,37.39720119,-122.01031639,Santa Clara County,Sunnyvale,94089.0,CEC,,{49424AE4-5629-463D-B0FB-7A3A5ED9579F},Operational,NO,URBAN,UNK,,,,,,PGE GBA,1228,115,37.38564099,-122.009516,1.2873789750664528,True
Los Altos,PG&E,pge,SUBSTATION,302246.0,60.0,37.39383951,-122.11471187,Santa Clara County,Los Altos,94022.0,CEC,,{D046FD09-5DC5-4078-BA9E-C78DF3D82D36},Operational,NO,URBAN,UNK,,,,,,PGE GBA,1248,66,37.39384445,-122.114725,0.001283423728985923,True
Loyola,PG&E,pge,SUBSTATION,305018.0,60.0,37.36105344,-122.09969526,Santa Clara County,Loyola,94024.0,CEC,,{6D8F8B22-75B2-4542-B4FA-4071C52FC8B4},Operational,NO,URBAN,UNK,,,,,,PGE GBA,1249,66,37.36105838,-122.0997084,0.0012846809964919043,True
Mabury,PG&E,pge,SUBSTATION,306245.0,115.0,37.36081022,-121.86414452,Santa Clara County,San Jose,95133.0,CEC,,{EC18AFA7-B3BE-4B1F-A006-57043E08C1BE},Operational,NO,URBAN,UNK,,,,,,PGE GBA,1250,115,37.36081517,-121.8641576,0.0012803703530768968,True
