bus_i,kV,Type,Import,Lat,Lon,nearest_our_sub,nearest_utility,nearest_our_lat,nearest_our_lon,dist_km,matched
1,115,Substation,' ',37.77243572,-122.2429162,OAKLAND J,pge,37.76329902345095,-122.21419146834046,2.7216210251456583,False
2,66,Substation,' ',37.77848161,-121.6259513,HERDLYN,pge,37.81698475446724,-121.58716994811228,5.471830188292621,False
3,66,Substation,' ',37.7483765,-121.6772083,VASCO,pge,37.71097214981069,-121.71567702519704,5.3613674253181305,False
4,230,Substation,' ',37.69128098,-122.0612774,CASTRO VALLEY,pge,37.6917841084946,-122.06126559376074,0.055954980097954084,True
5,115,Substation,' ',37.59578193,-122.0174353,JARVIS,pge,37.59533398503197,-122.01754403270029,0.05072207772162143,True
6,66,Substation,' ',40.09403073,-123.5091868,FORT SEWARD,pge,40.213926195853496,-123.5966650918544,15.264636732502142,False
7,115,Substation,' ',37.55699202,-122.05794,DUMBARTON,pge,37.55713232904114,-122.05834145293557,0.038674419214002845,True
8,115,Substation,' ',37.73868954,-122.1937991,EDES,pge,37.738958386689234,-122.19406786917396,0.0381082309637869,True
9,115,Substation,' ',37.49369132,-121.9394285,NEWARK 21KV,pge,37.50289932556285,-121.98163324660962,3.8614723336057133,False
10,115,Substation,' ',37.67126804,-122.1595387,GRANT,pge,37.67180204255067,-122.15958413255876,0.059512863283356955,True
11,115,Substation,' ',37.876174,-122.245764,RIDGE,pge,37.88486073895271,-122.25488061856642,1.2542732501144764,True
12,66,Substation,' ',37.66794608,-121.8318768,VINEYARD,pge,37.66981508616917,-121.85487819350168,2.035151790333356,False
13,115,Substation,' ',37.59531056,-122.0174915,JARVIS,pge,37.59533398503197,-122.01754403270029,0.005310960142436055,True
14,66,Substation,' ',37.70853376,-121.9070045,SAN RAMON,pge,37.74487564264759,-121.93673033346126,4.812972933276651,False
15,66,Substation,' ',37.68002781,-121.7805048,LIVERMORE,pge,37.680003612395765,-121.78085098109068,0.030583822424443397,True
16,66,Substation,' ',37.71164362,-121.8938504,NORTH DUBLIN,pge,37.74483921993783,-121.85769752164674,4.871772893871256,False
17,66,Substation,' ',37.67255501,-121.859528,RADUM,pge,37.67228311817145,-121.85958601044506,0.030661075684513435,True
18,230,Substation,' ',37.79905699,-121.6199438,HERDLYN,pge,37.81698475446724,-121.58716994811228,3.501993804619827,False
19,115,Substation,' ',37.71062477,-122.1481883,SAN LEANDRO U,pge,37.710671483216295,-122.14868122906188,0.043671691299582115,True
20,115,Substation,' ',37.76299826,-122.2144948,OAKLAND J,pge,37.76329902345095,-122.21419146834046,0.042772050555075415,True
21,115,Substation,' ',37.58690266,-121.869684,SUNOL,pge,37.58689135859106,-121.86962721571362,0.0051588922188070836,True
22,115,Substation,' ',37.60924399,-121.842671,SUNOL,pge,37.58689135859106,-121.86962721571362,3.437687557660303,False
