substation,n_feeders,division,voltages,total_res_cust,total_com_cust,redacted_any,lat,lon,our_pge_idx,our_pge_match,our_pge_name,our_pge_voltage_kv,basin_matched,basin_name,cats_dist_km,cats_matched,cats_kv
,3,Sierra,12.0;21.0;4.16,4238,249,Yes,,,-1,unmatched,,,False,,,False,
18TH STREET,2,San francisco,4.16,2887,178,No,,,381,exact,18TH STREET,4.16,False,,,False,
21ST AVENUE,3,San francisco,4.16,3309,185,No,,,306,exact,21ST AVENUE,4.16,False,,,False,
6TH AVENUE,3,San francisco,4.16,3735,252,No,,,480,exact,6TH AVENUE,4.16,False,,,False,
7TH STANDARD,3,Kern,12.0;21.0,6623,254,Yes,,,241,exact,7TH STANDARD,12.0,False,,,False,
8TH AVENUE,1,East Bay,4.16,1871,27,No,,,340,exact,8TH AVENUE,4.16,False,,,False,
ACTON,2,San francisco,4.16,3012,163,No,,,314,exact,ACTON,4.16,False,,,False,
AIRWAYS,8,Fresno,12.0,19831,933,Yes,36.77800449376864,-119.6737997732644,660,exact,AIRWAYS,12.0,True,Airways,2.417740470260398e-06,True,115.0
ALHAMBRA,3,Diablo,12.0,6307,394,No,37.9939232223922,-122.13011557123694,88,exact,ALHAMBRA,12.0,True,Alhambra,2.534505348728273e-06,True,115.0
ALLEGHANY,2,Sierra,12.0,1051,183,Yes,39.46548155585289,-120.84480093929696,263,exact,ALLEGHANY,12.0,True,Alleghany,3.4047559662825784e-06,True,66.0
ALMADEN,4,San Jose,12.0,12651,470,No,37.25996121985501,-121.8898983887587,0,exact,ALMADEN,12.0,True,Almaden,9.949844953368146e-07,True,66.0
ALPAUGH,4,Fresno,12.0,602,130,Yes,35.96336388597445,-119.45683611564412,355,exact,ALPAUGH,12.0,True,Alpaugh,1.4774180686675203e-06,True,115.0
ALPINE,2,Stockton,12.0,551,37,No,,,82,exact,ALPINE,12.0,False,,,False,
ALTO,6,Sonoma,12.0,21674,1754,No,37.898627509040566,-122.5246062288268,162,exact,ALTO,12.0,True,Alto,0.003939061004340786,True,115.0
AMES,2,De Anza,12.0,0,56,Yes,37.41763026688033,-122.06641663089506,290,exact,AMES,12.0,True,Ames,2.750432898215912e-06,True,115.0
ANDERSON,3,North Valley,12.0,3271,541,No,40.44973411757957,-122.3050458968686,584,exact,ANDERSON,12.0,True,Anderson,3.7768296728284087e-07,True,66.0
ANITA,4,North Valley,12.0,3483,264,Yes,,,508,exact,ANITA,12.0,False,,,False,
ANNAPOLIS,1,Humboldt,12.0,171,39,No,38.6803029150572,-123.31188627934075,390,exact,ANNAPOLIS,12.0,True,Annapolis,1.8756352682743477e-06,True,66.0
ANTELOPE,2,Kern,12.0,9,58,Yes,35.657901199099186,-119.9964344714247,75,exact,ANTELOPE,12.0,True,Antelope,2.5836412647163534e-06,True,66.0
ANTLER,1,North Valley,12.0,803,119,No,40.89453712707826,-122.38072195182964,239,exact,ANTLER,12.0,True,Antler,4.061925865135061e-06,True,66.0
APPLE HILL,3,Sierra,12.0;21.0,7964,612,No,,,366,exact,APPLE HILL,21.0,False,,,False,
ARANA,2,Central Coast,4.16,1136,111,No,36.9842876083443,-121.99037773136556,114,exact,ARANA,4.16,True,Arana,2.7920460959131398e-06,True,66.0
ARBUCKLE,3,Sacramento,12.0,1580,246,Yes,39.01747967888832,-122.06139482465692,558,exact,ARBUCKLE,12.0,True,Arbuckle,2.1337759821626737e-06,True,66.0
ARCATA,5,Humboldt,12.0,10871,955,Yes,40.86708117110176,-124.08842427813433,527,exact,ARCATA,12.0,True,Arcata,1.8427373835443054e-06,True,66.0
ARLINGTON,1,East Bay,4.16,673,11,No,37.88892427650707,-122.2729390429972,118,exact,ARLINGTON,4.16,True,Arlington,3.7931717894013047e-06,True,66.0
ARVIN,3,Kern,12.0,418,45,Yes,35.15031452530935,-118.87846735665951,476,exact,ARVIN,12.0,True,Arvin,3.974795331154482e-06,True,66.0
ASHLAN AVE,19,Fresno,12.0;21.0,31290,2336,Yes,36.79289039579161,-119.82800800955027,495,exact,ASHLAN AVE,12.0,True,Ashlan Ave,4.243993431739955,False,230.0
ATASCADERO,3,Los padres,12.0,8443,1058,No,35.465472178074315,-120.6714416884647,631,exact,ATASCADERO,12.0,True,Atascadero,1.0664072514082409e-06,True,66.0
ATWATER,7,Yosemite,12.0,14563,981,Yes,37.36010093561656,-120.61468476352314,623,exact,ATWATER,12.0,True,Atwater,3.260531980800269e-06,True,115.0
AUBERRY,2,Fresno,12.0,4385,426,No,37.06798806235496,-119.49571647400064,157,exact,AUBERRY,12.0,True,Auberry,5.546119452687524,False,115.0
AUBURN,2,Sierra,12.0,1887,343,No,38.90349314437346,-121.06982652969592,303,exact,AUBURN,12.0,True,Auburn,2.6152702176947593e-06,True,66.0
AVENA,2,Stockton,17.0,891,155,No,37.84226199204446,-121.0541250136846,19,exact,AVENA,17.0,True,Avena,1.2229728043823926e-06,True,115.0
AVENAL,1,Fresno,21.0,2747,228,Yes,,,352,exact,AVENAL,21.0,False,,,False,
BABEL,1,Diablo,4.16,433,42,No,,,240,exact,BABEL,4.16,False,,,False,
BAHIA,5,North Bay,12.0,10957,1464,Yes,38.08087076372414,-122.1373890774632,229,exact,BAHIA,12.0,True,Bahia,2.0155563721633574e-06,True,230.0
BAIR,4,Peninsula,12.0,479,192,Yes,37.49770280657784,-122.2140333653122,-1,unmatched,,,True,Bair,3.0837129989990844e-06,True,115.0
BAKERSFIELD,13,Kern,12.0;21.0,27938,3975,Yes,35.38723247177944,-119.0044360309872,95,exact,BAKERSFIELD,12.0,True,Bakersfield,2.8160227801430815e-06,True,66.0
BALCH NO 1,1,Fresno,12.0,36,18,No,,,428,exact,BALCH NO 1,12.0,False,,,False,
BALFOUR,1,Diablo,12.0,290,86,No,37.92583800616787,-121.67827598590216,48,exact,BALFOUR,12.0,True,Balfour,1.3078993193445761e-06,True,66.0
BANCROFT,2,East Bay,4.16,2002,76,No,37.73986963293181,-122.15540723260396,172,exact,BANCROFT,4.16,True,Bancroft,2.885428218787959e-06,True,66.0
BANGOR,1,North Valley,12.0,1837,176,No,39.38767373773818,-121.40317569925232,213,exact,BANGOR,12.0,True,Bangor,2.5958062764176965e-07,True,66.0
BARRETT,2,East Bay,4.16,3310,91,No,37.93956363231305,-122.34723449027432,615,exact,BARRETT,4.16,True,Barrett,8.908297831797377e-07,True,66.0
BARRY,3,Sacramento,12.0,532,105,No,39.06921638560733,-121.6898478161391,161,exact,BARRY,12.0,True,Barry,1.4764258906947378e-06,True,66.0
BARTON,13,Fresno,12.0,22715,2628,No,36.76424275634893,-119.73491080578825,409,exact,BARTON,12.0,True,Barton,3.4665858658046442,False,115.0
BASALT,4,North Bay,12.0,4635,503,Yes,38.26316201235704,-122.2692320112342,294,exact,BASALT,12.0,True,Basalt,1.0152428656074575e-06,True,66.0
BAY MEADOWS,13,Peninsula,12.0;21.0,32998,2479,Yes,37.55158035932156,-122.29285775519622,322,exact,BAY MEADOWS,12.0,True,Bay Meadows,0.003434231077006002,True,66.0
BAYWOOD,1,Los Padres,12.0,148,95,Yes,35.36124621126173,-120.81143387275726,580,exact,BAYWOOD,12.0,True,Baywood,2.474394988810139e-06,True,66.0
BEACH (Q),1,San francisco,4.16,1566,80,No,,,534,exact,BEACH (Q),4.16,False,,,False,
BEAR VALLEY,2,Yosemite,21.0,2427,361,No,37.58645560462845,-120.1255417263133,201,exact,BEAR VALLEY,21.0,True,Bear Valley,2.3750209630181757e-06,True,66.0
BECK STREET,1,East Bay,4.16,455,29,No,,,595,exact,BECK STREET,4.16,False,,,False,
BELL,4,Sierra,12.0,6345,1017,No,38.94679967505984,-121.0916715839996,627,exact,BELL,12.0,True,Bell,1.4887587783716624e-06,True,115.0
BELLE HAVEN,16,Peninsula,12.0;4.16,19289,1184,Yes,37.47765834121956,-122.1685055498896,-1,unmatched,,,True,Belle Haven,4.42398393157938e-06,True,66.0
BELLEVUE,6,Sonoma,12.0;21.0,20512,2526,Yes,38.37897355035385,-122.71253961282282,398,exact,BELLEVUE,21.0,True,Bellevue,4.6050656307315645,False,66.0
BELMONT,15,Peninsula,12.0;4.16,28609,2551,Yes,37.52346570103678,-122.26523211220224,339,exact,BELMONT,12.0,True,Belmont,3.963098915638159,False,66.0
BEN LOMOND,2,Central Coast,12.0;4.16,1533,88,No,,,356,exact,BEN LOMOND,12.0,False,,,False,
BERESFORD,4,Peninsula,4.16,3382,254,Yes,37.56489265618386,-122.31931200422642,500,exact,BERESFORD,4.16,True,Beresford,5.646499935084284e-07,True,66.0
BERKELEY F,14,East Bay,12.0;4.16,18957,1361,Yes,37.87242956835905,-122.27816911147052,661,exact,BERKELEY F,12.0,True,Berkeley F,1.0232240369257727e-06,True,66.0
BERKELEY T,4,East bay,4.16,2751,176,No,,,406,exact,BERKELEY T,4.16,False,,,False,
BETHEL BANK,1,Diablo,4.16,8,5,Yes,,,-1,unmatched,,,False,,,False,
BIG BASIN,2,Central Coast,12.0,3622,350,No,37.130888014806175,-122.17214468956844,335,exact,BIG BASIN,12.0,True,Big Basin,1.0680848318072094e-06,True,66.0
BIG BEND,2,North Valley,12.0,595,56,No,39.67735464121586,-121.49151789252134,332,exact,BIG BEND,12.0,True,Big Bend,12.5837222086109,False,66.0
BIG LAGOON,1,Humboldt,12.0,130,14,No,41.162714744863706,-124.10200637028775,218,exact,BIG LAGOON,12.0,True,Big Lagoon,2.54539869809863e-06,True,66.0
BIG MEADOWS,1,North valley,21.0,2917,323,No,40.171557302152735,-121.08533652645772,451,exact,BIG MEADOWS,21.0,True,Big Meadows,2.2607129115051715e-06,True,66.0
BIG RIVER,1,Humboldt,12.0,2114,460,No,39.31141158284998,-123.78654080553652,548,exact,BIG RIVER,12.0,True,Big River,5.721128386011882e-07,True,66.0
BIOLA,4,Fresno,12.0,1206,203,Yes,36.79273986686032,-120.11414660446664,501,exact,BIOLA,12.0,True,Biola,5.292217553502065e-07,True,66.0
BLACKWELL,2,Kern,12.0,41,47,Yes,35.61462223382047,-119.85371117195912,203,exact,BLACKWELL,12.0,True,Blackwell,2.5701405283046915e-06,True,66.0
BLUE LAKE,2,Humboldt,12.0,1712,219,Yes,40.87983429974335,-123.98059072697896,514,exact,BLUE LAKE,12.0,True,Blue Lake,2.268373767993582e-06,True,66.0
