sap_substation_name,lcr_area,city_served,division,owner,n_city_rows,match_type,match_score,basin_name,basin_norm_name,basin_lat,basin_lon
7TH STANDARD SUB,Kern,Bakersfield,KERN,PGE,1,unmatched,0.0,,,,
ACTON SUB,Greater Bay Area,Daly City; San Francisco,SAN FRANCISCO,PGE,2,fuzzy,76.92307692307692,Peachton,PEACHTON,39.37824172207953,-121.68509451825736
ADAMS EAST SOLAR SUB,Greater Fresno,San Joaquin County,YOSEMITE,nonPGE,1,unmatched,0.0,,,,
ADVANCED MICRO DEVICES SUB,Greater Bay Area,Sunnyvale,DE ANZA,nonPGE,1,unmatched,0.0,,,,
AEC SITE 300 SUB,Stockton,Tracy,STOCKTON,nonPGE,1,unmatched,0.0,,,,
AG WISHON PH SUB,Greater Fresno,Fresno County,FRESNO,PGE,1,unmatched,0.0,,,,
AIR PRODUCTS SUB,Greater Fresno,Fresno County,FRESNO,nonPGE,1,unmatched,0.0,,,,
AIRWAYS SUB,Greater Fresno,Clovis; Fresno,FRESNO,PGE,2,exact,100.0,Airways,AIRWAYS,36.77800449376864,-119.6737997732644
ALHAMBRA SUB,Greater Bay Area,Martinez; Pleasant Hill,DIABLO,PGE,2,exact,100.0,Alhambra,ALHAMBRA,37.9939232223922,-122.13011557123694
ALLEGHANY SUB,Sierra,Alleghany,SIERRA,PGE,1,exact,100.0,Alleghany,ALLEGHANY,39.46548155585289,-120.84480093929696
ALMADEN SUB,Greater Bay Area,San Jose,SAN JOSE,PGE,1,exact,100.0,Almaden,ALMADEN,37.25996121985501,-121.8898983887587
ALTO SUB,North Coast/North Bay,Belvedere; Corte Madera; Kentfield; Larkspur; Mill Valley; Muir Beach; Strawberry; Tamalpais-Homestead Valley; Tiburon,NORTH BAY,PGE,9,exact,100.0,Alto,ALTO,37.898627509040566,-122.5246062288268
AMES DIST SUB,Greater Bay Area,Mountain View,DE ANZA,PGE,1,unmatched,0.0,,,,
AMES TRANS SUB,Greater Bay Area,Mt. View,DE ANZA,PGE,1,unmatched,0.0,,,,
ANGIOLA SUB,Greater Fresno,Alpaugh; Corcoran,FRESNO,PGE,2,exact,100.0,Angiola,ANGIOLA,35.99203333952427,-119.57170833599842
ANNAPOLIS SUB,North Coast/North Bay,Annapolis,NORTH COAST,PGE,1,exact,100.0,Annapolis,ANNAPOLIS,38.6803029150572,-123.31188627934075
ANTIOCH SUB,Greater Bay Area,Antioch,DIABLO,PGE,1,exact,100.0,Antioch,ANTIOCH,38.01351801723007,-121.81555199417708
APPLE HILL SUB,Sierra,Placerville; Pollock Pines,SIERRA,PGE,2,unmatched,0.0,,,,
APPLIED MATERIALS SW STA SUB,Greater Bay Area,Sunnyvale,DE ANZA,PGE,1,unmatched,0.0,,,,
ARBURUA (TEXACO T & T INC.) SUB,Greater Fresno,Merced County,FRESNO,nonPGE,1,unmatched,0.0,,,,
ARCATA SUB,Humboldt,Arcata; Eureka; McKinleyville,HUMBOLDT,PGE,3,exact,100.0,Arcata,ARCATA,40.86708117110176,-124.08842427813433
ARCH ROCK SUB,Greater Fresno,Mariposa County,FRESNO,nonPGE,1,unmatched,0.0,,,,
ARLINGTON SUB,Greater Bay Area,Berkeley,EAST BAY,PGE,1,exact,100.0,Arlington,ARLINGTON,37.88892427650707,-122.2729390429972
ARMSTRONG SUB,Greater Fresno,Hanford,FRESNO,nonPGE,1,unmatched,0.0,,,,
ASHLAN AVE SUB,Greater Fresno,Fresno,FRESNO,PGE,1,exact,100.0,Ashlan Ave,ASHLAN AVE,36.79289039579161,-119.82800800955027
ASHLAN AVENUE SUB,Greater Fresno,Fresno,FRESNO,PGE,1,fuzzy,86.95652173913044,Ashlan Ave,ASHLAN AVE,36.79289039579161,-119.82800800955027
ATLANTIC SUB,Sierra,Roseville,SIERRA,PGE,1,exact,100.0,Atlantic,ATLANTIC,38.7636275956832,-121.2640322520378
ATWATER SUB,Greater Fresno,Atwater; Winton,YOSEMITE,PGE,2,exact,100.0,Atwater,ATWATER,37.36010093561656,-120.61468476352314
AUBERRY SUB,Greater Fresno,Auberry; Shaver Lake,FRESNO,PGE,2,exact,100.0,Auberry,AUBERRY,37.06798806235496,-119.49571647400064
AUBURN SUB,Sierra,Auburn; North Auburn,SIERRA,PGE,2,exact,100.0,Auburn,AUBURN,38.90349314437346,-121.06982652969592
AVENA SUB,Stockton,Farmington; Manteca,STOCKTON,PGE,2,exact,100.0,Avena,AVENA,37.84226199204446,-121.0541250136846
AVENAL PRISON SUB,Greater Fresno,Kings County,FRESNO,nonPGE,1,unmatched,0.0,,,,
AVENAL SUB,Greater Fresno,Avenal,FRESNO,nonPGE,1,fuzzy,90.9090909090909,Avena,AVENA,37.84226199204446,-121.0541250136846
BABEL SUB,Greater Bay Area,Concord,DIABLO,PGE,1,unmatched,0.0,,,,
BADGER CREEK SUB,Kern,Kern County,KERN,nonPGE,1,exact,100.0,Badger Creek,BADGER CREEK,35.48395557573786,-119.02970274863527
BAHIA SUB,North Coast/North Bay,Benicia,NORTH BAY,PGE,1,exact,100.0,Bahia,BAHIA,38.08087076372414,-122.1373890774632
BAIR SUB,Greater Bay Area,Redwood City,PENINSULA,PGE,1,exact,100.0,Bair,BAIR,37.49770280657784,-122.2140333653122
BAKER CREEK,Humboldt,Humboldt County,HUMBOLDT,nonPGE,1,fuzzy,86.95652173913044,Badger Creek,BADGER CREEK,35.48395557573786,-119.02970274863527
BAKERSFIELD JUNCTION SUB,Kern,Kern County,KERN,PGE,1,unmatched,0.0,,,,
BAKERSFIELD SUB,Kern,Bakersfield,KERN,PGE,1,exact,100.0,Bakersfield,BAKERSFIELD,35.38723247177944,-119.0044360309872
BALCH PH #1 SUB,Greater Fresno,Fresno County,FRESNO,PGE,1,fuzzy,77.77777777777779,Balch 1,BALCH 1,36.920001412286936,-119.08385062336936
BALCH PH #2 SUB,Greater Fresno,Fresno County,FRESNO,PGE,1,fuzzy,77.77777777777779,Balch 2,BALCH 2,36.90898957181731,-119.08759344986868
BALFOUR SUB,Greater Bay Area,Brentwood; Discovery Bay; Knightsen,DIABLO,PGE,3,exact,100.0,Balfour,BALFOUR,37.92583800616787,-121.67827598590216
BANCROFT SUB,Greater Bay Area,Oakland; San Leandro,EAST BAY,PGE,2,exact,100.0,Bancroft,BANCROFT,37.73986963293181,-122.15540723260396
BANGOR SUB,Sierra,Bangor; Challenge-Brownsville; Loma Rica; Palermo,SIERRA,PGE,4,exact,100.0,Bangor,BANGOR,39.38767373773818,-121.40317569925232
BANK OF AMERICA SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,nonPGE,1,unmatched,0.0,,,,
BANTA CARBONA SUB,Stockton,Tracy,STOCKTON,nonPGE,1,unmatched,0.0,,,,
BANTA SUB,Stockton,Lathrop; Tracy,STOCKTON,PGE,2,exact,100.0,Banta,BANTA,37.75292199551821,-121.35060399104756
BARKER SLOUGH SUB,Sierra,Solano County,SACRAMENTO,nonPGE,1,unmatched,0.0,,,,
BARRETT SUB,Greater Bay Area,Richmond,EAST BAY,PGE,1,exact,100.0,Barrett,BARRETT,37.93956363231305,-122.34723449027432
BARRY SUB,Sierra,Barry,SIERRA,PGE,1,exact,100.0,Barry,BARRY,39.06921638560733,-121.6898478161391
BARTON SUB,Greater Fresno,Clovis; Fresno,FRESNO,PGE,2,exact,100.0,Barton,BARTON,36.76424275634893,-119.73491080578825
BASALT SUB,North Coast/North Bay,Napa,NORTH BAY,PGE,1,exact,100.0,Basalt,BASALT,38.26316201235704,-122.2692320112342
BASCOM SUB,Greater Bay Area,San Jose,SAN JOSE,PGE,1,unmatched,0.0,,,,
BAY MEADOWS SUB,Greater Bay Area,Burlingame; Foster City; Highlands-Baywood Park; Hillsborough; San Mateo,PENINSULA,PGE,5,exact,100.0,Bay Meadows,BAY MEADOWS,37.55158035932156,-122.29285775519622
BEACH STREET SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE,1,unmatched,0.0,,,,
BEALE AIR FORCE BASE,Sierra,Marysville,SIERRA,nonPGE,1,unmatched,0.0,,,,
BEAR MOUNTAIN CO-GEN (DESTEC) SUB,Kern,Kern County,KERN,nonPGE,1,unmatched,0.0,,,,
BEAR VALLEY SUB,Greater Fresno,Bear Valley,YOSEMITE,PGE,1,exact,100.0,Bear Valley,BEAR VALLEY,37.58645560462845,-120.1255417263133
BEARDSLEY JCT SUB,Stockton,Strawberry,STOCKTON,PGE,1,fuzzy,81.81818181818181,Beardsley,BEARDSLEY,38.20287088680954,-120.07686006915937
BECK STREET SUB,Greater Bay Area,Oakland,EAST BAY,PGE,1,fuzzy,75.0,Blaine Street,BLAINE STREET,36.981477295057466,-122.02509786705484
BELDEN PH,Sierra,Belden,NORTH VALLEY,PGE,1,fuzzy,80.0,Belden,BELDEN,40.00740568078464,-121.24942204943804
BELL SUB,Sierra,Auburn; North Auburn,SIERRA,PGE,2,exact,100.0,Bell,BELL,38.94679967505984,-121.0916715839996
BELLE HAVEN SUB,Greater Bay Area,Atherton; East Palo Alto; Menlo Park; North Fair Oaks; Palo Alto; Redwood City,PENINSULA,PGE,6,exact,100.0,Belle Haven,BELLE HAVEN,37.47765834121956,-122.1685055498896
BELLEVUE SUB,North Coast/North Bay,Cotati; Rohnert Park; Santa Rosa,NORTH COAST,PGE,3,exact,100.0,Bellevue,BELLEVUE,38.37897355035385,-122.71253961282282
BELLOTA SUB,Stockton,Bellota,STOCKTON,PGE,1,exact,100.0,Bellota,BELLOTA,38.01551233898278,-121.01368657506131
BELMONT SUB,Greater Bay Area,Belmont; Foster City; Redwood City; San Carlos; San Mateo,PENINSULA,PGE,5,exact,100.0,Belmont,BELMONT,37.52346570103678,-122.26523211220224
BERESFORD SUB,Greater Bay Area,Hillsborough; San Mateo,PENINSULA,PGE,2,exact,100.0,Beresford,BERESFORD,37.56489265618386,-122.31931200422642
BERKELEY F SUB,Greater Bay Area,Albany; Berkeley; Oakland,EAST BAY,PGE,4,exact,100.0,Berkeley F,BERKELEY F,37.87242956835905,-122.27816911147052
BERKELEY T SUB,Greater Bay Area,Berkeley; Oakland,EAST BAY,nonPGE,3,fuzzy,90.0,Berkeley F,BERKELEY F,37.87242956835905,-122.27816911147052
BETHEL BANK SUB,Greater Bay Area,Bethel Island,DIABLO,nonPGE,1,unmatched,0.0,,,,
BIG BASIN SUB,Greater Bay Area,Boulder Creek,CENTRAL COAST,PGE,1,exact,100.0,Big Basin,BIG BASIN,37.130888014806175,-122.17214468956844
BIG LAGOON SUB,Humboldt,Big Lagoon Park,HUMBOLDT,PGE,1,exact,100.0,Big Lagoon,BIG LAGOON,41.162714744863706,-124.10200637028775
BIG RIVER SUB,North Coast/North Bay,Mendocino,HUMBOLDT,PGE,1,exact,100.0,Big River,BIG RIVER,39.31141158284998,-123.78654080553652
BIOLA SUB,Greater Fresno,Biola; Fresno,FRESNO,PGE,2,exact,100.0,Biola,BIOLA,36.79273986686032,-120.11414660446664
BIRDS EYE FOODS SUB (AGRILINK FOODS),Greater Bay Area,,CENTRAL COAST,nonPGE,1,unmatched,0.0,,,,
BLUE CHIP MILLING,Humboldt,Humboldt County,HUMBOLDT,nonPGE,1,unmatched,0.0,,,,
BLUE LAKE SUB,Humboldt,Blue Lake; McKinleyville,HUMBOLDT,PGE,2,exact,100.0,Blue Lake,BLUE LAKE,40.87983429974335,-123.98059072697896
BLUFORD CREEK HYDRO,Humboldt,Humboldt County,HUMBOLDT,nonPGE,1,unmatched,0.0,,,,
BOGUE SUB,Sierra,South Yuba City; Yuba City,SIERRA,PGE,2,exact,100.0,Bogue,BOGUE,39.095903402766886,-121.62397928761747
BOLINAS SUB,North Coast/North Bay,Bolinas; Stinson Beach,NORTH BAY,PGE,2,exact,100.0,Bolinas,BOLINAS,37.941212015097584,-122.70614899138528
BOLTHOUSE FARMS SUB,Kern,Kern County,KERN,nonPGE,1,unmatched,0.0,,,,
BONITA SUB,Greater Fresno,Madera,YOSEMITE,PGE,1,exact,100.0,Bonita,BONITA,36.92391823971697,-120.20157965744748
BONNIE NOOK SUB,Sierra,Dutch Flat,SIERRA,PGE,1,exact,100.0,Bonnie Nook,BONNIE NOOK,39.21470786930682,-120.8092924505058
BORDEN SUB,Greater Fresno,Bonadelle Ranchos-Madera Ranchos; Fresno; Madera; Parksdale; Parkwood,YOSEMITE,PGE,5,exact,100.0,Borden,BORDEN,36.92214300830158,-119.98461599164996
BORONDA SUB,Greater Bay Area,Salinas,CENTRAL COAST,PGE,1,exact,100.0,Boronda,BORONDA,36.69028668467311,-121.67925781517144
BOSTON SUB,Greater Bay Area,Oakland,EAST BAY,PGE,1,unmatched,0.0,,,,
BOSWELL SUB,Greater Fresno,Corcoran,FRESNO,PGE,1,exact,100.0,Boswell,BOSWELL,36.08514444248407,-119.55360555310266
BOSWELL TOMATO PLANT SUB,Greater Fresno,Kings County,FRESNO,nonPGE,1,unmatched,0.0,,,,
BOWLES SUB,Greater Fresno,Bowles; Easton,FRESNO,PGE,2,exact,100.0,Bowles,BOWLES,36.6056190151958,-119.77330698067958
