sap_substation_name,lcr_area,city_served,division,owner,n_city_rows,match_type,match_score,pge_name,pge_norm_name,pge_voltage_kv,pge_lat,pge_lon
7TH STANDARD SUB,Kern,Bakersfield,KERN,PGE,1,exact,100.0,7TH STANDARD,7TH STANDARD,12.0,35.43969344317223,-119.13116637687604
ACTON SUB,Greater Bay Area,Daly City; San Francisco,SAN FRANCISCO,PGE,2,exact,100.0,ACTON,ACTON,4.16,37.70866425535986,-122.45185131815214
ADAMS EAST SOLAR SUB,Greater Fresno,San Joaquin County,YOSEMITE,nonPGE,1,unmatched,0.0,,,,,
ADVANCED MICRO DEVICES SUB,Greater Bay Area,Sunnyvale,DE ANZA,nonPGE,1,unmatched,0.0,,,,,
AEC SITE 300 SUB,Stockton,Tracy,STOCKTON,nonPGE,1,unmatched,0.0,,,,,
AG WISHON PH SUB,Greater Fresno,Fresno County,FRESNO,PGE,1,unmatched,0.0,,,,,
AIR PRODUCTS SUB,Greater Fresno,Fresno County,FRESNO,nonPGE,1,unmatched,0.0,,,,,
AIRWAYS SUB,Greater Fresno,Clovis; Fresno,FRESNO,PGE,2,exact,100.0,AIRWAYS,AIRWAYS,12.0,36.77817677583952,-119.67395617756009
ALHAMBRA SUB,Greater Bay Area,Martinez; Pleasant Hill,DIABLO,PGE,2,exact,100.0,ALHAMBRA,ALHAMBRA,12.0,37.99408242188111,-122.13034397164172
ALLEGHANY SUB,Sierra,Alleghany,SIERRA,PGE,1,exact,100.0,ALLEGHANY,ALLEGHANY,12.0,39.465472208842606,-120.84426368187933
ALMADEN SUB,Greater Bay Area,San Jose,SAN JOSE,PGE,1,exact,100.0,ALMADEN,ALMADEN,12.0,37.26010442296057,-121.8898329799593
ALTO SUB,North Coast/North Bay,Belvedere; Corte Madera; Kentfield; Larkspur; Mill Valley; Muir Beach; Strawberry; Tamalpais-Homestead Valley; Tiburon,NORTH BAY,PGE,9,exact,100.0,ALTO,ALTO,12.0,37.898563217546894,-122.5246426549278
AMES DIST SUB,Greater Bay Area,Mountain View,DE ANZA,PGE,1,unmatched,0.0,,,,,
AMES TRANS SUB,Greater Bay Area,Mt. View,DE ANZA,PGE,1,unmatched,0.0,,,,,
ANGIOLA SUB,Greater Fresno,Alpaugh; Corcoran,FRESNO,PGE,2,unmatched,0.0,,,,,
ANNAPOLIS SUB,North Coast/North Bay,Annapolis,NORTH COAST,PGE,1,exact,100.0,ANNAPOLIS,ANNAPOLIS,12.0,38.679837362204594,-123.3107420981408
ANTIOCH SUB,Greater Bay Area,Antioch,DIABLO,PGE,1,unmatched,0.0,,,,,
APPLE HILL SUB,Sierra,Placerville; Pollock Pines,SIERRA,PGE,2,exact,100.0,APPLE HILL,APPLE HILL,21.0,38.73938813175536,-120.67736539967991
APPLIED MATERIALS SW STA SUB,Greater Bay Area,Sunnyvale,DE ANZA,PGE,1,unmatched,0.0,,,,,
ARBURUA (TEXACO T & T INC.) SUB,Greater Fresno,Merced County,FRESNO,nonPGE,1,unmatched,0.0,,,,,
ARCATA SUB,Humboldt,Arcata; Eureka; McKinleyville,HUMBOLDT,PGE,3,exact,100.0,ARCATA,ARCATA,12.0,40.86730949748007,-124.08825985825644
ARCH ROCK SUB,Greater Fresno,Mariposa County,FRESNO,nonPGE,1,unmatched,0.0,,,,,
ARLINGTON SUB,Greater Bay Area,Berkeley,EAST BAY,PGE,1,exact,100.0,ARLINGTON,ARLINGTON,4.16,37.88897961680794,-122.27297827230667
ARMSTRONG SUB,Greater Fresno,Hanford,FRESNO,nonPGE,1,unmatched,0.0,,,,,
ASHLAN AVE SUB,Greater Fresno,Fresno,FRESNO,PGE,1,exact,100.0,ASHLAN AVE,ASHLAN AVE,12.0,36.79285389656522,-119.82738205997627
ASHLAN AVENUE SUB,Greater Fresno,Fresno,FRESNO,PGE,1,fuzzy,86.95652173913044,ASHLAN AVE,ASHLAN AVE,12.0,36.79285389656522,-119.82738205997627
ATLANTIC SUB,Sierra,Roseville,SIERRA,PGE,1,unmatched,0.0,,,,,
ATWATER SUB,Greater Fresno,Atwater; Winton,YOSEMITE,PGE,2,exact,100.0,ATWATER,ATWATER,12.0,37.3600903184248,-120.61458852452108
AUBERRY SUB,Greater Fresno,Auberry; Shaver Lake,FRESNO,PGE,2,exact,100.0,AUBERRY,AUBERRY,12.0,37.0682317832377,-119.49617440265196
AUBURN SUB,Sierra,Auburn; North Auburn,SIERRA,PGE,2,exact,100.0,AUBURN,AUBURN,12.0,38.90362002905324,-121.07000550995504
AVENA SUB,Stockton,Farmington; Manteca,STOCKTON,PGE,2,exact,100.0,AVENA,AVENA,17.0,37.84274975923836,-121.05412253622625
AVENAL PRISON SUB,Greater Fresno,Kings County,FRESNO,nonPGE,1,unmatched,0.0,,,,,
AVENAL SUB,Greater Fresno,Avenal,FRESNO,nonPGE,1,exact,100.0,AVENAL,AVENAL,21.0,35.978183285259895,-120.1169296096175
BABEL SUB,Greater Bay Area,Concord,DIABLO,PGE,1,exact,100.0,BABEL,BABEL,4.16,37.96340949870682,-122.00737229942786
