sap_substation_name,lcr_area,city_served,division,owner,n_city_rows
7TH STANDARD SUB,Kern,Bakersfield,KERN,PGE,1
ACTON SUB,Greater Bay Area,Daly City; San Francisco,SAN FRANCISCO,PGE,2
ADAMS EAST SOLAR SUB,Greater Fresno,San Joaquin County,YOSEMITE,nonPGE,1
ADVANCED MICRO DEVICES SUB,Greater Bay Area,Sunnyvale,DE ANZA,nonPGE,1
AEC SITE 300 SUB,Stockton,Tracy,STOCKTON,nonPGE,1
AG WISHON PH SUB,Greater Fresno,Fresno County,FRESNO,PGE,1
AIR PRODUCTS SUB,Greater Fresno,Fresno County,FRESNO,nonPGE,1
AIRWAYS SUB,Greater Fresno,Clovis; Fresno,FRESNO,PGE,2
ALHAMBRA SUB,Greater Bay Area,Martinez; Pleasant Hill,DIABLO,PGE,2
ALLEGHANY SUB,Sierra,Alleghany,SIERRA,PGE,1
ALMADEN SUB,Greater Bay Area,San Jose,SAN JOSE,PGE,1
ALTO SUB,North Coast/North Bay,Belvedere; Corte Madera; Kentfield; Larkspur; Mill Valley; Muir Beach; Strawberry; Tamalpais-Homestead Valley; Tiburon,NORTH BAY,PGE,9
AMES DIST SUB,Greater Bay Area,Mountain View,DE ANZA,PGE,1
AMES TRANS SUB,Greater Bay Area,Mt. View,DE ANZA,PGE,1
ANGIOLA SUB,Greater Fresno,Alpaugh; Corcoran,FRESNO,PGE,2
ANNAPOLIS SUB,North Coast/North Bay,Annapolis,NORTH COAST,PGE,1
ANTIOCH SUB,Greater Bay Area,Antioch,DIABLO,PGE,1
APPLE HILL SUB,Sierra,Placerville; Pollock Pines,SIERRA,PGE,2
APPLIED MATERIALS SW STA SUB,Greater Bay Area,Sunnyvale,DE ANZA,PGE,1
ARBURUA (TEXACO T & T INC.) SUB,Greater Fresno,Merced County,FRESNO,nonPGE,1
ARCATA SUB,Humboldt,Arcata; Eureka; McKinleyville,HUMBOLDT,PGE,3
ARCH ROCK SUB,Greater Fresno,Mariposa County,FRESNO,nonPGE,1
ARLINGTON SUB,Greater Bay Area,Berkeley,EAST BAY,PGE,1
ARMSTRONG SUB,Greater Fresno,Hanford,FRESNO,nonPGE,1
ASHLAN AVE SUB,Greater Fresno,Fresno,FRESNO,PGE,1
ASHLAN AVENUE SUB,Greater Fresno,Fresno,FRESNO,PGE,1
ATLANTIC SUB,Sierra,Roseville,SIERRA,PGE,1
ATWATER SUB,Greater Fresno,Atwater; Winton,YOSEMITE,PGE,2
AUBERRY SUB,Greater Fresno,Auberry; Shaver Lake,FRESNO,PGE,2
AUBURN SUB,Sierra,Auburn; North Auburn,SIERRA,PGE,2
AVENA SUB,Stockton,Farmington; Manteca,STOCKTON,PGE,2
AVENAL PRISON SUB,Greater Fresno,Kings County,FRESNO,nonPGE,1
AVENAL SUB,Greater Fresno,Avenal,FRESNO,nonPGE,1
BABEL SUB,Greater Bay Area,Concord,DIABLO,PGE,1
BADGER CREEK SUB,Kern,Kern County,KERN,nonPGE,1
BAHIA SUB,North Coast/North Bay,Benicia,NORTH BAY,PGE,1
BAIR SUB,Greater Bay Area,Redwood City,PENINSULA,PGE,1
BAKER CREEK,Humboldt,Humboldt County,HUMBOLDT,nonPGE,1
BAKERSFIELD JUNCTION SUB,Kern,Kern County,KERN,PGE,1
BAKERSFIELD SUB,Kern,Bakersfield,KERN,PGE,1
BALCH PH #1 SUB,Greater Fresno,Fresno County,FRESNO,PGE,1
BALCH PH #2 SUB,Greater Fresno,Fresno County,FRESNO,PGE,1
BALFOUR SUB,Greater Bay Area,Brentwood; Discovery Bay; Knightsen,DIABLO,PGE,3
BANCROFT SUB,Greater Bay Area,Oakland; San Leandro,EAST BAY,PGE,2
BANGOR SUB,Sierra,Bangor; Challenge-Brownsville; Loma Rica; Palermo,SIERRA,PGE,4
BANK OF AMERICA SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,nonPGE,1
BANTA CARBONA SUB,Stockton,Tracy,STOCKTON,nonPGE,1
BANTA SUB,Stockton,Lathrop; Tracy,STOCKTON,PGE,2
BARKER SLOUGH SUB,Sierra,Solano County,SACRAMENTO,nonPGE,1
BARRETT SUB,Greater Bay Area,Richmond,EAST BAY,PGE,1
BARRY SUB,Sierra,Barry,SIERRA,PGE,1
BARTON SUB,Greater Fresno,Clovis; Fresno,FRESNO,PGE,2
BASALT SUB,North Coast/North Bay,Napa,NORTH BAY,PGE,1
BASCOM SUB,Greater Bay Area,San Jose,SAN JOSE,PGE,1
BAY MEADOWS SUB,Greater Bay Area,Burlingame; Foster City; Highlands-Baywood Park; Hillsborough; San Mateo,PENINSULA,PGE,5
BEACH STREET SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE,1
BEALE AIR FORCE BASE,Sierra,Marysville,SIERRA,nonPGE,1
BEAR MOUNTAIN CO-GEN (DESTEC) SUB,Kern,Kern County,KERN,nonPGE,1
BEAR VALLEY SUB,Greater Fresno,Bear Valley,YOSEMITE,PGE,1
BEARDSLEY JCT SUB,Stockton,Strawberry,STOCKTON,PGE,1
BECK STREET SUB,Greater Bay Area,Oakland,EAST BAY,PGE,1
BELDEN PH,Sierra,Belden,NORTH VALLEY,PGE,1
BELL SUB,Sierra,Auburn; North Auburn,SIERRA,PGE,2
BELLE HAVEN SUB,Greater Bay Area,Atherton; East Palo Alto; Menlo Park; North Fair Oaks; Palo Alto; Redwood City,PENINSULA,PGE,6
BELLEVUE SUB,North Coast/North Bay,Cotati; Rohnert Park; Santa Rosa,NORTH COAST,PGE,3
BELLOTA SUB,Stockton,Bellota,STOCKTON,PGE,1
BELMONT SUB,Greater Bay Area,Belmont; Foster City; Redwood City; San Carlos; San Mateo,PENINSULA,PGE,5
BERESFORD SUB,Greater Bay Area,Hillsborough; San Mateo,PENINSULA,PGE,2
BERKELEY F SUB,Greater Bay Area,Albany; Berkeley; Oakland,EAST BAY,PGE,4
BERKELEY T SUB,Greater Bay Area,Berkeley; Oakland,EAST BAY,nonPGE,3
BETHEL BANK SUB,Greater Bay Area,Bethel Island,DIABLO,nonPGE,1
BIG BASIN SUB,Greater Bay Area,Boulder Creek,CENTRAL COAST,PGE,1
BIG LAGOON SUB,Humboldt,Big Lagoon Park,HUMBOLDT,PGE,1
BIG RIVER SUB,North Coast/North Bay,Mendocino,HUMBOLDT,PGE,1
