substation_name,substation_id,division,voltage_kv,num_banks,ungrounded_banks,existing_dg_kw,queued_dg_kw,total_dg_kw,redacted,longitude,latitude
POTTER VALLEY PH,4228,Humboldt,12.0,3.0,,540,90,630,No,-123.12811806063024,39.36111012453688
POTTER VALLEY P H,4228,Humboldt,12.0,3.0,,540,90,630,No,-123.12811806063024,39.36111012453688
MERIDIAN,6254,Sacramento,12.0,1.0,1,2520,6340,8860,Yes,-121.91109944135476,39.14481683871717
CAMPHORA,18207,Central Coast,4.16,2.0,1,13450,30,13480,Yes,-121.38996298634068,36.46804335630432
KESWICK,10345,North Valley,12.0,1.0,1,930,30,960,Yes,-122.46188179724514,40.62428153277881
TULARE LAKE,25295,Fresno,12.0,2.0,2,11660,8200,19860,Yes,-119.9497300197778,36.00355985886542
BELLE HAVEN,2402,Peninsula,4.16,5.0,,17400,4760,22160,Yes,-122.16858181879331,37.47813288447652
SF J,2222,San Francisco,4.16,2.0,,18440,30,18470,Yes,-122.40203090580668,37.794094641981566
TEVIS,25532,Kern,21.0,3.0,,65270,6710,71980,Yes,-119.12911695167334,35.31940074614067
RAINBOW,25444,Fresno,12.0,1.0,,14520,3070,17590,Yes,-119.5383410831708,36.71001709792986
NEWHALL,25446,Yosemite,12.0,2.0,,10200,12150,22350,Yes,-120.32930009715324,36.86712437315204
CASTROVILLE,18235,Central Coast,21.0,1.0,,12680,3640,16320,Yes,-121.73534398224324,36.76322140253611
SF L,2226,San Francisco,4.16,2.0,,8140,240,8380,Yes,-122.4711019490942,37.73037503356227
FELTON,8314,Central Coast,4.16,1.0,,0,0,0,Yes,-122.0644545612008,37.04909053509473
BAIR,2426,Peninsula,12.0,2.0,,1180,2400,3580,Yes,-122.21385362195385,37.49752040093773
EMBARCADERO (Z),2287,San Francisco,12.0,1.0,,8760,310,9070,Yes,-122.39363802548571,37.787578098008446
OAKLAND K,1210,East Bay,12.0,1.0,,14940,1260,16200,Yes,-122.22891804293768,37.847862884381655
SAN BERNARD,25319,Kern,12.0,1.0,,730,24050,24780,Yes,-118.87803756798586,35.092163724692846
BANTA,16247,Stockton,12.0,1.0,,0,720,720,Yes,-121.35039565199938,37.75284027599063
CARBONA,16309,Stockton,12.0,2.0,,0,0,0,Yes,-121.4176316392395,37.69252466896478
TWISSELMAN,25440,Kern,21.0,2.0,,29780,22120,51900,Yes,-119.85805805624112,35.73040526500354
WILDWOOD,10361,North Valley,12.0,1.0,1,800,0,800,Yes,-123.04406660206844,40.387015413928566
FLINT,15253,Sierra,12.0,1.0,,4390,400,4790,Yes,-121.06721761707118,38.8851928430152
MARINA (F),2278,San Francisco,4.16,3.0,,1210,80,1290,Yes,-122.43292366391157,37.80378471822409
HARDWICK,25371,Fresno,12.0,1.0,1,14120,2030,16150,Yes,-119.68552509820788,36.40415088193051
NORTH BRANCH,16323,Stockton,12.0,1.0,1,0,100,100,No,-120.71919834624332,38.19926518387522
MAINE PRAIRIE,6867,North Bay,4.16,1.0,1,140,0,140,Yes,-121.75925484023578,38.38519794027344
WISHON,25151,Yosemite,12.0,1.0,,0,0,0,Yes,-119.50518495210504,37.15077516130075
VINA,10358,North Valley,12.0,1.0,1,2000,4220,6220,Yes,-122.04133725359485,39.94149064179132
PORTOLA,2261,San Francisco,4.16,2.0,,1380,120,1500,Yes,-122.45297067958056,37.74525528678235
BOGARD,10330,North Valley,12.0,1.0,1,0,0,0,Yes,-121.0918573876382,40.58832981461901
PIT NO 7,10350,North Valley,12.0,1.0,,0,0,0,Yes,-121.9908102636006,40.84883693227003
SF K,2213,San Francisco,4.16,5.0,,2620,4610,7230,Yes,-122.4838239209022,37.77662104706635
RICHMOND Q,1252,East Bay,4.16,2.0,,430,80,510,Yes,-122.33656174158853,37.92469700335236
LARKIN (Y),2280,San Francisco,12.0,6.0,,15080,1070,16150,Yes,-122.41709996298523,37.78386895744195
CORTINA,6312,Sacramento,12.0,1.0,,2270,6940,9210,Yes,-122.22397933722276,39.12085903691983
TULE POWER HOUSE,25859,Fresno,12.0,1.0,,0,0,0,No,-118.7060628045967,36.16309619762456
MADISON,6317,Sacramento,12.0,3.0,,12770,51760,64530,Yes,-121.968225369872,38.6702386370396
BATAVIA,6866,Sacramento,12.0,1.0,,0,0,0,Yes,-121.776114528344,38.38672984330079
SPANISH CREEK,10310,North Valley,44.0,1.0,,0,0,0,Yes,-120.96291151344678,40.027127188809686
CORDELIA,6270,North Bay,12.0,2.0,4,13830,5830,19660,Yes,-122.11186468922854,38.21563871076733
SF G,2209,San Francisco,4.16,3.0,,1460,330,1790,Yes,-122.44062610314488,37.78179800978079
