SUB_NAME,SUBST_ID,SYS_NAME,SUB_TYPE,SUB_TYPE_LEGEND,SUBSTATION_VOLTAGE,EXISTING_GEN,QUEUED_GEN,TOTAL_GEN,PROJECTED_LOAD,PENETRATION_LEVEL,MAX_REMAIN_CAP,NOTE,OBJECTID,longitude,latitude
Primm,2167,Eldorado 220/115 System,T -- Transmission,Subtransmission / Transmission,220/115 kV,0.0,0.0,0.0,0.0,0.0,0.0,Interconnection studies in this area have identified inadequate deliverability.,32,-115.3492069963033,35.6409529977446
Recycle P.T.,2356,Valley 'Ab' 500/115 System,A -- District Pole Top,Distribution,33/12 kV,0.0,0.0,0.0,0.0,0.0,5.0,Deliverability in this area has not been determined by previous interconnection studies.,47,-117.22667934052474,33.769311283559816
Regatta P.T.,2287,Big Creek 220/220 System,D -- Distribution,Distribution,33/12 kV,0.0,0.0,0.0,0.6,0.0,1.0,Interconnection studies in this area have identified inadequate deliverability.,52,-119.2324602993806,37.23671983458462
Santa Clara,318,Santa Clara 220/66 System,S -- Sub-transmission,Subtransmission / Transmission,220/66 kV,294.703,87.988,382.691,655.6,58.37,441.26,Interconnection studies in this area have identified adequate deliverability.,82,-119.18762300178538,34.302843003251674
Springville,306,Springville 220/66 System,S -- Sub-transmission,Subtransmission / Transmission,220/66 kV,128.788,67.979,196.767,244.2,80.56,363.18,Interconnection studies in this area have identified inadequate deliverability.,122,-118.93841799837114,36.10803200441783
Stewval P.T.,1557,Valley Electric System,A -- District Pole Top,Distribution,25/25 kV,0.0,0.0,0.0,0.0,0.0,0.6,Deliverability in this area has not been determined by previous interconnection studies.,128,-116.12705299749538,36.18544769220795
Vista,334,Vista 220/115 System,S -- Sub-transmission,Subtransmission / Transmission,220/115 kV,123.087,28.878,151.966,490.6,30.97,408.03,Interconnection studies in this area have identified adequate deliverability.,192,-117.31895400501956,34.04131699907365
China Ranch P.T.,1336,Vea Death Valley Junction-72 System,A -- District Pole Top,Distribution,33/2.4 kV,0.0,0.0,0.0,0.0,0.0,0.1,Interconnection studies in this area have identified adequate deliverability.,218,-116.18903964111246,35.82827691887815
Fish Valley,192,Inyo Sce 220/115 System,T -- Transmission,Subtransmission / Transmission,55/55 kV,0.0,0.0,0.0,0.0,0.0,0.0,Interconnection studies in this area have identified inadequate deliverability.,247,-117.8850037564599,37.490690346339534
Fortune P.T.,2301,Valley 'Ab' 500/115 System,A -- District Pole Top,Distribution,33/12 kV,0.0,0.0,0.0,0.0,0.0,10.0,Deliverability in this area has not been determined by previous interconnection studies.,270,-116.92905165617078,33.78847912869119
Forty Eight St. P.T.,1381,La Cienega 220/66 System,A -- District Pole Top,Distribution,16/4.16 kV,0.0,0.0,0.0,0.0,0.0,0.5,Interconnection studies in this area have identified adequate deliverability.,271,-118.33120425305948,33.99991006348528
Control,187,Inyo Sce 220/115 System,T -- Transmission,Subtransmission / Transmission,115/55 kV,7.575,1.346,8.921,54.4,16.4,47.08,Interconnection studies in this area have identified inadequate deliverability.,305,-118.48085000382235,37.33542300124301
Drinkwater P.T. Pb,2257,Saugus 220/66 System,D -- Distribution,Distribution,2.4/16 kV,0.0,0.0,0.0,0.0,0.0,0.3,Interconnection studies in this area have identified adequate deliverability.,350,-118.45490725587705,34.58798716399067
Eagle Rock,283,Eagle Rock 220/66 System,S -- Sub-transmission,Subtransmission / Transmission,220/66 kV,16.87,3.102,19.972,269.5,7.41,540.03,Interconnection studies in this area have identified adequate deliverability.,357,-118.18440999461907,34.14996000085006
Antelope,317,Antelope 220/66 System,S -- Sub-transmission,Subtransmission / Transmission,220/66 kV,469.532,117.809,587.341,644.7,91.1,252.66,Interconnection studies in this area have identified adequate deliverability.,391,-118.30024699649252,34.68734799747701
Bailey,327,Bailey 220/66 System,S -- Sub-transmission,Subtransmission / Transmission,220/66 kV,3.142,0.47,3.611,92.9,3.89,556.39,Interconnection studies in this area have identified adequate deliverability.,408,-118.77442899582768,34.77649100015351
Bird Springs P.T.,1306,Vestal 220/66 System,A -- District Pole Top,Distribution,12/2.4 kV,0.0,0.0,0.0,0.0,0.0,0.1,Interconnection studies in this area have identified inadequate deliverability.,432,-118.14249646180583,35.54790360144478
Brookings P.T.,1301,Vista 220/115 System,A -- District Pole Top,Distribution,12/4.16 kV,0.0,0.0,0.0,0.0,0.0,0.05,Interconnection studies in this area have identified adequate deliverability.,455,-117.12977060041212,34.233039630292566
Highgrove,139,Vista 220/115 System,S -- Sub-transmission,Subtransmission / Transmission,115/115 kV,0.0,0.0,0.0,0.0,0.0,0.0,Interconnection studies in this area have identified adequate deliverability.,509,-117.3328150006805,34.022271000977824
Hillgreen P.T.,2234,La Cienega 220/66 System,A -- District Pole Top,Distribution,16/2.4 kV,0.006,0.01,0.016,0.1,16.0,0.08,Interconnection studies in this area have identified adequate deliverability.,511,-118.40685698214268,34.05565240486036
Hinson,351,Hinson 220/66 System,S -- Sub-transmission,Subtransmission / Transmission,220/66 kV,32.764,22.277,55.041,521.6,10.55,504.99,Interconnection studies in this area have identified adequate deliverability.,513,-118.22253900322433,33.81926899922188
Panchito P.T.,1929,Santa Clara 220/66 System,A -- District Pole Top,Distribution,16/4.16 kV,0.0,0.0,0.0,0.0,0.0,0.75,Interconnection studies in this area have identified adequate deliverability.,521,-119.05964252588136,34.112904813268074
Inspiration P.T.,2291,Big Creek 220/220 System,A -- District Pole Top,Distribution,7/2.4 kV,0.0,0.0,0.0,0.0,0.0,0.0,Interconnection studies in this area have identified inadequate deliverability.,549,-119.23680160069635,37.217003000677686
Inyo Sce,1615,Inyo Sce 220/115 System,S -- Sub-transmission,Subtransmission / Transmission,220/115 kV,32.064,61.065,93.129,67.4,138.24,6.87,Interconnection studies in this area have identified inadequate deliverability.,550,-118.44081999742586,37.342078998275525
Ivanpah,2137,Eldorado 220/115 System,T -- Transmission,Subtransmission / Transmission,220/115 kV,0.0,0.0,0.0,0.0,0.0,560.0,Interconnection studies in this area have identified inadequate deliverability.,557,-115.46883209031964,35.54446791495526
La Cienega,303,La Cienega 220/66 System,S -- Sub-transmission,Subtransmission / Transmission,220/66 kV,40.403,8.11,48.512,521.2,9.31,766.37,Interconnection studies in this area have identified adequate deliverability.,580,-118.37834700117509,34.00035900376164
Macneil,2028,Eagle Rock 220/66 System,S -- Sub-transmission,Subtransmission / Transmission,66/66 kV,0.0,0.0,0.0,0.0,0.0,0.0,Interconnection studies in this area have identified adequate deliverability.,627,-118.34730555450317,34.172305552354736
Mirage,1611,Mirage 220/115 System,S -- Sub-transmission,Subtransmission / Transmission,220/115 kV,188.341,16.882,205.224,473.2,43.37,634.78,Interconnection studies in this area have identified inadequate deliverability.,657,-116.3708330016444,33.81805599852156
Mt. Givens P.T.,1481,Big Creek 220/220 System,A -- District Pole Top,Distribution,12/2.4 kV,0.0,0.0,0.0,0.0,0.0,0.05,Interconnection studies in this area have identified inadequate deliverability.,677,-119.1571062233857,37.25769472982604
Noble P.T.,1482,Kramer 220/115 System,A -- District Pole Top,Distribution,33/12 kV,0.0,0.0,0.0,0.1,0.0,0.1,Interconnection studies in this area have identified inadequate deliverability.,699,-116.89077649597506,35.04832727311128
