substation_name,subst_id,sys_name,existing_gen,queued_gen,total_gen,projected_load,der_penetration,max_remain_cap,voltage_kv,circuit_count,res_pct,com_pct,agr_pct,ind_pct,other_pct,res_total,com_total,agr_total,ind_total,other_total,note_sub
Acequia P.t.,2229.0,Rector 220/66 System,0.0,0.0,0.0,0.14,0.0,0.33,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
Aerojet,1201.0,Rio Hondo 220/66 System,0.0,0.0,0.0,3.28,0.0,14.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Afg,,,,,,,,,12.0,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,
Airchem,538.0,El Nido 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Alamitos,118.0,Alamitos 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Alamo,220.0,Bailey 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Aliso Energy,1106.0,Santiago 220/66 System,0.0,0.0,0.0,1.2,0.0,10.5,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Alpha Beta,1113.0,Olinda 220/66 System,0.0,0.0,0.0,1.97,0.0,2.5,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Alton,973.0,Johanna 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Altwind,7.0,Devers 220/115 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Deliverability in this area has not been determined by previous interconnection studies.
Alumax,272.0,Vista C 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Amargosa,,,,,,,,,25.0,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,
Amco,531.0,La Fresa 220/66 System,0.0,0.0,0.0,14.02,0.0,28.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Ameron,1048.0,Etiwanda A 220/66 System,0.0,0.0,0.0,33.53,0.0,80.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Apl,1263.0,Hinson 220/66 System,0.0,0.0,0.0,6.05,0.0,14.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Apollo,920.0,Barre 220/66 System,0.0,0.0,0.0,4.2,0.0,22.39,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Appgen,16.0,Saugus 220/66 System,0.0,0.0,0.0,0.0,0.0,118.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Aqua Mansa,280.0,Vista A 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Arbors,1271.0,Etiwanda 220/66 System,0.0,0.0,0.0,26.0,0.0,50.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Arbwind,54.0,Windhub 220/66 System,0.0,0.0,0.0,0.1,0.0,21.6,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Arco,1104.0,Hinson 220/66 System,0.0,0.0,0.0,4.89,0.0,7.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Astro,1103.0,Lighthipe 220/66 System,0.0,0.0,0.0,1.89,0.0,12.5,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Autobody,2183.0,Rio Hondo 220/66 System,0.006,0.0,0.006,1.0,0.01,0.99,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Avocado P.t.,1279.0,Santa Clara 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Ayersman P.t.,1280.0,Goleta 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Azusa,450.0,Rio Hondo 220/66 System,0.0,0.0,0.0,49.5,0.0,84.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Badillo,451.0,Rio Hondo 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Baker,1780.0,Kramer 220/115 System,0.0,0.0,0.0,5.6,0.0,5.6,12.0,3.0,12.5461,23.6162,0.0,0.0,63.8376,34.0,64.0,0.0,0.0,173.0,Interconnection studies in this area have identified inadequate deliverability.
Ballarat P.t.,,,,,,,,,12.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,
Banwind,104.0,Devers 220/115 System,0.0,0.0,0.0,38.8,0.0,42.6,,,,,,,,,,,,,Deliverability in this area has not been determined by previous interconnection studies.
Barre 'Ab',366.0,Barre 220/66 System,95.203,25.501,120.704,477.86,0.25,439.3,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Barre 'C',365.0,Barre 220/66 System,56.042,31.6,87.642,250.38,0.35,192.36,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Beverly A,,,,,,,,,16.0,16.0,38.9855,31.1933,0.1715,0.049,29.6006,1591.0,1273.0,7.0,2.0,1208.0,
Beverly B,,,,,,,,,4.0,19.0,36.5225,28.5189,0.0,0.0,34.9586,397.0,310.0,0.0,0.0,380.0,
Big Creek 1,144.0,Big Creek 220/220 System,0.134,0.013,0.148,7.67,0.02,9.85,33.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,10.0,Interconnection studies in this area have identified inadequate deliverability.
Big Creek 2,559.0,Big Creek 220/220 System,0.0,0.0,0.0,0.0,0.0,3.0,12.0,3.0,0.0,2.5641,0.0,0.0,97.4359,0.0,1.0,0.0,0.0,38.0,Interconnection studies in this area have identified inadequate deliverability.
Big Creek 3,150.0,Big Creek 220/220 System,0.0,0.0,0.0,0.0,0.0,0.0,2.4,2.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,Interconnection studies in this area have identified inadequate deliverability.
Big Creek 3 0,151.0,Big Creek 220/220 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
Big Creek 4,154.0,Big Creek 220/220 System,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,Interconnection studies in this area have identified inadequate deliverability.
Big Creek 4 0,153.0,Big Creek 220/220 System,0.0,0.0,0.0,0.0,0.0,0.1,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
Big Creek 8,148.0,Big Creek 220/220 System,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,Interconnection studies in this area have identified inadequate deliverability.
Big Creek 8 0,149.0,Big Creek 220/220 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
Big River,,,,,,,,,12.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,
Bishop Creek 2,,,,,,,,,12.0,1.0,67.0455,9.0909,0.0,0.0,23.8636,59.0,8.0,0.0,0.0,21.0,
Bishop Creek 4,,,,,,,,,2.4,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,
Bishop Creek Plant 2,2198.0,Inyo Sce 220/115 System,0.087,0.0,0.087,0.55,0.16,0.91,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
Bishop Creek Plant 3,182.0,Inyo Sce 220/115 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
