OBJECTID,Name,Sub_Type,longitude,latitude
1,106TH SOUTH,Distribution,-111.90079722905716,40.55613044397596
2,118TH SOUTH,Distribution,-111.89669926025807,40.53945840738164
3,126TH SOUTH,Distribution,-111.9980161026154,40.52146664021845
4,13TH SOUTH,Distribution,-111.88637022361044,40.73976713431418
5,23RD STREET,Distribution,-111.96932166126253,41.22619541316188
6,26TH ST_OSU,Distribution,-123.27968151673608,44.56738110031464
7,35TH ST_OSU,Distribution,-123.2896567429259,44.56543132078684
8,70TH SOUTH,Distribution,-111.96656771675724,40.62318803792939
9,90TH SOUTH,Trans and Distrib,-111.91552945239302,40.58983821329614
10,ABAJO,Transmission,-109.5483650499852,37.30424985201967
11,AEOLUS,Transmission,-106.37636864051784,42.01376657273783
13,AGNESS AVE,Distribution,-123.29841614519276,42.43176532816428
14,ALBINA,Distribution,-122.67779190762506,45.53857026750888
15,ALDERWOOD,Distribution,-122.5582267209255,45.56744230171419
16,ALEXANDER,Distribution,-111.70100974403084,42.64908720174483
17,ALTAVIEW,Distribution,-111.8575103592946,40.58097926431874
20,AMALGA,Distribution,-111.89294140799862,41.844943752796446
21,AMASA,Transmission,-105.89638535439929,42.77771379864173
22,AMERICAN FORK,Distribution,-111.78307661601254,40.37504636584453
23,AMMON,Distribution,-111.9436733082234,43.452925036704805
24,AMPS,Transmission,-112.61442730438264,44.089984684549805
25,ANDALEX SW STA,Transmission,-110.74058321191036,39.63340630324012
26,ANDERSON,Distribution,-112.36687831090786,43.79751729272687
27,ANGEL,Trans and Distrib,-111.98848272627278,41.06784753436247
28,ANTELOPE,Transmission,-112.92632178442906,43.53369183759381
29,ANTELOPE MINE,Distribution,-105.3300407497776,43.46224666414053
30,ANTICLINE,Transmission,-108.74387970279378,41.711405532006495
31,APEX (FUTURE),Transmission,-119.83720993274684,45.69024761242138
32,APPLE VALLEY,Distribution,-113.10962946536246,37.08289155580509
33,APPLEGATE,Trans and Distrib,-123.30570419056755,42.34703720077721
34,ARAGONITE,Distribution,-113.0049986615652,40.76322112752076
35,ARCHES,Distribution,-109.42339071798942,38.43789163626495
36,ARCO,Distribution,-113.29513407693446,43.63500614975958
37,ARIEL,Trans and Distrib,-122.5664102015856,45.95341110929862
38,ARIMO,Distribution,-112.1618934961428,42.56162406195032
39,ARLINGTON,Distribution,-120.20340423088368,45.71321876829033
40,ARROWHEAD,Distribution,-109.12697257176131,41.5361100968864
41,ASHLAND,Trans and Distrib,-122.70707495030494,42.21007976701144
42,ASHLEY,Transmission,-109.5758512303315,40.5083749391729
43,ASHTON,Trans and Distrib,-111.49815908653063,44.07890664433938
44,ASTLE STREET,Distribution,-109.45896044231876,41.51509463836032
45,ASTORIA,Transmission,-123.83698379199718,46.17273237993149
46,ATHENA,Distribution,-118.49573861864135,45.81126958251701
47,ATLANTIC CITY,Transmission,-108.7621847577799,42.52475734007591
48,ATTALIA,Trans and Distrib,-118.91883275843998,46.107632701068304
49,AURORA,Distribution,-111.92319113584054,38.92036978033334
50,BACCHUS,Transmission,-112.087021212407,40.66442924020282
51,BAILEY DOME,Distribution,-107.47282103470518,42.21497251830048
52,BAIROIL,Trans and Distrib,-107.54940657906263,42.23876134917651
53,BALDWIN ROAD SY,Transmission,-120.87530897251516,44.28371295981486
54,BALDY SY,Transmission,-122.77282412547493,42.30149592158335
55,BANCROFT,Distribution,-111.8770618860263,42.75086123310955
56,BANDON TIE_BPA,Trans and Distrib,-124.3972183282458,43.10678732078823
57,BANFIELD,Distribution,-122.56752390502707,45.53289865235263
58,BANGERTER,Distribution,-111.97586521886244,40.50097519489237
59,BAR NUNN,Distribution,-106.36809025374627,42.92991577783367
60,BAR X,Distribution,-108.40584913481462,41.61663019647386
61,BARKER ST FIELD RECLOSER,Transmission,-124.16320416851184,41.755529292968255
62,BARNEY,Transmission,-112.11093442006748,40.57387182831565
63,BASALT,Transmission,-112.05767184082153,43.32757071313694
64,BDO,Distribution,-112.00746399886884,41.27440504721962
65,BEACON,Distribution,-123.30739820837752,42.45167766215685
66,BEALL LANE,Distribution,-122.90422280593744,42.35750307226337
67,BEAR RIVER,Distribution,-112.16040348483556,41.72676505847425
68,BEATTY,Distribution,-121.2502741857276,42.44208684353536
69,BECK STREET SW STA,Transmission,-111.90477512993368,40.789392501230935
70,BEEF HOLLOW,Transmission,-111.93717543804053,40.42967985770383
71,BELKNAP,Distribution,-122.85355114493898,42.30734733292312
72,BELLAMY,Distribution,-107.183859696751,42.19595810751874
74,BELSON,Distribution,-112.25346950073424,43.68422878819111
75,BEN LOMOND,Transmission,-112.04750022314762,41.339495440833176
76,BEND,Trans and Distrib,-121.31284888446513,44.062602022360544
77,BENJAMIN,Distribution,-111.7304951789408,40.098722705238615
78,BERENICE,Distribution,-113.01433664445206,43.84246564608623
79,BIG CHARLIE (TB Flat II),Transmission,-106.15935496907676,42.04254725727928
80,BIG GRASSY,Transmission,-112.17061847496798,44.001219232507886
81,BIG MOUNTAIN,Distribution,-113.65701530647414,37.53528158977005
82,BIG MUDDY,Distribution,-105.96981358912934,42.84628392747924
83,BIG PINEY,Distribution,-110.1121636727848,42.53581164749422
85,BINGHAM,Distribution,-111.95947143205122,40.54476872970029
86,BIRCH CREEK SY,Transmission,-111.10919916054242,41.53511142388279
87,BITTER CREEK SY,Transmission,-108.52426750437472,41.616136665341735
88,BITTERBRUSH (FUTURE),Transmission,-111.9079363669955,40.48962941404133
89,BIXBY,Transmission,-105.77014241616936,42.83149663216176
90,BLACK MOUNTAIN,Distribution,-112.8042626993293,40.83135277657204
91,BLACK ROCK,Transmission,-112.73100868386544,39.151262096593896
92,BLACKHAWK,Transmission,-110.99992041148138,39.47710799291176
93,BLACKS FORK,Distribution,-109.90367908814812,41.683446648501935
94,BLALOCK,Distribution,-120.359110868387,45.6631945311126
95,BLANDING,Distribution,-109.47289007305056,37.62518431162789
96,BLOSS,Distribution,-122.72762007213132,45.60062945797895
97,BLUE CREEK,Distribution,-112.45741056566564,41.861646320527576
98,BLUE RIM,Transmission,-109.5205205972491,41.59058442795013
99,BLUE SPRINGS,Distribution,-112.080560692377,39.37448919930775
100,BLUFF,Distribution,-109.55930761351402,37.28903690955472
101,BLUFFDALE,Distribution,-111.95817922348132,40.50086358522882
102,BLUNDELL GEOTHERMAL,Transmission,-112.85342611591516,38.488620376288296
103,BLY,Distribution,-121.0451499560237,42.40157558051133
104,BOISE CASCADE,Distribution,-121.87909197945964,42.51290214649491
105,BONANZA,Distribution,-121.40981811351097,42.199096922359374
106,BOND STREET,Distribution,-121.31807931622372,44.04049154001566
107,BONNEVILLE,Transmission,-112.2201453876471,43.55478742902324
