substation_name,substation_id,division,voltage_kv,num_banks,ungrounded_banks,existing_dg_kw,queued_dg_kw,total_dg_kw,redacted,longitude,latitude
CONCORD NO 1,1296,Diablo,4.16,2.0,,2541,2756,5297,No,-122.02429744721525,37.97581268089191
POTTER VALLEY PH,4228,Humboldt,12.0,3.0,,540,90,630,No,-123.12811806063024,39.36111012453688
TAFT,25208,Kern,12.0,2.0,,2363,7876,10239,No,-119.48227773692136,35.13623071502375
TRES PINOS,18322,Central Coast,12.0,1.0,,1079,1275,2354,No,-121.3195803556968,36.78439384314798
ECHO SUMMIT,15803,Sierra,12.0,1.0,,6,6,12,Yes,-120.0284989889445,38.82437656201053
SF A (POTRERO),2203,San Francisco,12.0,3.0,,692,1352,2044,No,-122.38631343999468,37.75597723579284
MAPLE,1352,East Bay,4.16,1.0,,424,492,916,No,-122.2057538023828,37.79719717055544
MADERA,25276,Yosemite,12.0,3.0,,13231,15383,28614,No,-120.05507066657292,36.92328166223725
NORTH DUBLIN,1405,Mission,21.0,1.0,,10976,12004,22980,No,-121.85769752164674,37.74483921993783
HOLLYWOOD,1317,East Bay,4.16,1.0,,1716,1915,3631,No,-122.2188198016409,37.81262335848576
LOCKHEED NO 2,8300,De Anza,12.0,2.0,,548,1269,1817,Yes,-122.03185703639838,37.41633412032817
LOCKHEED NO 1,8299,De Anza,12.0,2.0,,261,261,522,No,-122.03110865958986,37.4097706587578
LODI,16211,Stockton,12.0,2.0,,9038,9922,18960,No,-121.26217434307496,38.137240812553664
DINUBA,25409,Fresno,12.0,2.0,,4648,5474,10122,No,-119.3938871560341,36.520228463825966
POTTER VALLEY P H,4228,Humboldt,12.0,3.0,,540,90,630,No,-123.12811806063024,39.36111012453688
MERIDIAN,6254,Sacramento,12.0,1.0,1,2520,6340,8860,Yes,-121.91109944135476,39.14481683871717
ANITA,10284,North Valley,12.0,2.0,"1,2",11367,17505,28872,No,-121.91991335854588,39.81086776157862
SANTA TERESA,8296,San Jose,21.0,,,4411,5189,9600,No,-121.79054338190755,37.238496970450434
OCEAN,2258,San Francisco,4.16,2.0,,1150,130,1280,No,-122.45488992150584,37.72329584444796
SF J,2222,San Francisco,4.16,2.0,,18440,30,18470,Yes,-122.40203090580668,37.794094641981566
TARAVAL,2250,San Francisco,4.16,3.0,,670,50,720,Yes,-122.49319808254324,37.74199971120542
BEN LOMOND,8304,Central Coast,12.0,2.0,,2216,2376,4592,No,-122.09644564945188,37.09229030534265
CASTRO,2248,San Francisco,4.16,2.0,,1050,80,1130,No,-122.43417816629568,37.74941830614643
NORIEGA,2251,San Francisco,4.16,2.0,,280,10,290,No,-122.50475444624009,37.752473274537806
ALPINE,16356,Stockton,12.0,1.0,,55,55,110,Yes,-120.0381940068952,38.46682532572175
ESTUDILLO,1348,Mission,4.16,1.0,,690,774,1464,No,-122.1388744667424,37.72712154609791
SF L,2226,San Francisco,4.16,2.0,,8140,240,8380,Yes,-122.4711019490942,37.73037503356227
SF N,2228,San Francisco,12.0,5.0,,2430,210,2640,Yes,-122.4664254717227,37.76138387988553
21ST AVENUE,2255,San Francisco,4.16,3.0,,970,70,1040,No,-122.47806162171672,37.75449989411368
WOOD,1338,East Bay,4.16,1.0,,2339,2423,4762,No,-122.21614490767148,37.8264060148404
FELTON,8314,Central Coast,4.16,1.0,,0,0,0,Yes,-122.0644545612008,37.04909053509473
EMBARCADERO (Z),2287,San Francisco,12.0,1.0,,8760,310,9070,Yes,-122.39363802548571,37.787578098008446
SF M,2227,San Francisco,4.16,3.0,,3420,220,3640,No,-122.43054770849852,37.733508415379255
OAKLAND K,1210,East Bay,12.0,1.0,,14940,1260,16200,Yes,-122.22891804293768,37.847862884381655
WINDSOR,4350,Sonoma,12.0,1.0,,10260,2300,12560,No,-122.83240176689247,38.56592444445207
CALAVERAS CEMENT,16221,Stockton,12.0,1.0,,5150,4550,9700,No,-120.66845206163632,38.17053149409406
