subname,OBJECTID,subid,monthhour,high,low,last_update_on_map,publish,longitude,latitude
HOLLYWOOD,37,1317,10_07,1001.0,676.0,1769600103000,1,-122.2188198016409,37.81262335848576
NEW HOPE,39,16208,12_01,1838.0,1480.0,1772742570000,1,-121.47310289510555,38.226101912543534
CALFLAX,65,25344,02_23,2790.0,366.0,1775130629000,1,-120.12208024379596,36.28387686148028
NORTH DUBLIN,82,1405,01_09,17042.0,12233.0,1769600084000,1,-121.85769752164674,37.74483921993783
MAPLE,101,1352,12_11,708.0,439.0,1769600084000,1,-122.2057538023828,37.79719717055544
SF A (POTRERO),118,2203,12_12,68580.0,49360.0,1769600105000,1,-122.38631343999468,37.75597723579284
ALPINE,133,16356,02_00,774.0,373.0,1775130625000,1,-120.0381940068952,38.46682532572175
TAR FLAT,180,16324,04_23,643.0,413.0,1774529929000,1,-120.37980694800358,37.98475497824085
SANTA TERESA,203,8296,03_01,4225.0,5573.0,1772742569000,1,-121.79054338190755,37.238496970450434
CAL WATER,424,25545,05_10,690.0,-6818.0,1774529929000,1,-118.90059842079376,35.42222837471225
TRES PINOS,664,18322,05_00,379.0,262.0,1775130634000,1,-121.3195803556968,36.78439384314798
SPAULDING,1615,15225,07_23,329.0,260.0,1774529926000,1,-120.643761373542,39.32583317195124
DINUBA,2063,25409,06_10,20396.0,7080.0,1775130637000,1,-119.3938871560341,36.520228463825966
WINDSOR,2302,4350,08_00,8354.0,7024.0,1748822400000,1,-122.83240176689247,38.56592444445207
PINECREST,4270,16316,12_16,77.0,28.0,1772742570000,1,-119.99379985135106,38.187947321566135
CASTRO,5475,2248,07_05,1066.0,929.0,1748822400000,1,-122.43417816629568,37.74941830614643
TAFT,7241,25208,08_10,9449.0,4908.0,1777391401000,1,-119.48227773692136,35.13623071502375
KANAKA,7494,10322,12_11,604.0,451.0,1748822400000,1,-121.30575066528326,39.57508683288682
BABEL,12025,1385,04_02,370.0,307.0,1775130636000,1,-122.00737229942786,37.96340949870682
7TH STANDARD,12496,25458,06_21,34048.0,21938.0,1777391400000,1,-119.13116637687604,35.43969344317223
RANDOLPH,14624,2259,12_21,3173.0,2714.0,1775130624000,1,-122.46933508414892,37.7145484958375
WHITNEY,26854,1324,12_10,433.0,362.0,1748822400000,1,-121.88567049158526,38.02255800796905
SF N,27257,2228,11_11,5340.0,3681.0,1748822400000,1,-122.4664254717227,37.76138387988553
WOOD,29111,1338,03_08,867.0,592.0,1772742565000,1,-122.21614490767148,37.8264060148404
PLYMOUTH,33160,2268,05_15,967.0,611.0,1748822400000,1,-122.45577702187045,37.71258459729903
LOCKHEED NO 1,33171,8299,04_00,7878.0,7142.0,1772742569000,1,-122.03110865958986,37.4097706587578
21ST AVENUE,33207,2255,12_20,3410.0,2817.0,1748822400000,1,-122.47806162171672,37.75449989411368
TARAVAL,33209,2250,08_14,1892.0,1427.0,1748822400000,1,-122.49319808254324,37.74199971120542
ACTON,33219,2247,12_14,2538.0,1766.0,1748822400000,1,-122.45185131815214,37.70866425535986
CONCORD NO 1,33237,1296,01_14,1113.0,473.0,1775130635000,1,-122.02429744721525,37.97581268089191
8TH AVENUE,33262,1267,05_19,810.0,726.0,1775130635000,1,-122.24202081133105,37.80064538752543
AVENAL,33280,25500,12_01,4347.0,2423.0,1764089376000,1,-120.1169296096175,35.978183285259895
BEN LOMOND,33288,8304,09_12,1556.0,945.0,1775130635000,1,-122.09644564945188,37.09229030534265
CHICO C,33322,10265,11_09,377.0,246.0,1748822400000,1,-121.83856008023211,39.74305713932799
ESTUDILLO,33330,1348,01_13,697.0,493.0,1760074662000,1,-122.1388744667424,37.72712154609791
SAN BENITO,33332,18274,11_04,7374.0,3066.0,1777391401000,1,-121.54942913233612,36.86860625244168
CALAVERAS CEMENT,33338,16221,09_09,4905.0,3039.0,1748822400000,1,-120.66845206163632,38.17053149409406
18TH STREET,33341,2239,04_00,1581.0,1323.0,1748822400000,1,-122.4388699445812,37.76111429249559
BERKELEY T,33398,1266,02_07,1511.0,1177.0,1748822400000,1,-122.25905444052576,37.86457393824122
CRESCENT MILLS,33464,10313,07_16,1837.0,1467.0,1748822400000,1,-120.91070330230104,40.093925518711536
YOSEMITE,33545,2249,12_01,1552.0,1317.0,1748822400000,1,-122.39705250965748,37.72932287844001
SHEPHERD,33553,25206,05_07,10888.0,8383.0,1775130636000,1,-119.69451127750511,36.87266718173742
