name_norm,lat_basin,lon_basin,name_raw_basin,lat_util,lon_util,name_raw_util,dist_km
alpine,32.8277326448652,-116.78989426474809,Alpine,32.83888956328325,-116.7726717306921,ALPINE,2.031839564835026
ash,33.13668611423466,-117.0703361148394,Ash,33.15561669691165,-117.064835218363,ASH,2.1663905100048106
avocado,33.384652783555254,-117.23689168168464,Avocado,33.415534714356774,-117.24519473718068,AVOCADO,3.5193558439276043
barrett,32.66719694583571,-116.70014267216516,Barrett,32.659659096658075,-116.70118598909106,BARRETT,0.8438414395744224
batiquitos,33.10114166474143,-117.25041944096992,Batiquitos,33.091670083710525,-117.24282602229248,BATIQUITOS,1.268686711736586
bernardo,33.021519442554414,-117.09630000706744,Bernardo,33.02429406155207,-117.08162576831958,BERNARDO,1.402460571094167
border,32.56260275175198,-116.9431646234658,Border,32.56861917203075,-116.9407818041129,BORDER,0.7052783824831743
borrego,33.2708611120085,-116.34821386814028,Borrego,33.242891548049656,-116.34638794455222,BORREGO,3.1147043774246383
cabrillo,32.7074829862412,-117.24505397835118,Cabrillo,32.715978473390244,-117.23990304016904,CABRILLO,1.0604805337685324
cameron,32.65325187433884,-116.4881569523764,Cameron,32.64087862662459,-116.5012543399666,CAMERON,1.8430095565180906
cannon,33.1373900080471,-117.33271301587769,Cannon,33.136804347563746,-117.31487812370123,CANNON,1.6618963408849792
carlton hills,32.85492698992838,-117.0120253901718,Carlton Hills,32.84816023573025,-117.00216066109306,CARLTON HILLS,1.1896601529372617
chicarita,32.958361111243555,-117.10880833314135,Chicarita,32.95989470441887,-117.1119613624112,CHICARITA,0.34002722576066635
clairemont,32.82590129654676,-117.18399566712438,Clairemont,32.82923686234866,-117.18779641483354,CLAIREMONT,0.5135026646810715
coronado,32.698848010530256,-117.17333499649116,Coronado,32.66933055171324,-117.16018297589989,CORONADO,3.50540146535866
creelman,33.018152772563155,-116.85294167200776,Creelman,33.03990750569763,-116.85070347566102,CREELMAN,2.4279982818630605
crestwood,32.69904488343419,-116.35376285208058,Crestwood,32.727783372487686,-116.35940865297788,CRESTWOOD,3.2389346961892684
del mar,32.98069444484518,-117.25537221760374,Del Mar,32.983129207248275,-117.23235769491863,DEL MAR,2.1636849157424867
descanso,32.86525136270584,-116.63376871688328,Descanso,32.88714613913314,-116.61704243827413,DESCANSO,2.892592702314432
division,32.681563003569295,-117.12010900755163,Division,32.678502912686035,-117.11829541721876,DIVISION,0.3802533187507825
eastgate,32.90195058475814,-117.22705613216144,Eastgate,32.88079314728578,-117.19125554657676,EASTGATE,4.0876041484967365
el cajon,32.795455477381374,-116.97228535423196,El Cajon,32.79411304277516,-116.97288223981732,EL CAJON,0.15935770325036194
elliott,32.81593335004344,-117.08849167454088,Elliott,32.8102012092589,-117.08145090431672,ELLIOTT,0.916077915759549
encinitas,33.05067223877669,-117.28531944924713,Encinitas,33.05072997744321,-117.26294233953982,ENCINITAS,2.085607638533428
esco,33.11580789493501,-117.08907519224232,Esco,33.120609601909536,-117.08670241957644,ESCO,0.5778474974023738
escondido,33.12588884547165,-117.11670316693228,Escondido,33.127896401232995,-117.14294439107624,ESCONDIDO,2.4537987805023964
felicita,33.093254400212395,-117.07368526739089,Felicita,33.09310831261626,-117.02713792441016,FELICITA,4.336255054250713
friars,32.77903023433159,-117.1568485067622,Friars,32.77367296521225,-117.15717030496512,FRIARS,0.5964603835707175
garfield,32.795251019241434,-116.99678699823822,Garfield,32.80156566285017,-116.99533176191096,GARFIELD,0.7152094688148227
genesee,32.87960998752614,-117.21362001492032,Genesee,32.87698011329068,-117.22411501059366,GENESEE,1.0227650502648096
glencliff,32.79833889450978,-116.49832778936975,Glencliff,32.78060443383661,-116.48025970189362,GLENCLIFF,2.596404570215204
grant hill,32.71264819530314,-117.130813914861,Grant Hill,32.71822942161739,-117.12615902920172,GRANT HILL,0.7581564629614342
imperial beach,32.583366642463176,-117.09723891482776,Imperial Beach,32.5816007635523,-117.09349154589287,IMPERIAL BEACH,0.402285162262703
jamacha,32.744161157821985,-116.95730832765696,Jamacha,32.71095250056327,-116.86488481062314,JAMACHA,9.401127303735427
kettner,32.733181011754915,-117.17377098510627,Kettner,32.7330986044989,-117.1790013900778,KETTNER,0.48932203010842473
kyocera,32.819794448125805,-117.14035277208092,Kyocera,32.81968721431558,-117.14035117861305,KYOCERA,0.011924785364747182
la jolla,32.84011390875879,-117.27528890091868,La Jolla,32.83583436821345,-117.2654177968084,LA JOLLA,1.0377600626409158
laguna niguel,33.49494501302921,-117.70297598798469,Laguna Niguel,33.49650770279464,-117.69302896834556,LAGUNA NIGUEL,0.9385964108437382
las pulgas,33.31285000314811,-117.46692222705944,Las Pulgas,33.29347587780361,-117.4374611708617,LAS PULGAS,3.483867966784683
lilac,33.253244444019074,-117.08585277570413,Lilac,33.26044098270347,-117.11632252669082,LILAC,2.944024642206722
los coches,32.85961372106041,-116.8992092308914,Los Coches,32.87495027255902,-116.89484641244428,LOS COCHES,1.7533507521529588
loveland,32.79698054756498,-116.79220000065668,Loveland,32.786284167479835,-116.77857997891188,LOVELAND,1.7422729204867506
margarita,33.5499816503743,-117.6282105244416,Margarita,33.57146030691496,-117.62718222915268,MARGARITA,2.3902174654298274
melrose,33.20650000341185,-117.252902778841,Melrose,33.21795967793746,-117.24347456782957,MELROSE,1.5469531473054876
mesa heights,32.82961390619752,-117.15725276975822,Mesa Heights,32.82976449977673,-117.15315410109336,MESA HEIGHTS,0.3833271491734619
mesa rim,32.904918334064234,-117.17314975439812,Mesa Rim,32.90870614059554,-117.17311664454462,MESA RIM,0.4211962109959297
miramar,32.89420146730078,-117.1355055461297,Miramar,32.89414865764679,-117.14218638005084,MIRAMAR,0.6238011294729386
mission,32.78402027400728,-117.13744314865468,Mission,32.783344132103586,-117.12435622720524,MISSION,1.2257243425804742
monserate,33.32911387498234,-117.2352527739218,Monserate,33.31375666681493,-117.22118158564628,MONSERATE,2.1506729553153763
montgomery,32.6316666875281,-117.09967226881224,Montgomery,32.637441800556644,-117.0887467245474,MONTGOMERY,1.2079106359840301
morro hill,33.25221388671848,-117.30030000314208,Morro Hill,33.26928902717341,-117.28747342673702,MORRO HILL,2.2421539420155416
murray,32.79085554891451,-117.0230500012111,Murray,32.78917720867769,-117.03001783829848,MURRAY,0.6775428348487676
north city west,32.958750918699934,-117.22066611262098,North City West,32.9462620645083,-117.20651741047077,NORTH CITY WEST,1.9160642566706212
oceanside,33.19678961596885,-117.38183179056512,Oceanside,33.200337413405535,-117.36870179532734,OCEANSIDE,1.2838014365552204
old town,32.76607500384663,-117.19238398741764,Old Town,32.772093546412904,-117.19633742913187,OLD TOWN,0.764530687251086
otay,32.59534998706765,-117.05782799852634,Otay,32.60119033314478,-117.0435390484847,OTAY,1.4877819208805565
pacific beach,32.799201999328936,-117.2401999948053,Pacific Beach,32.80095287142043,-117.23580670163116,PACIFIC BEACH,0.4544419962973146
pala,33.35572398807259,-117.11223843621347,Pala,33.36336800868008,-117.12970972683,PALA,1.8317712215350577
palomar airport,33.122880559493346,-117.28788611905694,Palomar Airport,33.131263270165704,-117.27774083466684,PALOMAR AIRPORT,1.3271688240733666
paradise,32.70448899050115,-117.04999499087356,Paradise,32.69780480948839,-117.05558332585034,PARADISE,0.9087596744722976
pendleton,33.3091694541707,-117.33503611090754,Pendleton,33.30840751624318,-117.31177938172168,PENDLETON,2.1628653808713265
pico,33.45687435488643,-117.58924261945327,Pico,33.472892946910534,-117.5978376945472,PICO,1.951486194007099
point loma,32.74148888108397,-117.23339997947583,Point Loma,32.743550841479994,-117.2282620623224,POINT LOMA,0.5324308593349509
pomerado,32.941422223444484,-117.03273055729034,Pomerado,32.93866507905452,-117.03289416045068,POMERADO,0.306960379506979
poway,32.97875278162103,-117.03128333630364,Poway,33.0077665025613,-117.00619987748352,POWAY,3.985076019140511
proctor valley,32.66511501833525,-116.9866819888588,Proctor Valley,32.66372460308665,-116.97978499873456,PROCTOR VALLEY,0.6638743383489669
rancho carmel,32.99382500146592,-117.0779055533293,Rancho Carmel,32.996021964454,-117.08057160508204,RANCHO CARMEL,0.34856808227699815
rancho mission viejo,33.52622035828922,-117.59883516588847,Rancho Mission Viejo,33.535200421571034,-117.59176174161767,RANCHO MISSION VIEJO,1.1945476963162962
rancho santa fe,33.01432222144143,-117.19856944340384,Rancho Santa Fe,33.031504620284,-117.19674022140636,RANCHO SANTA FE,1.9181918182823208
rincon,33.28585277478773,-116.95865278109392,Rincon,33.3314977237953,-116.95942186686835,RINCON,5.075989928293778
rose canyon,32.84454999544128,-117.23705279138883,Rose Canyon,32.83771123608502,-117.23420710069304,ROSE CANYON,0.8055683911123305
sampson,32.69439301295036,-117.14238901596512,Sampson,32.69878935180088,-117.12035389454664,SAMPSON,2.1190999314212267
san luis rey,33.211474710535136,-117.33454909877236,San Luis Rey,33.21456991519983,-117.31385266089526,SAN LUIS REY,1.955910861121902
san marcos,33.128800007420104,-117.19723332903531,San Marcos,33.146046529695575,-117.17354825130366,SAN MARCOS,2.9225226036387495
san mateo,33.40946044243822,-117.5906118684413,San Mateo,33.397185866986,-117.5390507183337,SAN MATEO,4.977084274785518
san ysidro,32.56217000207851,-117.02676102050113,San Ysidro,32.57161744273628,-117.01748081302864,SAN YSIDRO,1.3637707573219828
santa ysabel,33.1105094441661,-116.67104587276856,Santa Ysabel,33.05956694586109,-116.58662963742296,SANTA YSABEL,9.692308923208445
santee,32.85443800932987,-116.9683690172454,Santee,32.85787851830011,-116.96354154047636,SANTEE,0.5913454474905476
scripps,32.91098057774938,-117.11259445972686,Scripps,32.917728946481574,-117.1044944697442,SCRIPPS,1.0652560806221048
shadowridge,33.141486111700296,-117.23876944545856,Shadowridge,33.15747213885441,-117.21605997595246,SHADOWRIDGE,2.762167046374307
spring valley,32.738978993333944,-117.0027409998221,Spring Valley,32.738235386404725,-116.99792090582828,SPRING VALLEY,0.4583491463699391
station b,32.71415112435967,-117.16950142258936,Station B,32.71544232812692,-117.16590840305273,STATION B,0.3655273196180265
station f,32.75496001273112,-117.12595998481456,Station F,32.755025169261486,-117.1243682212622,STATION F,0.1490284388706757
streamview,32.74565799569511,-117.07859801908296,Streamview,32.75913215934833,-117.07830335058776,STREAMVIEW,1.4985120309412605
stuart,33.256716665713604,-117.41657500124953,Stuart,33.24049871074563,-117.40653089412962,STUART,2.0308835503934364
sunnyside,32.658020010311176,-117.03031401811224,Sunnyside,32.66621208946227,-117.0379402035208,SUNNYSIDE,1.1573337720524857
sweetwater,32.65832701793388,-117.09173501319064,Sweetwater,32.66304022706597,-117.08617832421304,SWEETWATER,0.7384105278871714
