util_name,util_norm,util_lat,util_lon,basin_name,basin_norm,basin_lat,basin_lon,dist_km,name_match
INTL PAPER,intl paper,41.43204170983571,-122.38323142889548,International Paper,international paper,41.4320568988248,-122.38322139761556,0.0018846433261982872,False
HART SY,hart sy,41.71161255451577,-122.36015526512854,Hart,hart,41.71162517188242,-122.360171178861,0.0019269926886032731,False
STEELHEAD SY,steelhead sy,41.774419437065845,-123.03510015361648,Steelhead,steelhead,41.77442883322477,-123.03507908565864,0.0020356640467311367,False
WEED JUNCTION,weed junction,41.4517596725006,-122.36220854527174,Weed Junction,weed junction,41.45174559378809,-122.36218072963584,0.002797292394137981,True
AGER,ager,41.86749226104336,-122.46414882202951,Ager,ager,41.86751520188198,-122.46412255364156,0.0033523869425404517,True
LUCERNE,lucerne,41.60381279327445,-122.52262508574228,Lucerne,lucerne,41.60383181796002,-122.5226590674409,0.003529635817751984,True
SNOW BRUSH,snow brush,41.26797570767044,-122.23897463985014,Snow Brush,snow brush,41.26799278585443,-122.2389363938396,0.003718056195528956,True
PATRICKS CREEK,patricks creek,41.88143022939097,-123.86469131543286,Patrick'S Creek,patrick s creek,41.8814008700706,-123.8646664919014,0.003857594268359181,False
GREENHORN,greenhorn,41.7112928078176,-122.64905040353446,Greenhorn,greenhorn,41.71130374480522,-122.64900469344047,0.003984426753950047,True
NEWELL,newell,41.88813575616575,-121.37834651159258,Newell,newell,41.88812877811837,-121.37828695554882,0.004990679713542834,True
WEED,weed,41.43136666211103,-122.38970739006692,Weed,weed,41.431411765311154,-122.38974031914184,0.005717433110288518,True
TUNNEL,tunnel,41.92530865739899,-121.56643493663653,Tunnel,tunnel,41.92527998073323,-121.56637498348368,0.005896539382216247,True
MACDOEL,macdoel,41.83181909894045,-122.00478206661592,Macdoel,macdoel,41.83177663643341,-122.00473729258866,0.006004574628914907,True
SHASTINA,shastina,41.54860974984375,-122.36414169550866,Shastina,shastina,41.54864895533091,-122.36419305071072,0.006104827403328835,True
DEL NORTE,del norte,41.86762419987306,-124.13912913923438,Del Norte,del norte,41.86766181147264,-124.1390725627974,0.006280026438352781,True
MCCLOUD,mccloud,41.266271739608136,-122.1260121854732,Mccloud,mccloud,41.26632870474356,-122.12599702046847,0.006459802730493283,True
LAKE EARL,lake earl,41.85184231161562,-124.14804034690276,Lake Earl,lake earl,41.85179685123777,-124.14798615905238,0.00675990397671785,True
PEREZ,perez,41.63314760479084,-121.22656662579185,Perez,perez,41.63312676646782,-121.22648976917402,0.006794743037588185,True
HORNBROOK,hornbrook,41.8979575269753,-122.54003349002257,Hornbrook,hornbrook,41.89799074323568,-122.539962450731,0.006943499119025284,True
MOTT SW STA,mott sw sta,41.26265577119646,-122.2704692350465,Mott,mott,41.262712880525136,-122.27042955173184,0.007164342338343431,False
MILLER REDWOOD,miller redwood,41.73282160979456,-124.09743393234002,Miller Redwood,miller redwood,41.73290031262769,-124.09742486842389,0.008783616390522877,True
BELMONT,belmont,41.77311951100543,-124.20798173499618,Belmont,belmont,41.77306065471404,-124.20789214137528,0.00990115699585746,True
BIG SPRINGS,big springs,41.61683340040895,-122.39937960462994,Big Springs,big springs,41.61676201569528,-122.3993063217494,0.010005900900712081,True
WALKER-BRYAN,walker bryan,41.49307029796832,-122.90574737363708,Walker Bryan,walker bryan,41.49312367004124,-122.90564898410004,0.010118044503845196,True
CLEAR LAKE_CA,clear lake ca,41.70481512978127,-121.27663843855598,Clear Lake,clear lake,41.704741685355415,-121.27656231867348,0.010325997243598874,False
HAMBURG,hamburg,41.78014630796797,-123.07113484503856,Hamburg,hamburg,41.780216177406125,-123.07122196297904,0.010608551760929568,True
IRON GATE,iron gate,41.93289783569114,-122.43682275650116,Iron Gate,iron gate,41.932981039006506,-122.43674846188034,0.011107000476869732,True
HAPPY CAMP,happy camp,41.80361654763516,-123.37265515528084,Happy Camp,happy camp,41.80354174914639,-123.37255096895952,0.011989742556904154,True
NUTGLADE,nutglade,41.17829269303779,-122.29086550692864,Nutglade,nutglade,41.17823801328788,-122.2907352113697,0.012485253588361202,True
GASQUET,gasquet,41.84815903258317,-123.96666628333028,Gasquet,gasquet,41.84825594549302,-123.96675129035826,0.012872663053716652,True
YUROK,yurok,41.54337135969808,-124.05059549943986,Yurok,yurok,41.543367783620994,-124.05043490475052,0.013371291504559579,True
SHOTGUN CREEK,shotgun creek,41.054073873196586,-122.3818840970048,Shotgun Creek,shotgun creek,41.053950824817576,-122.38185660103676,0.013875247294646769,True
LITTLE SHASTA,little shasta,41.70185518405899,-122.36972770830452,Little Shasta,little shasta,41.70174113098766,-122.369659890592,0.013875724655776573,True
SOUTH DUNSMUIR,south dunsmuir,41.20132421143539,-122.27653738533348,South Dunsmuir,south dunsmuir,41.20124390279776,-122.2764098191782,0.013915719694571756,True
TULELAKE,tulelake,41.95348948621859,-121.47144163380476,Tulelake,tulelake,41.953363861811184,-121.47142246508336,0.014058448344729177,True
NORTHCREST,northcrest,41.76618723999192,-124.19921645145917,Northcrest,northcrest,41.76606162812093,-124.19918052279426,0.01428172371150235,True
MONTAGUE,montague,41.72693043904344,-122.53651317747703,Montague,montague,41.727041109853474,-122.53642161106198,0.014463100367635403,True
SCOTT BAR,scott bar,41.742164267985856,-122.99960233852728,Scott Bar,scott bar,41.74229468453111,-122.9995371386213,0.01547774942981486,True
YUBA,yuba,41.37304012395981,-122.8329898552341,Yuba,yuba,41.37290595843101,-122.83293838500124,0.015524435281409146,True
DORRIS,dorris,41.966797001765606,-121.9137586885193,Dorris,dorris,41.96684121703738,-121.9135761877594,0.015869419361825007,True
CASTELLA,castella,41.146145438632175,-122.31983797147208,Castella,castella,41.14611102392029,-122.31964008345702,0.017006010868817426,True
REDWOOD_CA,redwood ca,41.76095845443237,-124.16354653533124,Redwood,redwood,41.7608130402983,-124.16347257508188,0.01729390872143806,False
SMITH RIVER,smith river,41.88557164115453,-124.14059357820042,Smith River,smith river,41.88541567250344,-124.14057536491111,0.01740833855612828,True
FORT JONES,fort jones,41.60558304281725,-122.85023349771146,Fort Jones,fort jones,41.60541942822712,-122.850150307247,0.019463596736582652,True
