util_name,util_norm,util_lat,util_lon,basin_name,basin_norm,basin_lat,basin_lon,dist_km,name_match
Hinson,hinson,33.81926899922188,-118.22253900322433,Hinson,hinson,33.819268982610296,-118.22253903742477,3.6597812146780663e-06,True
Gale,gale,34.85901038194339,-116.866424742626,Gale,gale,34.85901389453238,-116.86642500010706,0.00039128798212665863,True
Rush,rush,34.051221002841935,-118.08136399436002,Rush,rush,34.05121844754287,-118.08134725291058,0.0015683289280836558,True
Archibald,archibald,33.997768456231,-117.59266187137268,Archibald,archibald,33.99775833721838,-117.59267799225032,0.0018640397804235884,True
Wakefield,wakefield,34.35645499933594,-119.05588600318704,Wakefield,wakefield,34.35644198513274,-119.05590298402112,0.0021269503388402565,True
Highgrove,highgrove,34.022271000977824,-117.3328150006805,Highgrove,highgrove,34.02229167276715,-117.33279722495992,0.002822644258454301,True
Ivar,ivar,34.08816132300995,-118.07593935933645,Ivar,ivar,34.08815540029707,-118.07596940045669,0.002843765646298208,True
Michillinda,michillinda,34.12857413233963,-118.06747048456948,Michillinda,michillinda,34.12854765913157,-118.0674658417486,0.0029745447673328843,True
Forest Home,forest home,34.087574182727614,-116.92060648551028,Forest Home,forest home,34.08755227234807,-116.92058464555652,0.0031592293189966034,True
Floraday,floraday,33.93548799543143,-118.09417900279584,Floraday,floraday,33.935506473499046,-118.09420716926245,0.003312673363642447,True
Linden,linden,33.85912660234861,-118.1856162397323,Linden,linden,33.859149198546774,-118.18558898078814,0.0035564667734053366,True
Sullivan,sullivan,33.74482369756105,-117.90196420134929,Sullivan,sullivan,33.74480503197076,-117.90193066093616,0.003731628887456027,True
Passons,passons,33.964235003438496,-118.08216899828136,Passons,passons,33.96420598348535,-118.08214800327968,0.0037632038590999935,True
Sunny Dunes,sunny dunes,33.813000583701175,-116.54362550571427,Sunny Dunes,sunny dunes,33.81299034650807,-116.54358567396598,0.003851983155118998,True
Palm Canyon,palm canyon,33.79901258889756,-116.5432560503965,Palm Canyon,palm canyon,33.79897528600333,-116.543243924453,0.004296563284727946,True
Barstow,barstow,34.901044872138776,-117.02214634898816,Barstow,barstow,34.901089753270135,-117.02213348405058,0.005126605809064779,True
Hedda,hedda,33.86681562580689,-118.11757574761532,Hedda,hedda,33.8668021331468,-118.11763043784852,0.00526767292538374,True
State Street,state street,33.79016623411935,-118.1987541678778,State Street,state street,33.790187820835655,-118.19870187715874,0.005395605222817576,True
Desert Outpost,desert outpost,33.80841701514476,-116.47263928522204,Desert Outpost,desert outpost,33.80845523084865,-116.47260241848794,0.005446054729673902,True
Venida,venida,36.32538250623872,-119.13453725693633,Venida,venida,36.32536943673647,-119.13459723460568,0.005566219219719256,True
Culver,culver,34.01459700392742,-118.40266499797504,Culver,culver,34.014575918770824,-118.4026100151509,0.0055837839612445685,True
Sierra Madre,sierra madre,34.15828981695313,-118.05452246502422,Sierra Madre,sierra madre,34.15824525769389,-118.05455489925988,0.005784123869202627,True
Upland,upland,34.09358500389584,-117.65009700275988,Upland,upland,34.09362499909719,-117.6500429920766,0.006671847513992376,True
Gonzales,gonzales,34.2261977486632,-119.17572336799584,Gonzales,gonzales,34.22619444887825,-119.17579722547008,0.006800257266810626,True
Belvedere,belvedere,34.03650001397044,-118.1790586944638,Belvedere,belvedere,34.03653488712871,-118.1789907900642,0.007361215238170661,True
Pioneer,pioneer,33.91555087546238,-118.0812231920912,Pioneer,pioneer,33.91557578257503,-118.081148918095,0.007392157442489481,True
Monrovia,monrovia,34.14295428462573,-118.002877029618,Monrovia,monrovia,34.14300447060652,-118.00282182343378,0.007546756195818024,True
Rivera,rivera,33.96955441808182,-118.10143727933446,Rivera,rivera,33.96958134372019,-118.10135642946818,0.008034481332151932,True
Havasu,havasu,34.35454456774613,-114.26128224722392,Havasu,havasu,34.354615994669736,-114.26129912244272,0.008091975602876255,True
Sixteenth Street,sixteenth street,34.12892321681423,-117.30429340398936,Sixteenth Street,sixteenth street,34.128888197731534,-117.30437327987272,0.00831966788824392,True
Team,team,33.745052055991295,-117.99988488347098,Team,team,33.74497922744819,-117.99991293961632,0.008503502670915257,True
Neptune,neptune,33.82736631623596,-118.26849419767844,Neptune,neptune,33.82735333511019,-118.26840071155766,0.00875527808425453,True
Tamarisk,tamarisk,33.79191236586689,-116.44988631108914,Tamarisk,tamarisk,33.79197500096935,-116.4499444540048,0.00879636761112623,True
Haveda,haveda,33.82465115637044,-118.34438234661516,Haveda,haveda,33.824710191687835,-118.34444598387086,0.008811814647275241,True
Stewart,stewart,33.94016034737311,-118.1405332828118,Stewart,stewart,33.940079475178464,-118.14050914774896,0.009264099799560463,True
Center,center,33.928868599739715,-118.10584791970048,Center,center,33.92883001219632,-118.10575462957712,0.009617330806057913,True
Inyo Sce,inyo sce,37.342078998275525,-118.44081999742586,Inyo,inyo,37.3420728447539,-118.44093088233322,0.00982642214651003,False
Pomona,pomona,34.05836749677421,-117.75532947283664,Pomona,pomona,34.0582889049014,-117.7552800858884,0.009852372879839854,True
Somerset,somerset,33.87411213712543,-118.1429962772186,Somerset,somerset,33.87420269493183,-118.1429767256852,0.010230068804698497,True
Ivanpah,ivanpah,35.54446791495526,-115.46883209031964,Ivanpah,ivanpah,35.54441313738721,-115.4689267654668,0.010510593928247018,True
Carson,carson,33.8639252787574,-118.21707429703773,Carson,carson,33.8639848269413,-118.21698209520208,0.010785089270693446,True
Beverly,beverly,34.07311437448774,-118.39745068695186,Beverly,beverly,34.073128901933806,-118.39733422662752,0.01084757036612001,True
Carmenita,carmenita,33.90324389054957,-118.04717314302962,Carmenita,carmenita,33.90319501437861,-118.04706898279716,0.011042869373996997,True
Calden,calden,33.9564731732366,-118.23217062742631,Calden,calden,33.95650730812637,-118.23228417761804,0.01113955174094261,True
Channel Island,channel island,34.18173499797494,-119.22229699654076,Channel Island,channel island,34.1816739924947,-119.22219698854424,0.01143003501563006,True
Temple,temple,34.106083373313496,-118.06831447177188,Temple,temple,34.10617907392197,-118.06826848650128,0.01145273980241152,True
Rolling Hills,rolling hills,33.80827080158421,-118.35497637711136,Rolling Hills,rolling hills,33.8083703032093,-118.35500868745105,0.011459727232785879,True
Eaton,eaton,34.16215700293834,-118.0856959980606,Eaton,eaton,34.16225828799414,-118.0857224862174,0.011523060105096647,True
Longdon,longdon,33.8818326851209,-118.19559190444494,Longdon,longdon,33.8817718216613,-118.19569532386772,0.01170239129904917,True
Signal Hill,signal hill,33.811337811686506,-118.16816655498816,Signal Hill,signal hill,33.81143826802223,-118.16821080895586,0.011894982892267765,True
Ontario,ontario,34.05654799622731,-117.645749003213,Ontario,ontario,34.05649125750691,-117.64563584125158,0.01218531863970076,True
Valley,valley,33.74010469194348,-117.15614491519052,Valley,valley,33.73999442392952,-117.1561138094946,0.01259407489359436,True
Hemet,hemet,33.746928919438126,-116.97559724729147,Hemet,hemet,33.74682731282687,-116.97566016520072,0.012707829771898129,True
Bridge,bridge,33.880624437876826,-118.3259924983696,Bridge,bridge,33.88055075823267,-118.3258829073435,0.013018130953136038,True
Mt. Vernon,mt vernon,34.12074958293825,-117.31021776868803,Mt. Vernon,mt vernon,34.120720357182314,-117.31035558681108,0.013096255482823437,True
Banning,banning,33.92244671648164,-116.87284521205684,Banning,banning,33.92233057378444,-116.87279168780988,0.01382656025234939,True
Tippecanoe,tippecanoe,34.12086699889711,-117.25843800399126,Tippecanoe,tippecanoe,34.12095856269221,-117.25832665447702,0.014447351516594015,True
