name,owner_raw,owner_std,type,hifld_id,max_voltage_kv,latitude,longitude,county,city,zip_code,source,path
A.P.T. Oro,PG&E,pge,SUBSTATION,302814.0,,39.48122633311454,-121.56548541080676,Butte County,Oroville,95965,CEC,
Adobe,PG&E,pge,SUBSTATION,305025.0,,35.107290520476695,-118.95791665735482,Kern County,Unincorporated,93307,CEC,
Aidlin Geothermal,PG&E,pge,SUBSTATION,305913.0,115.0,38.83403327007486,-122.88123813115068,Sonoma County,Unincorporated,95425,CEC,
Altamont,PG&E,pge,SUBSTATION,306256.0,60.0,37.74837650236422,-121.6772083406546,Alameda County,Unincorporated,94551,CEC,
Amerigas,PG&E,pge,SUBSTATION,309387.0,230.0,38.40329934570463,-121.9226353843564,Solano County,Unincorporated,95688,CEC,15X
Ames Distribution,PG&E,pge,SUBSTATION,310434.0,115.0,37.41853022786698,-122.06761586680192,Santa Clara County,Mountain View,94043,CEC,
Amfor,PG&E,pge,SUBSTATION,306187.0,60.0,38.40876699943021,-120.82209798939095,Amador County,Unincorporated,95685,CEC,
Angels,PG&E,pge,SUBSTATION,307553.0,115.0,38.07183279950617,-120.53935679326852,Calaveras County,Angels,95222,CEC,
Angiola,PG&E,pge,SUBSTATION,303505.0,60.0,35.99203333952427,-119.57170833599842,Kings County,Unincorporated,93239,CEC,
Antioch,PG&E,pge,SUBSTATION,305643.0,60.0,38.01351801723007,-121.81555199417708,Contra Costa County,Antioch,94509,CEC,
Arco,PG&E,pge,SUBSTATION,306367.0,230.0,35.77552239736215,-119.91360382886036,Kern County,Unincorporated,93249,CEC,
Arkansas,PG&E,pge,SUBSTATION,305625.0,230.0,39.36528231138363,-122.26384366237554,Colusa County,Unincorporated,95979,CEC,
Atlantic,PG&E,pge,SUBSTATION,300087.0,,38.7636275956832,-121.2640322520378,Placer County,Roseville,95678,CEC,
Aurora,PG&E,pge,SUBSTATION,306498.0,,37.96116500699628,-121.28151443378567,San Joaquin County,Stockton,95202,CEC,
Badger Creek,PG&E,pge,SUBSTATION,303310.0,115.0,35.48395557573786,-119.02970274863527,Kern County,Unincorporated,93308,CEC,
Badger Hill Pumps,PG&E,pge,SUBSTATION,308184.0,,35.83498773451544,-119.94261537810964,Kings County,Unincorporated,93204,CEC,
Barker Slough Pumping Station,PG&E,pge,SUBSTATION,305783.0,115.0,38.2764758192872,-121.79678467503042,Solano County,Unincorporated,94571,CEC,
Bay Point,PG&E,pge,SUBSTATION,306546.0,,38.041664539520085,-122.02933383964545,Contra Costa County,Unincorporated,94520,CEC,
