name,owner_raw,owner_std,type,hifld_id,max_voltage_kv,latitude,longitude,county,city,zip_code,source,path
Barrett Lake,SDG&E,sdge,SUBSTATION,300685.0,69.0,32.65348000911325,-116.6798850103664,San Diego County,Unincorporated,91935,CEC,Southwest Powerlink
Boulder Creek,SDG&E,sdge,SUBSTATION,308308.0,69.0,33.00599188373753,-116.58621040755742,San Diego County,Unincorporated,92036,CEC,
Calpeak Power Enterprise 7,SDG&E,sdge,SUBSTATION,308981.0,230.0,33.120941666788426,-117.11726944462974,San Diego County,Escondido,92029,CEC,
Clark Helicopter,SDG&E,sdge,SUBSTATION,309761.0,,32.8293907003872,-116.96639131664364,San Diego County,El Cajon,92020,CEC,
Cristianitos,SDG&E,sdge,SUBSTATION,306324.0,,33.46334119788515,-117.5704994958254,Orange County,Unincorporated,92675,CEC,
Doublett,SDG&E,sdge,SUBSTATION,300151.0,230.0,32.91704962833535,-117.2190893773697,San Diego County,San Diego,92130,CEC,
Dunhill,SDG&E,sdge,SUBSTATION,304193.0,69.0,32.90154501906031,-117.22992000622062,San Diego County,San Diego,92121,CEC,
East County,SDG&E,sdge,SUBSTATION,304506.0,,32.62731711101143,-116.12412857846992,San Diego County,Unincorporated,91934,CEC,Southwest Powerlink
Encina,SDG&E,sdge,SUBSTATION,309677.0,230.0,33.13696599750437,-117.3355170007649,San Diego County,Carlsbad,92008,CEC,
Fashion Valley,SDG&E,sdge,,,230.0,32.7717129881126,-117.164405978378,San Diego County,San Diego,92111,CEC,
Fenton,SDG&E,sdge,SUBSTATION,304897.0,69.0,32.89497222896113,-117.15632220957356,San Diego County,San Diego,92126,CEC,
Fuel Oil Terminal,SDG&E,sdge,SUBSTATION,306080.0,,32.655201392700924,-117.11535778012605,San Diego County,National City,91950,CEC,
General Dynamics,SDG&E,sdge,SUBSTATION,310020.0,,32.82811905463065,-117.13612601537471,San Diego County,San Diego,92123,CEC,
Goal Line,SDG&E,sdge,SUBSTATION,304166.0,,33.11840833173571,-117.09847499836552,San Diego County,Escondido,92025,CEC,
Horno,SDG&E,sdge,SUBSTATION,308470.0,69.0,33.378252360162186,-117.4575389835044,San Diego County,Unincorporated,92055,CEC,
Imperial Valley,SDG&E,sdge,SUBSTATION,300666.0,,32.7179477614166,-115.71566148929638,Imperial County,Unincorporated,92274,CEC,"Southwest Powerlink, 45, 46"
Japanese Mesa,SDG&E,sdge,SUBSTATION,310478.0,69.0,33.37430388593775,-117.55478830798874,San Diego County,Unincorporated,92672,CEC,43
Lake Hodges,SDG&E,sdge,SUBSTATION,303592.0,69.0,33.05860863726158,-117.1192854358061,San Diego County,Unincorporated,92029,CEC,
Larkspur Energy Facility,SDG&E,sdge,SUBSTATION,302409.0,93.0,32.5662951280479,-116.94432349575996,San Diego County,San Diego,92154,CEC,
MMC Chula,SDG&E,sdge,SUBSTATION,303175.0,69.0,32.591694799646106,-117.05852264766985,San Diego County,Chula Vista,91911,CEC,
