loads_name,sub_id,loads_lat,loads_lon,loads_norm,attrs_name,attrs_lat,attrs_lon,attrs_norm,loads_in_basin,attrs_in_basin,names_agree,loads_attrs_dist_km
ALMADEN,8231,37.26010442296057,-121.8898329799593,almaden,ALMADEN,37.26010442296057,-121.8898329799593,almaden,True,True,True,0.0
HOPLAND,4225,38.97287952085421,-123.08117071435976,hopland,HOPLAND,38.97287952085421,-123.08117071435976,hopland,True,True,True,0.0
KEARNEY,25270,36.706696128628494,-119.88009059611775,kearney,KEARNEY,36.706696128628494,-119.88009059611775,kearney,False,False,True,0.0
STAGG,16242,37.99168060969362,-121.34788419136744,stagg,STAGG,37.99168060969362,-121.34788419136744,stagg,True,True,True,0.0
BURNEY,10331,40.888215757543065,-121.6708403712964,burney,BURNEY,40.888215757543065,-121.6708403712964,burney,True,True,True,0.0
PANORAMA,10346,40.43443262495934,-122.26746683270112,panorama,PANORAMA,40.43443262495934,-122.26746683270112,panorama,True,True,True,0.0
HAMILTON A,10212,39.74626480299121,-122.01146489920175,hamilton a,HAMILTON A,39.74626480299121,-122.01146489920175,hamilton a,True,True,True,0.0
BROOKSIDE,1321,37.96197173061187,-122.34740011271514,brookside,BROOKSIDE,37.96197173061187,-122.34740011271514,brookside,True,True,True,0.0
STROUD,25366,36.53114916455339,-120.10431099777811,stroud,STROUD,36.53114916455339,-120.10431099777811,stroud,True,True,True,0.0
TEMBLOR,25255,35.383198949735814,-119.6964252470037,temblor,TEMBLOR,35.383198949735814,-119.6964252470037,temblor,True,True,True,0.0
DUMBARTON,1447,37.55713232904114,-122.05834145293557,dumbarton,DUMBARTON,37.55713232904114,-122.05834145293557,dumbarton,True,True,True,0.0
SCHINDLER,25289,36.401932506462806,-120.13844397559691,schindler,SCHINDLER,36.401932506462806,-120.13844397559691,schindler,True,True,True,0.0
WILKINS SLOUGH,6277,39.0064697514912,-121.86729753227635,wilkins slough,WILKINS SLOUGH,39.0064697514912,-121.86729753227635,wilkins slough,True,True,True,0.0
SANTA YNEZ,18272,34.62552143506068,-120.11931589174262,santa ynez,SANTA YNEZ,34.62552143506068,-120.11931589174262,santa ynez,True,True,True,0.0
FAMOSO,25246,35.60547527167606,-119.20318663401906,famoso,FAMOSO,35.60547527167606,-119.20318663401906,famoso,True,True,True,0.0
FAIRVIEW,1343,38.01590927413491,-122.11629244561098,fairview,FAIRVIEW,38.01590927413491,-122.11629244561098,fairview,True,True,True,0.0
WATERLOO,16315,38.05131599877336,-121.20945809220316,waterloo,WATERLOO,38.05131599877336,-121.20945809220316,waterloo,True,True,True,0.0
SILVERADO,4343,38.49997654207099,-122.45894388782744,silverado,SILVERADO,38.49997654207099,-122.45894388782744,silverado,True,True,True,0.0
STOCKTON A,16237,37.94731136404815,-121.28897066909988,stockton a,STOCKTON A,37.94731136404815,-121.28897066909988,stockton a,False,False,True,0.0
AVENA,16357,37.84274975923836,-121.05412253622625,avena,AVENA,37.84274975923836,-121.05412253622625,avena,True,True,True,0.0
GABILAN,18233,36.73135977881113,-121.61341084063255,gabilan,GABILAN,36.73135977881113,-121.61341084063255,gabilan,True,True,True,0.0
GOOSE LAKE,25420,35.60174548016343,-119.57986582808483,goose lake,GOOSE LAKE,35.60174548016343,-119.57986582808483,goose lake,True,True,True,0.0
CANAL,25209,37.06637138757264,-120.83597188351864,canal,CANAL,37.06637138757264,-120.83597188351864,canal,True,True,True,0.0
CHALLENGE,10320,39.48563129002225,-121.22014874811364,challenge,CHALLENGE,39.48563129002225,-121.22014874811364,challenge,True,True,True,0.0
TERMINOUS,16302,38.11711521592538,-121.42139866543384,terminous,TERMINOUS,38.11711521592538,-121.42139866543384,terminous,True,True,True,0.0
PERRY,18307,35.57121004522495,-121.0559169553722,perry,PERRY,35.57121004522495,-121.0559169553722,perry,True,True,True,0.0
PINEDALE,25285,36.85007067841538,-119.8034557830923,pinedale,PINEDALE,36.85007067841538,-119.8034557830923,pinedale,True,True,True,0.0
JAMESON,6380,38.20543608324877,-122.14796860832556,jameson,JAMESON,38.20543608324877,-122.14796860832556,jameson,True,True,True,0.0
PIT NO 5,10132,40.98670271889426,-121.97630522163178,pit no 5,PIT NO 5,40.98670271889426,-121.97630522163178,pit no 5,False,False,True,0.0
