SUB_NAME,SUBST_ID,SYS_NAME,latitude,longitude
Aha P.T.,1272,Blythe (Walc) 161/33 System,33.86588835692363,-114.5337720046856
Albury P.T.,2049,Del Amo 220/66 System,33.83891625263318,-118.11677451985788
Allview P.T.,1277,Vista 220/115 System,34.21479099860479,-117.12502108530076
Alola,2203,El Casco 220/115 System,33.96941961867055,-116.88125278288295
Alpine P.T.,1276,Vista 220/115 System,34.238664178957094,-117.23632790733168
Armijo P.T.,2093,Kramer 220/115 System,34.78433379772276,-117.2490183897524
Arrington P.T.,1998,Del Amo 220/66 System,33.829755520215,-118.10043101358654
Ashley P.T.,2080,Goleta 220/66 System,34.44049966667659,-119.65588938914516
Badwater P.T.,1284,Vea Death Valley Junction-86 System,36.455969002788585,-116.8452024905156
Bandage P.T.,2286,Devers 220/115 System,33.778606049415224,-116.46392796750416
Banducci,621,Windhub 220/66 System,35.09970798299895,-118.59934938676032
Bard P.T.,1285,Santa Clara 220/66 System,34.16027322450465,-119.18816290220516
Barwick P.T.,2070,Goleta 220/66 System,34.421217966055394,-119.80133317026456
Bedford,518,La Cienega 220/66 System,34.062880472190464,-118.39930445924148
Bessemer P.T.,1297,Victor 220/115 System,34.40840314814915,-116.72150157839668
Bigfoot P.T.,1289,Rector 220/66 System,36.60088395546939,-118.73856106944936
Bird Springs P.T.,1306,Vestal 220/66 System,35.54790360144478,-118.14249646180583
Bixby,826,Alamitos 220/66 System,33.77254515576724,-118.17070239713516
Black Meadows,1290,Parker 161/66 System,34.3487917918322,-114.19596505767748
Blue Cut P.T.,1291,Vista 220/115 System,34.30773098427744,-117.46851743847311
Blue Ridge P.T.,1296,Victor 220/115 System,34.37737571780408,-117.69271041942166
Blythe City,1636,Blythe (Walc) 161/33 System,33.60578415772661,-114.59963819241848
Brookings P.T.,1301,Vista 220/115 System,34.233039630292566,-117.12977060041212
Brown P.T.,1303,Vea Death Valley Junction-72 System,35.9797923321422,-116.2630220375144
Calamar P.T.,1334,Valley 'D' 500/115 System,33.47177544989847,-117.16950200366703
Camp Angelus P.T.,1324,El Casco 220/115 System,34.14634669428895,-116.97974167739488
Canadian P.T.,822,Vista 220/115 System,34.26243754845793,-117.16122250893385
Canalino P.T.,2161,Goleta 220/66 System,34.388460915574804,-119.51362149312124
Car Wash P.T.,2029,Del Amo 220/66 System,33.84791938792783,-118.1260117439953
Carancho P.T.,1318,Valley 'D' 500/115 System,33.51114201825317,-117.22239713861714
Cardinal P.T.,1327,Victor 220/115 System,34.36169633330616,-117.63690737563212
Cascade P.T.,1317,Valley 'D' 500/115 System,33.551587377901555,-117.28933408908274
Casper P.T.,1330,Santa Clara 220/66 System,34.130415619407664,-119.09556094664534
Cedar Pines P.T.,1332,Vista 220/115 System,34.2494706856681,-117.32530879218336
Chillon P.T.,1335,Vista 220/115 System,34.237491161319305,-117.25271894571011
China Ranch P.T.,1336,Vea Death Valley Junction-72 System,35.82827691887815,-116.18903964111246
Chollita P.T.,1321,Devers 220/115 System,34.13987057719961,-116.3080615408371
Coldbrook P.T.,2050,Del Amo 220/66 System,33.85935675592398,-118.12132699213583
Coso,1892,Kramer 220/115 System,36.082697937378725,-117.9508794515932
Cottage Grove,1346,Vista 220/115 System,34.24375366141106,-117.19723414306642
Cove P.T.,1366,Devers 220/115 System,33.88973706516375,-116.6051725956054
Crawford P.T.,1345,Inyo Sce 220/115 System,37.62900545166868,-118.98708328176254
Crestwind U.G.S.,1344,La Fresa 220/66 System,33.77852113938615,-118.41941446413716
Crump P.T.,1348,El Casco 220/115 System,34.08919933252988,-116.92173454047229
Daeley P.T.,2046,Center 220/66 System,33.9283278766198,-118.14182197758188
Daisy,886,Hinson 220/66 System,33.78857299996503,-118.2000940015866
Dalba P.T.,1349,Vista 220/115 System,34.20608557579066,-117.12039687304828
Deluz P.T.,1350,Valley 'D' 500/115 System,33.49973013826498,-117.18461438567844
Dinkey Creek P.T.,1351,Big Creek 220/220 System,37.06493512397656,-119.1661012488832
Doheny,475,La Cienega 220/66 System,34.09039725281789,-118.39157019643156
Dolphin P.T.,2160,Santa Clara 220/66 System,34.15954170706311,-119.051375324635
Domeland P.T.,1363,Kramer 220/115 System,35.791809933097475,-117.851531062441
Drinkwater P.T. Pb,2257,Saugus 220/66 System,34.58798716399067,-118.45490725587705
Dysart P.T.,1364,El Casco 220/115 System,33.896619249714675,-116.90972073182132
Eagle Crest P.T.,2208,Valley 'D' 500/115 System,33.72498088808595,-117.26877509370809
Elementary P.T.,2038,Mesa 220/66 System,34.10633553615135,-118.10358632634345
Emigrant P.T.,1369,Vea Death Valley Junction-86 System,36.60388225402959,-117.14340065601516
Escala P.T.,2047,Valley 'D' 500/115 System,33.505778122375155,-117.33327331429768
Escondido P.T.,1373,Saugus 220/66 System,34.489360609943034,-118.32216227118028
Ettalee P.T.,1371,Vea Death Valley Junction-86 System,36.30854453683688,-116.41507365047508
Falls P.T.,1384,Inyo Sce 220/115 System,37.61929260719179,-119.0183354078835
Fighter P.T.,2239,Mira Loma 220/66 System,33.818226965303246,-117.51824665701758
Fish Valley,192,Inyo Sce 220/115 System,37.490690346339534,-117.8850037564599
Flagstone P.T.,2031,Del Amo 220/66 System,33.81906581179163,-118.12107910289824
Fortune P.T.,2301,Valley 'Ab' 500/115 System,33.78847912869119,-116.92905165617078
Forty Eight St. P.T.,1381,La Cienega 220/66 System,33.99991006348528,-118.33120425305948
Gabrielino P.T.,2039,Mesa 220/66 System,34.084080889069995,-118.09351128524295
Gage,891,Laguna Bell Ab 220/66 System,33.96285388729544,-118.15565626543383
Galileo P.T.,1397,Kramer 220/115 System,35.218163138249764,-117.7650016012762
Garvey,403,Mesa 220/66 System,34.06333642914691,-118.0910441257477
Globemaster P.T.,2355,Valley 'Ab' 500/115 System,33.88042232907234,-117.26437367076043
Granada,404,Eagle Rock 220/66 System,34.105522002336,-118.12156799891294
Grapevine P.T.,1388,Vea Stateline-86 System,37.05920306834882,-117.28631243290252
Green Bear P.T.,1389,Vista 220/115 System,34.21189424600382,-117.07987409261612
Grimshaw P.T.,1392,Vea Death Valley Junction-72 System,35.84798971593569,-116.22601109207082
Gunsite P.T.,1393,El Casco 220/115 System,34.032046956248955,-116.85622670508616
Heartwell P.T.,1996,Del Amo 220/66 System,33.83079573290369,-118.13356916466896
Hession P.T.,1402,Dwp Hession-85 System,37.173693605683454,-118.28855548537793
High P.T.,1415,Kramer 220/115 System,34.90020773819528,-117.02086988565104
High School P.T.,1401,Vista 220/115 System,34.239078122087065,-117.1989983761408
Hillgreen P.T.,2234,La Cienega 220/66 System,34.05565240486036,-118.40685698214268
Homewood P.T.,1404,Kramer 220/115 System,35.890093300896446,-117.33084440229511
Hook Creek P.T.,1405,Vista 220/115 System,34.25141917140717,-117.1592067069181
Hot Water P.T.,1407,Vea Death Valley Junction-72 System,35.8799801049664,-116.23687440752092
Huntington P.T.,2320,Big Creek 220/220 System,37.20978963207122,-119.21209805186427
Huntington Park,849,Laguna Bell De 220/66 System,33.97986101405952,-118.22572520657688
Hutt P.T.,1411,Kramer 220/115 System,35.0101155908089,-117.32941048726266
Ice House P.T.,1417,Padua 220/66 System,34.2505413049094,-117.63667425109055
Inspiration P.T.,2291,Big Creek 220/220 System,37.217003000677686,-119.23680160069635
Jay P.T.,1422,Lighthipe 220/66 System,33.865762696313126,-118.20111911507654
Jessie P.T.,1428,Kramer 220/115 System,35.008145492353535,-117.65453104542348
Job P.T.,1424,Vista 220/115 System,34.26024138107216,-117.32859690519936
Joburg P.T.,1427,Kramer 220/115 System,35.36535145949334,-117.64604476373556
Johnsondale P.T.,1425,Vestal 220/66 System,35.97431674452949,-118.53925845730728
Kagle Canyon P.T.,1429,Saugus 220/66 System,34.297525037903924,-118.37638350268448
Keeler P.T.,1430,Inyo Sce 220/115 System,36.48718534720168,-117.87785814921892
Kliss P.T.,1994,Del Amo 220/66 System,33.8316215574556,-118.09440449446686
Kneeland P.T.,1993,Del Amo 220/66 System,33.84289039343719,-118.1134240067606
Kuffel P.T.,1432,Vista 220/115 System,34.247628407195684,-117.18359128053036
La Cumbre P.T.,1439,Goleta 220/66 System,34.42221189564841,-119.75525555461176
Lacresta P.T.,1438,Valley 'D' 500/115 System,33.512996202449685,-117.29600716876844
Lakeview,1890,Valley 'Ab' 500/115 System,33.82557942716747,-117.13410471129237
Las Lomas,1859,Santiago 220/66 System,33.71867641955388,-117.7391784103374
Lathrop Wells P.T.,2084,Valley Electric System,35.809858164599184,-115.64885522572864
Loma Vista P.T.,1456,Santa Clara 220/66 System,34.28107609803653,-119.2207671258413
Long P.T.,1997,Del Amo 220/66 System,33.832458657026784,-118.11569882743052
Loucks P.T.,1457,Saugus 220/66 System,34.52349201299314,-118.25905079195915
Lunada,530,La Fresa 220/66 System,33.76031762955384,-118.3787449154016
Luring P.T.,1449,Vista 220/115 System,34.21251796471428,-117.11378982933076
Madrid,483,La Fresa 220/66 System,33.83533381342406,-118.32409750883438
Madrone P.T.,1999,Barre 220/66 System,33.866905113436665,-117.9613431680313
Mailbox P.T.,2299,Valley 'Ab' 500/115 System,33.88011762253112,-117.2930379258054
Manhattan,484,La Fresa 220/66 System,33.87862305133165,-118.39841771902574
Marina P.T.,1462,Alamitos 220/66 System,33.75758542368183,-118.11558973816268
Masonry P.T.,2271,Victor 220/115 System,34.61494028730975,-117.16920418221694
Mc Clary P.T.,1463,Victor 220/115 System,34.74171966500952,-117.32564177144472
Mcclenny P.T.,1480,Vestal 220/66 System,35.82175814352335,-118.63717515972311
Mckevett P.T.,1461,Santa Clara 220/66 System,34.357287308524704,-119.05381194228602
Mebane P.T.,1472,Windhub 220/66 System,35.45955932287375,-118.77988907692443
Mescalero P.T.,1477,Devers 220/115 System,34.047846982172274,-116.580192907024
Minneola,1699,Kramer 220/115 System,34.86456245737038,-116.81726402706413
Moab P.T.,1474,Padua 220/66 System,34.15216273942732,-117.70376703395036
Mockingbird P.T.,1479,Devers 220/115 System,34.042945401159564,-116.58407635527507
Modoc,656,Goleta 220/66 System,34.43004540243831,-119.71411429816072
Moneta,486,La Fresa 220/66 System,33.88389261680484,-118.30992656395875
Montecito,659,Goleta 220/66 System,34.4318675315151,-119.63477064000334
Morningside,487,El Nido 220/66 System,33.9611984076802,-118.33031271695256
Morongo P.T.,1912,Devers 220/115 System,34.06381471246918,-116.56047071375936
Mountain Pass A,1791,Kramer 220/115 System,35.503245795845864,-115.55128033550264
Moynier P.T.,1476,La Cienega 220/66 System,34.01331000272637,-118.37931540710947
Mt. Givens P.T.,1481,Big Creek 220/220 System,37.25769472982604,-119.1571062233857
Mt. Wilson P.T.,1902,Gould 220/66 System,34.22481982764218,-118.06558094047053
Naples,860,Alamitos 220/66 System,33.768759982218015,-118.13205146268136
Native P.T.,2274,Victor 220/115 System,34.59316650007429,-117.1942017211258
Nidever P.T.,1483,Goleta 220/66 System,34.41477339390648,-119.56024246779651
Noble P.T.,1482,Kramer 220/115 System,35.04832727311128,-116.89077649597506
Nogal P.T.,1490,Goleta 220/66 System,34.43724984624559,-119.77163885280284
North Bay P.T.,1484,Vista 220/115 System,34.2667598256054,-117.18447565362496
O'Neill,1027,Viejo 220/66 System,33.64322429575617,-117.60498583146834
Oak Knoll P.T.,1493,Vista 220/115 System,34.240001458171314,-117.07325319013972
Oak Springs P.T.,1821,Victor 220/115 System,34.37919488822352,-117.59976798697936
Observatory P.T.,1905,Gould 220/66 System,34.22516158234983,-118.060636636566
Ocean Park,488,La Cienega 220/66 System,33.9978855360838,-118.478789035256
Olympic,489,La Cienega 220/66 System,34.05994866826565,-118.38958337500952
Outlaw P.T.,1498,Valley 'Ab' 500/115 System,33.922927640668654,-117.28454260143783
Outlet P.T.,1499,El Casco 220/115 System,33.928160868458896,-116.81124291582424
Pahrump P.T.,2083,Valley Electric System,35.978368346524945,-115.86373004552873
Painted Cave P.T.,1505,Goleta 220/66 System,34.504194014772914,-119.79124193051912
Palos Verdes,490,La Fresa 220/66 System,33.803860500737535,-118.37906529099078
Panchito P.T.,1929,Santa Clara 220/66 System,34.112904813268074,-119.05964252588136
Par P.T.,1504,Goleta 220/66 System,34.4528027686033,-119.79973178870829
Parker Strip,1521,Parker 161/66 System,34.228937448042785,-114.19485474762315
Peacock U.G.S.,1519,La Fresa 220/66 System,33.78253081686645,-118.4057875936086
Peacor P.T.,1517,Victor 220/115 System,34.36998061567038,-116.61118026429408
Pedestrian P.T.,2177,Eagle Rock 220/66 System,34.072323441886475,-118.1388349149462
Penitentiary P.T.,2215,Blythe (Walc) 161/33 System,33.56645973758409,-114.91585616302976
Pheasant P.T.,1506,El Casco 220/115 System,33.96779900311329,-116.89759266587669
Primm,2167,Eldorado 220/115 System,35.6409529977446,-115.3492069963033
Pruitt P.T.,2195,La Fresa 220/66 System,33.85874370930089,-118.3639673395868
Queen Mary U.G.S.,1522,Hinson 220/66 System,33.75011514963357,-118.19134574924804
Recycle P.T.,2356,Valley 'Ab' 500/115 System,33.769311283559816,-117.22667934052474
Red Box P.T.,1906,Gould 220/66 System,34.260373738057446,-118.1003640930633
Regatta P.T.,2287,Big Creek 220/220 System,37.23671983458462,-119.2324602993806
Retreat P.T.,1868,Mira Loma 220/66 System,33.80542627194658,-117.5087296597496
Ridgeview P.T.,1695,Valley 'Ab' 500/115 System,33.84523899603052,-116.99926100485908
Ronnie P.T.,1535,Center 220/66 System,33.89370286149141,-118.15910571958877
San Vicente,498,La Cienega 220/66 System,34.02866397869504,-118.49863429460974
Scout P.T.,1569,Victor 220/115 System,34.31103076158852,-116.91893140838816
Sespe P.T.,1539,Saugus 220/66 System,34.409905999642085,-118.93540972338351
Sinker P.T.,2243,Inyo Sce 220/115 System,37.32371886917248,-118.499682206711
Skyborne P.T.,1895,Devers 220/115 System,33.9634093828063,-116.56609080208187
Snowcreek P.T.,1560,Devers 220/115 System,33.904916760230016,-116.67595756755536
Soper P.T.,1992,Del Amo 220/66 System,33.86582283709328,-118.1191094431758
Sophie P.T.,2228,Valley 'D' 500/115 System,33.72370748245825,-117.2959148993144
Southridge P.T.,1549,Devers 220/115 System,33.79445005439098,-116.50266784848702
Stewval P.T.,1557,Valley Electric System,36.18544769220795,-116.12705299749538
Stroh P.T.,1568,Mira Loma 220/66 System,33.83854905420777,-117.52165051890846
Styx P.T.,1538,Victor 220/115 System,34.59965106449961,-117.20522467565172
Sugarloaf P.T.,1561,Vestal 220/66 System,35.84119712706771,-118.61610103815796
Sunlight P.T.,1567,Lighthipe 220/66 System,33.87973365665105,-118.1768934648279
Surrey U.G.S.,1564,La Fresa 220/66 System,33.75575006143004,-118.3499964209899
Tahquitz P.T.,1573,Valley 'Ab' 500/115 System,33.706694509279565,-116.73267963167255
Tapia,550,Moorpark 220/66 System,34.03632128875002,-118.68464815377833
Tatanka P.T.,1308,Goleta 220/66 System,34.43997563487477,-119.61407210203724
Tejon Peak P.T.,1574,Bailey 220/66 System,34.78746751829648,-118.81914765786487
Temescal P.T.,1581,Mira Loma 220/66 System,33.82799849956841,-117.51667146058186
Timberwine,620,Big Creek 220/220 System,37.13603914241052,-119.26106387118564
Tumbleweed P.T.,1583,Kramer 220/115 System,35.34632039954138,-117.6399305395016
Tyburn P.T.,1577,La Fresa 220/66 System,33.76234082276714,-118.4150374659854
Valley Of The Moon P.T.,1585,Vista 220/115 System,34.24334825125187,-117.25983834866324
Vanderlip P.T.,1587,La Fresa 220/66 System,33.74749758577968,-118.37109828367488
Via Huerto P.T.,1588,Goleta 220/66 System,34.42852551056769,-119.78481610250216
Vogan P.T.,1995,Del Amo 220/66 System,33.84219925462069,-118.13016962305164
Weesha P.T.,1763,El Casco 220/115 System,34.17485310005095,-116.94889555669124
Westfall P.M.,1604,Goleta 220/66 System,34.45401946062403,-119.74406674690124
Yacht P.T.,2224,Santiago 220/66 System,33.60777944311863,-117.88379972383537
Yankee P.T.,1605,Vestal 220/66 System,35.62331865392004,-118.4183870538017
Ziggy P.T.,2054,Kramer 220/115 System,34.98711204178539,-117.53998139159704
