t3_name,sub_id,t3_norm,alt_name,alt_lat,alt_lon,alt_norm,t3_in_basin,alt_in_basin,names_agree
Acton,623.0,acton,Acton,34.51048799897755,-118.1972449969698,acton,True,True,True
Aha P.t.,1272.0,aha,Aha P.T.,33.86588835692363,-114.5337720046856,aha,False,False,True
Albury P.t.,2049.0,albury,Albury P.T.,33.83891625263318,-118.11677451985788,albury,False,False,True
Alder,800.0,alder,Alder,34.13536355569119,-117.40896380206628,alder,True,True,True
Alessandro,1777.0,alessandro,Alessandro,33.902360203824635,-117.2181852584964,alessandro,True,True,True
Allview P.t.,1277.0,allview,Allview P.T.,34.21479099860479,-117.12502108530076,allview,False,False,True
Alola,2203.0,alola,Alola,33.96941961867055,-116.88125278288295,alola,False,False,True
Alon,823.0,alon,Alon,33.8348209992809,-118.24764500383525,alon,True,True,True
Alpine P.t.,1276.0,alpine,Alpine P.T.,34.238664178957094,-117.23632790733168,alpine,False,False,True
Amador,430.0,amador,Amador,34.07169126881664,-118.02699178701492,amador,True,True,True
Amalia,390.0,amalia,Amalia,34.0243532126106,-118.15450003414075,amalia,True,True,True
Amargo,1626.0,amargo,Amargo,35.00091068417334,-117.64796268028908,amargo,True,True,True
Amboy,1627.0,amboy,Amboy,34.5494849984677,-115.7434559952921,amboy,True,True,True
Anaverde,674.0,anaverde,Anaverde,34.56752478148115,-118.1462323315475,anaverde,True,True,True
Antelope,317.0,antelope,Antelope,34.68734799747701,-118.30024699649252,antelope,True,True,True
Apple Valley,1628.0,apple valley,Apple Valley,34.44832304690117,-117.2235414064831,apple valley,True,True,True
Aqueduct,1833.0,aqueduct,Aqueduct,34.415639000690206,-117.35595999917751,aqueduct,True,True,True
Arcadia,394.0,arcadia,Arcadia,34.143984965719575,-118.02578444208424,arcadia,True,True,True
Archibald,789.0,archibald,Archibald,33.997768456231,-117.59266187137268,archibald,True,True,True
Archline,796.0,archline,Archline,34.12086929458526,-117.58409269968844,archline,True,True,True
Armijo P.t.,2093.0,armijo,Armijo P.T.,34.78433379772276,-117.2490183897524,armijo,False,False,True
Arrington P.t.,1998.0,arrington,Arrington P.T.,33.829755520215,-118.10043101358654,arrington,False,False,True
Arro,729.0,arro,Arro,34.14197143239767,-117.28996172243762,arro,True,True,True
Ashley P.t.,2080.0,ashley,Ashley P.T.,34.44049966667659,-119.65588938914516,ashley,False,False,True
Athens,848.0,athens,Athens,33.916567263210936,-118.2381892261668,athens,True,True,True
Atwood,918.0,atwood,Atwood,33.880449002142754,-117.83192699613006,atwood,True,True,True
Aventura P.t.,1968.0,aventura,Aventura P.T.,33.93141848938346,-116.5041040764268,aventura,True,True,True
Badwater P.t.,1284.0,badwater,Badwater P.T.,36.455969002788585,-116.8452024905156,badwater,False,False,True
Bailey,327.0,bailey,Bailey,34.77649100015351,-118.77442899582768,bailey,True,True,True
Bain,730.0,bain,Bain,34.01006276038666,-117.50628314451394,bain,True,True,True
Bandage P.t.,2286.0,bandage,Bandage P.T.,33.778606049415224,-116.46392796750416,bandage,False,False,True
Bandini,395.0,bandini,Bandini,33.99958180854835,-118.17157825781727,bandini,True,True,True
Banducci,621.0,banducci,Banducci,35.09970798299895,-118.59934938676032,banducci,False,False,True
Banning,1781.0,banning,Banning,33.92244671648164,-116.87284521205684,banning,True,True,True
