name,owner_raw,type,status,latitude,longitude,county,city
Coyote Pumping,PG&E,SUBSTATION,Operational,37.15817063,-121.63747981,Santa Clara County,Morgan Hill
Signetics,PG&E,SUBSTATION,Operational,37.38492928,-122.01296515,Santa Clara County,Sunnyvale
Gish,PG&E,SUBSTATION,Operational,37.35410059,-121.91263016,Santa Clara County,San Jose
Markham,PG&E,SUBSTATION ASSUMED,Operational,37.3362673,-121.87816304,Santa Clara County,San Jose
Montague - (PG&E),PG&E,SUBSTATION,Operational,37.40332775,-121.90597735,Santa Clara County,San Jose
Monta Vista (Upper),PG&E,SUBSTATION,Operational,37.32640273,-122.07541299,Santa Clara County,Cupertino
Senter,PG&E,SUBSTATION ASSUMED,Operational,37.30049053,-121.8447369,Santa Clara County,San Jose
Crusher,PG&E,SUBSTATION,Operational,37.02569254,-122.15478776,Santa Cruz County,
Benton,PG&E,SUBSTATION,Operational,40.56241358,-122.39534077,Shasta County,Redding
Cascade,PG&E,SUBSTATION,Operational,40.65219256,-122.33418755,Shasta County,
Stillwater - (PG&E),PG&E,SUBSTATION,Operational,40.67775832,-122.3497616,Shasta County,Shasta Lake
Amerigas,PG&E,SUBSTATION,Operational,38.40329431,-121.92262217,Solano County,
Shell Chemical,PG&E,SUBSTATION,Operational,38.03082899,-121.94600882,Contra Costa County,Bay Point
Stauffer - PG&E Southwest,PG&E,SUBSTATION ASSUMED,Operational,38.03228545,-122.11997929,Contra Costa County,Martinez
Batavia,PG&E,SUBSTATION,Operational,38.38708136,-121.77584211,Solano County,
Cache Slough,PG&E,SUBSTATION,Operational,38.29638768,-121.74814821,Solano County,
Maine Prairie,PG&E,SUBSTATION,Operational,38.38475486,-121.75867761,Solano County,
Petaluma Station C,PG&E,SUBSTATION,Operational,38.23908398,-122.63669905,Sonoma County,Petaluma
Petaluma Station A,PG&E,SUBSTATION,Operational,38.23416504,-122.6362107,Sonoma County,Petaluma
Skaggs Island,PG&E,SUBSTATION,Operational,38.16135612,-122.38100529,Sonoma County,
Wohler,PG&E,SUBSTATION,Operational,38.51053433,-122.88106593,Sonoma County,
Stony Point,PG&E,SUBSTATION,Operational,38.37001099,-122.7641023,,
Mariposa - (PG&E),PG&E,SUBSTATION,Operational,37.50443953,-120.00777043,,
Modesto Energy,PG&E,SUBSTATION,Operational,37.55398555,-121.30835733,Stanislaus County,
Hershey,PG&E,SUBSTATION,Operational,37.75092921,-120.84528202,Stanislaus County,Oakdale
Live Oak - 95953,PG&E,SUBSTATION,Operational,39.27638489,-121.66028657,Sutter County,Live Oak
Rawson Packaging,PG&E,SUBSTATION,Operational,40.1499682,-122.21300961,Tehama County,
Red Bank,PG&E,SUBSTATION,Operational,40.14573607,-122.19945344,Tehama County,
Big Creek,PG&E,SUBSTATION,Operational,40.64682671,-123.49789625,Trinity County,Hyampom
Trinity - (PG&E),PG&E,SUBSTATION,Operational,40.71802497,-122.9344172,Trinity County,Weaverville
Wildwood,PG&E,SUBSTATION,Operational,40.38716464,-123.04409036,Trinity County,
Fibreboard Standard Spi,PG&E,SUBSTATION,Operational,37.97434117,-120.31565559,Tuolumne County,East Sonora
Challenge - PG&E,PG&E,SUBSTATION,Operational,39.48525408,-121.22030544,Yuba County,Challenge-Brownsville
Encinal,PG&E,SUBSTATION,Operational,39.24756282,-121.63712248,Sutter County,
