name,owner_raw,type,status,latitude,longitude,county,city
Captive,SCE,SUBSTATION,Operational,35.778748,-119.3050582,Kern County,Delano
Protein,SCE,SUBSTATION,Operational,36.18543697,-119.33417252,Tulare County,Tulare
Elcans,SCE,SUBSTATION,Operational,36.34271319,-119.39205915,Tulare County,Visalia
Kawgen,SCE,SUBSTATION,Operational,36.41544946,-119.00770586,Tulare County,
Lourich,SCE,SUBSTATION,Operational,36.13139821,-119.32920912,Tulare County,Tulare
Mariposa - (SCE),SCE,SUBSTATION,Operational,35.80546568,-119.16063204,Tulare County,
Wheatland - (SCE),SCE,SUBSTATION,Operational,35.91083111,-119.14444858,Tulare County,
Burro Flats,SCE,SUBSTATION ASSUMED,Operational,34.22980865,-118.71001064,Ventura County,
Camgen,SCE,SUBSTATION,Operational,34.1618952,-119.04760993,Ventura County,
Charmin,SCE,SUBSTATION ASSUMED,Operational,34.21052851,-119.14012654,Ventura County,Oxnard
Etec-Gen,SCE,SUBSTATION,Operational,34.23179239,-118.71034338,Ventura County,
Getty,SCE,SUBSTATION,Operational,34.32054416,-119.26311664,Ventura County,
Gonzales - (SCE),SCE,SUBSTATION,Operational,34.22618963,-119.17578487,Ventura County,Oxnard
Oak Park - (SCE),SCE,SUBSTATION,Operational,34.18618069,-118.7846888,Ventura County,Oak Park
Oxnard,SCE,SUBSTATION,Operational,34.19716185,-119.17429598,Ventura County,Oxnard
Potrero - (SCE),SCE,SUBSTATION,Operational,34.16172116,-118.83477271,Ventura County,Thousand Oaks
Procgen,SCE,SUBSTATION,Operational,34.21146741,-119.14000988,Ventura County,Oxnard
Rocketdyne,SCE,SUBSTATION,Operational,34.22832553,-118.70441603,Ventura County,
San Miguel - (SCE),SCE,SUBSTATION,Operational,34.25607296,-119.2418793,Ventura County,San Buenaventura (Ventura)
Shore,SCE,SUBSTATION ASSUMED,Operational,34.23927125,-119.25887809,Ventura County,San Buenaventura (Ventura)
Tayshell,SCE,SUBSTATION,Operational,34.31705727,-119.31045304,Ventura County,
Thrust,SCE,SUBSTATION ASSUMED,Operational,34.22797294,-118.70593183,Ventura County,
Torrey,SCE,SUBSTATION,Operational,34.38783326,-118.79633397,Ventura County,
Unioil,SCE,NOT AVAILABLE,Operational,34.20776179,-119.24672643,Ventura County,Oxnard
Claremont - (SCE),SCE,SUBSTATION,Operational,34.09929638,-117.70738745,Los Angeles County,Claremont
Fremont - (SCE),SCE,SUBSTATION,Operational,33.89465325,-118.26449453,Los Angeles County,West Rancho Dominguez
Portal,SCE,SUBSTATION,Operational,37.25698603,-119.15910502,Fresno County,
Haiwee - SCE South,SCE,SUBSTATION,Operational,36.10988657,-117.95644323,Inyo County,
Lone Pine,SCE,SUBSTATION,Operational,36.60070565,-118.07248848,Inyo County,Lone Pine
Morgan,SCE,SUBSTATION,Operational,37.35975529,-118.70188193,Inyo County,
Roberts,SCE,SUBSTATION,Operational,37.40069501,-118.35052392,Inyo County,
Lebec - (SCE),SCE,SUBSTATION,Operational,34.95490926,-118.84423786,Kern County,
Ammonia,SCE,SUBSTATION,Operational,33.922498,-117.84724778,Orange County,"Los Angeles--Long Beach--Anaheim, CA"
