name,owner_raw,type,status,latitude,longitude,county,city
Goal Line,SDG&E,SUBSTATION,Operational,33.11840352,-117.09846308,San Diego County,Escondido
Eastgate -  North,SDG&E,SUBSTATION,Operational,32.9019458,-117.22704421,San Diego County,San Diego
Ntcq,SDG&E,SUBSTATION,Operational,32.74614278,-117.19251357,San Diego County,San Diego
North Island QF,SDG&E,SUBSTATION,Operational,32.7023117,-117.18244343,San Diego County,Coronado
Sithe,SDG&E,SUBSTATION,Operational,32.67954047,-117.24733939,San Diego County,San Diego
Cristianitos,SDG&E,SUBSTATION,Operational,33.46333637,-117.57048747,Orange County,Rancho Mission Viejo
San Mateo - (SDG&E),SDG&E,SUBSTATION,Operational,33.40945562,-117.59059984,Orange County,San Clemente
Barrett Lake,SDG&E,SUBSTATION,Operational,32.65347523,-116.6798732,San Diego County,
Border - (SDG&E),SDG&E,SUBSTATION,Operational,32.562598,-116.94315277,San Diego County,San Diego
Borrego - (SDG&E),SDG&E,SUBSTATION,Operational,33.27085624,-116.34820207,San Diego County,
Boulder Creek - SDG&E West,SDG&E,SUBSTATION,Operational,33.00598706,-116.58619859,San Diego County,
Cabrillo - (SDG&E),SDG&E,SUBSTATION,Operational,32.70747823,-117.24504206,San Diego County,San Diego
Chollas,SDG&E,SUBSTATION,Operational,32.74376472,-117.04677426,San Diego County,Lemon Grove
Del Mar - (SDG&E),SDG&E,SUBSTATION,Operational,32.98068966,-117.25536028,San Diego County,San Diego
Division - (SDG&E),SDG&E,SUBSTATION,Operational,32.68155824,-117.12009712,San Diego County,San Diego
Doublett,SDG&E,SUBSTATION,Operational,32.91704485,-117.21907745,San Diego County,San Diego
Dunhill,SDG&E,SUBSTATION,Operational,32.90154024,-117.22990808,San Diego County,San Diego
Fashion Valley,SDG&E,SUBSTATION ASSUMED,Operational,32.77170822,-117.16439407,San Diego County,San Diego
Fenton,SDG&E,SUBSTATION,Operational,32.89496745,-117.1563103,San Diego County,San Diego
Fuel Oil Terminal,SDG&E,SUBSTATION,Operational,32.65519664,-117.11534589,San Diego County,National City
General Dynamics,SDG&E,SUBSTATION,Operational,32.82811428,-117.13611411,San Diego County,San Diego
Granite Hills,SDG&E,SUBSTATION,Operational,32.80440355,-116.92087424,San Diego,El Cajon
Horno,SDG&E,SUBSTATION,Operational,33.37824754,-117.45752698,San Diego County,
Japanese Mesa,SDG&E,SUBSTATION,Operational,33.37429907,-117.55477629,San Diego County,
Kyocera,SDG&E,SUBSTATION,Operational,32.81978967,-117.14034087,San Diego County,San Diego
Las Pulgas - (SDG&E),SDG&E,SUBSTATION,Operational,33.31284519,-117.46691023,San Diego County,
Miramar,SDG&E,SUBSTATION,Operational,32.89419668,-117.13549364,San Diego County,San Diego
Narrows - (SDG&E),SDG&E,SUBSTATION,Operational,33.13722813,-116.29446501,San Diego County,
National City,SDG&E,SUBSTATION,Operational,32.67308625,-117.10737312,San Diego County,National City
Otay Lake,SDG&E,SUBSTATION,Operational,32.59709529,-116.92767981,San Diego County,
Paradise - (SDG&E),SDG&E,SUBSTATION,Operational,32.70448422,-117.04998311,San Diego County,San Diego
Rincon - (SDG&E),SDG&E,SUBSTATION,Operational,33.28584794,-116.95864087,San Diego County,
Scrap Disposal Corp.,SDG&E,SUBSTATION ASSUMED,Operational,32.67036626,-117.11464209,San Diego County,National City
Station B - (SDG&E),SDG&E,SUBSTATION,Operational,32.71414636,-117.16948952,San Diego County,San Diego
Stuart - (SDG&E),SDG&E,SUBSTATION,Operational,33.25671185,-117.41656302,San Diego County,Camp Pendleton South
Sunnyside - (SDG&E),SDG&E,SUBSTATION,Operational,32.65801525,-117.03030214,San Diego County,Bonita
Wabash - (SDG&E),SDG&E,SUBSTATION,Operational,32.73003924,-117.11095412,San Diego County,San Diego
Warner - (SDG&E),SDG&E,SUBSTATION,Operational,33.24728399,-116.67591866,San Diego County,
Warren Canyon,SDG&E,SUBSTATION,Operational,33.01540631,-117.00230755,San Diego County,Poway
Unknown - 3289,SDGE Imperial,RISER,Operational,33.61412475,-117.70006624,Orange County,Lake Forest
Unknown - 3313,SDGE Imperial,NOT AVAILABLE,Operational,32.90546643,-115.51814682,Imperial County,
Plaster City - (SDGE Imperial),SDGE Imperial,SUBSTATION,Operational,32.79049849,-115.85380788,Imperial County,
Verde - (SDGE Imperial),SDGE Imperial,SUBSTATION,Operational,32.72293975,-115.337487,Imperial County,
Heber - (SDGE Imperial),SDGE Imperial,SUBSTATION,Operational,32.71340647,-115.53457212,Imperial County,
Unknown - 3385,SDGE Imperial,SUBSTATION,Operational,33.13892895,-117.07259878,San Diego County,Escondido
Unknown - 3452,SDGE Imperial,TAP,Operational,33.17495879,-117.2795278,San Diego County,Carlsbad
Unknown - 3534,SDGE Imperial,TAP,Operational,32.68495383,-117.10124991,San Diego County,National City
Bernardo Tap,SDGE Imperial,TAP,Operational,33.0407102,-117.15244608,San Diego County,
Unknown - 3574,SDGE Imperial,TAP,Operational,32.71413801,-116.47367419,San Diego County,
Barret - (SDGE Imperial),SDGE Imperial,SUBSTATION,Operational,32.86630465,-114.49012962,Imperial County,
Lake Hodges,SDG&E,SUBSTATION,Operational,33.05860383,-117.11927352,San Diego County,
South Bay,SDG&E,SUBSTATION,Operational,32.61514376,-117.09491153,San Diego County,Chula Vista
Unknown - 3621,SDGE Imperial,RISER,Operational,33.57557571,-117.7406879,Orange County,Aliso Viejo
Unknown - 3622,SDGE Imperial,SUBSTATION,Operational,32.74538024,-117.19255309,San Diego County,San Diego
Unknown - 3636,SDGE Imperial,SUBSTATION,Operational,32.91226173,-115.56813913,Imperial County,
Unknown - 3647,SDGE Imperial,NOT AVAILABLE,Operational,32.75288949,-114.59547569,Imperial County,
Red Mt.,SDG&E,SUBSTATION,Operational,33.3946649,-117.18928126,San Diego County,"Fallbrook, CA"
Olivanhain,SDG&E,SUBSTATION,Operational,33.06849243,-117.14138251,San Diego County,
Calpeak Power Enterprise 7,SDG&E,SUBSTATION,Operational,33.12093686,-117.11725752,San Diego County,Escondido
Miramar Gt,SDG&E,SUBSTATION,Operational,32.87607501,-117.16588393,San Diego County,San Diego
UC San Diego,SDG&E,SUBSTATION,Operational,32.88360622,-117.22245408,San Diego County,San Diego
Main Street,SDG&E,SUBSTATION ASSUMED,Operational,32.69649223,-117.14346709,San Diego County,San Diego
North Island,SDG&E,SUBSTATION,Operational,32.70509688,-117.18923968,San Diego County,Coronado
Naval Station,SDG&E,SUBSTATION,Operational,32.67076211,-117.11471374,San Diego County,National City
Unknown - 3689,SDGE Imperial,NOT AVAILABLE,Operational,32.78142132,-115.50945782,Imperial County,"El Centro, CA"
MMC Chula,SDG&E,SUBSTATION,Operational,32.59169005,-117.05851077,San Diego County,Chula Vista
Larkspur Energy Facility,SDG&E,SUBSTATION,Operational,32.56629037,-116.94431164,San Diego County,San Diego
Granite Hills Tap,SDGE Imperial,TAP,Operational,32.79069022,-116.89316314,San Diego County,Granite Hills
Unknown - 3751,SDGE Imperial,TAP,Operational,33.51412877,-117.66863562,Orange County,San Juan Capistrano
Unknown - 3804,SDGE Imperial,TAP,Operational,32.76965361,-116.69734202,San Diego County,
Unknown - 3869,SDGE Imperial,SUBSTATION,Operational,32.72910273,-115.5242733,Imperial County,Heber
Barrett - (SDG&E),SDG&E,SUBSTATION,Operational,32.66719217,-116.70013085,San Diego County,
Eastgate -  South,SDG&E,SUBSTATION,Operational,32.88484676,-117.20082653,San Diego County,San Diego
Unknown - 3893,SDGE Imperial,SUBSTATION,Operational,32.91035231,-117.11330139,San Diego County,San Diego
Alamorio - (SDGE Imperial),SDGE Imperial,SUBSTATION,Operational,32.95317572,-115.42324696,Imperial County,
Unknown - 3911,SDGE Imperial,SUBSTATION,Operational,32.73817503,-114.71416104,Imperial County,
Unknown - 3925,SDGE Imperial,NOT AVAILABLE,Operational,32.75286168,-114.61596763,Imperial County,
