utility,substation_name,util_lat,util_lon,cec_lat,cec_lon,type,status
pge,HOLLISTER,36.86291061228925,-121.4059655595244,36.86284116,-121.40599793,SUBSTATION,Operational
pge,OROVILLE,39.50420642182479,-121.56020606130058,39.5039928,-121.56014172,SUBSTATION,Operational
pge,HOPLAND,38.97287952085421,-123.08117071435976,38.97278815,-123.08110832,SUBSTATION,Operational
pge,PANORAMA,40.43443262495934,-122.26746683270112,40.43436274,-122.26790944,SUBSTATION,Operational
pge,HAMILTON A,39.74626480299121,-122.01146489920175,39.74641341,-122.01135593,SUBSTATION,Operational
pge,BROOKSIDE,37.96197173061187,-122.34740011271514,37.96209069,-122.34739739,SUBSTATION,Operational
pge,EIGHT MILE,38.058406468108736,-121.37663705496492,38.05886103,-121.376889,SUBSTATION,Operational
pge,STROUD,36.53114916455339,-120.10431099777811,36.53108265,-120.10449376,SUBSTATION,Operational
pge,COARSEGOLD,37.22741691128599,-119.690552055026,37.22747102,-119.69073249,SUBSTATION,Operational
pge,SCHINDLER,36.401932506462806,-120.13844397559691,36.40193944,-120.13870949,SUBSTATION,Operational
pge,STANISLAUS,38.14006225541333,-120.36971689458166,38.13789292,-120.37017629,SUBSTATION,Operational
pge,OTTER,36.38026746652593,-121.89862348687925,36.38008178,-121.89928749,SUBSTATION,Operational
pge,GABILAN,36.73135977881113,-121.61341084063255,36.73129846,-121.61329866,SUBSTATION,Operational
pge,BRUNSWICK,39.231239532701935,-121.03491018822432,39.23104485,-121.0350129,SUBSTATION,Operational
pge,CANAL,37.06637138757264,-120.83597188351864,37.06632834,-120.83555106,SUBSTATION,Operational
pge,BOGUE,39.096194366463855,-121.6233825471538,39.09589829,-121.62396603,SUBSTATION,Operational
pge,HICKS,37.233642133115225,-121.9012169860993,37.23370852,-121.90105523,SUBSTATION,Operational
pge,PINEDALE,36.85007067841538,-119.8034557830923,36.84992404,-119.80333234,SUBSTATION,Operational
pge,SAN RAFAEL,37.97034817117299,-122.5268270651713,37.9705732,-122.52720274,SUBSTATION,Operational
pge,CHICO B,39.7253212399454,-121.846804015902,39.72550979,-121.84706244,SUBSTATION,Operational
pge,ZAMORA,38.77465430165772,-121.85821418077823,38.77565015,-121.85815367,SUBSTATION,Operational
pge,ASHLAN AVE,36.79285389656522,-119.82738205997627,36.79288536,-119.82799531,SUBSTATION,Operational
pge,DEEPWATER,38.55140495900723,-121.55981764661082,38.55156311,-121.55999899,SUBSTATION,Operational
pge,WOLFE,37.33477745536544,-122.02082362284114,37.3344314,-122.0205933,SUBSTATION,Operational
pge,CLARK ROAD,39.65482672818301,-121.63548123647666,39.65451617,-121.63549489,SUBSTATION,Operational
pge,DOLAN ROAD,36.80013119439448,-121.76897719428231,36.80022321,-121.7690576,SUBSTATION,Operational
pge,RICHMOND R,37.92625133438892,-122.36966637516512,37.92617563,-122.36956389,SUBSTATION,Operational
pge,PINE GROVE,38.41280369646983,-120.66072875769709,38.41279257,-120.66022093,SUBSTATION,Operational
pge,LE GRAND,37.18467134480297,-120.27370723472944,37.18497183,-120.27394225,SUBSTATION,Operational
pge,WEBER,37.91977787523238,-121.24063827031146,37.91984596,-121.24026094,SUBSTATION,Operational
pge,STOCKDALE,35.31647157909954,-119.06802793721036,35.31705198,-119.06762182,SUBSTATION,Operational
pge,BALFOUR,37.926180349016605,-121.67855023269668,37.92583299,-121.67826287,SUBSTATION,Operational
pge,BOWLES,36.60577292106775,-119.77351527184116,36.60561399,-119.77329431,SUBSTATION,Operational
pge,LAMMERS,37.71280029392499,-121.47875326631689,37.71302438,-121.47790414,SUBSTATION,Operational
pge,HIGHLANDS,38.93697153956946,-122.60907443594864,38.93705627,-122.6088951,SUBSTATION,Operational
pge,TIDEWATER,38.02052295487403,-122.06207554043746,38.01963921,-122.06184384,SUBSTATION,Operational
pge,CASTRO VALLEY,37.6917841084946,-122.06126559376074,37.69127602,-122.06126424,SUBSTATION,Operational
pge,CLAY,38.34223678954548,-120.93502517926262,38.34218551,-120.93496732,SUBSTATION,Operational
pge,OLIVEHURST,39.09191021084869,-121.54283685629107,39.09206459,-121.54295996,SUBSTATION,Operational
pge,LLAGAS,37.00719420510908,-121.5569929127207,37.00725799,-121.55723133,SUBSTATION,Operational
pge,SARANAP,37.8949912204196,-122.07469961303588,37.89509916,-122.07371515,SUBSTATION,Operational
pge,KING CITY,36.21705442156273,-121.12682030175492,36.21699239,-121.12713404,SUBSTATION,Operational
pge,OROSI,36.54494016402164,-119.2512498016316,36.54483107,-119.25140686,SUBSTATION,Operational
pge,LIVERMORE,37.680003612395765,-121.78085098109068,37.68002283,-121.78049172,SUBSTATION,Operational
pge,PLACERVILLE,38.730977599017024,-120.78350575501544,38.73089349,-120.78382553,SUBSTATION,Operational
pge,UPPER LAKE,39.14608725571375,-122.91705320074546,39.14573547,-122.91664494,SUBSTATION,Operational
pge,ERTA,36.93065412756231,-121.76425096468428,36.93037681,-121.76422718,SUBSTATION,Operational
pge,CAPAY,39.77653431381928,-122.10355513930796,39.77595845,-122.10379752,SUBSTATION,Operational
pge,NORTH DUBLIN,37.74483921993783,-121.85769752164674,37.74482603,-121.85791088,SUBSTATION,Operational
pge,CALIFORNIA AVE,36.71976722854816,-119.76422834299458,36.71951295,-119.76417234,SUBSTATION,Operational
pge,ORICK,41.29430712515043,-124.05658700221892,41.29428202,-124.05685746,SUBSTATION,Operational
pge,VALLEY VIEW,37.96628771253263,-122.27912095478516,37.96612901,-122.278611,SUBSTATION,Operational
pge,MARTELL,38.36883661631688,-120.79647096943472,38.36910288,-120.79674099,SUBSTATION,Operational
pge,CRESSEY,37.42859913669553,-120.6384473846346,37.42846447,-120.63851484,SUBSTATION,Operational
pge,HENRIETTA,36.24184869376041,-119.90482761916222,36.24191457,-119.90325931,SUBSTATION,Operational
pge,OLETA,38.4807522569046,-120.84479287419188,38.48075913,-120.84493058,SUBSTATION,Operational
pge,WATSONVILLE,36.90322145782284,-121.75635320535145,36.90274697,-121.75589623,SUBSTATION,Operational
pge,HOLLYWOOD,37.81262335848576,-122.2188198016409,37.81294013,-122.21883896,SUBSTATION,
pge,KERN POWER,35.378644853294965,-119.09838282217432,35.37999622,-119.097354,SUBSTATION,Operational
