ba,datetime_utc
IID,2020-12-12 09:00:00+00:00
IID,2020-12-12 10:00:00+00:00
IID,2020-12-12 11:00:00+00:00
IID,2020-12-12 12:00:00+00:00
IID,2020-12-12 13:00:00+00:00
IID,2020-12-12 14:00:00+00:00
IID,2020-12-12 15:00:00+00:00
IID,2020-12-12 16:00:00+00:00
IID,2020-12-12 17:00:00+00:00
IID,2020-12-12 18:00:00+00:00
IID,2020-12-12 19:00:00+00:00
IID,2020-12-12 20:00:00+00:00
IID,2020-12-12 21:00:00+00:00
IID,2020-12-12 22:00:00+00:00
IID,2020-12-12 23:00:00+00:00
IID,2020-12-13 00:00:00+00:00
IID,2020-12-13 01:00:00+00:00
IID,2020-12-13 02:00:00+00:00
IID,2020-12-13 03:00:00+00:00
IID,2020-12-13 04:00:00+00:00
IID,2020-12-13 05:00:00+00:00
IID,2020-12-13 06:00:00+00:00
IID,2020-12-13 07:00:00+00:00
IID,2020-12-13 08:00:00+00:00
IID,2023-12-02 09:00:00+00:00
IID,2023-12-02 10:00:00+00:00
IID,2023-12-02 11:00:00+00:00
IID,2023-12-02 12:00:00+00:00
IID,2023-12-02 13:00:00+00:00
IID,2023-12-02 14:00:00+00:00
IID,2023-12-02 15:00:00+00:00
IID,2023-12-02 16:00:00+00:00
IID,2023-12-02 17:00:00+00:00
IID,2023-12-02 18:00:00+00:00
IID,2023-12-02 19:00:00+00:00
IID,2023-12-02 20:00:00+00:00
IID,2023-12-02 21:00:00+00:00
IID,2023-12-02 22:00:00+00:00
IID,2023-12-02 23:00:00+00:00
IID,2023-12-03 00:00:00+00:00
IID,2023-12-03 01:00:00+00:00
IID,2023-12-03 02:00:00+00:00
IID,2023-12-03 03:00:00+00:00
IID,2023-12-03 04:00:00+00:00
IID,2023-12-03 05:00:00+00:00
IID,2023-12-03 06:00:00+00:00
IID,2023-12-03 07:00:00+00:00
IID,2023-12-03 08:00:00+00:00
IID,2024-06-29 08:00:00+00:00
IID,2024-06-29 09:00:00+00:00
IID,2024-06-29 10:00:00+00:00
IID,2024-06-29 11:00:00+00:00
IID,2024-06-29 12:00:00+00:00
IID,2024-06-29 13:00:00+00:00
IID,2024-06-29 14:00:00+00:00
IID,2024-06-29 15:00:00+00:00
IID,2024-06-29 16:00:00+00:00
IID,2024-06-29 17:00:00+00:00
IID,2024-06-29 18:00:00+00:00
IID,2024-06-29 19:00:00+00:00
IID,2024-06-29 20:00:00+00:00
IID,2024-06-29 21:00:00+00:00
IID,2024-06-29 22:00:00+00:00
IID,2024-06-29 23:00:00+00:00
IID,2024-06-30 00:00:00+00:00
IID,2024-06-30 01:00:00+00:00
IID,2024-06-30 02:00:00+00:00
IID,2024-06-30 03:00:00+00:00
IID,2024-06-30 04:00:00+00:00
IID,2024-06-30 05:00:00+00:00
IID,2024-06-30 06:00:00+00:00
IID,2024-06-30 07:00:00+00:00
LDWP,2019-03-10 11:00:00+00:00
LDWP,2019-03-10 12:00:00+00:00
LDWP,2019-03-10 13:00:00+00:00
LDWP,2019-03-10 14:00:00+00:00
LDWP,2019-03-10 15:00:00+00:00
LDWP,2019-03-10 16:00:00+00:00
LDWP,2019-03-10 17:00:00+00:00
LDWP,2019-03-10 18:00:00+00:00
LDWP,2019-03-10 19:00:00+00:00
LDWP,2019-03-10 20:00:00+00:00
LDWP,2019-03-10 21:00:00+00:00
LDWP,2019-03-10 22:00:00+00:00
LDWP,2019-03-10 23:00:00+00:00
LDWP,2019-03-11 00:00:00+00:00
LDWP,2019-03-11 01:00:00+00:00
LDWP,2019-03-11 02:00:00+00:00
LDWP,2019-03-11 03:00:00+00:00
LDWP,2019-03-11 04:00:00+00:00
LDWP,2019-03-11 05:00:00+00:00
LDWP,2019-03-11 06:00:00+00:00
LDWP,2019-03-11 07:00:00+00:00
LDWP,2019-11-03 08:00:00+00:00
LDWP,2019-11-03 09:00:00+00:00
LDWP,2019-11-03 10:00:00+00:00
LDWP,2019-11-03 11:00:00+00:00
LDWP,2019-11-03 12:00:00+00:00
LDWP,2019-11-03 13:00:00+00:00
LDWP,2019-11-03 14:00:00+00:00
LDWP,2019-11-03 15:00:00+00:00
LDWP,2019-11-03 16:00:00+00:00
LDWP,2019-11-03 17:00:00+00:00
LDWP,2019-11-03 18:00:00+00:00
LDWP,2019-11-03 19:00:00+00:00
LDWP,2019-11-03 20:00:00+00:00
LDWP,2019-11-03 21:00:00+00:00
LDWP,2019-11-03 22:00:00+00:00
LDWP,2019-11-03 23:00:00+00:00
LDWP,2019-11-04 00:00:00+00:00
LDWP,2019-11-04 01:00:00+00:00
LDWP,2019-11-04 02:00:00+00:00
LDWP,2019-11-04 03:00:00+00:00
LDWP,2019-11-04 04:00:00+00:00
LDWP,2019-11-04 05:00:00+00:00
LDWP,2019-11-04 06:00:00+00:00
LDWP,2019-11-04 07:00:00+00:00
LDWP,2019-11-04 08:00:00+00:00
LDWP,2020-03-08 11:00:00+00:00
LDWP,2020-03-08 12:00:00+00:00
LDWP,2020-03-08 13:00:00+00:00
LDWP,2020-03-08 14:00:00+00:00
LDWP,2020-03-08 15:00:00+00:00
LDWP,2020-03-08 16:00:00+00:00
LDWP,2020-03-08 17:00:00+00:00
LDWP,2020-03-08 18:00:00+00:00
LDWP,2020-03-08 19:00:00+00:00
LDWP,2020-03-08 20:00:00+00:00
LDWP,2020-03-08 21:00:00+00:00
LDWP,2020-03-08 22:00:00+00:00
LDWP,2020-03-08 23:00:00+00:00
LDWP,2020-03-09 00:00:00+00:00
LDWP,2020-03-09 01:00:00+00:00
LDWP,2020-03-09 02:00:00+00:00
LDWP,2020-03-09 03:00:00+00:00
LDWP,2020-03-09 04:00:00+00:00
LDWP,2020-03-09 05:00:00+00:00
LDWP,2020-03-09 06:00:00+00:00
LDWP,2020-03-09 07:00:00+00:00
LDWP,2020-11-01 08:00:00+00:00
LDWP,2020-11-01 09:00:00+00:00
LDWP,2020-11-01 10:00:00+00:00
LDWP,2020-11-01 11:00:00+00:00
LDWP,2020-11-01 12:00:00+00:00
LDWP,2020-11-01 13:00:00+00:00
LDWP,2020-11-01 14:00:00+00:00
LDWP,2020-11-01 15:00:00+00:00
LDWP,2020-11-01 16:00:00+00:00
LDWP,2020-11-01 17:00:00+00:00
LDWP,2020-11-01 18:00:00+00:00
LDWP,2020-11-01 19:00:00+00:00
LDWP,2020-11-01 20:00:00+00:00
LDWP,2020-11-01 21:00:00+00:00
LDWP,2020-11-01 22:00:00+00:00
LDWP,2020-11-01 23:00:00+00:00
LDWP,2020-11-02 00:00:00+00:00
LDWP,2020-11-02 01:00:00+00:00
LDWP,2020-11-02 02:00:00+00:00
LDWP,2020-11-02 03:00:00+00:00
LDWP,2020-11-02 04:00:00+00:00
LDWP,2020-11-02 05:00:00+00:00
LDWP,2020-11-02 06:00:00+00:00
LDWP,2020-11-02 07:00:00+00:00
LDWP,2020-11-02 08:00:00+00:00
LDWP,2021-03-14 11:00:00+00:00
LDWP,2021-03-14 12:00:00+00:00
LDWP,2021-03-14 13:00:00+00:00
LDWP,2021-03-14 14:00:00+00:00
LDWP,2021-03-14 15:00:00+00:00
LDWP,2021-03-14 16:00:00+00:00
LDWP,2021-03-14 17:00:00+00:00
LDWP,2021-03-14 18:00:00+00:00
LDWP,2021-03-14 19:00:00+00:00
LDWP,2021-03-14 20:00:00+00:00
LDWP,2021-03-14 21:00:00+00:00
LDWP,2021-03-14 22:00:00+00:00
LDWP,2021-03-14 23:00:00+00:00
LDWP,2021-03-15 00:00:00+00:00
LDWP,2021-03-15 01:00:00+00:00
LDWP,2021-03-15 02:00:00+00:00
LDWP,2021-03-15 03:00:00+00:00
LDWP,2021-03-15 04:00:00+00:00
LDWP,2021-03-15 05:00:00+00:00
LDWP,2021-03-15 06:00:00+00:00
LDWP,2021-03-15 07:00:00+00:00
LDWP,2023-11-05 08:00:00+00:00
LDWP,2023-11-05 09:00:00+00:00
LDWP,2023-11-05 10:00:00+00:00
LDWP,2023-11-05 11:00:00+00:00
LDWP,2023-11-05 12:00:00+00:00
LDWP,2023-11-05 13:00:00+00:00
LDWP,2023-11-05 14:00:00+00:00
LDWP,2023-11-05 15:00:00+00:00
LDWP,2023-11-05 16:00:00+00:00
LDWP,2023-11-05 17:00:00+00:00
LDWP,2023-11-05 18:00:00+00:00
LDWP,2023-11-05 19:00:00+00:00
LDWP,2023-11-05 20:00:00+00:00
LDWP,2023-11-05 21:00:00+00:00
LDWP,2023-11-05 22:00:00+00:00
LDWP,2023-11-05 23:00:00+00:00
LDWP,2023-11-06 00:00:00+00:00
LDWP,2023-11-06 01:00:00+00:00
LDWP,2023-11-06 02:00:00+00:00
LDWP,2023-11-06 03:00:00+00:00
LDWP,2023-11-06 04:00:00+00:00
LDWP,2023-11-06 05:00:00+00:00
LDWP,2023-11-06 06:00:00+00:00
LDWP,2023-11-06 07:00:00+00:00
LDWP,2023-11-06 08:00:00+00:00
NEVP,2019-03-10 23:00:00+00:00
NEVP,2019-03-11 00:00:00+00:00
NEVP,2019-03-11 01:00:00+00:00
NEVP,2019-03-11 02:00:00+00:00
NEVP,2019-03-11 03:00:00+00:00
NEVP,2019-03-11 04:00:00+00:00
NEVP,2019-03-11 05:00:00+00:00
NEVP,2019-03-11 06:00:00+00:00
NEVP,2019-03-11 07:00:00+00:00
NEVP,2020-03-08 23:00:00+00:00
NEVP,2020-03-09 00:00:00+00:00
NEVP,2020-03-09 01:00:00+00:00
NEVP,2020-03-09 02:00:00+00:00
