SourceName,CECName,match_rule,source_lat,source_lon,cec_lat,cec_lon,dist_km,name_agrees,already_in_dict
18TH STREET,Eighteenth St,spatial,37.76111429249559,-122.4388699445812,37.76084551,-122.4389845,0.032,False,True
18TH STREET,Castro,spatial,37.76111429249559,-122.4388699445812,37.74938345,-122.43417474,1.368,False,True
18TH STREET,San Fran E,spatial,37.76111429249559,-122.4388699445812,37.7599734,-122.42030586,1.637,False,True
21ST AVENUE,Twenty-First Ave,spatial,37.75449989411368,-122.47806162171672,37.75436568,-122.47823754,0.021,False,True
21ST AVENUE,San Fran N,spatial,37.75449989411368,-122.47806162171672,37.76133081,-122.46646012,1.272,False,True
21ST AVENUE,Judah,spatial,37.75449989411368,-122.47806162171672,37.76074,-122.4935766,1.53,False,True
21ST AVENUE,Taraval,spatial,37.75449989411368,-122.47806162171672,37.74202654,-122.49336224,1.932,False,True
6TH AVENUE,Sixth Ave,spatial,37.78165946851242,-122.4647973814628,37.78168861,-122.46466682,0.012,False,True
6TH AVENUE,San Fran K,spatial,37.78165946851242,-122.4647973814628,37.77659957,-122.48367364,1.752,False,True
8TH AVENUE,Eighth Ave,spatial,37.80064538752543,-122.24202081133105,37.80046424,-122.24193903,0.021,False,True
8TH AVENUE,Oakland X,spatial,37.80064538752543,-122.24202081133105,37.80528491,-122.2312545,1.077,False,True
ACTON,Acton - PG&E,spatial,37.70866425535986,-122.45185131815214,37.70856832,-122.45062577,0.108,True,True
ACTON,Plymouth,spatial,37.70866425535986,-122.45185131815214,37.71278183,-122.45577036,0.573,False,True
ACTON,Ocean Ave,spatial,37.70866425535986,-122.45185131815214,37.72332171,-122.45471603,1.649,False,True
ACTON,Randolph - PG&E,spatial,37.70866425535986,-122.45185131815214,37.7144506,-122.4696151,1.69,False,True
ACTON,Daly City,spatial,37.70866425535986,-122.45185131815214,37.69167461,-122.4559247,1.923,False,True
ALHAMBRA,Alhambra - (PG&E),spatial,37.99408242188111,-122.13034397164172,37.99391824,-122.13010237,0.028,True,True
ALPINE,Alpine - PG&E,spatial,38.46682532572175,-120.0381940068952,38.46639941,-120.03834742,0.049,True,True
ANTELOPE,Antelope - (PG&E),spatial,35.657909182784095,-119.99680487400924,35.65789628,-119.99642185,0.035,True,True
ANTELOPE,Unknown - 3486,spatial,35.657909182784095,-119.99680487400924,35.65827406,-120.0102374,1.214,False,True
BANCROFT,Bancroft - PG&E,spatial,37.74028783112764,-122.1548323818996,37.73986467,-122.15539406,0.068,True,True
BANCROFT,Oakland I - PG&E Southeast,spatial,37.74028783112764,-122.1548323818996,37.74785853,-122.17443146,1.918,False,True
BARRETT,Barrett - (PG&E),spatial,37.93963708159622,-122.3466580473046,37.93955867,-122.34722127,0.05,True,True
BARRETT,Richmond Q,spatial,37.93963708159622,-122.3466580473046,37.92500847,-122.3373374,1.82,False,True
BARRETT,Mira Vista,spatial,37.93963708159622,-122.3466580473046,37.93854579,-122.32460968,1.937,False,True
BARRETT,Virginia,spatial,37.93963708159622,-122.3466580473046,37.92471914,-122.35937816,1.999,False,True
BEACH (Q),Beach St,spatial,37.80767668920345,-122.41439367858108,37.80763017,-122.41450892,0.011,False,True
BEACH (Q),San Fran F (Marina),spatial,37.80767668920345,-122.41439367858108,37.80367714,-122.43299686,1.694,False,True
BEACH (Q),San Fran J,spatial,37.80767668920345,-122.41439367858108,37.79414677,-122.4020568,1.854,False,True
BECK STREET,Beck,spatial,37.76624214689912,-122.17570399534448,37.76623994,-122.17597168,0.024,False,True
BELMONT,Belmont - (PG&E),spatial,37.52392507929761,-122.2655656379043,37.52346077,-122.26521895,0.06,True,True
BERKELEY T,Stuart - (PG&E),spatial,37.86457393824122,-122.25905444052576,37.85803969,-122.26867425,1.114,False,True
BERKELEY T,Berkeley F,spatial,37.86457393824122,-122.25905444052576,37.8724246,-122.27815591,1.89,False,True
CABRILLO,Cabrillo - (PG&E),spatial,34.643231832675774,-120.4373602032375,34.643265,-120.4372676,0.009,True,True
CABRILLO,Lompoc - Control Building,spatial,34.643231832675774,-120.4373602032375,34.64277301,-120.45483396,1.599,False,True
CAMDEN,Camden - (PG&E),spatial,36.44568692380856,-119.79886678890834,36.44598108,-119.79895395,0.034,True,True
CHALLENGE,Challenge - PG&E,spatial,39.48563129002225,-121.22014874811364,39.48525408,-121.22030544,0.044,True,True
CHOWCHILLA,Chowchilla - (PG&E),spatial,37.12083563007519,-120.25043505532854,37.1207793,-120.25079161,0.032,True,True
CHOWCHILLA,Capco,spatial,37.12083563007519,-120.25043505532854,37.10858708,-120.24830631,1.375,False,True
CLEAR LAKE,Clear Lake - (PG&E),spatial,39.007758745598494,-122.89345093801266,39.0077625,-122.89398734,0.046,True,True
CONCORD NO 1,Concord,spatial,37.97581268089191,-122.02429744721525,37.97570316,-122.02473595,0.04,False,True
CONCORD NO 1,Gill,spatial,37.97581268089191,-122.02429744721525,37.98676322,-122.04025571,1.854,False,True
CONTRA COSTA,Contra Costa - (PG&E),spatial,37.99867901702416,-121.78318387764637,37.99954967,-121.78280995,0.102,True,True
CONTRA COSTA,Unknown - 4438,spatial,37.99867901702416,-121.78318387764637,37.99956376,-121.78784373,0.42,False,True
CORONA,Corona - (PG&E),spatial,38.26512802531959,-122.6571608149265,38.26500774,-122.65735523,0.022,True,True
CORONA,Unknown - 3508,spatial,38.26512802531959,-122.6571608149265,38.26060724,-122.6625143,0.686,False,True
COTTONWOOD,Cottonwood - (PG&E),spatial,40.39732263215315,-122.26727834579738,40.39787486,-122.2642114,0.267,True,True
COUNTRY CLUB,Country Club - PG&E,spatial,37.97960932789654,-121.31570780413264,37.97920524,-121.31637896,0.074,True,True
COUNTRY CLUB,Oak Park - (PG&E),spatial,37.97960932789654,-121.31570780413264,37.98050597,-121.29853194,1.509,False,True
COUNTRY CLUB,Stockton Acres,spatial,37.97960932789654,-121.31570780413264,37.96330706,-121.32341813,1.935,False,True
CRESCENT MILLS,Unknown - 3320,spatial,40.093925518711536,-120.91070330230104,40.09380096,-120.911221,0.046,False,True
CROWS LANDING,Crows Landing - (PG&E),spatial,37.37774567278726,-121.08632626856836,37.37737832,-121.08588977,0.056,True,True
DEL MAR,Del Mar - (PG&E),spatial,38.798905518358,-121.22132249121611,38.7988104,-121.22129945,0.011,True,True
DEL MAR,Rocklin,spatial,38.798905518358,-121.22132249121611,38.78795843,-121.23167882,1.512,False,True
DIXON LANDING,Dixon Landing - (PG&E),spatial,37.45705888772975,-121.92097272747756,37.45754919,-121.92126489,0.06,True,True
DIXON LANDING,Newby Island I,spatial,37.45705888772975,-121.92097272747756,37.45475435,-121.93553795,1.311,False,True
DUMBARTON,Dumbarton - (PG&E),spatial,37.55713232904114,-122.05834145293557,37.55698707,-122.05792688,0.04,True,True
DUMBARTON,Dumbarton Tap,spatial,37.55713232904114,-122.05834145293557,37.55046605,-122.07098786,1.339,False,True
EDES,Edes - (PG&E),spatial,37.738958386689234,-122.19406786917396,37.73868459,-122.19378589,0.039,True,True
EDES,Edes Tap 1,spatial,37.738958386689234,-122.19406786917396,37.74149917,-122.19418156,0.283,False,True
EDES,Edes Tap 2,spatial,37.738958386689234,-122.19406786917396,37.73690263,-122.19870793,0.468,False,True
EDES,Oakland I - PG&E Southeast,spatial,37.738958386689234,-122.19406786917396,37.74785853,-122.17443146,1.99,False,True
EL NIDO,El Nido - (PG&E),spatial,37.12088972778191,-120.47290782246549,37.12062842,-120.47268443,0.035,True,True
FAIRMOUNT,Fairmont - (PG&E),spatial,37.90189965591967,-122.29689529328267,37.90222724,-122.29661673,0.044,False,True
FAIRMOUNT,Unknown - 4398,spatial,37.90189965591967,-122.29689529328267,37.90332659,-122.29351865,0.336,False,True
FAIRMOUNT,Unknown - 4109,spatial,37.90189965591967,-122.29689529328267,37.90403648,-122.29117651,0.555,False,True
FAIRMOUNT,Oak - PG&E South,spatial,37.90189965591967,-122.29689529328267,37.90115903,-122.28653022,0.913,False,True
FAIRMOUNT,Oak - PG&E North,spatial,37.90189965591967,-122.29689529328267,37.9018784,-122.28628775,0.931,False,True
FAIRMOUNT,Waldo,spatial,37.90189965591967,-122.29689529328267,37.90942097,-122.30686441,1.21,False,True
FAIRMOUNT,Unknown - 3937,spatial,37.90189965591967,-122.29689529328267,37.90984527,-122.30652784,1.223,False,True
FAIRMOUNT,Solano,spatial,37.90189965591967,-122.29689529328267,37.89085384,-122.29219653,1.296,False,True
FAIRMOUNT,El Cerrito Station G,spatial,37.90189965591967,-122.29689529328267,37.91624728,-122.30220899,1.662,False,True
FAIRVIEW,Fairview - (PG&E),spatial,38.01590927413491,-122.11629244561098,38.01608207,-122.11627408,0.019,True,True
FAIRVIEW,Martinez,spatial,38.01590927413491,-122.11629244561098,38.01494402,-122.11622225,0.108,False,True
FAIRVIEW,Urich Tap,spatial,38.01590927413491,-122.11629244561098,38.02636701,-122.1017688,1.724,False,True
FAIRVIEW,Stauffer - PG&E Southwest,spatial,38.01590927413491,-122.11629244561098,38.03228545,-122.11997929,1.849,False,True
FAIRVIEW,Urich - (PG&E),spatial,38.01590927413491,-122.11629244561098,38.02895002,-122.10308779,1.855,False,True
FAMOSO,Famoso - (PG&E),spatial,35.60547527167606,-119.20318663401906,35.60503537,-119.20364064,0.064,True,True
FIREBAUGH,Fireboard,spatial,36.85079413120268,-120.4658435279364,36.8505761,-120.46635952,0.052,False,True
FOOTHILL,Foothill - (PG&E),spatial,35.28648919476478,-120.7062571845936,35.28670169,-120.70590108,0.04,True,True
FRANKLIN,Franklin - (PG&E),spatial,38.012370285670094,-122.26448472267798,38.01210203,-122.26431677,0.033,True,True
FRANKLIN,Unknown - 3578,spatial,38.012370285670094,-122.26448472267798,38.01135903,-122.26554278,0.146,False,True
FREMONT,Fremont - (PG&E),spatial,37.5418196595348,-121.961946339948,37.54135816,-121.9619443,0.051,True,True
FRUITLAND,Fruitland - (PG&E),spatial,40.286587508255074,-123.83681278567364,40.28583672,-123.83729396,0.093,True,True
GANSO,Ganso - (PG&E),spatial,35.50133512445359,-119.44912437034876,35.50111023,-119.44895435,0.029,True,True
GONZALES,Gonzales - (PG&E),spatial,36.50924719473701,-121.44649143497328,36.50886016,-121.44687749,0.055,True,True
GONZALES,Unknown - 4407,spatial,36.50924719473701,-121.44649143497328,36.51038847,-121.44904404,0.261,False,True
GOOSE LAKE,Goose Lake - (PG&E),spatial,35.60174548016343,-119.57986582808483,35.60163396,-119.57986802,0.012,True,True
GRAYS FLAT,Grays Flat - PG&E,spatial,40.0221483161838,-121.063733200033,40.02241219,-121.06543225,0.148,True,True
GREEN VALLEY,Green Valley - (PG&E),spatial,36.952075206180815,-121.7601230620376,36.95193511,-121.7602839,0.021,True,True
GUERNSEY,Guernsey - (PG&E),spatial,36.22643077790519,-119.65578907910825,36.22630837,-119.65521209,0.054,True,True
HALSEY,Halsey - (PG&E NGBA),spatial,38.95682089677347,-121.04286722342916,38.9569067,-121.0432567,0.035,True,True
HALSEY,Halsey - (PG&E),spatial,38.95682089677347,-121.04286722342916,38.95692333,-121.04221719,0.057,True,True
HARDING,Harding - (PG&E),spatial,37.96361485228802,-121.29066673738885,37.96372394,-121.29037593,0.028,True,True
HARDING,Aurora,spatial,37.96361485228802,-121.29066673738885,37.96115996,-121.28150137,0.849,False,True
HARDING,Monarch,spatial,37.96361485228802,-121.29066673738885,37.96936997,-121.28022592,1.117,False,True
HARDING,Unknown - 3552,spatial,37.96361485228802,-121.29066673738885,37.97787679,-121.28106076,1.796,False,True
HARDING,Stockton Station A,spatial,37.96361485228802,-121.29066673738885,37.94745296,-121.28870892,1.805,False,True
HARDING,Ragu,spatial,37.96361485228802,-121.29066673738885,37.96810144,-121.26868348,1.991,False,True
LAKEVIEW,Lakeview - (PG&E),spatial,35.09364619774964,-119.10121328188974,35.09413952,-119.10110982,0.056,True,True
LAKEVIEW,Unknown - 4385,spatial,35.09364619774964,-119.10121328188974,35.10895969,-119.10955113,1.864,False,True
LAKEWOOD,Lakewood - (PG&E),spatial,37.9088184998879,-122.0574732475179,37.90840515,-122.05732168,0.048,True,True
LAKEWOOD,Walnut Creek,spatial,37.9088184998879,-122.0574732475179,37.90479707,-122.0609477,0.541,False,True
LAKEWOOD,Meadow Lane Tap,spatial,37.9088184998879,-122.0574732475179,37.91196841,-122.05134882,0.641,False,True
LAS PULGAS,Las Pulgas - (PG&E),spatial,37.46317528473907,-122.22801351794423,37.46283675,-122.22789241,0.039,True,True
LAWNDALE,Lawndale - (PG&E),spatial,37.66284710325899,-122.44306917304786,37.66251876,-122.44258138,0.056,True,True
LAWNDALE,Serramonte,spatial,37.66284710325899,-122.44306917304786,37.65079499,-122.45424984,1.663,False,True
LEMOORE,Lemoore - (PGE Fresno),spatial,36.30978580363061,-119.79816461547026,36.30932881,-119.79828795,0.052,True,True
LEMOORE,Unknown - 4283,spatial,36.30978580363061,-119.79816461547026,36.30555001,-119.79765435,0.473,False,True
LEMOORE,Unknown - 4374,spatial,36.30978580363061,-119.79816461547026,36.30543859,-119.79306252,0.665,False,True
LINCOLN,Lincoln - (PG&E),spatial,38.900472292516405,-121.29424750207652,38.90051818,-121.29408079,0.015,True,True
LINCOLN,Unknown - 4215,spatial,38.900472292516405,-121.29424750207652,38.90278219,-121.30355733,0.846,False,True
LINDEN,Linden - (PG&E),spatial,38.0167719179122,-121.09611286247085,38.01697994,-121.09584994,0.033,True,True
LIVE OAK,Live Oak - 95953,spatial,39.27647099774993,-121.66045789355064,39.27638489,-121.66028657,0.018,False,True
LOCKHEED NO 1,Moffet Field Tap,spatial,37.4097706587578,-122.03110865958986,37.4195562,-122.03716404,1.212,False,True
LOCKHEED NO 2,Moffet Field Tap,spatial,37.41633412032817,-122.03185703639838,37.4195562,-122.03716404,0.59,False,True
LODI,Unknown - 4308,spatial,38.137240812553664,-121.26217434307496,38.12872099,-121.25699067,1.05,False,True
LODI,Unknown - 3347,spatial,38.137240812553664,-121.26217434307496,38.14825594,-121.26087892,1.23,False,True
LODI,Industrial - (PG&E),spatial,38.137240812553664,-121.26217434307496,38.12992266,-121.25154882,1.235,False,True
LODI,Unknown - 3562,spatial,38.137240812553664,-121.26217434307496,38.14649665,-121.24348778,1.931,False,True
LODI,Unknown - 4329,spatial,38.137240812553664,-121.26217434307496,38.14641966,-121.24339255,1.934,False,True
LOS COCHES,Los Coches - (PG&E),spatial,36.36678536359205,-121.27993696622347,36.36646086,-121.28006792,0.038,True,True
LUCERNE,Lucerne - (PG&E),spatial,39.11048704064002,-122.81284365571706,39.11038184,-122.81282473,0.012,True,True
MANTECA,Manteca - (PG&E),spatial,37.8015045271901,-121.22348162992516,37.80112896,-121.22385696,0.053,True,True
MAPLE,Maple - PG&E,spatial,37.79719717055544,-122.2057538023828,37.79736966,-122.20547679,0.031,True,True
MARIPOSA,Mariposa - (PG&E),spatial,37.504521775185246,-120.00756996777992,37.50443953,-120.00777043,0.02,True,True
MAXWELL,Maxwell - (PG&E),spatial,39.27720532980578,-122.15302787153044,39.27695488,-122.15327551,0.035,True,True
MERCED,Merced - (PG&E),spatial,37.273105730126126,-120.48710262742296,37.27330296,-120.48722615,0.025,True,True
