SourceName,CECName,match_rule,source_lat,source_lon,cec_lat,cec_lon,dist_km,name_agrees,already_in_dict
BARRETT,Barrett - (SDG&E),spatial,32.659659096658075,-116.70118598909106,32.66719217,-116.70013085,0.843,True,True
BARRETT,Unknown - 4030,spatial,32.659659096658075,-116.70118598909106,32.66778752,-116.69872579,0.933,False,True
BORDER,Calpeak,spatial,32.56861917203075,-116.9407818041129,32.56702649,-116.94427176,0.372,False,True
BORDER,Larkspur Energy Facility,spatial,32.56861917203075,-116.9407818041129,32.56629037,-116.94431164,0.42,False,True
BORDER,Border - (SDG&E),spatial,32.56861917203075,-116.9407818041129,32.562598,-116.94315277,0.705,True,True
CABRILLO,Jennings,spatial,32.715978473390244,-117.23990304016904,32.71876607,-117.23932609,0.315,False,True
CABRILLO,Cabrillo - (SDG&E),spatial,32.715978473390244,-117.23990304016904,32.70747823,-117.24504206,1.06,True,True
CABRILLO,Roseville 1,spatial,32.715978473390244,-117.23990304016904,32.71976785,-117.22949715,1.061,False,True
CABRILLO,Roseville 2,spatial,32.715978473390244,-117.23990304016904,32.7197848,-117.22945401,1.065,False,True
CABRILLO,Roseville 3,spatial,32.715978473390244,-117.23990304016904,32.71980175,-117.22941088,1.07,False,True
CAMERON,Cameron - (SDG&E),spatial,32.64087862662459,-116.5012543399666,32.65324709,-116.48814517,1.843,True,True
EASTGATE,Eastgate -  South,spatial,32.88079314728578,-117.19125554657676,32.88484676,-117.20082653,1.001,False,False
EASTGATE,Mira Sorrento,spatial,32.88079314728578,-117.19125554657676,32.89273637,-117.20589149,1.906,False,False
GARFIELD,Garfield - (SDG&E),spatial,32.80156566285017,-116.99533176191096,32.79524624,-116.99677512,0.716,True,True
GARFIELD,Tyrone,spatial,32.80156566285017,-116.99533176191096,32.7978308,-116.98829452,0.778,False,True
GARFIELD,Garfield 3,numbered_3,32.80156566285017,-116.99533176191096,32.79510178,-116.98660665,1.087,False,True
LOS COCHES,Los Coches - (SDG&E),spatial,32.87495027255902,-116.89484641244428,32.85960893,-116.89919737,1.754,True,True
