run,baseline,season,energy_relocated_pct,county_energy_relocated_pct,bus_hour_rmse_mw,bus_hour_nrmse_pct,mean_loaded_bus_mw_control,spearman_bus_energy,pearson_bus_energy,n_buses_control,n_buses_method,n_buses_both,jaccard_support,max_bus_gain_mwh,max_bus_loss_mwh,peak_bus_mw_control,peak_bus_mw_method,hourly_total_max_dev_mw
genx__env__prox__hold__monthhour,genx__control,Summer,21.1612,9.1462,6.6633,62.578,10.6479,0.7517,0.6598,2471,2468,2468,0.9988,21905.2,-22709.8,213.4,541.8,0.0
genx__env__prox__hold__static,genx__control,Summer,20.3145,7.6773,5.9208,55.6055,10.6479,0.7594,0.6798,2471,2468,2468,0.9988,23256.6,-22640.4,213.4,217.6,0.0
genx__reedsco__catch__aratio__monthhour,genx__control,Summer,50.3629,14.4068,9.2274,86.6586,10.6479,0.3877,0.3369,2471,3680,2424,0.6504,21002.0,-21668.1,213.4,293.8,0.0
genx__reedsco__namecatch__aratio__monthhour,genx__control,Summer,50.7663,14.4071,9.3223,87.5502,10.6479,0.3832,0.322,2471,3680,2426,0.6513,21002.1,-21824.2,213.4,239.7,0.0
genx__reedsco__nameprox__aratio__monthhour,genx__control,Summer,48.1969,14.4073,7.9345,74.517,10.6479,0.4026,0.3431,2471,3757,2462,0.6537,10592.8,-22558.9,213.4,145.9,0.0
genx__reedsco__prox__a0__monthhour,genx__control,Summer,58.8593,14.4095,14.2288,133.6295,10.6479,0.4524,0.2298,2471,1177,1076,0.4184,101453.3,-22440.9,213.4,934.3,0.0
genx__reedsco__prox__a0__static,genx__control,Summer,58.5771,14.4098,13.551,127.2637,10.6479,0.4561,0.2362,2471,1177,1076,0.4184,101039.8,-22440.9,213.4,912.5,0.0
genx__reedsco__prox__aratio__monthhour,genx__control,Summer,49.7834,14.4068,8.0555,75.6533,10.6479,0.4005,0.3294,2471,3763,2461,0.6523,10771.5,-22559.0,213.4,253.3,0.0
genx__reedsco__prox__aratio__static,genx__control,Summer,49.6687,14.4066,7.9027,74.2181,10.6479,0.4023,0.3327,2471,3762,2460,0.652,11821.5,-22484.3,213.4,132.1,0.0
genx__stoch__catch__w2-mean__monthhour,genx__control,Summer,50.0106,18.3477,9.8023,92.0586,10.6479,0.4393,0.3393,2471,3631,2444,0.6681,32901.4,-22190.0,213.4,394.9,0.0
genx__stoch__namecatch__w2-mean__monthhour,genx__control,Summer,49.8908,18.352,9.6332,90.4697,10.6479,0.4396,0.3498,2471,3630,2446,0.6692,32879.6,-22190.3,213.4,306.2,0.0
genx__stoch__nameprox__w1g30top-mean__monthhour,genx__control,Summer,46.0496,18.1057,7.9536,74.6961,10.6479,0.3932,0.2852,2471,3427,2468,0.7195,14600.5,-22725.8,213.4,137.1,0.0
genx__stoch__prox__w1g30-d0__monthhour,genx__control,Summer,48.1913,18.7009,11.5956,108.9,10.6479,0.6587,0.4033,2471,1692,1692,0.6847,36133.7,-22557.6,213.4,851.6,0.0
genx__stoch__prox__w1g30-d1__monthhour,genx__control,Summer,48.1901,18.4898,11.7065,109.9416,10.6479,0.6582,0.3993,2471,1691,1691,0.6843,38511.7,-22553.8,213.4,902.9,0.0
genx__stoch__prox__w1g30-d2__monthhour,genx__control,Summer,48.2197,18.7139,11.6117,109.0507,10.6479,0.6598,0.4013,2471,1691,1691,0.6843,34926.2,-22559.3,213.4,747.5,0.0
genx__stoch__prox__w1g30-mean__monthhour,genx__control,Summer,48.1421,18.6084,11.6319,109.241,10.6479,0.6596,0.4023,2471,1691,1691,0.6843,35390.6,-22555.3,213.4,836.6,0.0
genx__stoch__prox__w1g30top-d0__monthhour,genx__control,Summer,44.1753,14.6853,7.9995,75.1268,10.6479,0.4597,0.2991,2471,3107,2468,0.7936,13792.9,-22740.4,213.4,358.2,0.0
genx__stoch__prox__w1g30top-d1__monthhour,genx__control,Summer,44.2447,14.7611,8.0279,75.3941,10.6479,0.4575,0.2961,2471,3107,2468,0.7936,14666.6,-22739.9,213.4,379.3,0.0
genx__stoch__prox__w1g30top-d2__monthhour,genx__control,Summer,44.1884,14.7249,8.0033,75.1629,10.6479,0.4572,0.2976,2471,3107,2468,0.7936,14265.8,-22741.3,213.4,314.1,0.0
genx__stoch__prox__w1g30top-mean__monthhour,genx__control,Summer,44.1836,14.7406,8.0076,75.2029,10.6479,0.461,0.2983,2471,3107,2468,0.7936,14090.8,-22740.2,213.4,351.5,0.0
genx__stoch__prox__w2-d0__monthhour,genx__control,Summer,21.0117,8.6737,6.5706,61.7076,10.6479,0.7522,0.6679,2471,2468,2468,0.9988,21033.3,-22680.5,213.4,522.6,0.0
