run,season,fips_int,county_name,control_mwh,method_mwh,delta_mwh
genx__env__prox__hold__monthhour,Summer,6001,Alameda,219666.6,159053.3,-60613.3
genx__env__prox__hold__monthhour,Summer,6003,Alpine,3456.3,16.8,-3439.5
genx__env__prox__hold__monthhour,Summer,6005,Amador,5828.6,6225.5,396.9
genx__env__prox__hold__monthhour,Summer,6007,Butte,26692.5,35353.6,8661.1
genx__env__prox__hold__monthhour,Summer,6009,Calaveras,2090.2,3080.1,989.9
genx__env__prox__hold__monthhour,Summer,6011,Colusa,4521.4,5905.4,1384.0
genx__env__prox__hold__monthhour,Summer,6013,Contra Costa,172406.0,154382.3,-18023.7
genx__env__prox__hold__monthhour,Summer,6017,El Dorado,11545.4,15735.9,4190.5
genx__env__prox__hold__monthhour,Summer,6019,Fresno,107522.1,148531.8,41009.7
genx__env__prox__hold__monthhour,Summer,6021,Glenn,7464.4,6131.7,-1332.7
genx__env__prox__hold__monthhour,Summer,6023,Humboldt,12465.6,10453.2,-2012.4
genx__env__prox__hold__monthhour,Summer,6025,Imperial,18792.8,18792.8,0.0
genx__env__prox__hold__monthhour,Summer,6027,Inyo,18597.5,7018.1,-11579.4
genx__env__prox__hold__monthhour,Summer,6029,Kern,139821.9,156635.6,16813.7
genx__env__prox__hold__monthhour,Summer,6031,Kings,23987.0,31257.2,7270.2
genx__env__prox__hold__monthhour,Summer,6033,Lake,9883.7,11409.1,1525.4
genx__env__prox__hold__monthhour,Summer,6035,Lassen,8973.9,9174.4,200.5
genx__env__prox__hold__monthhour,Summer,6037,Los Angeles,1109060.5,1033412.3,-75648.2
genx__env__prox__hold__monthhour,Summer,6039,Madera,15111.7,45804.9,30693.2
genx__env__prox__hold__monthhour,Summer,6041,Marin,34418.8,16308.4,-18110.4
genx__env__prox__hold__monthhour,Summer,6043,Mariposa,1649.0,2043.0,394.0
genx__env__prox__hold__monthhour,Summer,6045,Mendocino,12502.3,11909.9,-592.4
genx__env__prox__hold__monthhour,Summer,6047,Merced,27528.4,39236.1,11707.7
genx__env__prox__hold__monthhour,Summer,6049,Modoc,2986.3,2986.3,0.0
genx__env__prox__hold__monthhour,Summer,6051,Mono,1871.7,2188.1,316.4
genx__env__prox__hold__monthhour,Summer,6053,Monterey,42126.5,37627.7,-4498.8
genx__env__prox__hold__monthhour,Summer,6055,Napa,19474.9,12473.9,-7001.0
genx__env__prox__hold__monthhour,Summer,6057,Nevada,4301.7,6643.4,2341.7
genx__env__prox__hold__monthhour,Summer,6059,Orange,299022.7,320428.5,21405.8
genx__env__prox__hold__monthhour,Summer,6061,Placer,43474.9,49482.3,6007.4
genx__env__prox__hold__monthhour,Summer,6063,Plumas,4658.8,3350.2,-1308.6
genx__env__prox__hold__monthhour,Summer,6065,Riverside,167244.9,263314.5,96069.6
genx__env__prox__hold__monthhour,Summer,6067,Sacramento,127410.0,131578.2,4168.2
genx__env__prox__hold__monthhour,Summer,6069,San Benito,2711.8,6429.1,3717.3
genx__env__prox__hold__monthhour,Summer,6071,San Bernardino,207922.2,315019.2,107097.0
genx__env__prox__hold__monthhour,Summer,6073,San Diego,348023.9,321947.9,-26076.0
genx__env__prox__hold__monthhour,Summer,6075,San Francisco,77557.3,34099.5,-43457.8
genx__env__prox__hold__monthhour,Summer,6077,San Joaquin,133261.7,124158.5,-9103.2
genx__env__prox__hold__monthhour,Summer,6079,San Luis Obispo,31854.9,19848.7,-12006.2
genx__env__prox__hold__monthhour,Summer,6081,San Mateo,101013.5,69017.6,-31995.9
genx__env__prox__hold__monthhour,Summer,6083,Santa Barbara,53580.8,52089.5,-1491.3
genx__env__prox__hold__monthhour,Summer,6085,Santa Clara,267076.4,222273.3,-44803.1
genx__env__prox__hold__monthhour,Summer,6087,Santa Cruz,31499.7,21169.2,-10330.5
genx__env__prox__hold__monthhour,Summer,6089,Shasta,14225.7,16463.6,2237.9
genx__env__prox__hold__monthhour,Summer,6091,Sierra,1740.6,1479.1,-261.5
genx__env__prox__hold__monthhour,Summer,6093,Siskiyou,10491.7,10491.7,0.0
genx__env__prox__hold__monthhour,Summer,6095,Solano,62178.9,57884.8,-4294.1
genx__env__prox__hold__monthhour,Summer,6097,Sonoma,55503.9,48074.7,-7429.2
genx__env__prox__hold__monthhour,Summer,6099,Stanislaus,80837.7,84887.8,4050.1
genx__env__prox__hold__monthhour,Summer,6101,Sutter,14590.4,17552.1,2961.7
genx__env__prox__hold__monthhour,Summer,6103,Tehama,7867.3,6148.0,-1719.3
genx__env__prox__hold__monthhour,Summer,6105,Trinity,3298.4,3175.4,-123.0
genx__env__prox__hold__monthhour,Summer,6107,Tulare,51283.5,75261.5,23978.0
genx__env__prox__hold__monthhour,Summer,6109,Tuolumne,7184.1,10022.2,2838.1
genx__env__prox__hold__monthhour,Summer,6111,Ventura,103893.5,97619.0,-6274.5
genx__env__prox__hold__monthhour,Summer,6113,Yolo,30696.5,30377.0,-319.5
genx__env__prox__hold__monthhour,Summer,6115,Yuba,10610.4,12029.9,1419.5
genx__env__prox__hold__static,Summer,6001,Alameda,219666.6,176402.7,-43263.9
genx__env__prox__hold__static,Summer,6003,Alpine,3456.3,44.5,-3411.8
genx__env__prox__hold__static,Summer,6005,Amador,5828.6,6371.1,542.5
genx__env__prox__hold__static,Summer,6007,Butte,26692.5,33542.8,6850.3
genx__env__prox__hold__static,Summer,6009,Calaveras,2090.2,3078.3,988.1
genx__env__prox__hold__static,Summer,6011,Colusa,4521.4,5631.8,1110.4
genx__env__prox__hold__static,Summer,6013,Contra Costa,172406.0,156150.2,-16255.8
genx__env__prox__hold__static,Summer,6017,El Dorado,11545.4,16348.6,4803.2
genx__env__prox__hold__static,Summer,6019,Fresno,107522.1,134162.6,26640.5
genx__env__prox__hold__static,Summer,6021,Glenn,7464.4,5559.5,-1904.9
genx__env__prox__hold__static,Summer,6023,Humboldt,12465.6,12373.0,-92.6
genx__env__prox__hold__static,Summer,6025,Imperial,18792.8,18792.8,0.0
genx__env__prox__hold__static,Summer,6027,Inyo,18597.5,7090.2,-11507.3
genx__env__prox__hold__static,Summer,6029,Kern,139821.9,143091.8,3269.9
genx__env__prox__hold__static,Summer,6031,Kings,23987.0,29316.1,5329.1
