model,config,rmse,mae,r2,wape,peak_cell_mae,skill_vs_baseline
ridge,explanatory,21.757081500250298,3.702670736464762,0.6109009256924209,0.20112588935474715,12.69102543346328,0.3714853945617662
linear,explanatory,21.75750100437265,3.6951797637189383,0.6108859209005972,0.20071898615895437,12.708907249854288,0.37147327600312885
arx_ols,explanatory,21.75750100437265,3.695179763718935,0.610885920900597,0.2007189861589542,12.708907249854276,0.37147327600312885
elasticnet,explanatory,21.76299763267387,3.6701461253223857,0.6106892911842394,0.19935918045527493,12.69682720215287,0.37131449040645115
lasso,explanatory,21.765989553473794,3.6607931249986296,0.6105822409613848,0.19885113352317133,12.680910509485326,0.371228060343621
svr,explanatory,24.362049823451066,3.386778398059391,0.5121497020887863,0.18396688926423624,13.079960227927812,0.29623354436224414
hist_gbm,explanatory,24.88112810824472,3.50756208590425,0.49113913115572727,0.190527755289428,14.07909747113401,0.2812385054662927
lightgbm,explanatory,25.100391384111692,3.6077326216946415,0.4821310088562415,0.19596893262652493,12.550684106077655,0.2749044679108863
xgboost,explanatory,25.57757302584616,3.461403353120669,0.46225350668144605,0.18802045263052353,12.563034681890318,0.2611197316045183
cell_mean,explanatory,34.61666811239829,16.041798385732005,0.015015380587528382,0.8713766891031799,35.390314331134704,0.0
global_mean,explanatory,34.90097124264345,16.226178216153567,-0.0012302127604733037,0.8813920428875189,36.69892266584375,-0.008212897016028453
