model,segment,value,n,rmse,mae,r2,wape
global_mean,month,1,2496,25.613673248636438,14.421123724122003,-0.0034381718401503836,0.9201705506723483
global_mean,month,2,2496,29.09788424390303,14.96412730780094,-0.0004825803681958174,0.9051963720745804
global_mean,month,3,2496,28.849300663335757,14.810160778491417,-0.0012723283524564977,0.9173969157792923
global_mean,month,4,2496,25.484210823524673,14.01564983283151,-0.0052290249903839126,0.9124568060789096
global_mean,month,5,2496,28.447370412468263,15.096761603297608,-8.350373614796069e-07,0.8774154018457236
global_mean,month,6,2496,39.733374958448664,17.09722710670895,-0.0053664559876722695,0.8508577961822449
global_mean,month,7,2496,45.670025440142076,18.630290164813193,-0.011615628099236996,0.8429040155785736
global_mean,month,8,2496,48.051483188216835,19.938059221469167,-0.019047708954583742,0.8389656411978229
global_mean,month,9,2496,52.48221983816026,21.11750578106542,-0.021767150082645514,0.8500629672217482
global_mean,month,10,2496,27.645060844230144,15.446433297384273,-3.103917608227036e-05,0.8913630525066418
global_mean,month,11,2496,25.638603438863072,14.560903751064211,-0.003021957343054771,0.9237810539445772
global_mean,month,12,2496,25.95762403526182,14.615896024794079,-0.0016759227579212777,0.9073792933160867
global_mean,hour,0,1248,31.961971379417704,15.136454966329808,-0.00012840194393648474,0.9005814185585912
global_mean,hour,1,1248,28.929781969600445,14.454457275639102,-0.002697820220481262,0.9224891880526
global_mean,hour,2,1248,27.156315974854888,13.811873906211064,-0.008615087228575513,0.9421607734541607
global_mean,hour,3,1248,25.9454091339638,13.785262354223386,-0.009063691293287102,0.9370969201849538
global_mean,hour,4,1248,24.900331122479905,13.549160618896412,-0.010421480521889182,0.9254414395078817
global_mean,hour,5,1248,23.843653297441367,13.801259085433875,-0.005837786967568537,0.8989239806527061
global_mean,hour,6,1248,27.362385871493107,14.420542447951753,-0.000768645882735175,0.8786367130221125
global_mean,hour,7,1248,22.52270266426704,14.046868189983156,-0.0018487134248599268,0.8662334573800693
global_mean,hour,8,1248,24.65690282275772,14.640736827950755,-0.00017268888158850082,0.868009066030103
global_mean,hour,9,1248,25.70934626394384,14.902953255041298,-0.00032596550840757743,0.8892273769457364
global_mean,hour,10,1248,34.33362420034841,15.656291662842431,-5.258760865101131e-05,0.8953658844238522
global_mean,hour,11,1248,33.51158444474129,16.126319595681824,-0.0004700049252486238,0.896399130212257
global_mean,hour,12,1248,23.71655524592815,15.500911114809732,-0.0001307367386251812,0.8854601666980417
global_mean,hour,13,1248,38.13795535603246,17.11211947909168,-0.0028979175190271267,0.8885127591425257
