model,segment,value,n,rmse,mae,r2,wape
cell_mean,month,1,552,48.06680098409003,22.699924649550226,-0.15578401605515668,0.8228390270047589
cell_mean,month,2,552,55.74604373304868,24.31932135194903,-0.1301655006271618,0.8263895219868617
cell_mean,month,3,552,55.50058443621208,24.133645576336832,-0.12407872940297393,0.8298067497831945
cell_mean,month,4,552,47.47321408990939,21.0080251845952,-0.12050418378830319,0.8176062512561889
cell_mean,month,5,552,52.4165179435009,22.979641335582205,-0.11192914058695225,0.8198327596037798
cell_mean,month,6,552,76.59569747606656,27.199064573588206,-0.06541631044575902,0.8247275839146594
cell_mean,month,7,552,87.19325225849266,29.019676520302347,-0.049082529101432515,0.818282658780849
cell_mean,month,8,552,89.90467594412445,31.104056664605196,-0.05479280084810467,0.8165555544765319
cell_mean,month,9,528,100.40812429567364,34.75377315608673,-0.06395417307747198,0.819419236244972
cell_mean,month,10,552,49.8373769308723,23.715464319027987,-0.14637367055464146,0.8209153591376225
cell_mean,month,11,552,48.38088190707574,23.31908008908046,-0.16572387313842496,0.8313917311224537
cell_mean,month,12,552,48.702101678863144,23.021302930159916,-0.15213117129345544,0.8230355857525079
cell_mean,hour,0,275,62.03668687345745,23.8297778154232,-0.09565894623533211,0.8307091242207476
cell_mean,hour,1,275,56.6315143087813,22.89844679937304,-0.11072298814122128,0.8354043157138376
cell_mean,hour,2,275,52.93399323597559,20.84258981830721,-0.09587906466987395,0.8238637995886009
cell_mean,hour,3,275,49.139522501555575,20.078360075987458,-0.10049813496506221,0.823937663423828
cell_mean,hour,4,275,46.68008714278358,19.549275856175548,-0.1019794204421649,0.8138498916498745
cell_mean,hour,5,275,43.27994836475616,19.925879505203763,-0.12879626949545098,0.8101716253605932
cell_mean,hour,6,275,52.76983870678619,23.38044675836991,-0.12878210806607893,0.8234407308131153
cell_mean,hour,7,275,39.19454454821584,20.608972087899684,-0.15875865777150988,0.796592023669831
cell_mean,hour,8,275,44.434899554431674,22.922871369655173,-0.1753766698911754,0.8151085600058263
cell_mean,hour,9,275,46.16977773436458,23.333480771536053,-0.17935181969344183,0.8214855448334847
cell_mean,hour,10,275,67.71488328668048,27.295575821818183,-0.11010675207935594,0.8454197021209585
cell_mean,hour,11,275,63.77297872559544,26.952467585956118,-0.11571091040136494,0.8387645431274389
cell_mean,hour,12,275,33.89733007218615,21.391596903573667,-0.2310351664368171,0.7956362228145817
cell_mean,hour,13,275,71.05752063562626,27.046575165517247,-0.08538529616799129,0.8326687773279203
cell_mean,hour,14,275,66.94231794086906,27.161515751598742,-0.08761963726326005,0.8244206857067867
cell_mean,hour,15,275,80.13713377742988,28.634231394482764,-0.057793458236262474,0.8215689025095544
cell_mean,hour,16,275,89.18004380862071,32.282854833228846,-0.06971591546248956,0.8295530662315577
cell_mean,hour,17,275,90.45460945895738,32.451423450658304,-0.06651246927312648,0.822590753935534
cell_mean,hour,18,275,94.21662918685581,32.03326128890282,-0.05827008324748428,0.8207073688918785
cell_mean,hour,19,275,86.46550293547645,30.698451027460813,-0.06143445242407841,0.8122969969233022
cell_mean,hour,20,275,77.36278246741105,30.250549256050157,-0.0883688899442685,0.8165438626656323
