substation_name,substation_id,division,voltage_kv,num_banks,ungrounded_banks,existing_dg_kw,queued_dg_kw,total_dg_kw,redacted,longitude,latitude
BECK STREET,01264,East Bay,4.16,1,,83,94,177,NO,-122.17570399534448,37.766242146899124
BURLINGAME,02405,Peninsula,4.16,3,,1638,1827,3465,NO,-122.3628212137506,37.589994031230255
SAUSALITO,04249,Sonoma,12,2,1,3522,4153,7675,NO,-122.49899219678481,37.863347292742795
DUNBAR,04307,Sonoma,12,2,"1,2",20170,24175,44345,NO,-122.52780897971554,38.38374078362537
CARQUINEZ,04328,North Bay,12,2,,2769,3139,5908,NO,-122.24869737229972,38.09076019525074
SUISUN,06213,North Bay,12,3,,7031,7298,14329,YES,-122.04148241778712,38.24454829820952
MORGAN HILL,08324,San Jose,21,3,,5114,5650,10764,NO,-121.6591293431273,37.12649792772826
WATSONVILLE,08333,Central Coast,4.16,2,2,55,55,110,NO,-121.75635320535143,36.90322145782284
HICKS,08343,San Jose,12,4,,12799,14721,27520,NO,-121.9012169860993,37.233642133115225
ERTA,08351,Central Coast,4.16,1,"1,2",744,869,1613,NO,-121.76425096468427,36.930654127562306
BRITTON,08361,De Anza,12,3,,2166,2409,4575,NO,-122.01651663969915,37.37491569242551
OROVILLE,10252,North Valley,12,3,3,3116,4768,7884,NO,-121.56020606130058,39.50420642182479
WYANDOTTE,10291,North Valley,12,3,,12154,23455,35609,NO,-121.54096296885037,39.49164315311975
NORD,10307,North Valley,12,2,,5087,5477,10564,NO,-121.90699546602146,39.76022573614664
BUTTE,10308,North Valley,12,2,,13180,17449,30629,NO,-121.81334760711447,39.712000513701405
PIKE CITY,15220,Sierra,12,1,,162,177,339,NO,-120.9959439071993,39.438215224561674
DIAMOND SPRINGS,15226,Sierra,12,2,,9191,10150,19341,NO,-120.82605011972905,38.69335810297077
MOUNTAIN QUARRIES,15228,Sierra,21,1,1,11660,12912,24572,NO,-121.01899061136776,38.914392518579994
BRUNSWICK,15248,Sierra,12,3,"1,3",29488,41535,71023,NO,-121.03491018822433,39.231239532701935
HIGGINS,15269,Sierra,12,3,1,5741,6184,11925,NO,-121.0909371400403,39.04402916015481
PLACERVILLE,15308,Sierra,12,2,,23439,25477,48916,NO,-120.78350575501544,38.730977599017024
SHINGLE SPRINGS,15365,Sierra,12,3,3,8720,40741,49461,NO,-120.94678677552162,38.6594107880625
PEASE,15375,Sacramento,12,3,,5464,5846,11310,NO,-121.66111558856706,39.17017321175534
BOGUE,15378,Sacramento,12,2,,11418,13038,24456,NO,-121.62338254715381,39.096194366463855
STOCKTON A,16237,Stockton,12,5,,7792,8547,16339,NO,-121.28897066909987,37.94731136404815
SPRING GAP,16283,Yosemite,17,1,,180,202,382,YES,-120.111394105077,38.186423435629614
CLAY,16334,Stockton,12,2,,8637,20046,28683,NO,-120.93502517926262,38.34223678954548
EIGHT MILE,16391,Stockton,21,2,,9278,9955,19233,NO,-121.37663705496492,38.058406468108736
FAIRWAY,18206,Los Padres,12,2,,7153,13760,20913,NO,-120.44608849948852,34.91060882113302
SAN LUIS OBISPO,18263,Los Padres,12,2,,3575,3897,7472,NO,-120.63457824118315,35.26178451937213
CABRILLO,18310,Los Padres,12,1,,3141,3478,6619,NO,-120.4373602032375,34.643231832675774
HARRIS,19243,Humboldt,12,2,"1,2",4562,5504,10066,NO,-124.1319638474449,40.781372534153576
ASHLAN AVE,25205,Fresno,12,3,,19145,20981,40126,NO,-119.82738205997629,36.79285389656522
CAMDEN,25230,Fresno,12,2,2,1897,2908,4805,NO,-119.79886678890834,36.44568692380856
MERCED FALLS,25281,Yosemite,12,1,,6441,7603,14044,NO,-120.33024521668725,37.52304085412926
PINEDALE,25285,Fresno,21,3,,9537,10176,19713,NO,-119.8034557830923,36.85007067841538
WASCO,25296,Kern,12,1,,5975,6278,12253,NO,-119.32598797488932,35.6019019395657
WEEDPATCH,25297,Kern,12,1,,4188,6748,10936,NO,-118.88000875571748,35.223900483374415
LEMOORE,25360,Fresno,12,3,,23461,26348,49809,NO,-119.79816461547026,36.30978580363061
ATWATER,25361,Yosemite,12,2,,8243,19001,27244,NO,-120.61458852452107,37.3600903184248
SHAFTER,25365,Kern,12,2,,11757,25649,37406,NO,-119.31779636005952,35.513906883314405
MANCHESTER,25392,Fresno,12,3,,6859,8091,14950,NO,-119.78793761047945,36.78815334896068
STOCKDALE,25407,Kern,12,6,,3667,3946,7613,NO,-119.06802793721036,35.31647157909954
