substation_name,substation_type,voltage_kv,existing_gen,queued_gen,total_gen,projected_load,der_penetration,longitude,latitude
LAGUNA NIGUEL,138/12 kV,12kV,47.26,1.895,49.154,102.24758,39,-117.69302896834556,33.49650770279464
BOULEVARD EAST,138/69/12.47 kV,12kV,3.854,7.243,11.097000000000001,7.0681899999999995,13,-116.26859395520212,32.658400194287246
GRANITE,69/12 kV,12kV,61.731,1.633,63.363,98.50777,51,-116.89606021269967,32.80452120677965
KYOCERA,69/12 kV,12kV,3.8480000000000003,0,3.8480000000000003,,31,-117.14035117861303,32.81968721431558
PALA,69/12 kV,12kV,25.558,0.8510000000000001,26.412000000000003,26.9344,85,-117.13095731680397,33.36215940272029
MURRAY,69/12 kV,12kV,56.006,2.704,58.709,88.25076,47,-117.03001783829848,32.78917720867769
NORTH CITY WEST,69/12 kV,12kV,43.741,1.342,45.083000000000006,50.10677,73,-117.20651741047077,32.9462620645083
OLD TOWN,230/138/69/12 kV,12kV,34.603,1.353,35.956,71.40935999999999,38,-117.19633742913189,32.772093546412904
MISSION,230/138/69/12 kV,12kV,46.621,2.411,49.032000000000004,89.14135999999999,40,-117.12572176243368,32.783777411438024
PARADISE,69/12 kV,12kV,57.848000000000006,3.204,61.049,60.21592,97,-117.05558332585034,32.69780480948839
STUART,69/12 kV,12kV,0.999,0,0.999,4.58756,11,-117.40653089412962,33.24049871074563
BARRETT,69/12 kV,12kV,6.75,0.49200000000000005,7.242,4.6667000000000005,54,-116.70118598909106,32.659659096658075
PROCTOR VALLEY,138/12 kV,12kV,51.762,1.657,53.418,56.503989999999995,87,-116.97978499873456,32.66372460308665
ROSE CANYON,69/12 kV,12kV,39.085,1.25,40.336,42.44309,66,-117.23420711231768,32.83771119094076
EASTGATE,69/12 kV,12kV,2.033,0.05,2.0820000000000003,21.64565,3,-117.19125554657676,32.88079314728578
ASH,69/12 kV,12kV,60.992000000000004,2.9890000000000003,63.980000000000004,75.77945,70,-117.064835218363,33.15561669691165
PENDLETON,69/12 kV,12kV,9.67,0,9.67,,16,-117.31177938172169,33.30840751624318
SAN LUIS REY,230/138/69/12 kV,12kV,68.923,7.147,76.072,86.79893,59,-117.31385266089526,33.21456991519983
MONSERATE,69/12 kV,12kV,41.672000000000004,2.8880000000000003,44.56,39.757619999999996,70,-117.22177410334197,33.31398255376089
GRANT HILL,138/12 kV,12kV,21.719,1.5850000000000002,23.302,28.923569999999998,36,-117.12615902920173,32.71822942161739
MESA RIM,69/12 kV,12kV,43.296,1.3090000000000002,44.605000000000004,87.7877,36,-117.17311664454462,32.90870614059554
SWEETWATER,69/12/4 kV,12kV,20.852,6.498,27.35,52.62798,35,-117.08617832421304,32.66304022706597
STATION F,69/12 kV,12kV,22.802,1.149,23.948,84.64702,25,-117.12436822126219,32.755025169261486
CLAIREMONT,69/12 kV,12kV,41.164,0.8530000000000001,42.017,48.935500000000005,69,-117.18779641483354,32.82923686234866
LILAC,69/12 kV,12kV,40.611000000000004,1.12,41.731,31.14494,68,-117.11632252669082,33.26044098270347
LOS COCHES,138/69/12 kV,12kV,48.136,3.206,51.344,63.83564,54,-116.89484641244427,32.87495027255902
OTAY,69/12 kV,12kV,39.175000000000004,1.548,40.723,50.30903,65,-117.0435390484847,32.60119033314478
OCEAN RANCH,69/12 kV,12kV,35.092,1.597,36.688,27.509629999999998,0,-117.29898782435633,33.22561706650769
SAN MATEO,138/12 kV,12kV,19.838,0.684,20.522000000000002,33.27361,46,-117.5390507183337,33.397185866986
BERNARDO,69/12 kV,12kV,44.098,2.041,46.141000000000005,92.38174,30,-117.08162576831958,33.02429406155207
ESCO,69/12/4 kV,12kV,13.135,2.5010000000000003,15.636000000000001,45.95391,21,-117.08670241957644,33.120609601909536
SAN JUAN CAPISTRANO,230/138/12kV,12kV,28.17,1.4180000000000001,29.587,48.01869,31,-117.65620343526052,33.51109710702923
SAN MARCOS,69/12 kV,12kV,75.488,5.089,80.57300000000001,90.49562,64,-117.17354825130366,33.146046529695575
RANCHO MISSION VIEJO,138/12 kV,12kV,22.178,1.497,23.675,27.91379,37,-117.59106412735596,33.534676347229535
SAN YSIDRO,69/12 kV,12kV,43.939,5.064,49.003,50.89758,89,-117.01748081302864,32.57161744273628
TRABUCO,138/12 kV,12kV,38.712,1.747,40.461,96.62579,33,-117.67862046657187,33.57169985785648
POWAY,69/12 kV,12kV,55.800000000000004,1.112,56.911,45.47546,96,-117.00619987748351,33.0077665025613
MIRA SORRENTO,69/12 kV,12kV,16.314,1.08,17.394000000000002,,28,-117.21384710946813,32.90614317976712
MONTGOMERY,69/12 kV,12kV,17.873,2.791,20.662000000000003,44.46084,30,-117.0887467245474,32.637441800556644
KETTNER,69/12 kV,12kV,15.502,0.08,15.582,16.97109,52,-117.17959465396042,32.7328549600595
LOVELAND,69/12 kV,12kV,3.3770000000000002,12.574,15.950000000000001,,11,-116.77857997891189,32.786284167479835
MORRO HILL,69/12 kV,12kV,15.74,1.048,16.788,15.09295,126,-117.28747342673702,33.26928902717341
SANTEE,138/12 kV,12kV,45.467,5.122,50.59,59.84516,51,-116.96354154047637,32.85787851830011
CRESTWOOD,69/12.47 kV,12kV,1.985,1.06,3.045,2.11582,21,-116.35940865297789,32.727783372487686
CANNON,138/12 kV,12kV,47.925000000000004,4.793,52.718,100.19446,40,-117.31487812370123,33.136804347563746
