knob,value_days,value_years,n_origins,bias_pct,abs_bias_pct,relrmse_pct,delta_relrmse_pp
all-history,,,9,1.845,2.092,6.57,0.0
decay,1.0,0.0,9,0.283,2.196,8.971,2.4
decay,3.0,0.01,9,0.18,2.108,7.641,1.071
decay,7.0,0.02,9,0.254,1.969,6.765,0.195
decay,14.0,0.04,9,0.348,1.89,6.449,-0.121
decay,30.0,0.08,9,0.416,1.849,6.372,-0.198
decay,60.0,0.16,9,0.452,1.83,6.338,-0.232
decay,91.0,0.25,9,0.477,1.812,6.252,-0.319
decay,182.0,0.5,9,0.581,1.757,6.032,-0.539
decay,365.0,1.0,9,0.817,1.85,5.971,-0.6
decay,548.0,1.5,9,1.008,1.932,6.043,-0.527
decay,730.0,2.0,9,1.149,1.992,6.118,-0.452
decay,1095.0,3.0,9,1.333,2.043,6.23,-0.34
decay,1460.0,4.0,9,1.444,2.063,6.3,-0.27
decay,1825.0,5.0,9,1.515,2.073,6.347,-0.223
decay,2190.0,6.0,9,1.566,2.078,6.381,-0.189
decay,2555.0,7.0,9,1.603,2.082,6.406,-0.165
window,365.0,1.0,9,0.481,1.818,6.388,-0.183
window,730.0,2.0,8,0.724,2.266,6.215,-0.585
window,1095.0,3.0,7,0.826,2.322,6.469,-0.584
window,1460.0,4.0,6,0.082,1.676,6.271,-0.372
window,1825.0,5.0,5,-0.363,1.466,6.271,-0.259
window,2190.0,6.0,4,-0.562,1.336,6.838,-0.093
window,2555.0,7.0,3,-0.174,1.599,7.234,0.002
