strategy,origin_year,test_year,horizon,bias_pct,relrmse_pct
expanding,2016,2017,1,0.006,4.736
expanding,2016,2018,2,2.344,5.774
expanding,2016,2019,3,8.044,11.281
expanding,2016,2020,4,6.614,10.736
expanding,2016,2021,5,5.412,8.684
expanding,2016,2022,6,3.696,9.78
expanding,2016,2023,7,5.848,12.386
expanding,2016,2024,8,3.662,9.622
expanding,2016,2025,9,2.806,8.248
decay180,2016,2017,1,0.02,4.742
decay180,2016,2018,2,2.359,5.79
decay180,2016,2019,3,8.06,11.298
decay180,2016,2020,4,6.63,10.766
decay180,2016,2021,5,5.426,8.686
decay180,2016,2022,6,3.71,9.792
decay180,2016,2023,7,5.867,12.443
decay180,2016,2024,8,3.677,9.637
decay180,2016,2025,9,2.824,8.298
decay365,2016,2017,1,0.013,4.738
decay365,2016,2018,2,2.351,5.782
decay365,2016,2019,3,8.052,11.289
decay365,2016,2020,4,6.622,10.751
decay365,2016,2021,5,5.419,8.685
decay365,2016,2022,6,3.703,9.786
decay365,2016,2023,7,5.858,12.414
decay365,2016,2024,8,3.669,9.629
decay365,2016,2025,9,2.815,8.272
decay730,2016,2017,1,0.009,4.737
decay730,2016,2018,2,2.348,5.778
decay730,2016,2019,3,8.048,11.285
decay730,2016,2020,4,6.618,10.743
decay730,2016,2021,5,5.415,8.684
decay730,2016,2022,6,3.699,9.783
decay730,2016,2023,7,5.853,12.4
decay730,2016,2024,8,3.666,9.626
decay730,2016,2025,9,2.811,8.26
expanding,2017,2018,1,2.356,5.022
expanding,2017,2019,2,8.02,10.434
expanding,2017,2020,3,6.583,9.747
expanding,2017,2021,4,5.417,8.013
expanding,2017,2022,5,3.689,9.075
expanding,2017,2023,6,5.895,12.279
expanding,2017,2024,7,3.686,9.217
expanding,2017,2025,8,2.87,8.398
decay180,2017,2018,1,2.384,5.015
decay180,2017,2019,2,8.036,10.275
decay180,2017,2020,3,6.594,9.489
decay180,2017,2021,4,5.444,7.967
decay180,2017,2022,5,3.714,9.02
decay180,2017,2023,6,5.951,12.507
decay180,2017,2024,7,3.727,9.311
decay180,2017,2025,8,2.934,8.837
decay365,2017,2018,1,2.371,4.977
decay365,2017,2019,2,8.027,10.314
decay365,2017,2020,3,6.588,9.575
decay365,2017,2021,4,5.431,7.957
decay365,2017,2022,5,3.702,9.012
decay365,2017,2023,6,5.925,12.383
decay365,2017,2024,7,3.708,9.24
decay365,2017,2025,8,2.904,8.614
decay730,2017,2018,1,2.364,4.987
decay730,2017,2019,2,8.023,10.363
decay730,2017,2020,3,6.586,9.65
decay730,2017,2021,4,5.424,7.975
decay730,2017,2022,5,3.695,9.033
decay730,2017,2023,6,5.91,12.326
decay730,2017,2024,7,3.697,9.22
decay730,2017,2025,8,2.888,8.501
expanding,2018,2019,1,7.195,9.513
expanding,2018,2020,2,5.766,8.843
expanding,2018,2021,3,4.606,7.028
expanding,2018,2022,4,2.898,8.456
expanding,2018,2023,5,5.056,11.261
expanding,2018,2024,6,2.899,8.631
expanding,2018,2025,7,2.114,8.213
trailing3,2018,2019,1,7.195,9.513
trailing3,2018,2020,2,5.766,8.843
trailing3,2018,2021,3,4.606,7.028
trailing3,2018,2022,4,2.898,8.456
trailing3,2018,2023,5,5.056,11.261
trailing3,2018,2024,6,2.899,8.631
trailing3,2018,2025,7,2.114,8.213
decay180,2018,2019,1,6.154,8.673
decay180,2018,2020,2,4.734,8.044
decay180,2018,2021,3,3.583,6.164
decay180,2018,2022,4,1.908,8.147
decay180,2018,2023,5,4.002,10.302
decay180,2018,2024,6,1.912,8.335
decay180,2018,2025,7,1.166,8.493
decay365,2018,2019,1,6.62,8.96
decay365,2018,2020,2,5.195,8.298
decay365,2018,2021,3,4.043,6.466
decay365,2018,2022,4,2.352,8.195
decay365,2018,2023,5,4.479,10.707
decay365,2018,2024,6,2.357,8.403
decay365,2018,2025,7,1.597,8.352
decay730,2018,2019,1,6.905,9.207
decay730,2018,2020,2,5.478,8.535
decay730,2018,2021,3,4.323,6.719
decay730,2018,2022,4,2.623,8.296
