name,owner_raw,owner_std,type,category,matched_to_scrape,max_voltage_kv,latitude,longitude,county,city,status,cec_resolve_area,hifld_id
Olinda - (Other),Other (PGE - Assumed),pge_assumed,SUBSTATION,substation,False,500.0,40.38245323,-122.38220487,Shasta County,,Operational,PGE NGBA,306950.0
Oxford,PG&E,pge,SUBSTATION,substation,False,500.0,36.71508838,-120.70181596,Fresno County,,Operational,PGE Fresno,306180.0
Shiloh II,PG&E,pge,SUBSTATION,substation,False,500.0,38.17131512,-121.84640783,Solano County,,Operational,PGE GBA,300352.0
Calpeak Power Vaca Dixon 1,PG&E,pge,SUBSTATION,substation,False,500.0,38.40518339,-121.91809816,Solano County,,Operational,PGE NGBA,305757.0
Unknown - 4118,PG&E GBA,pge,SUBSTATION,substation,False,500.0,38.12814546,-121.83103706,Solano County,,Operational,PGE GBA,308227.0
Round Mt.,PG&E,pge,SUBSTATION,substation,False,500.0,40.8077762,-121.93584909,Shasta County,Round Mountain,Operational,PGE NGBA,303913.0
Tesla,PG&E,pge,SUBSTATION,substation,False,500.0,37.71239139,-121.56484479,SAN JOAQUIN,,Operational,PGE GBA,305530.0
Table Mt.,PG&E,pge,SUBSTATION,substation,False,500.0,39.55527542,-121.64477404,Butte County,,Operational,PGE NGBA,300007.0
Los Banos,PG&E,pge,SUBSTATION,substation,False,500.0,37.05350814,-121.02108969,Merced County,,Operational,PGE Fresno,310440.0
Moss Landing,PG&E,pge,SUBSTATION,substation,False,500.0,36.80612492,-121.77571436,Monterey County,,Operational,PGE GBA,301760.0
Metcalf 1,PG&E,pge,SUBSTATION,substation,False,500.0,37.22438153,-121.74189781,Santa Clara County,"San Jose, CA",Operational,PGE GBA,301570.0
Diablo Canyon,PG&E,pge,SUBSTATION,substation,False,500.0,35.21628717,-120.84737527,San Luis Obispo County,,Operational,PGE Kern,307300.0
Manning - (PG&E FRESNO),PG&E,pge,SUBSTATION ASSUMED,substation,False,500.0,36.59063172,-120.59516415,FRESNO,FIREBAUGH,,PGE Fresno,
New Sub - Los Banos - Midway (Proposed) - (PG&E FRESNO),PG&E,pge,SUBSTATION ASSUMED,substation,False,500.0,36.48299502,-120.22098727,Fresno,Cantua Creek,Proposed,PGE Fresno,
Humboldt (Proposed),PG&E,pge,SUBSTATION,substation,False,500.0,40.78257954,-124.11236616,HUMBOLDT,EUREKA,Operational,PGE NGBA,303673.0
Collinsville,PG&E,pge,SUBSTATION ASSUMED,substation,False,500.0,38.08083499,-121.83598684,Solano County,COLLINSVILLE,,PGE GBA,
Fern Road,PG&E,pge,SUBSTATION ASSUMED,substation,False,500.0,40.64213479,-121.93783648,Shasta,Whitmore,,PGE NGBA,
New Sub - Pit 1 - Cottonwood (Proposed),PG&E,pge,SUBSTATION,substation,False,500.0,40.82294665,-121.82122179,Shasta County,Round Mountain,Operational,PGE NGBA,303913.0
Coyote Pumping,PG&E,pge,SUBSTATION,substation,False,230.0,37.15817063,-121.63747981,Santa Clara County,Morgan Hill,Operational,PGE GBA,302234.0
Monta Vista (Upper),PG&E,pge,SUBSTATION,substation,False,230.0,37.32640273,-122.07541299,Santa Clara County,Cupertino,Operational,PGE GBA,305804.0
Amerigas,PG&E,pge,SUBSTATION,substation,False,230.0,38.40329431,-121.92262217,Solano County,,Operational,PGE NGBA,309387.0
Parker - (Other),Other (PGE - Assumed),pge_assumed,SUBSTATION,substation,False,230.0,37.66791063,-120.91706377,Stanislaus County,Modesto,Operational,PGE GBA,304103.0
Flannigan,Other (PGE - Assumed),pge_assumed,SUBSTATION,substation,False,230.0,40.67898349,-122.42504878,Shasta County,,Operational,PGE NGBA,302257.0
Sierra Pacific Industries Bfp,Other (PGE - Assumed),pge_assumed,SUBSTATION,substation,False,230.0,40.8829591,-121.70349882,Shasta County,,Operational,PGE NGBA,304725.0
Ralph,PG&E,pge,SUBSTATION,substation,False,230.0,37.79905199,-121.6199307,CONTRA COSTA,,Operational,PGE GBA,302831.0
GWF 3,Other (PGE - Assumed),pge_assumed,SUBSTATION,substation,False,230.0,38.01182597,-121.78111769,Contra Costa County,Antioch,Operational,PGE GBA,307155.0
Shiloh I,PG&E,pge,SUBSTATION,substation,False,230.0,38.12529705,-121.83225786,Solano County,,Operational,PGE GBA,303072.0
Embarcadero,PG&E,pge,SUBSTATION,substation,False,230.0,37.78752989,-122.39343391,San Francisco County,San Francisco,Operational,PGE GBA,305027.0
S.L.A.C,Other (PGE - Assumed),pge_assumed,SUBSTATION,substation,False,230.0,37.41569749,-122.20564267,San Mateo County,"San Jose, CA",Operational,PGE GBA,300995.0
South East,Other (PGE - Assumed),pge_assumed,SUBSTATION,substation,False,230.0,38.73822067,-121.23484389,Placer County,Roseville,Operational,PGE NGBA,301012.0
Unknown - 3403,PG&E GBA,pge,SUBSTATION,substation,False,230.0,36.79793123,-121.73413714,Monterey County,Elkhorn,Operational,PGE GBA,302244.0
Walnut - (Other),Other (PGE - Assumed),pge_assumed,SUBSTATION,substation,False,230.0,37.48994766,-120.90606962,Stanislaus County,,Operational,PGE GBA,307216.0
Fiddyment Receiving,Other (PGE - Assumed),pge_assumed,SUBSTATION,substation,False,230.0,38.76301456,-121.357211,Placer County,Roseville,Operational,PGE NGBA,303553.0
Edward C Hyatt,PG&E,pge,SUBSTATION,substation,False,230.0,39.53267075,-121.48621612,Butte County,Oroville East,Operational,PGE NGBA,304479.0
Big Geysers,PG&E,pge,SUBSTATION,substation,False,230.0,38.77334042,-122.72899692,Lake County,,Operational,PGE NGBA,301072.0
Bear Canyon,PG&E,pge,SUBSTATION,substation,False,230.0,38.7626092,-122.69242334,Lake County,,Operational,PGE NGBA,306974.0
West Ford Flat,PG&E,pge,SUBSTATION,substation,False,230.0,38.78780694,-122.72239459,Lake County,,Operational,PGE NGBA,301699.0
Tiger Creek,PG&E,pge,SUBSTATION,substation,False,230.0,38.4491701,-120.49226391,Amador County,,Operational,PGE GBA,306652.0
Tesoro,Other (PGE - Assumed),pge_assumed,SUBSTATION,substation,False,230.0,38.01842007,-122.06130268,Contra Costa County,"Concord--Walnut Creek, CA",Operational,PGE GBA,301575.0
Delta Energy,PG&E,pge,SUBSTATION,substation,False,230.0,38.0174783,-121.84659631,Contra Costa County,Pittsburg,Operational,PGE GBA,304072.0
Wind Driven,PG&E,pge,SUBSTATION,substation,False,230.0,37.8212365,-121.6609238,Contra Costa County,,Operational,PGE GBA,301013.0
US Wind Power,PG&E,pge,SUBSTATION,substation,False,230.0,37.79142132,-121.72776081,Contra Costa County,,Operational,PGE GBA,304473.0
Fayette Energy Corp.,Other (PGE - Assumed),pge_assumed,SUBSTATION,substation,False,230.0,37.74738101,-121.59833091,Alameda County,,Operational,PGE GBA,302399.0
Lawrence Livermore Laboratory,PG&E,pge,SUBSTATION,substation,False,230.0,37.68223396,-121.70527494,Alameda County,Livermore,Operational,PGE GBA,302026.0
Patterson Pass,PG&E,pge,SUBSTATION,substation,False,230.0,37.69858112,-121.61066097,Alameda County,,Operational,PGE GBA,306090.0
Helm's Pumped Storage,PG&E,pge,SUBSTATION,substation,False,230.0,37.03911287,-118.96368239,Fresno County,,Operational,PGE Fresno,307044.0
