name,owner_raw,owner_std,type,category,matched_to_scrape,max_voltage_kv,latitude,longitude,county,city,status,cec_resolve_area,hifld_id
Unknown - 3293,SCE Northern,sce,SUBSTATION,substation,False,500.0,35.02294251,-118.2821811,Kern County,,Operational,SCE Northern,300111.0
Capacitor,SCE,sce,SUBSTATION,substation,False,500.0,33.6712108,-115.55897075,Riverside County,,Operational,SCE Eastern,303223.0
Unknown - 4185,SCE Northern,sce,SUBSTATION,substation,False,500.0,35.02130584,-118.29735508,Kern County,,Operational,SCE Northern,309264.0
Unknown - 4242,SCE Northern,sce,SUBSTATION,substation,False,500.0,34.19122725,-118.37955131,Los Angeles County,Los Angeles,Operational,SCE Northern,310442.0
Serrano,SCE,sce,SUBSTATION,substation,False,500.0,33.82885994,-117.78968273,Orange County,Orange,Operational,SCE Metro,301664.0
Antelope - (SCE),SCE,sce,SUBSTATION,substation,False,500.0,34.68750792,-118.30052909,Los Angeles County,Lancaster,Operational,SCE Northern,304120.0
Vincent,SCE,sce,SUBSTATION,substation,False,500.0,34.48596106,-118.11846856,Los Angeles County,Acton,Operational,SCE Northern,309672.0
Lugo,SCE,sce,SUBSTATION,substation,False,500.0,34.36662345,-117.36861843,San Bernardino County,,Operational,SCE Metro,307508.0
Alberhill,SCE,sce,SUBSTATION ASSUMED,substation,False,500.0,33.73452419,-117.41250985,,Karona,Proposed,SCE Eastern,
Rancho Vista,SCE,sce,SUBSTATION,substation,False,500.0,34.08849549,-117.5345205,San Bernardino County,Rancho Cucamonga,Operational,SCE Metro,309096.0
Windhub,SCE,sce,SUBSTATION,substation,False,500.0,35.0348446,-118.28067751,Kern County,,Operational,SCE Northern,301750.0
Whirlwind,SCE,sce,SUBSTATION,substation,False,500.0,34.85927301,-118.43520486,Kern County,,Operational,SCE Northern,306225.0
Colorado River,SCE,sce,SUBSTATION,substation,False,500.0,33.57897512,-114.81591613,Riverside County,,Operational,SCE Eastern,303761.0
Red Bluff - (SCE),SCE,sce,SUBSTATION,substation,False,500.0,33.69808958,-115.31317485,Riverside County,,Operational,SCE Eastern,303503.0
North of SONGS,SCE,sce,SUBSTATION ASSUMED,substation,False,500.0,33.44924518,-117.57441797,SAN DIEGO,SAN CLEMENTE,,SCE Metro,
Cielo Azul,SCE,sce,SUBSTATION ASSUMED,substation,False,500.0,33.64852482,-113.93914355,La Paz,Sunwest,,SCE Arizona,
Delaney SCE 500kV,SCE,sce,SUBSTATION ASSUMED,substation,False,500.0,33.48112493,-113.03398879,Maricopa County,TONOPAH,,SCE Arizona,
Eldorado SCE 500kV,SCE,sce,SUBSTATION ASSUMED,substation,False,500.0,35.79731475,-115.00898823,Clark County,BOULDER CITY,,SCE EOP,
Mohave SCE 500kV,SCE,sce,SUBSTATION ASSUMED,substation,False,500.0,35.1474648,-114.59498836,Clark County,LAUGHLIN,,SCE EOP,
