name,owner_raw,owner_std,type,category,matched_to_scrape,max_voltage_kv,latitude,longitude,county,city,status,cec_resolve_area,hifld_id
Imperial Valley - (SDG&E),SDG&E,sdge,SUBSTATION,substation,False,500.0,32.71794293,-115.71564984,Imperial County,,Operational,SDGE Imperial,300666.0
Miguel,SDG&E,sdge,SUBSTATION,substation,False,500.0,32.67942885,-116.98398078,San Diego County,,Operational,SDGE Imperial,305518.0
ECO - East County,SDG&E,sdge,SUBSTATION,substation,False,500.0,32.6272652,-116.11798829,San Diego County,,Operational,SDGE Imperial,304506.0
North Gila - IV (Proposed),SDG&E,sdge,SUBSTATION,substation,False,500.0,32.73610818,-115.21299074,Imperial,Bonds Corner,Operational,SDGE Imperial,308292.0
North Gila,SDG&E,sdge,SUBSTATION ASSUMED,substation,False,500.0,32.7464981,-114.4903456,Yuma County,,Operational,SDGE Arizona,
Suncrest,SDG&E,sdge,SUBSTATION,substation,False,500.0,32.8090995,-116.68286701,San Diego County,,Operational,SDGE Imperial,307573.0
Ocotillo Express,SDG&E,sdge,SUBSTATION,substation,False,500.0,32.74502518,-116.04198829,Imperial,Ocotillo,Operational,SDGE Imperial,301886.0
SDGE Hassayampa 500kV,SDG&E,sdge,SUBSTATION ASSUMED,substation,False,500.0,33.34584494,-112.85198884,Maricopa County,TONOPAH,,SDGE Arizona,
Hoodoo Wash SDGE 500kV,SDG&E,sdge,SUBSTATION ASSUMED,substation,False,500.0,32.95407502,-113.48898875,ROLL,,,SDGE Arizona,
New Sub - Suncrest - Ocotillo (Proposed),SDG&E,sdge,SUBSTATION,substation,False,500.0,32.69898067,-116.35375379,San Diego County,,Operational,SDGE Imperial,310100.0
Doublett,SDG&E,sdge,SUBSTATION,substation,False,230.0,32.91704485,-117.21907745,San Diego County,San Diego,Operational,SDGE Imperial,300151.0
Fashion Valley,SDG&E,sdge,SUBSTATION ASSUMED,substation,False,230.0,32.77170822,-117.16439407,San Diego County,San Diego,Operational,SDGE Imperial,
Calpeak Power Enterprise 7,SDG&E,sdge,SUBSTATION,substation,False,230.0,33.12093686,-117.11725752,San Diego County,Escondido,Operational,SDGE Imperial,308981.0
Main Street,SDG&E,sdge,SUBSTATION ASSUMED,substation,False,230.0,32.69649223,-117.14346709,San Diego County,San Diego,Operational,SDGE Imperial,
Unknown - 4149,SDGE Imperial,sdge,SUBSTATION,substation,False,230.0,32.73453586,-115.7173368,Imperial County,,Operational,SDGE Imperial,308676.0
Encina,SDG&E,sdge,SUBSTATION,substation,False,230.0,33.1369612,-117.33550504,San Diego County,Carlsbad,Operational,SDGE Imperial,309677.0
Penasquitos,SDG&E,sdge,SUBSTATION ASSUMED,substation,False,230.0,32.91870708,-117.21912669,San Diego County,San Diego,Operational,SDGE Imperial,
Sycamore Canyon,SDG&E,sdge,SUBSTATION,substation,False,230.0,32.91739381,-117.03111566,San Diego County,San Diego,Operational,SDGE Imperial,305902.0
Talega,SDG&E,sdge,SUBSTATION,substation,False,230.0,33.4531076,-117.57144142,San Diego County,,Operational,SDGE Imperial,300131.0
Silvergate,SDG&E,sdge,SUBSTATION,substation,False,230.0,32.69487768,-117.14325631,San Diego County,San Diego,Operational,SDGE Imperial,303846.0
Otay Mesa - SDG&E,SDG&E,sdge,SUBSTATION,substation,False,230.0,32.57412782,-116.91130947,San Diego County,,Operational,SDGE Imperial,300185.0
Bay Boulevard,SDG&E,sdge,SUBSTATION ASSUMED,substation,False,230.0,32.60847334,-117.09431198,San Diego County,Chula Vista,Operational,SDGE Imperial,
Drew Switchyard,SDG&E,sdge,SUBSTATION,substation,False,230.0,32.67811141,-115.67159358,Imperial County,,,SDGE Imperial,
Suncrest Svc,SDG&E,sdge,SUBSTATION,substation,False,230.0,32.81227731,-116.6664833,San Diego County,,,SDGE Imperial,
Q1806,SDG&E,sdge,SUBSTATION ASSUMED,substation,False,138.0,33.53285517,-117.67692795,ORANGE,San Juan Capistrano,,SDGE Imperial,
Carrizo Gorge,SDG&E,sdge,SUBSTATION ASSUMED,substation,False,138.0,32.72151519,-116.26196826,San Diego,Boulevard,,SDGE Imperial,
North County Metering,SDG&E,sdge,SUBSTATION,substation,False,138.0,33.0895823,-117.20322604,San Diego County,,,SDGE Imperial,
Larkspur Energy Facility,SDG&E,sdge,SUBSTATION,substation,False,93.0,32.56629037,-116.94431164,San Diego County,San Diego,Operational,SDGE Imperial,302409.0
Narrows - (SDG&E),SDG&E,sdge,SUBSTATION,substation,False,92.0,33.13722813,-116.29446501,San Diego County,,Operational,SDGE Imperial,305768.0
Heber - (SDGE Imperial),SDGE Imperial,sdge,SUBSTATION,substation,False,92.0,32.71340647,-115.53457212,Imperial County,,Operational,SDGE Imperial,301601.0
Eastgate -  North,SDG&E,sdge,SUBSTATION,substation,False,69.0,32.9019458,-117.22704421,San Diego County,San Diego,Operational,SDGE Imperial,300286.0
Ntcq,SDG&E,sdge,SUBSTATION,substation,False,69.0,32.74614278,-117.19251357,San Diego County,San Diego,Operational,SDGE Imperial,303742.0
North Island QF,SDG&E,sdge,SUBSTATION,substation,False,69.0,32.7023117,-117.18244343,San Diego County,Coronado,Operational,SDGE Imperial,306795.0
Sithe,SDG&E,sdge,SUBSTATION,substation,False,69.0,32.67954047,-117.24733939,San Diego County,San Diego,Operational,SDGE Imperial,306124.0
Barrett Lake,SDG&E,sdge,SUBSTATION,substation,False,69.0,32.65347523,-116.6798732,San Diego County,,Operational,SDGE Imperial,300685.0
Borrego - (SDG&E),SDG&E,sdge,SUBSTATION,substation,False,69.0,33.27085624,-116.34820207,San Diego County,,Operational,SDGE Imperial,307763.0
Boulder Creek - SDG&E West,SDG&E,sdge,SUBSTATION,substation,False,69.0,33.00598706,-116.58619859,San Diego County,,Operational,SDGE Imperial,308308.0
Del Mar - (SDG&E),SDG&E,sdge,SUBSTATION,substation,False,69.0,32.98068966,-117.25536028,San Diego County,San Diego,Operational,SDGE Imperial,310137.0
Division - (SDG&E),SDG&E,sdge,SUBSTATION,substation,False,69.0,32.68155824,-117.12009712,San Diego County,San Diego,Operational,SDGE Imperial,303096.0
Dunhill,SDG&E,sdge,SUBSTATION,substation,False,69.0,32.90154024,-117.22990808,San Diego County,San Diego,Operational,SDGE Imperial,304193.0
Fenton,SDG&E,sdge,SUBSTATION,substation,False,69.0,32.89496745,-117.1563103,San Diego County,San Diego,Operational,SDGE Imperial,304897.0
Horno,SDG&E,sdge,SUBSTATION,substation,False,69.0,33.37824754,-117.45752698,San Diego County,,Operational,SCE Metro,308470.0
Japanese Mesa,SDG&E,sdge,SUBSTATION,substation,False,69.0,33.37429907,-117.55477629,San Diego County,,Operational,SCE Metro,310478.0
Las Pulgas - (SDG&E),SDG&E,sdge,SUBSTATION,substation,False,69.0,33.31284519,-117.46691023,San Diego County,,Operational,SCE Metro,302995.0
Miramar,SDG&E,sdge,SUBSTATION,substation,False,69.0,32.89419668,-117.13549364,San Diego County,San Diego,Operational,SDGE Imperial,303145.0
National City,SDG&E,sdge,SUBSTATION,substation,False,69.0,32.67308625,-117.10737312,San Diego County,National City,Operational,SDGE Imperial,302065.0
Otay Lake,SDG&E,sdge,SUBSTATION,substation,False,69.0,32.59709529,-116.92767981,San Diego County,,Operational,SDGE Imperial,305962.0
Rincon - (SDG&E),SDG&E,sdge,SUBSTATION,substation,False,69.0,33.28584794,-116.95864087,San Diego County,,Operational,SDGE Imperial,302252.0
Scrap Disposal Corp.,SDG&E,sdge,SUBSTATION ASSUMED,substation,False,69.0,32.67036626,-117.11464209,San Diego County,National City,Operational,SDGE Imperial,
Stuart - (SDG&E),SDG&E,sdge,SUBSTATION,substation,False,69.0,33.25671185,-117.41656302,San Diego County,Camp Pendleton South,Operational,SDGE Imperial,306532.0
Warner - (SDG&E),SDG&E,sdge,SUBSTATION,substation,False,69.0,33.24728399,-116.67591866,San Diego County,,Operational,SDGE Imperial,306424.0
Warren Canyon,SDG&E,sdge,SUBSTATION,substation,False,69.0,33.01540631,-117.00230755,San Diego County,Poway,Operational,SDGE Imperial,303929.0
Unknown - 3385,SDGE Imperial,sdge,SUBSTATION,substation,False,69.0,33.13892895,-117.07259878,San Diego County,Escondido,Operational,SDGE Imperial,301797.0
Lake Hodges,SDG&E,sdge,SUBSTATION,substation,False,69.0,33.05860383,-117.11927352,San Diego County,,Operational,SDGE Imperial,303592.0
Unknown - 3622,SDGE Imperial,sdge,SUBSTATION,substation,False,69.0,32.74538024,-117.19255309,San Diego County,San Diego,Operational,SDGE Imperial,303526.0
UC San Diego,SDG&E,sdge,SUBSTATION,substation,False,69.0,32.88360622,-117.22245408,San Diego County,San Diego,Operational,SDGE Imperial,304980.0
Naval Station,SDG&E,sdge,SUBSTATION,substation,False,69.0,32.67076211,-117.11471374,San Diego County,National City,Operational,SDGE Imperial,306730.0
MMC Chula,SDG&E,sdge,SUBSTATION,substation,False,69.0,32.59169005,-117.05851077,San Diego County,Chula Vista,Operational,SDGE Imperial,303175.0
Unknown - 3893,SDGE Imperial,sdge,SUBSTATION,substation,False,69.0,32.91035231,-117.11330139,San Diego County,San Diego,Operational,SDGE Imperial,306264.0
Calpeak,SDGE Imperial,sdge,SUBSTATION,substation,False,69.0,32.56702649,-116.94427176,San Diego County,San Diego,Operational,SDGE Imperial,307262.0
Unknown - 3960,SDGE Imperial,sdge,SUBSTATION,substation,False,69.0,32.79685931,-116.971782,San Diego County,El Cajon,Operational,SDGE Imperial,307550.0
Unknown - 4117,SDGE Imperial,sdge,SUBSTATION,substation,False,69.0,32.70554297,-116.3421513,San Diego County,,Operational,SDGE Imperial,308179.0
Unknown - 4174,SDGE Imperial,sdge,SUBSTATION,substation,False,69.0,32.73526558,-117.20792885,San Diego County,San Diego,Operational,SDGE Imperial,309067.0
Alpine - SDG&E,SDG&E,sdge,SUBSTATION,substation,False,69.0,32.82772785,-116.78988242,San Diego County,Alpine,Operational,SDGE Imperial,308247.0
Pendleton,SDG&E,sdge,SUBSTATION,substation,False,69.0,33.30916463,-117.33502414,San Diego County,Camp Pendleton Mainside,Operational,SDGE Imperial,308957.0
San Marcos - (SDG&E),SDG&E,sdge,SUBSTATION,substation,False,69.0,33.1287952,-117.19722139,San Diego County,San Marcos,Operational,SDGE Imperial,305995.0
Loveland - (SDG&E),SDG&E,sdge,SUBSTATION,substation,False,69.0,32.79697576,-116.79218816,San Diego County,ALPINE,Operational,SDGE Imperial,306685.0
Salt Creek - SDGE Imperial,SDG&E,sdge,SUBSTATION ASSUMED,substation,False,69.0,32.67824322,-116.98282028,San Diego,Bonita,,SDGE Imperial,
Mira Sorrento,SDG&E,sdge,SUBSTATION,substation,False,69.0,32.89273637,-117.20589149,San Diego County,,,SDGE Imperial,
Boulder Creek - SDG&E East,SDG&E,sdge,SUBSTATION,substation,False,69.0,33.01862145,-116.6651616,San Diego County,,,SDGE Imperial,
Unknown - 4151,SDGE Imperial,sdge,SUBSTATION,substation,False,66.0,33.61924772,-117.70730863,Orange County,Lake Forest,Operational,SDGE Imperial,308699.0
Sewage Pumping Station #1,SDG&E,sdge,SUBSTATION,substation,False,12.0,32.68113688,-117.11831786,San Diego County,,,SDGE Imperial,
Adams,SDG&E,sdge,SUBSTATION,substation,False,12.0,32.76225701,-117.14344191,San Diego County,,,SDGE Imperial,
Central,SDG&E,sdge,SUBSTATION,substation,False,12.0,32.71426323,-117.15861324,San Diego County,,,SDGE Imperial,
Lincoln Acres,SDG&E,sdge,SUBSTATION,substation,False,12.0,32.67552602,-117.07666959,San Diego County,,,SDGE Imperial,
Naval Training Center  Station C,SDG&E,sdge,SUBSTATION,substation,False,12.0,32.73184642,-117.21658431,San Diego County,,,SDGE Imperial,
North Vista,SDG&E,sdge,SUBSTATION,substation,False,12.0,33.22516344,-117.22821933,San Diego County,,,SDGE Imperial,
Vista - SDG&E,SDG&E,sdge,SUBSTATION,substation,False,12.0,33.20252251,-117.24427571,San Diego County,,,SDGE Imperial,
Sewage Pumping Station #64,SDG&E,sdge,SUBSTATION,substation,False,12.0,32.89879278,-117.22244391,San Diego County,,,SDGE Imperial,
Shorecliffs,SDG&E,sdge,SUBSTATION,substation,False,12.0,33.44247266,-117.64169148,Orange County,,,SCE Metro,
East Oceanside,SDG&E,sdge,SUBSTATION,substation,False,12.0,33.19754431,-117.35403255,San Diego County,,,SDGE Imperial,
San Clemente,SDG&E,sdge,SUBSTATION,substation,False,12.0,33.4295653,-117.61636197,Orange County,,,SCE Metro,
Bostonia,SDG&E,sdge,SUBSTATION,substation,False,12.0,32.79994777,-116.93783343,San Diego County,,,SDGE Imperial,
Calavo Gardens,SDG&E,sdge,SUBSTATION,substation,False,12.0,32.76967366,-116.95829578,San Diego County,,,SDGE Imperial,
Hilltop - SDG&E,SDG&E,sdge,SUBSTATION,substation,False,12.0,32.63003725,-117.0635172,San Diego County,,,SDGE Imperial,
Market,SDG&E,sdge,SUBSTATION,substation,False,12.0,32.71258644,-117.09384885,San Diego County,,,SDGE Imperial,
Rolando,SDG&E,sdge,SUBSTATION,substation,False,12.0,32.76218911,-117.06410699,San Diego County,,,SDGE Imperial,
Amherst,SDG&E,sdge,SUBSTATION,substation,False,12.0,32.76773517,-117.04014257,San Diego County,,,SDGE Imperial,
Sewage Pumping Station #2,SDG&E,sdge,SUBSTATION,substation,False,12.0,32.72972015,-117.20813316,San Diego County,,,SDGE Imperial,
