county_name,n_substations,n_nodes,nodes_per_sub,synthetic_only,note
Los Angeles,206,335,1.6262135922330097,False,
San Bernardino,105,109,1.0380952380952382,False,
San Diego,93,103,1.10752688172043,False,
Kern,81,80,0.9876543209876543,False,
Riverside,69,93,1.3478260869565217,False,
Orange,67,98,1.462686567164179,False,
Fresno,52,39,0.75,False,
Alameda,44,63,1.4318181818181819,False,
Contra Costa,41,67,1.6341463414634145,False,
Santa Clara,35,62,1.7714285714285714,False,
San Joaquin,34,60,1.7647058823529411,False,
Tulare,33,23,0.696969696969697,False,
San Mateo,28,33,1.1785714285714286,False,
Santa Barbara,24,23,0.9583333333333334,False,
Monterey,24,29,1.2083333333333333,False,
Sonoma,23,22,0.9565217391304348,False,
Butte,22,11,0.5,False,
Humboldt,22,12,0.5454545454545454,False,
Ventura,22,33,1.5,False,
San Francisco,20,9,0.45,False,
Shasta,19,14,0.7368421052631579,False,
Placer,16,29,1.8125,False,
Merced,16,19,1.1875,False,
San Luis Obispo,15,15,1.0,False,
Solano,14,18,1.2857142857142858,False,
Mendocino,13,8,0.6153846153846154,False,
Madera,12,9,0.75,False,
Santa Cruz,12,19,1.5833333333333333,False,
Kings,11,20,1.8181818181818181,False,
Marin,11,14,1.2727272727272727,False,
Yolo,10,8,0.8,False,
Yuba,9,6,0.6666666666666666,False,
Sutter,9,11,1.2222222222222223,False,
Plumas,8,5,0.625,False,
Tuolumne,8,5,0.625,False,
Napa,8,7,0.875,False,
Mono,8,1,0.125,False,
Lake,8,5,0.625,False,
Colusa,8,4,0.5,False,
El Dorado,8,7,0.875,False,
Glenn,8,6,0.75,False,
Tehama,8,6,0.75,False,
Amador,8,9,1.125,False,
Nevada,7,5,0.7142857142857143,False,
Stanislaus,5,39,7.8,False,
Inyo,5,11,2.2,False,
San Benito,4,3,0.75,False,
Mariposa,3,2,0.6666666666666666,False,
Calaveras,3,2,0.6666666666666666,False,
Sierra,2,3,1.5,False,
Imperial,1,22,22.0,False,
Alpine,1,1,1.0,False,
Trinity,1,4,4.0,False,
Sacramento,1,190,190.0,False,
Lassen,0,9,,True,synthetic substation only (no real IOU substation)
Del Norte,0,0,,True,synthetic substation only (no real IOU substation)
Modoc,0,8,,True,synthetic substation only (no real IOU substation)
Siskiyou,0,12,,True,synthetic substation only (no real IOU substation)
