osm_display_name,osm_original_name,osm_operator,match_type,match_source,match_util,matched_name,dist_km,osm_lat,osm_lon,osm_id,osm_type
21st Avenue Substation,21st Avenue Substation,,name,IOU,pge,21ST AVENUE,,37.7543759,-122.478269,4199809190,node
Airways Substation,Airways Substation,,name,IOU,pge,AIRWAYS,,36.7780639,-119.6742071,1244213586,way
Almaden Substation,Almaden Substation,,name,IOU,pge,ALMADEN,,37.2600109,-121.8900095,42330936,way
Alto Substation,Alto Substation,PACIFIC GAS AND ELECTRIC COMPANY,name,IOU,pge,ALTO,,37.8984659,-122.5247928,33046902,way
Ames Substation,Ames Substation,Pacific Gas and Electric Company,name,IOU,pge,AMES,,37.4178138,-122.0671333,4630372,way
Antelope Substation,Antelope Substation,Southern California Edison,name,IOU,pge,ANTELOPE,,34.6858079,-118.2981161,88776835,way
Apple Hill Substation,Apple Hill Substation,,name,IOU,pge,APPLE HILL,,38.7395774,-120.6771808,407071702,way
Arlington Substation,Arlington Substation,Pacific Gas and Electric,name,IOU,pge,ARLINGTON,,37.8889274,-122.2729527,203316814,way
Atascadero Substation,Atascadero Substation,Pacific Gas and Electric Company,name,IOU,pge,ATASCADERO,,35.4654985,-120.6714647,328033894,way
Atwater Substation,Atwater Substation,Pacific Gas and Electric Company,name,IOU,pge,ATWATER,,37.3599247,-120.6153156,79176968,way
Avena Substation,Avena Substation,Pacific Gas and Electric Company,name,IOU,pge,AVENA,,37.8422554,-121.0542003,152352986,way
Babel Substation,Babel Substation,Pacific Gas and Electric Company,name,IOU,pge,BABEL,,37.9632356,-122.00797,1180910602,way
Bahia Substation,Bahia Substation,,name,IOU,pge,BAHIA,,38.0808738,-122.1374133,33068219,way
Baywood,Baywood,Pacific Gas and Electric Company,name,IOU,pge,BAYWOOD,,35.361187,-120.8114355,328033895,way
Bell Substation,Bell Substation,Pacific Gas and Electric Company,name,IOU,pge,BELL,,38.9467901,-121.0916489,103099270,way
Bellevue Substation,Bellevue Substation,Pacific Gas and Electric Company,name,IOU,pge,BELLEVUE,,38.3788375,-122.7125989,532629908,way
Belmont Substation,Belmont Substation,,name,IOU,pge,BELMONT,0.059,37.5234406,-122.2653026,112285108,way
Belmont Substation,Belmont Substation,,name,IOU,pge,BELMONT,500.852,41.7730531,-124.2078825,1128122696,way
Berkeley F Substation,Berkeley F Substation,Pacific Gas and Electric,name,IOU,pge,BERKELEY F,,37.872389,-122.2783135,606154506,way
Berkeley T Substation,Berkeley T Substation,Pacific Gas and Electric,name,IOU,pge,BERKELEY T,,37.8645452,-122.2588201,1354978003,way
Big Basin Substation,Big Basin Substation,,name,IOU,pge,BIG BASIN,,37.1308309,-122.1721521,209242166,way
Big Bend Substation,Big Bend Substation,,name,IOU,pge,BIG BEND,,35.15819,-114.581651,81737508,way
