utility,substation_name,lat,lon,source,notes
sce,Topanga,34.08958,-118.6051,cec_exact_name_match,CEC DataPull 2026 exact name+owner match (Los Angeles County); the utility scrape publishes no coordinate for this site
sce,Paularino,33.65319,-117.89115,cec_exact_name_match,CEC DataPull 2026 exact name+owner match (Orange County); the utility scrape publishes no coordinate for this site
sce,Safari,33.635656,-117.729937,googlemaps and https://www.sce.com/sites/default/files/inline-files/SafariSubstation_map.pdf,"NEEDS COORDINATE - no utility coord, no basin match, no CEC exact-name match"
sce,Poole,37.944467,-119.215161,"https://earth.google.com/web/search/poole+hydro+plant/@37.94435118,-119.21586886,2389.61475164a,205.11600629d,35y,0.00000001h,16.17471736t,0r/data=CiwiJgokCbf3QkTMLjZAEbb3QkTMLjbAGYhN6C0AIUpAIYtN6C0AIUrAQgIIAToDCgEwQgIIAEoNCP___________wEQAA","NEEDS COORDINATE - no utility coord, no basin match, no CEC exact-name match"
sce,Mountain Pass,35.501728,-115.551411,google earth and https://www.sce.com/sites/default/files/inline-files/1007_EITPFactSheet.pdf,"NEEDS COORDINATE - no utility coord, no basin match, no CEC exact-name match (likely San Bernardino Co., near the Mountain Pass mine)"
sce,Camino,34.8447,-114.9677,https://www.radioreference.com/db/site/31338,"NEEDS COORDINATE - no utility coord, no basin match, no CEC exact-name match"
sce,Bishop Creek Plant 2,37.273025,-118.5726,google maps,"NEEDS COORDINATE - no utility coord, no basin match, no CEC exact-name match (likely Inyo Co., SCE Bishop Creek hydro chain)"
sce,Autobody,,,,"NEEDS COORDINATE - no utility coord, no basin match, no CEC exact-name match; also has no load data (one of the 6 empty-profile SCE sites)"
sce,Lunar,34.68577,-118.30349,https://mapcarta.com/W597452232,"NEEDS COORDINATE - no utility coord, no basin match, no CEC exact-name match"
sce,Santa Ana River 1,34.107625,-117.098147,"https://earth.google.com/web/search/Santa+Ana+River+%231+Power+House,+6th+St,+Redlands,+CA/@34.10718822,-117.09958622,598.48703956a,455.18858224d,35y,0.00000001h,0t,0r/data=CiwiJgokCRENbF_awEFAEXxPrzSLv0FAGWOOaUuN4lzAIWIa9Isc5FzAQgIIAToDCgEwQgIIAEoNCP___________wEQAA","NEEDS COORDINATE - no utility coord, no basin match, no CEC exact-name match (likely SCE Santa Ana River hydro chain)"
sce,Palm Springs 'A',33.82514048,-116.5460938,data basin (remove added letter),"NEEDS COORDINATE - no utility coord, no basin match, no CEC exact-name match; note the quoted 'A' is part of the name"
sce,Palm Springs 'B',33.82514048,-116.5460938,data basin (remove added letter),"NEEDS COORDINATE - no utility coord, no basin match, no CEC exact-name match; note the quoted 'B' is part of the name"
