Comparison,Month,n_forecast,n_eia,Mean_fcst,Mean_EIA,Mean_diff,Std_fcst,Std_EIA,t_stat,t_p,t_sig,MWU_p,MWU_sig
IEPR vs EIA,All,21170,3653,16.9667,18.6567,-1.69,5.9348,2.0948,-17.0287,0.0,***,0.0,***
IEPR vs EIA,Jan,1798,310,12.9844,18.7581,-5.7736,8.1437,2.2804,-12.3969,0.0,***,0.0,***
IEPR vs EIA,Feb,1624,283,12.6028,19.0989,-6.4961,8.7461,2.1348,-12.4281,0.0,***,0.0,***
IEPR vs EIA,Mar,1798,310,18.5083,19.1194,-0.611,5.6995,2.6601,-1.8528,0.0641,ns,0.0007,***
IEPR vs EIA,Apr,1740,300,20.7667,19.55,1.2167,1.8021,2.7152,9.9156,0.0,***,0.0013,**
IEPR vs EIA,May,1798,310,20.3648,20.0548,0.31,1.5051,1.2175,3.4376,0.0006,***,0.0016,**
IEPR vs EIA,Jun,1740,300,19.4971,19.01,0.4871,1.7234,1.5246,4.5953,0.0,***,0.0038,**
IEPR vs EIA,Jul,1798,310,18.2319,18.2968,-0.0648,1.6453,1.0408,-0.6711,0.5022,ns,0.0,***
IEPR vs EIA,Aug,1798,310,17.416,17.9484,-0.5324,1.151,0.9607,-7.694,0.0,***,0.0,***
IEPR vs EIA,Sep,1740,300,17.646,17.8767,-0.2307,1.7559,1.5694,-2.1333,0.033,*,0.0,***
IEPR vs EIA,Oct,1798,310,18.6068,18.1161,0.4907,2.5657,1.8467,3.2258,0.0013,**,0.0,***
IEPR vs EIA,Nov,1740,300,13.7994,18.09,-4.2906,7.8742,2.3093,-9.3669,0.0,***,0.0,***
IEPR vs EIA,Dec,1798,310,12.8776,17.9968,-5.1191,8.1595,2.4646,-10.9584,0.0,***,0.0,***
IEPR 2024-25 vs EIA,All,1095,731,17.7507,18.1792,-0.4285,0.834,3.5538,-3.8355,0.0001,***,0.0,***
IEPR 2024-25 vs EIA,Jan,93,62,18.0,17.5484,0.4516,0.0,4.2645,1.0229,0.308,ns,0.0,***
IEPR 2024-25 vs EIA,Feb,84,57,18.0,18.7719,-0.7719,0.0,3.7608,-1.8844,0.0616,ns,0.0,***
IEPR 2024-25 vs EIA,Mar,93,62,18.1613,18.7581,-0.5968,0.3698,3.9367,-1.4546,0.1478,ns,0.0,***
IEPR 2024-25 vs EIA,Apr,90,60,18.9333,18.2,0.7333,0.2508,5.1743,1.3444,0.1809,ns,0.0,***
IEPR 2024-25 vs EIA,May,93,62,18.8817,20.5645,-1.6828,0.3247,1.5536,-10.134,0.0,***,0.0,***
IEPR 2024-25 vs EIA,Jun,90,60,18.1667,19.7167,-1.55,0.89,2.0592,-6.3179,0.0,***,0.0,***
IEPR 2024-25 vs EIA,Jul,93,62,17.2581,19.1774,-1.9194,0.641,1.1668,-13.1717,0.0,***,0.0,***
IEPR 2024-25 vs EIA,Aug,93,62,16.9462,18.9355,-1.9892,0.372,0.4387,-30.3362,0.0,***,0.0,***
IEPR 2024-25 vs EIA,Sep,90,60,16.7667,17.8333,-1.0667,0.6543,2.5054,-3.8526,0.0002,***,0.0,***
IEPR 2024-25 vs EIA,Oct,93,62,17.086,16.8387,0.2473,0.3506,3.4365,0.6898,0.4914,ns,0.0,***
IEPR 2024-25 vs EIA,Nov,90,60,17.2667,17.4667,-0.2,0.4447,3.4517,-0.5439,0.5874,ns,0.0,***
IEPR 2024-25 vs EIA,Dec,93,62,17.5699,14.4032,3.1667,0.4978,3.6595,8.2443,0.0,***,0.0001,***
RESOLVE vs EIA,All,8395,3653,17.7051,18.6567,-0.9517,1.0267,2.0948,-33.4129,0.0,***,0.0,***
RESOLVE vs EIA,Jan,713,310,17.7938,18.7581,-0.9642,1.1867,2.2804,-8.8655,0.0,***,0.0,***
RESOLVE vs EIA,Feb,644,283,17.927,19.0989,-1.1719,0.9295,2.1348,-11.6483,0.0,***,0.0,***
RESOLVE vs EIA,Mar,713,310,18.0813,19.1194,-1.038,0.9386,2.6601,-9.1907,0.0,***,0.0,***
RESOLVE vs EIA,Apr,690,300,18.7971,19.55,-0.7529,0.406,2.7152,-7.1079,0.0,***,0.0,***
RESOLVE vs EIA,May,713,310,18.7616,20.0548,-1.2933,0.485,1.2175,-24.2864,0.0,***,0.0,***
RESOLVE vs EIA,Jun,690,300,18.1014,19.01,-0.9086,0.7357,1.5246,-12.6368,0.0,***,0.0,***
RESOLVE vs EIA,Jul,713,310,17.446,18.2968,-0.8508,0.6727,1.0408,-15.591,0.0,***,0.0,***
RESOLVE vs EIA,Aug,713,310,16.9621,17.9484,-0.9863,0.6662,0.9607,-18.8929,0.0,***,0.0,***
RESOLVE vs EIA,Sep,690,300,16.8551,17.8767,-1.0216,0.6978,1.5694,-14.182,0.0,***,0.0,***
RESOLVE vs EIA,Oct,713,310,16.8359,18.1161,-1.2802,0.8946,1.8467,-14.9226,0.0,***,0.0,***
RESOLVE vs EIA,Nov,690,300,17.3565,18.09,-0.7335,0.9225,2.3093,-7.1387,0.0,***,0.0,***
RESOLVE vs EIA,Dec,713,310,17.5736,17.9968,-0.4231,0.7847,2.4646,-4.1302,0.0,***,0.0,***
